NCTId,0,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00000102,1,0,0,0,0,0,0
NCT00000104,1,0,0,0,0,0,0
NCT00000105,1,0,0,0,0,0,0
NCT00000106,1,0,0,0,0,0,0
NCT00000107,1,0,0,0,0,0,0
NCT00000108,1,0,0,0,0,0,0
NCT00000110,1,0,0,0,0,0,0
NCT00000112,1,0,0,0,0,0,0
NCT00000113,0,1,1,0,0,0,0
NCT00000116,1,0,0,0,0,0,0
NCT00000117,1,0,0,0,0,0,0
NCT00000119,1,0,0,0,0,0,0
NCT00000126,1,0,0,0,0,0,0
NCT00000133,1,0,0,0,0,0,0
NCT00000139,1,0,0,0,0,0,0
NCT00000143,0,0,1,0,0,0,0
NCT00000146,1,0,0,0,0,0,0
NCT00000147,1,0,0,0,0,0,0
NCT00000148,1,0,0,0,0,0,0
NCT00000152,1,0,0,0,0,0,0
NCT00000155,1,0,0,0,0,0,0
NCT00000156,1,0,0,0,0,0,0
NCT00000157,1,0,0,0,0,0,0
NCT00000167,0,0,1,0,0,0,0
NCT00000168,1,0,0,0,0,0,0
NCT00000169,1,0,0,0,0,0,0
NCT00000170,0,1,0,0,0,0,0
NCT00000171,1,0,0,0,0,0,0
NCT00000172,1,0,0,0,0,0,0
NCT00000173,1,0,0,0,0,0,0
NCT00000174,1,0,0,0,0,0,0
NCT00000175,1,0,0,0,0,0,0
NCT00000176,1,0,0,0,0,0,0
NCT00000177,1,0,0,0,0,0,0
NCT00000178,1,0,0,0,0,0,0
NCT00000179,1,0,0,0,0,0,0
NCT00000180,1,0,0,0,0,0,0
NCT00000187,1,0,0,0,0,0,0
NCT00000188,1,0,0,0,0,0,0
NCT00000189,1,0,0,0,0,0,0
NCT00000190,1,0,0,0,0,0,0
NCT00000191,1,0,0,0,0,0,0
NCT00000192,1,0,0,0,0,0,0
NCT00000193,1,0,0,0,0,0,0
NCT00000194,1,0,0,0,0,0,0
NCT00000195,1,0,0,0,0,0,0
NCT00000196,1,0,0,0,0,0,0
NCT00000197,1,0,0,0,0,0,0
NCT00000198,1,0,0,0,0,0,0
NCT00000199,1,0,0,0,0,0,0
NCT00000200,1,0,0,0,0,0,0
NCT00000201,1,0,0,0,0,0,0
NCT00000202,1,0,0,0,0,0,0
NCT00000203,1,0,0,0,0,0,0
NCT00000204,1,0,0,0,0,0,0
NCT00000205,1,0,0,0,0,0,0
NCT00000206,1,0,0,0,0,0,0
NCT00000207,1,0,0,0,0,0,0
NCT00000208,1,0,0,0,0,0,0
NCT00000209,1,0,0,0,0,0,0
NCT00000210,1,0,0,0,0,0,0
NCT00000211,1,0,0,0,0,0,0
NCT00000212,1,0,0,0,0,0,0
NCT00000213,1,0,0,0,0,0,0
NCT00000214,1,0,0,0,0,0,0
NCT00000215,1,0,0,0,0,0,0
NCT00000216,1,0,0,0,0,0,0
NCT00000217,1,0,0,0,0,0,0
NCT00000218,1,0,0,0,0,0,0
NCT00000219,1,0,0,0,0,0,0
NCT00000220,1,0,0,0,0,0,0
NCT00000221,1,0,0,0,0,0,0
NCT00000222,1,0,0,0,0,0,0
NCT00000223,1,0,0,0,0,0,0
NCT00000224,1,0,0,0,0,0,0
NCT00000225,1,0,0,0,0,0,0
NCT00000226,1,0,0,0,0,0,0
NCT00000227,1,0,0,0,0,0,0
NCT00000228,1,0,0,0,0,0,0
NCT00000229,1,0,0,0,0,0,0
NCT00000230,1,0,0,0,0,0,0
NCT00000231,1,0,0,0,0,0,0
NCT00000232,1,0,0,0,0,0,0
NCT00000233,1,0,0,0,0,0,0
NCT00000234,1,0,0,0,0,0,0
NCT00000235,1,0,0,0,0,0,0
NCT00000236,1,0,0,0,0,0,0
NCT00000237,1,0,0,0,0,0,0
NCT00000238,1,0,0,0,0,0,0
NCT00000239,1,0,0,0,0,0,0
NCT00000240,1,0,0,0,0,0,0
