NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
NCT04371159,0,0,1,0,0,0,0
NCT04474496,0,0,0,0,0,1,0
NCT02801266,0,0,0,0,0,1,0
NCT01599390,1,0,0,0,0,0,0
NCT00312702,1,0,0,0,0,0,0
NCT00312663,1,0,0,0,0,0,0
NCT01153880,1,0,0,0,0,0,0
NCT02019732,1,0,0,0,0,0,0
NCT03972358,0,0,0,1,0,0,0
NCT00948233,1,0,0,0,0,0,0
NCT00026728,0,0,0,0,0,0,1
NCT01211990,1,0,0,0,0,0,0
NCT02663219,0,0,0,1,0,0,0
NCT00121108,0,0,0,0,0,1,0
NCT01861210,0,0,0,1,0,0,0
NCT02911155,0,0,0,1,0,0,0
NCT00724867,0,0,0,1,0,0,0
NCT03973905,0,0,0,1,0,0,0
NCT00340457,0,0,0,0,0,1,0
NCT02429284,0,0,0,0,1,0,0
NCT02889263,0,0,0,0,0,0,1
NCT03995745,1,0,0,0,0,0,0
NCT00928694,1,0,0,0,0,0,0
NCT02153996,1,0,0,0,0,0,0
NCT00413673,0,1,0,0,0,0,0
NCT03867409,0,0,0,0,0,1,0
NCT04004260,0,0,1,0,0,0,0
NCT04205877,0,0,0,0,0,1,0
NCT01262079,0,0,1,0,0,0,0
NCT00646438,0,0,1,0,0,0,0
NCT00341588,0,0,0,0,0,1,0
NCT04562636,0,0,0,0,0,1,0
NCT03924505,0,1,0,0,0,0,0
NCT02334462,0,0,0,0,1,0,0
NCT03311295,1,0,0,0,0,0,0
NCT03242278,0,0,0,0,0,0,1
NCT03683134,0,1,0,0,0,0,0
NCT04047316,0,1,0,0,0,0,0
NCT03952364,0,0,1,0,0,0,0
NCT04021030,1,0,0,0,0,0,0
NCT02959827,0,0,0,0,0,1,0
NCT02395536,0,0,0,0,1,0,0
NCT03628235,0,0,0,1,0,0,0
NCT02787538,0,1,0,0,0,0,0
NCT01290393,1,0,0,0,0,0,0
NCT04263311,0,0,1,0,0,0,0
NCT00875641,0,0,0,0,0,0,1
NCT03199846,0,0,0,0,1,0,0
NCT04587245,0,1,0,0,0,0,0
NCT02773979,1,0,0,0,0,0,0
NCT03274726,0,0,0,0,0,1,0
NCT01283828,0,0,0,0,0,1,0
NCT04191824,0,0,0,0,0,1,0
NCT03197688,0,0,0,0,0,1,0
NCT02813577,1,0,0,0,0,0,0
NCT00666380,1,0,0,0,0,0,0
NCT01287247,0,0,0,0,1,0,0
NCT04163341,0,1,0,0,0,0,0
NCT02987335,0,1,0,0,0,0,0
NCT02867722,1,0,0,0,0,0,0
NCT03276637,0,1,0,0,0,0,0
NCT03192891,0,0,0,0,0,1,0
NCT03373045,0,0,0,0,0,1,0
NCT04229212,0,1,0,0,0,0,0
NCT02848781,0,0,1,0,0,0,0
NCT00385047,1,0,0,0,0,0,0
NCT02993120,0,0,0,0,0,1,0
NCT03045120,0,0,1,0,0,0,0
NCT01154296,0,0,0,0,0,1,0
NCT02857764,0,0,0,0,0,0,1
NCT00412568,0,0,1,0,0,0,0
NCT03353480,0,1,0,0,0,0,0
NCT00800267,0,0,0,1,0,0,0
NCT00601835,0,0,0,0,0,1,0
NCT01087905,0,0,0,0,1,0,0
NCT02616198,0,1,0,0,0,0,0
NCT00007540,1,0,0,0,0,0,0
NCT02163525,0,0,1,0,0,0,0
NCT03310112,0,0,1,0,0,0,0
NCT02766634,0,1,0,0,0,0,0
NCT02971709,0,0,1,0,0,0,0
NCT03801928,0,0,1,0,0,0,0
NCT01641029,0,0,0,0,1,0,0
NCT02128542,0,1,0,0,0,0,0
NCT00573976,0,0,0,0,1,0,0
NCT00306007,0,0,0,1,0,0,0
NCT02766647,1,0,0,0,0,0,0
NCT04460898,1,0,0,0,0,0,0
NCT00413517,0,0,1,0,0,0,0
NCT02882100,0,0,0,0,1,0,0
NCT00533975,0,0,0,1,0,0,0
NCT02109757,0,0,1,0,0,0,0
NCT00959933,1,0,0,0,0,0,0
NCT00960479,1,0,0,0,0,0,0
NCT03266497,0,0,0,0,0,1,0
NCT02207569,0,0,0,1,0,0,0
NCT02569632,1,0,0,0,0,0,0
NCT02069925,0,0,0,1,0,0,0
NCT03433131,1,0,0,0,0,0,0
NCT02746809,0,1,0,0,0,0,0
NCT00328380,0,0,0,0,1,0,0
NCT04552535,0,0,1,0,0,0,0
NCT03293875,0,0,0,0,0,1,0
NCT01235260,1,0,0,0,0,0,0
NCT03390660,0,0,0,0,0,0,1
NCT00837499,0,0,0,0,1,0,0
NCT01629537,1,0,0,0,0,0,0
NCT00351741,0,1,0,0,0,0,0
NCT01965561,1,0,0,0,0,0,0
NCT01927835,1,0,0,0,0,0,0
NCT01704235,1,0,0,0,0,0,0
NCT01306266,1,0,0,0,0,0,0
NCT00796315,1,0,0,0,0,0,0
NCT00005463,1,0,0,0,0,0,0
NCT03382418,1,0,0,0,0,0,0
NCT00054743,1,0,0,0,0,0,0
NCT00730964,0,0,0,0,0,1,0
NCT02886689,0,0,0,0,0,1,0
NCT00005455,1,0,0,0,0,0,0
NCT01150695,0,0,0,1,0,0,0
NCT00245076,1,0,0,0,0,0,0
NCT00935623,1,0,0,0,0,0,0
NCT03688126,0,0,0,0,0,1,0
NCT02053506,0,1,0,0,0,0,0
NCT03933215,0,0,1,0,0,0,0
NCT03933202,0,0,0,1,0,0,0
NCT00005171,1,0,0,0,0,0,0
NCT01256164,0,1,0,0,0,0,0
NCT03631472,1,0,0,0,0,0,0
NCT03699709,0,0,1,0,0,0,0
NCT00237263,0,0,0,1,0,0,0
NCT02939131,0,0,1,0,0,0,0
NCT03488264,0,0,1,0,0,0,0
NCT01873482,1,0,0,0,0,0,0
NCT02829073,0,0,1,0,0,0,0
NCT01369030,0,0,0,0,1,0,0
NCT01568424,1,0,0,0,0,0,0
NCT02406599,0,0,0,1,0,0,0
NCT03965195,0,0,0,0,0,1,0
NCT01368549,0,0,0,0,1,0,0
NCT01370954,0,0,0,1,0,0,0
NCT01339546,1,0,0,0,0,0,0
NCT02252159,0,0,0,0,0,1,0
NCT04072289,0,0,1,0,0,0,0
NCT04423770,0,0,0,0,0,1,0
NCT01358552,0,1,0,0,0,0,0
NCT02856646,0,0,0,1,0,0,0
NCT01940679,1,0,0,0,0,0,0
NCT02951598,0,0,0,0,0,1,0
NCT02988934,0,0,0,0,0,1,0
NCT01028300,1,0,0,0,0,0,0
NCT01034865,0,0,0,0,1,0,0
NCT02352532,0,1,0,0,0,0,0
NCT03198793,0,0,0,1,0,0,0
NCT01112917,0,0,1,0,0,0,0
NCT01764269,0,0,0,0,1,0,0
NCT03346603,0,0,0,0,1,0,0
NCT04281290,1,0,0,0,0,0,0
NCT04601103,1,0,0,0,0,0,0
NCT04600856,1,0,0,0,0,0,0
