,NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
0,NCT04371159,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,NCT04474496,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,NCT02801266,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,NCT01599390,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,NCT00312702,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,NCT00312663,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NCT01153880,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NCT02019732,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,NCT03972358,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,NCT00948233,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NCT00026728,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,NCT01211990,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NCT02663219,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,NCT00121108,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,NCT01861210,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,NCT02911155,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,NCT00724867,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,NCT03973905,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,NCT00340457,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,NCT02429284,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,NCT02889263,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,NCT03995745,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NCT00928694,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,NCT02153996,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,NCT00413673,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,NCT03867409,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,NCT04004260,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,NCT04205877,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,NCT01262079,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,NCT00646438,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,NCT00341588,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,NCT04562636,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,NCT03924505,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,NCT02334462,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,NCT03311295,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NCT03242278,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,NCT03683134,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,NCT04047316,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,NCT03952364,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,NCT04021030,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,NCT02959827,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,NCT02395536,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,NCT03628235,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,NCT02787538,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,NCT01290393,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,NCT04263311,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,NCT00875641,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,NCT03199846,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,NCT04587245,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,NCT02773979,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,NCT03274726,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,NCT01283828,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,NCT04191824,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,NCT03197688,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,NCT02813577,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,NCT00666380,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,NCT01287247,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,NCT04163341,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,NCT02987335,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,NCT02867722,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,NCT03276637,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,NCT03192891,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,NCT03373045,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,NCT04229212,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,NCT02848781,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,NCT00385047,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NCT02993120,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,NCT03045120,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,NCT01154296,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,NCT02857764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,NCT00412568,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,NCT03353480,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,NCT00800267,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,NCT00601835,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,NCT01087905,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,NCT02616198,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,NCT00007540,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,NCT02163525,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,NCT03310112,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79,NCT02766634,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,NCT02971709,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,NCT03801928,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,NCT01641029,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,NCT02128542,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,NCT00573976,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,NCT00306007,0.0,0.0,0.0,1.0,0.0,0.0,0.0
86,NCT02766647,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,NCT04460898,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,NCT00413517,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,NCT02882100,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,NCT00533975,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,NCT02109757,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,NCT00959933,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,NCT00960479,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,NCT03266497,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,NCT02207569,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,NCT02569632,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,NCT02069925,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,NCT03433131,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,NCT02746809,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,NCT00328380,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,NCT04552535,0.0,0.0,1.0,0.0,0.0,0.0,0.0
