,NCTId,DesignAllocation,DesignMasking,DesignPrimaryPurpose,DesignTimePerspective,EnrollmentCount,HealthyVolunteers,IsFDARegulatedDevice,IsFDARegulatedDrug,LeadSponsorClass,PatientRegistry,SamplingMethod ,StudyType,Active Comparator,Experimental,No Intervention,Other_x,Placebo Comparator,Sham Comparator,Full Range,Inter-Quartile Range,Standard Deviation,Count of Participants,Count of Units,Geometric Mean,Least Squares Mean,Mean,Median,Number,AMBIG,FED_x,INDUSTRY_x,NETWORK_x,NIH_x,OTHER_x,OTHER_GOV_x,UNKNOWN,Behavioral,Biological,Combination Product,Device,Diagnostic Test,Dietary Supplement,Drug,Genetic,Other_y,Procedure,Radiation,FED_y,INDIV,INDUSTRY_y,NETWORK_y,NIH_y,OTHER_y,OTHER_GOV_y,Adult,Child,Older Adult
0,NCT00000152,Randomized,0,Prevention,0,0,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,NCT00000157,Randomized,0,Prevention,0,0,Accepts Healthy Volunteers,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,NCT00000172,Randomized,Double,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
3,NCT00000173,Randomized,Double,Treatment,0,0,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,NCT00000174,Randomized,Double,Treatment,0,0,No,0,0,INDUSTRY,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
5,NCT00000273,N/A,None (Open Label),Treatment,0,8,No,No,Yes,OTHER,0,0,Interventional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,NCT00000362,Randomized,None (Open Label),Prevention,0,600,No,0,0,NIH,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
7,NCT00000398,Randomized,None (Open Label),Treatment,0,180,No,0,0,OTHER,0,0,Interventional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8,NCT00000408,Randomized,None (Open Label),Treatment,0,580,No,0,0,OTHER,0,0,Interventional,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
9,NCT00000411,Randomized,None (Open Label),Treatment,0,289,No,0,0,OTHER,0,0,Interventional,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
