NCTId,ConditionAncestorId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm
NCT04371159,"['D000007239', 'D000014570']","['Infection', 'Urologic Diseases']","['BC01', 'All', 'BXS']","['Bacterial and Fungal Diseases', 'All Conditions', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions']",Urinary Tract Infections,"['M8866', 'M4951', 'M15885', 'M15902']","['Infection', 'Communicable Diseases', 'Urinary Tract Infections', 'Urologic Diseases']","['low', 'low', 'high', 'low']",D000014552,Urinary Tract Infections
NCT04474496,0,0,"['BC18', 'BC19', 'All']","['Nutritional and Metabolic Diseases', 'Gland and Hormone Related Diseases', 'All Conditions']",0,"['M5698', 'M5702']","['Diabetes Mellitus', 'Diabetes Mellitus, Type 2']","['low', 'low']",0,0
NCT02801266,0,0,0,0,0,0,0,0,0,0
NCT01599390,"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Influenza,"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000007251,"Influenza, Human"
NCT00312702,"['D000011528', 'D000010272']","['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']"
NCT00312663,"['D000011528', 'D000010272']","['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']"
NCT01153880,"['D000007239', 'D000013492', 'D000003240', 'D000007249', 'D000010335', 'D000012871']","['Infection', 'Suppuration', 'Connective Tissue Diseases', 'Inflammation', 'Pathologic Processes', 'Skin Diseases']","['BC01', 'All', 'BC17', 'BC23']","['Bacterial and Fungal Diseases', 'All Conditions', 'Skin and Connective Tissue Diseases', 'Symptoms and General Pathology']","['Skin Infections', 'Skin Infections', 'Infections, Bacterial']","['M8866', 'M4951', 'M14260', 'M4313', 'M14257', 'M3303', 'M14856', 'M5047', 'M8876']","['Infection', 'Communicable Diseases', 'Skin Diseases, Infectious', 'Cellulitis', 'Skin Diseases', 'Bacterial Infections', 'Suppuration', 'Connective Tissue Diseases', 'Inflammation']","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'low']","['D000002481', 'D000012874', 'D000001424']","['Cellulitis', 'Skin Diseases, Infectious', 'Bacterial Infections']"
NCT02019732,"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Influenza,"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000007251,"Influenza, Human"
NCT03972358,0,0,0,0,0,0,0,0,0,0
NCT00948233,0,0,0,0,0,0,0,0,0,0
NCT00026728,"['D000018204', 'D000009370', 'D000009369', 'D000004266', 'D000014777', 'D000009383']","['Neoplasms, Connective and Soft Tissue', 'Neoplasms by Histologic Type', 'Neoplasms', 'DNA Virus Infections', 'Virus Diseases', 'Neoplasms, Vascular Tissue']","['BC01', 'All', 'BC04', 'BC02', 'Rare']","['Bacterial and Fungal Diseases', 'All Conditions', 'Cancers and Other Neoplasms', 'Viral Diseases', 'Rare Diseases']","['Sarcoma', 'Herpesviridae Infections', ""Kaposi's Sarcoma"", 'Sarcoma', ""Kaposi's Sarcoma""]","['M8866', 'M4951', 'M13910', 'M16105', 'M8226', 'M13915', 'M18933', 'M10898', 'M6025', 'T5296', 'T3204']","['Infection', 'Communicable Diseases', 'Sarcoma', 'Virus Diseases', 'Herpesviridae Infections', 'Sarcoma, Kaposi', 'Neoplasms, Connective and Soft Tissue', 'Neoplasms by Histologic Type', 'DNA Virus Infections', 'Soft Tissue Sarcoma', 'Kaposi Sarcoma']","['low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['D000012514', 'D000006566', 'D000012509']","['Sarcoma, Kaposi', 'Herpesviridae Infections', 'Sarcoma']"
NCT01211990,0,0,0,0,0,0,0,0,0,0
NCT02663219,0,0,"['BC02', 'BC20', 'All']","['Viral Diseases', 'Immune System Diseases', 'All Conditions']",0,"['M16833', 'M2103']","['HIV Infections', 'Acquired Immunodeficiency Syndrome']","['low', 'low']",0,0
NCT00121108,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M16105,Virus Diseases,low,0,0
NCT01861210,0,0,"['BC02', 'BC20', 'All']","['Viral Diseases', 'Immune System Diseases', 'All Conditions']",0,"['M16833', 'M2103']","['HIV Infections', 'Acquired Immunodeficiency Syndrome']","['low', 'low']",0,0
