,Prediction,value_count,NCTId
0,Completed,1,NCT00000119
1,Completed,1,NCT00001337
2,Completed,1,NCT00001379
3,Completed,1,NCT00001481
4,Completed,1,NCT00001521
5,Completed,1,NCT00002099
6,Completed,1,NCT00002219
7,Completed,1,NCT00002241
8,Completed,1,NCT00002414
9,Completed,1,NCT00002451
10,Completed,1,NCT00002454
11,Completed,1,NCT00002465
12,Completed,1,NCT00002481
13,Completed,1,NCT00002482
14,Completed,1,NCT00002589
15,Completed,1,NCT00002627
16,Completed,1,NCT00002628
17,Completed,1,NCT00002775
18,Completed,1,NCT00002780
19,Completed,1,NCT00002817
20,Completed,1,NCT00002845
21,Completed,1,NCT00002846
22,Completed,1,NCT00002847
23,Completed,1,NCT00003001
24,Completed,1,NCT00003042
25,Completed,1,NCT00003044
26,Completed,1,NCT00003064
27,Completed,1,NCT00003066
28,Completed,1,NCT00003090
29,Completed,1,NCT00003097
30,Completed,1,NCT00003123
31,Completed,1,NCT00003135
32,Completed,1,NCT00003160
33,Completed,1,NCT00003163
34,Completed,1,NCT00003181
35,Completed,1,NCT00003182
36,Completed,1,NCT00003183
37,Completed,1,NCT00003251
38,Completed,1,NCT00003253
39,Completed,1,NCT00003257
40,Completed,1,NCT00003284
41,Completed,1,NCT00003296
42,Completed,1,NCT00003326
43,Completed,1,NCT00003327
44,Completed,1,NCT00003338
45,Completed,1,NCT00003405
46,Completed,1,NCT00003407
47,Completed,1,NCT00003560
48,Completed,1,NCT00003562
49,Completed,1,NCT00003583
50,Completed,1,NCT00003604
51,Completed,1,NCT00003634
52,Completed,1,NCT00003664
53,Completed,1,NCT00003716
54,Completed,1,NCT00003717
55,Completed,1,NCT00003718
56,Completed,1,NCT00003719
57,Completed,1,NCT00003780
58,Completed,1,NCT00003797
59,Completed,1,NCT00003827
60,Completed,1,NCT00003856
61,Completed,1,NCT00003885
62,Completed,1,NCT00003942
63,Completed,1,NCT00004025
64,Completed,1,NCT00004063
65,Completed,1,NCT00004064
66,Completed,1,NCT00004094
67,Completed,1,NCT00004164
68,Completed,1,NCT00004204
69,Completed,1,NCT00004226
70,Completed,1,NCT00004253
71,Completed,1,NCT00004264
72,Completed,1,NCT00004265
73,Completed,1,NCT00004293
74,Completed,1,NCT00004310
75,Completed,1,NCT00004315
76,Completed,1,NCT00004346
77,Completed,1,NCT00004347
78,Completed,1,NCT00004375
79,Completed,1,NCT00004903
80,Completed,1,NCT00005025
81,Completed,1,NCT00005084
82,Completed,1,NCT00005118
83,Completed,1,NCT00005607
84,Completed,1,NCT00005665
85,Completed,1,NCT00005768
86,Completed,1,NCT00005769
87,Completed,1,NCT00005771
88,Completed,1,NCT00005780
89,Completed,1,NCT00005825
90,Completed,1,NCT00005876
91,Completed,1,NCT00005877
92,Completed,1,NCT00005939
93,Completed,1,NCT00005958
94,Completed,1,NCT00005959
95,Completed,1,NCT00005960
96,Completed,1,NCT00006084
97,Completed,1,NCT00006198
98,Completed,1,NCT00006200
99,Completed,1,NCT00006205
100,Completed,1,NCT00006215
101,Completed,1,NCT00006256
102,Completed,1,NCT00006369
103,Completed,1,NCT00006433
104,Completed,1,NCT00006436
105,Completed,1,NCT00006460
106,Completed,1,NCT00006466
107,Completed,1,NCT00006656
108,Completed,1,NCT00006669
109,Completed,1,NCT00007150
110,Completed,1,NCT00007449
111,Completed,1,NCT00007839
112,Completed,1,NCT00008164
113,Completed,1,NCT00008307
114,Completed,1,NCT00008801
115,Completed,1,NCT00009854
116,Completed,1,NCT00010309
117,Completed,1,NCT00012311
118,Completed,1,NCT00013806
119,Completed,1,NCT00014105
120,Completed,1,NCT00014547
121,Completed,1,NCT00014664
122,Completed,1,NCT00017303
123,Completed,1,NCT00017446
124,Completed,1,NCT00017550
125,Completed,1,NCT00017992
126,Completed,1,NCT00018057
127,Completed,1,NCT00021385
128,Completed,1,NCT00022217
129,Completed,1,NCT00022243
130,Completed,1,NCT00022321
131,Completed,1,NCT00022932
132,Completed,1,NCT00024271
133,Completed,1,NCT00024362
134,Completed,1,NCT00024375
135,Completed,1,NCT00024388
136,Completed,1,NCT00024401
137,Completed,1,NCT00024414
138,Completed,1,NCT00025324
139,Completed,1,NCT00026416
140,Completed,1,NCT00026429
141,Completed,1,NCT00026442
142,Completed,1,NCT00027222
143,Completed,1,NCT00027833
144,Completed,1,NCT00027989
145,Completed,1,NCT00030589
146,Completed,1,NCT00030641
147,Completed,1,NCT00030888
148,Completed,1,NCT00031018
149,Completed,1,NCT00031616
150,Completed,1,NCT00032279
151,Completed,1,NCT00032396
152,Completed,1,NCT00033124
153,Completed,1,NCT00033709
154,Completed,1,NCT00033722
155,Completed,1,NCT00034307
156,Completed,1,NCT00036426
157,Completed,1,NCT00036712
158,Completed,1,NCT00036985
159,Completed,1,NCT00036998
160,Completed,1,NCT00037089
161,Completed,1,NCT00039156
162,Completed,1,NCT00039169
163,Completed,1,NCT00039884
164,Completed,1,NCT00041379
165,Completed,1,NCT00041730
166,Completed,1,NCT00042913
167,Completed,1,NCT00043199
168,Completed,1,NCT00043433
169,Completed,1,NCT00043446
170,Completed,1,NCT00043576
171,Completed,1,NCT00043797
172,Completed,1,NCT00044135
173,Completed,1,NCT00044226
174,Completed,1,NCT00044304
175,Completed,1,NCT00045123
176,Terminated,1,NCT00048217
177,Completed,1,NCT00048464
178,Completed,1,NCT00052325
179,Completed,1,NCT00053716
180,Completed,1,NCT00054496
181,Completed,1,NCT00057031
182,Completed,1,NCT00057369
183,Completed,1,NCT00057395
184,Completed,1,NCT00057668
185,Completed,1,NCT00059241
186,Completed,1,NCT00059553
187,Completed,1,NCT00060099
188,Completed,1,NCT00060697
189,Completed,1,NCT00061139
190,Completed,1,NCT00061152
191,Completed,1,NCT00061217
192,Completed,1,NCT00061568
193,Completed,1,NCT00063011
194,Completed,1,NCT00065676
195,Completed,1,NCT00066547
196,Completed,1,NCT00068913
197,Completed,1,NCT00069238
198,Completed,1,NCT00069511
