NCTId,ConditionAncestorId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm
NCT04372602,0,0,0,0,0,0,0,0,0,0
NCT04482621,"['D000008171', 'D000012140', 'D000012141']","['Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections']","['BC02', 'All', 'BC08', 'BC23', 'BC16', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Diseases and Abnormalities at or Before Birth', 'Bacterial and Fungal Diseases', 'Rare Diseases']",Pneumonia,"['M19074', 'M12487', 'M14938', 'M13548', 'M13547', 'M26731', 'M9751', 'M13560', 'M8866', 'M4951', 'M13561', 'T4937', 'T192']","['Coronavirus Infections', 'Pneumonia', 'Syndrome', 'Respiratory Distress Syndrome, Adult', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Diseases', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Respiratory Tract Infections', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000011014,Pneumonia
NCT04425538,"['D000003333', 'D000030341', 'D000012327', 'D000014777']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC08', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Rare Diseases']",Coronavirus,"['M19074', 'M24032', 'M8866', 'M4951', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000018352,Coronavirus Infections
NCT04354831,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",Infection,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['high', 'low']",D000007239,Infection
NCT04445285,"['D000012120', 'D000012140']","['Respiration Disorders', 'Respiratory Tract Diseases']","['BC08', 'All', 'BC02', 'BC14']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Viral Diseases', 'Heart and Blood Diseases']",Respiratory Failure,"['M13551', 'M19074', 'M13102', 'M13540', 'M13560']","['Respiratory Insufficiency', 'Coronavirus Infections', 'Pulmonary Valve Insufficiency', 'Respiration Disorders', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low']",D000012131,Respiratory Insufficiency
NCT04388683,"['D000010335', 'D000012120', 'D000012140']","['Pathologic Processes', 'Respiration Disorders', 'Respiratory Tract Diseases']","['BC23', 'All', 'BC08']","['Symptoms and General Pathology', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases']",Inhaled,"['M19143', 'M25724', 'M13540', 'M13560']","['Disease Progression', 'Respiratory Aspiration', 'Respiration Disorders', 'Respiratory Tract Diseases']","['low', 'high', 'low', 'low']",D000053120,Respiratory Aspiration
NCT04412486,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04452669,0,0,"['BC08', 'BC23', 'All']","['Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'All Conditions']",0,M25724,Respiratory Aspiration,low,0,0
NCT04474483,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT04456413,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",Infection,"['M19074', 'M8866', 'M4951']","['Coronavirus Infections', 'Infection', 'Communicable Diseases']","['low', 'high', 'low']",D000007239,Infection
