NCTId,ArmGroupInterventionName
NCT00852644,Radiation
NCT00852644,Radiation
NCT00851253,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00851253,Radiation
NCT00853528,Radiation
NCT00853528,Radiation
NCT00853528,Radiation
NCT00280748,Radiation
NCT00124618,Radiation
NCT00776100,Radiation
NCT00113399,Radiation
NCT01118026,Radiation
NCT03159234,Radiation
NCT01135095,Radiation
NCT00936390,Radiation
NCT00936390,Radiation
NCT02295540,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT02295540,Radiation
NCT00853528,Radiation
NCT00853528,Radiation
NCT00853528,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT00852644,Radiation
NCT03159234,Radiation
NCT01956058,Radiation
NCT00681694,Radiation
NCT00681694,Radiation
NCT00681694,Radiation
NCT02191267,Radiation
NCT02191267,Radiation
NCT02191267,Radiation
NCT02191267,Radiation
NCT02191267,Radiation
NCT02191267,Radiation
NCT01234766,Radiation
NCT02725840,Radiation
NCT04467099,Radiation
NCT04467099,Radiation
NCT01703507,Radiation
NCT04368702,Radiation
NCT04368702,Radiation
NCT03404986,Radiation
NCT04108052,Radiation
NCT03253744,Radiation
NCT04315883,Radiation
NCT03614949,Radiation
NCT01528878,Radiation
NCT01528878,Radiation
NCT01703507,Radiation
NCT03071406,Radiation
NCT01973608,Radiation
NCT01973608,Radiation
NCT01973608,Radiation
NCT04042506,Radiation
NCT01973608,Radiation
NCT04068649,Radiation
NCT02599454,Radiation
NCT02031328,Radiation
NCT00365105,Radiation
NCT01591733,Radiation
NCT03817736,Radiation
NCT03050554,Radiation
NCT04047602,Radiation
NCT03737370,Radiation
NCT03737370,Radiation
NCT03426891,Radiation
NCT00813943,Radiation
NCT00689221,Radiation
NCT00813943,Radiation
NCT00813943,Radiation
NCT00689221,Radiation
NCT02985255,Radiation
NCT02114229,Radiation
NCT02114229,Radiation
NCT03904043,Radiation
NCT04359199,Radiation
NCT01288534,Radiation
NCT04025372,Radiation
NCT04025372,Radiation
NCT04545957,Radiation
NCT00563784,Radiation
NCT03246113,Radiation
NCT04607642,Radiation
NCT00882583,Radiation
NCT02287428,Radiation
NCT00882583,Radiation
NCT03945721,Radiation
NCT02287428,Radiation
NCT02287428,Radiation
NCT02287428,Radiation
NCT02287428,Radiation
NCT04359199,Radiation
NCT04545957,Radiation
NCT04545957,Radiation
NCT00053898,Radiation
NCT01979211,Radiation
NCT04607642,Radiation
NCT02368106,Radiation
NCT00053898,Radiation
NCT01968785,Radiation
NCT01968785,Radiation
NCT03789097,Radiation
NCT03366844,Radiation
NCT01586767,Radiation
NCT02725840,Radiation
NCT01212731,Radiation
NCT01617161,Radiation
NCT03778294,Radiation
NCT03253744,Radiation
NCT00588497,Radiation
NCT01212731,Radiation
NCT03467789,Radiation
NCT03467789,Radiation
NCT02728076,Radiation
NCT04049669,Radiation
NCT04068649,Radiation
NCT01182467,Radiation
NCT04209790,Radiation
NCT02305186,Radiation
NCT02305186,Radiation
NCT04108052,Radiation
NCT04485026,Radiation
NCT02545010,Radiation
NCT01570998,Radiation
NCT00742222,Radiation
NCT01586767,Radiation
NCT03529422,Radiation
NCT01617161,Radiation
NCT00588497,Radiation
NCT02800486,Radiation
NCT02829931,Radiation
NCT01797159,Radiation
NCT04253483,Radiation
NCT04528446,Radiation
NCT04528446,Radiation
NCT02039895,Radiation
NCT03785288,Radiation
NCT03785288,Radiation
NCT02950337,Radiation
NCT02950337,Radiation
NCT02950337,Radiation
NCT04049669,Radiation
NCT03159234,Radiation
NCT03358563,Radiation
NCT01417286,Radiation
NCT04357587,Radiation
NCT00742222,Radiation
NCT04528446,Radiation
NCT01241123,Radiation
NCT01241123,Radiation
NCT01336452,Radiation
NCT01051284,Radiation
NCT01847495,Radiation
NCT01547286,Radiation
NCT04502407,Radiation
NCT03564522,Radiation
NCT03564522,Radiation
NCT00990262,Radiation
NCT01084239,Radiation
NCT02286843,Radiation
NCT02286843,Radiation
NCT02023996,Radiation
NCT00936390,Radiation
NCT00936390,Radiation
NCT01894191,Procedure
NCT02737514,Procedure
NCT01535326,Procedure
NCT02737514,Procedure
NCT01535326,Procedure
NCT03404986,Procedure
NCT03404986,Procedure
NCT04043182,Procedure
NCT04043182,Procedure
NCT02856217,Procedure
NCT02944149,Procedure
NCT02944149,Procedure
NCT04309825,Procedure
NCT03778177,Procedure
NCT04515069,Procedure
NCT00485251,Procedure
NCT03714711,Procedure
NCT03714711,Procedure
NCT02295540,Procedure
NCT00504023,Procedure
NCT02669420,Procedure
NCT02669420,Procedure
NCT00016406,Procedure
NCT00016406,Procedure
NCT01560026,Procedure
NCT01672684,Procedure
NCT00871468,Procedure
NCT00450281,Procedure
NCT00450281,Procedure
NCT00450281,Procedure
NCT00450281,Procedure
NCT00136370,Procedure
NCT01818739,Procedure
NCT01818739,Procedure
NCT00270439,Procedure
NCT01202500,Procedure
NCT01202500,Procedure
NCT00463060,Procedure
NCT02634502,Procedure
NCT01941810,Procedure
NCT00764322,Procedure
NCT00764322,Procedure
NCT01207687,Procedure
NCT04518059,Procedure
NCT04518059,Procedure
NCT00896649,Procedure
NCT00200096,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT00121186,Procedure
NCT00040937,Procedure
NCT01241136,Procedure
NCT02856217,Procedure
NCT01190033,Procedure
NCT00025389,Procedure
NCT00847756,Procedure
NCT00847756,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT02619773,Procedure
NCT03321474,Procedure
NCT03321474,Procedure
NCT01241136,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00316836,Procedure
NCT04504019,Procedure
NCT01117974,Procedure
NCT02665520,Procedure
NCT00580944,Procedure
NCT04561804,Procedure
NCT00485251,Procedure
NCT00775515,Procedure
NCT01295229,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT01058421,Procedure
NCT04241471,Procedure
NCT03211819,Procedure
NCT03211819,Procedure
NCT00485251,Procedure
NCT00485251,Procedure
NCT03214549,Procedure
NCT02091323,Procedure
NCT02091323,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00173537,Procedure
NCT01495923,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01534819,Procedure
NCT01064011,Procedure
NCT03398395,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT01516255,Procedure
NCT00759733,Procedure
NCT00759733,Procedure
NCT00896649,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT00853528,Procedure
NCT02154555,Procedure
NCT01892514,Procedure
NCT01892514,Procedure
NCT00025389,Procedure
NCT03214549,Procedure
NCT04049305,Procedure
NCT01058421,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT01566890,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT00852644,Procedure
NCT01782014,Procedure
NCT01782014,Procedure
NCT01782014,Procedure
NCT00847756,Procedure
NCT00847756,Procedure
NCT03713970,Procedure
NCT03713970,Procedure
NCT03004157,Procedure
NCT03004157,Procedure
NCT03004157,Procedure
NCT03564522,Procedure
NCT03564522,Procedure
NCT01654926,Procedure
NCT00847756,Procedure
NCT00847756,Procedure
NCT00759733,Procedure
NCT00759733,Procedure
NCT01882010,Procedure
NCT00788944,Procedure
NCT01882010,Procedure
NCT01882010,Procedure
NCT00504023,Procedure
NCT00874211,Procedure
NCT01241149,Procedure
NCT01241149,Procedure
NCT00871468,Procedure
NCT03176420,Procedure
