NCTId,ArmGroupType
NCT01898299,Sham Comparator
NCT02632422,Sham Comparator
NCT01591408,Sham Comparator
NCT04219566,Sham Comparator
NCT04574167,Sham Comparator
NCT03992378,Sham Comparator
NCT04341948,Sham Comparator
NCT04360044,Sham Comparator
NCT03530163,Sham Comparator
NCT03230903,Sham Comparator
NCT03197675,Sham Comparator
NCT03337113,Sham Comparator
NCT04530032,Sham Comparator
NCT02548208,Sham Comparator
NCT02634944,Sham Comparator
NCT02443220,Sham Comparator
NCT02005445,Sham Comparator
NCT04496804,Sham Comparator
NCT01882010,Sham Comparator
NCT02019927,Sham Comparator
NCT02019927,Sham Comparator
NCT02019927,Sham Comparator
NCT04518657,Sham Comparator
NCT03077919,Sham Comparator
NCT03634397,Sham Comparator
NCT03664765,Sham Comparator
NCT03479905,Sham Comparator
NCT02153814,Sham Comparator
NCT02076308,Sham Comparator
NCT04424823,Sham Comparator
NCT03278990,Sham Comparator
NCT04232670,Sham Comparator
NCT04026399,Sham Comparator
NCT04484805,Sham Comparator
NCT02325414,Sham Comparator
NCT04491175,Sham Comparator
NCT04494698,Sham Comparator
NCT02223728,Sham Comparator
NCT03262766,Sham Comparator
NCT04514757,Sham Comparator
NCT02931435,Sham Comparator
NCT03433599,Sham Comparator
NCT03433599,Sham Comparator
NCT04524715,Sham Comparator
NCT02586597,Sham Comparator
NCT00542113,Sham Comparator
NCT04182334,Sham Comparator
NCT04542551,Sham Comparator
NCT00995917,Sham Comparator
NCT04554212,Sham Comparator
NCT03395119,Sham Comparator
NCT03136029,Sham Comparator
NCT04137757,Sham Comparator
NCT04043689,Sham Comparator
NCT03029884,Sham Comparator
NCT04584762,Sham Comparator
NCT02093091,Sham Comparator
NCT02125591,Sham Comparator
NCT00967915,Sham Comparator
NCT02240407,Sham Comparator
NCT02990793,Sham Comparator
NCT03479905,Sham Comparator
NCT03681769,Sham Comparator
NCT01839396,Sham Comparator
NCT02665338,Sham Comparator
NCT02377089,Sham Comparator
NCT02746874,Sham Comparator
NCT01625546,Sham Comparator
NCT04018092,Sham Comparator
NCT04156802,Sham Comparator
NCT04156802,Sham Comparator
NCT03640286,Sham Comparator
NCT03892746,Sham Comparator
NCT03325777,Sham Comparator
NCT03205982,Sham Comparator
NCT04203199,Sham Comparator
NCT01700517,Sham Comparator
NCT02352532,Sham Comparator
NCT04203199,Sham Comparator
NCT01948947,Sham Comparator
NCT03681769,Sham Comparator
NCT03243084,Sham Comparator
NCT00548639,Sham Comparator
NCT02558855,Sham Comparator
NCT02366754,Sham Comparator
NCT01336764,Sham Comparator
NCT01504308,Sham Comparator
NCT01801384,Sham Comparator
NCT02932475,Sham Comparator
NCT04568369,Sham Comparator
NCT04039399,Sham Comparator
NCT03300297,Sham Comparator
NCT04034784,Sham Comparator
NCT00529308,Sham Comparator
NCT04287257,Sham Comparator
NCT03492229,Sham Comparator
NCT03750409,Sham Comparator
NCT04595344,Sham Comparator
NCT01616797,Sham Comparator
NCT01622959,Sham Comparator
NCT00256724,Sham Comparator
NCT04108702,Sham Comparator
NCT03932773,Sham Comparator
NCT03366363,Sham Comparator
NCT04595344,Sham Comparator
NCT04333615,Sham Comparator
NCT00932061,Sham Comparator
NCT04097353,Sham Comparator
NCT01212848,Sham Comparator
NCT00939055,Sham Comparator
NCT04182529,Sham Comparator
NCT04055181,Sham Comparator
NCT03932032,Sham Comparator
NCT01885806,Sham Comparator
NCT04182659,Sham Comparator
NCT01644812,Sham Comparator
NCT04055181,Sham Comparator
NCT00200096,Sham Comparator
NCT03371225,Sham Comparator
NCT02632422,Sham Comparator
NCT03433599,Sham Comparator
NCT04046055,Sham Comparator
NCT02204176,Sham Comparator
NCT03615469,Sham Comparator
NCT01005615,Sham Comparator
NCT04043936,Sham Comparator
NCT00492596,Sham Comparator
NCT02206750,Sham Comparator
NCT01981135,Sham Comparator
NCT01611194,Sham Comparator
NCT02907983,Sham Comparator
NCT03566095,Sham Comparator
NCT04038580,Sham Comparator
NCT03736382,Sham Comparator
NCT03154307,Sham Comparator
NCT04170803,Sham Comparator
NCT01306968,Sham Comparator
NCT00679666,Sham Comparator
NCT00932295,Sham Comparator
NCT04068857,Sham Comparator
NCT03807934,Sham Comparator
NCT04504630,Sham Comparator
NCT04111263,Sham Comparator
NCT02021149,Sham Comparator
NCT01294150,Sham Comparator
NCT03449667,Sham Comparator
NCT01795079,Sham Comparator
NCT01492517,Sham Comparator
NCT04311736,Sham Comparator
NCT04121858,Sham Comparator
NCT03772210,Sham Comparator
NCT03945474,Sham Comparator
NCT04138953,Sham Comparator
NCT02752282,Sham Comparator
NCT03795168,Sham Comparator
NCT04155333,Sham Comparator
NCT03834714,Sham Comparator
NCT02673229,Sham Comparator
NCT02369614,Sham Comparator
NCT03122301,Sham Comparator
NCT03814850,Sham Comparator
NCT02945501,Sham Comparator
NCT03589703,Sham Comparator
NCT03836950,Sham Comparator
NCT00460967,Sham Comparator
NCT01980485,Sham Comparator
NCT04586387,Sham Comparator
NCT02176928,Sham Comparator
NCT03547869,Sham Comparator
NCT03772210,Sham Comparator
NCT03772210,Sham Comparator
NCT00486018,Sham Comparator
NCT03874351,Sham Comparator
NCT03874637,Sham Comparator
NCT03899181,Sham Comparator
NCT00485836,Sham Comparator
NCT03555266,Sham Comparator
NCT03907917,Sham Comparator
NCT01912287,Sham Comparator
NCT03916809,Sham Comparator
NCT01188070,Sham Comparator
NCT04128618,Sham Comparator
NCT01391832,Sham Comparator
NCT03198156,Sham Comparator
NCT02877394,Sham Comparator
NCT04408352,Sham Comparator
NCT01312922,Sham Comparator
NCT03634527,Sham Comparator
NCT00692575,Sham Comparator
NCT04287374,Sham Comparator
NCT04288752,Sham Comparator
NCT01958437,Sham Comparator
NCT03187080,Sham Comparator
NCT03187080,Sham Comparator
NCT02172040,Sham Comparator
NCT03980808,Sham Comparator
NCT04270474,Sham Comparator
NCT02383979,Sham Comparator
NCT03523507,Sham Comparator
NCT01220713,Sham Comparator
NCT00639795,Sham Comparator
NCT02798432,Sham Comparator
NCT01996254,Sham Comparator
NCT03224416,Sham Comparator
NCT03232086,Sham Comparator
NCT02256085,Sham Comparator
NCT03520426,Sham Comparator
NCT01958437,Sham Comparator
NCT04276805,Sham Comparator
NCT03315442,Sham Comparator
NCT04446442,Sham Comparator
NCT00558701,Sham Comparator
NCT04452331,Sham Comparator
NCT04162145,Sham Comparator
NCT04240483,Sham Comparator
NCT04182113,Sham Comparator
NCT04188015,Sham Comparator
NCT03161470,Sham Comparator
NCT00307398,Sham Comparator
NCT02979197,Sham Comparator
NCT03882515,Sham Comparator
NCT03716505,Sham Comparator
NCT04346511,Sham Comparator
NCT04250662,Sham Comparator
NCT04250662,Sham Comparator
NCT04246996,Sham Comparator
NCT00761020,Sham Comparator
NCT01599767,Sham Comparator
NCT03406104,Sham Comparator
NCT01569607,Sham Comparator
NCT04375293,Sham Comparator
NCT03483805,Placebo Comparator
NCT01244204,Placebo Comparator
NCT03352115,Placebo Comparator
NCT03172741,Placebo Comparator
NCT01625442,Placebo Comparator
NCT04536298,Placebo Comparator
NCT04597437,Placebo Comparator
NCT02572323,Placebo Comparator
NCT00959764,Placebo Comparator
NCT02889809,Placebo Comparator
NCT02322333,Placebo Comparator
NCT01300325,Placebo Comparator
NCT03309163,Placebo Comparator
NCT01190254,Placebo Comparator
NCT03163589,Placebo Comparator
NCT04333576,Placebo Comparator
NCT01701349,Placebo Comparator
NCT03571750,Placebo Comparator
NCT04295538,Placebo Comparator
NCT02004691,Placebo Comparator
NCT01092572,Placebo Comparator
NCT02192684,Placebo Comparator
NCT00522041,Placebo Comparator
NCT00768248,Placebo Comparator
NCT01967394,Placebo Comparator
NCT02564055,Placebo Comparator
NCT02564055,Placebo Comparator
NCT02109198,Placebo Comparator
NCT03309163,Placebo Comparator
NCT02086864,Placebo Comparator
NCT02564042,Placebo Comparator
NCT04589819,Placebo Comparator
NCT03924414,Placebo Comparator
NCT04504734,Placebo Comparator
NCT01904604,Placebo Comparator
NCT00351767,Placebo Comparator
NCT04605783,Placebo Comparator
NCT00491738,Placebo Comparator
NCT02312050,Placebo Comparator
NCT01745887,Placebo Comparator
NCT02188953,Placebo Comparator
NCT02797431,Placebo Comparator
NCT00389779,Placebo Comparator
NCT04387305,Placebo Comparator
NCT00507936,Placebo Comparator
NCT00609323,Placebo Comparator
NCT00633321,Placebo Comparator
NCT02595073,Placebo Comparator
NCT00593983,Placebo Comparator
NCT00087529,Placebo Comparator
NCT04545320,Placebo Comparator
NCT01638104,Placebo Comparator
NCT01638104,Placebo Comparator
NCT04461353,Placebo Comparator
NCT00330369,Placebo Comparator
NCT02987257,Placebo Comparator
NCT04482699,Placebo Comparator
NCT01261767,Placebo Comparator
NCT02378740,Placebo Comparator
NCT00125138,Placebo Comparator
NCT00732147,Placebo Comparator
NCT02519777,Placebo Comparator
NCT02207517,Placebo Comparator
NCT03500159,Placebo Comparator
NCT03060538,Placebo Comparator
NCT00007631,Placebo Comparator
NCT02564042,Placebo Comparator
NCT04171466,Placebo Comparator
NCT00691587,Placebo Comparator
NCT04009291,Placebo Comparator
NCT04368988,Placebo Comparator
NCT04368988,Placebo Comparator
NCT03209895,Placebo Comparator
NCT04171466,Placebo Comparator
NCT04139928,Placebo Comparator
NCT00472303,Placebo Comparator
NCT00385697,Placebo Comparator
NCT04554966,Placebo Comparator
NCT04554966,Placebo Comparator
NCT00857376,Placebo Comparator
NCT02299726,Placebo Comparator
NCT01694849,Placebo Comparator
NCT03870334,Placebo Comparator
NCT01127282,Placebo Comparator
NCT00866788,Placebo Comparator
NCT00799617,Placebo Comparator
NCT03254199,Placebo Comparator
NCT04324359,Placebo Comparator
NCT01590888,Placebo Comparator
NCT02293655,Placebo Comparator
NCT00356915,Placebo Comparator
NCT01811316,Placebo Comparator
NCT03117998,Placebo Comparator
NCT00683553,Placebo Comparator
NCT00554359,Placebo Comparator
NCT00235729,Placebo Comparator
NCT00031447,Placebo Comparator
NCT03196375,Placebo Comparator
NCT02230332,Placebo Comparator
NCT04351841,Placebo Comparator
NCT00101712,Placebo Comparator
NCT01747447,Placebo Comparator
NCT01296698,Placebo Comparator
NCT00790478,Placebo Comparator
NCT00356200,Placebo Comparator
NCT01960946,Placebo Comparator
NCT00747643,Placebo Comparator
NCT01508676,Placebo Comparator
NCT02660970,Placebo Comparator
NCT02660970,Placebo Comparator
NCT04247087,Placebo Comparator
NCT01993251,Placebo Comparator
NCT02839785,Placebo Comparator
NCT01280968,Placebo Comparator
NCT03501082,Placebo Comparator
NCT03501082,Placebo Comparator
NCT02002403,Placebo Comparator
NCT00798538,Placebo Comparator
NCT01849887,Placebo Comparator
NCT01395784,Placebo Comparator
NCT03818789,Placebo Comparator
NCT03041077,Placebo Comparator
NCT02172040,Placebo Comparator
NCT00298922,Placebo Comparator
NCT01331486,Placebo Comparator
NCT00734539,Placebo Comparator
NCT03349775,Placebo Comparator
NCT02414529,Placebo Comparator
NCT03111810,Placebo Comparator
NCT00940784,Placebo Comparator
NCT04570449,Placebo Comparator
NCT01846182,Placebo Comparator
NCT00588471,Placebo Comparator
NCT00141908,Placebo Comparator
NCT01785004,Placebo Comparator
NCT03908255,Placebo Comparator
NCT03030599,Placebo Comparator
NCT02178410,Placebo Comparator
NCT03106363,Placebo Comparator
NCT00433173,Placebo Comparator
NCT01929564,Placebo Comparator
NCT03785678,Placebo Comparator
NCT01626729,Placebo Comparator
NCT01874951,Placebo Comparator
NCT02270164,Placebo Comparator
NCT00324675,Placebo Comparator
NCT04168203,Placebo Comparator
NCT01351805,Placebo Comparator
NCT04536350,Placebo Comparator
NCT01856205,Placebo Comparator
NCT04040010,Placebo Comparator
NCT04040010,Placebo Comparator
NCT04040010,Placebo Comparator
NCT01724489,Placebo Comparator
NCT04570293,Placebo Comparator
NCT02145949,Placebo Comparator
NCT02723825,Placebo Comparator
NCT02723825,Placebo Comparator
NCT00588692,Placebo Comparator
NCT02429934,Placebo Comparator
NCT01308814,Placebo Comparator
NCT03152409,Placebo Comparator
NCT01038323,Placebo Comparator
NCT00904046,Placebo Comparator
NCT02879006,Placebo Comparator
NCT03811847,Placebo Comparator
