,NCTId,BaselineMeasureDispersionType
9999,NCT03766373,Standard Deviation
3079,NCT00909480,Standard Deviation
7563,NCT01775670,Standard Deviation
2996,NCT00814697,Standard Deviation
7558,NCT03207750,Standard Deviation
3002,NCT00001703,Standard Deviation
7550,NCT01510834,Standard Deviation
7549,NCT02820038,Standard Deviation
3013,NCT01326026,Standard Deviation
3013,NCT01326026,Standard Deviation
3013,NCT01326026,Standard Deviation
7541,NCT01396187,Standard Deviation
3021,NCT01097785,Standard Deviation
3021,NCT01097785,Standard Deviation
3027,NCT00682617,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3033,NCT03058692,Standard Deviation
7519,NCT00513500,Standard Deviation
7505,NCT00337428,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
7565,NCT02246413,Standard Deviation
7565,NCT02246413,Standard Deviation
7565,NCT02246413,Standard Deviation
2934,NCT01047709,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
2915,NCT01680341,Standard Deviation
2915,NCT01680341,Standard Deviation
2915,NCT01680341,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7601,NCT02420353,Standard Deviation
7565,NCT02246413,Standard Deviation
2948,NCT01713530,Standard Deviation
2948,NCT01713530,Standard Deviation
2948,NCT01713530,Standard Deviation
2949,NCT02151877,Standard Deviation
2954,NCT03408483,Standard Deviation
2956,NCT00767039,Standard Deviation
7588,NCT01673178,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
