,NCTId,BaselineMeasureParamType
7109,NCT00349622,Number
3628,NCT00733096,Number
1673,NCT01381016,Number
1680,NCT00973674,Number
4834,NCT01881828,Number
8136,NCT02566317,Number
4521,NCT01768325,Number
1692,NCT02239926,Number
1692,NCT02239926,Number
8138,NCT01184755,Number
1692,NCT02239926,Number
4843,NCT01581307,Number
4516,NCT00527722,Number
1693,NCT01782898,Number
1693,NCT01782898,Number
5941,NCT00633087,Number
3174,NCT01309828,Number
7420,NCT00201006,Number
1698,NCT02742532,Number
4852,NCT03277846,Number
4514,NCT00396162,Number
4514,NCT00396162,Number
7417,NCT01426555,Number
8135,NCT01223404,Number
4533,NCT02972515,Number
7440,NCT02215200,Number
7434,NCT01628718,Number
7437,NCT00823212,Number
1659,NCT01966718,Number
1013,NCT01241513,Number
7437,NCT00823212,Number
7437,NCT00823212,Number
7437,NCT00823212,Number
3821,NCT00796419,Number
7437,NCT00823212,Number
7437,NCT00823212,Number
1009,NCT00243243,Number
1665,NCT00555750,Number
7437,NCT00823212,Number
8128,NCT01460940,Number
7437,NCT00823212,Number
7437,NCT00823212,Number
7437,NCT00823212,Number
1668,NCT01913353,Number
1006,NCT02876575,Number
8132,NCT03599193,Number
4834,NCT01881828,Number
3629,NCT00396318,Number
4860,NCT00317473,Number
8152,NCT01812005,Number
3014,NCT00991185,Number
3209,NCT01719367,Number
4872,NCT00739024,Number
7382,NCT00970944,Number
5836,NCT02081391,Number
1737,NCT01262339,Number
7379,NCT02504931,Number
4492,NCT02140788,Number
7379,NCT02504931,Number
3174,NCT01309828,Number
3210,NCT01428713,Number
3174,NCT01309828,Number
7376,NCT00756600,Number
3594,NCT02026297,Number
7373,NCT01170546,Number
7373,NCT01170546,Number
8186,NCT01343056,Number
1755,NCT00620282,Number
7370,NCT02123251,Number
3174,NCT01309828,Number
8187,NCT02025439,Number
3590,NCT00773279,Number
4477,NCT00716456,Number
3843,NCT03500159,Number
8170,NCT00417976,Number
8170,NCT00417976,Number
4862,NCT01578499,Number
3174,NCT01309828,Number
8155,NCT00389493,Number
1709,NCT01632995,Number
7404,NCT01399099,Number
5952,NCT00480779,Number
7396,NCT01158976,Number
3840,NCT02750930,Number
8160,NCT01401023,Number
4862,NCT01578499,Number
8165,NCT00320749,Number
8170,NCT00417976,Number
8165,NCT00320749,Number
7393,NCT00737893,Number
3603,NCT00727636,Number
5953,NCT01537081,Number
7388,NCT01554891,Number
8170,NCT00417976,Number
8170,NCT00417976,Number
8170,NCT00417976,Number
8170,NCT00417976,Number
4834,NCT01881828,Number
1015,NCT00689260,Number
5824,NCT01387269,Number
4834,NCT01881828,Number
3812,NCT01264887,Number
8051,NCT02251743,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
7519,NCT00513500,Number
8051,NCT02251743,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
7505,NCT00337428,Number
1065,NCT01589978,Number
3638,NCT00608426,Number
7475,NCT01304407,Number
1065,NCT01589978,Number
1065,NCT01589978,Number
1065,NCT01589978,Number
1065,NCT01589978,Number
8063,NCT00604214,Number
3638,NCT00608426,Number
8063,NCT00604214,Number
8063,NCT00604214,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
7540,NCT01143207,Number
3819,NCT00725101,Number
1612,NCT00715026,Number
7565,NCT02246413,Number
2913,NCT01625923,Number
1587,NCT00183872,Number
7564,NCT02753842,Number
7563,NCT01775670,Number
1596,NCT00832871,Number
3644,NCT00518882,Number
1599,NCT00116428,Number
1599,NCT00116428,Number
7550,NCT01510834,Number
5919,NCT01086475,Number
3643,NCT00936897,Number
1605,NCT02142712,Number
3643,NCT00936897,Number
5845,NCT01480219,Number
5841,NCT02796651,Number
7546,NCT02268877,Number
4834,NCT01881828,Number
3812,NCT01264887,Number
1075,NCT00618956,Number
1075,NCT00618956,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
3638,NCT00608426,Number
7449,NCT02878382,Number
3816,NCT00106431,Number
1642,NCT01640171,Number
4543,NCT01864564,Number
8103,NCT01537068,Number
4834,NCT01881828,Number
4543,NCT01864564,Number
4834,NCT01881828,Number
1649,NCT02556112,Number
3819,NCT00725101,Number
1023,NCT02755831,Number
3819,NCT00725101,Number
8106,NCT00302055,Number
1650,NCT01329679,Number
3819,NCT00725101,Number
1650,NCT01329679,Number
8116,NCT02424526,Number
7444,NCT02045511,Number
4834,NCT01881828,Number
3819,NCT00725101,Number
3819,NCT00725101,Number
1641,NCT00585104,Number
7449,NCT02878382,Number
4834,NCT01881828,Number
3002,NCT00001703,Number
3638,NCT00608426,Number
8064,NCT01155830,Number
3637,NCT00336232,Number
8064,NCT01155830,Number
1053,NCT02420041,Number
8064,NCT01155830,Number
4834,NCT01881828,Number
4834,NCT01881828,Number
4834,NCT01881828,Number
8073,NCT02184494,Number
8077,NCT00124943,Number
4834,NCT01881828,Number
4834,NCT01881828,Number
1638,NCT03338803,Number
1638,NCT03338803,Number
4834,NCT01881828,Number
3816,NCT00106431,Number
8077,NCT00124943,Number
4834,NCT01881828,Number
8077,NCT00124943,Number
4905,NCT01803464,Number
3587,NCT00486902,Number
7041,NCT01294150,Number
7160,NCT02638051,Number
8351,NCT01306201,Number
7160,NCT02638051,Number
7160,NCT02638051,Number
7160,NCT02638051,Number
4413,NCT02551666,Number
8353,NCT00704912,Number
3529,NCT01588158,Number
1969,NCT00929071,Number
8353,NCT00704912,Number
7147,NCT01038557,Number
4413,NCT02551666,Number
6061,NCT02240329,Number
3916,NCT00122187,Number
3916,NCT00122187,Number
7131,NCT02330081,Number
4413,NCT02551666,Number
1974,NCT00790803,Number
7131,NCT02330081,Number
7131,NCT02330081,Number
5076,NCT01001221,Number
1984,NCT01999322,Number
7160,NCT02638051,Number
5800,NCT00694551,Number
3902,NCT02213198,Number
3909,NCT00384397,Number
2864,NCT00736190,Number
2864,NCT00736190,Number
7241,NCT01024569,Number
6054,NCT02378025,Number
5562,NCT01611194,Number
7240,NCT02191267,Number
2863,NCT00440232,Number
5043,NCT00901459,Number
3169,NCT00711490,Number
7177,NCT00990106,Number
5059,NCT00356200,Number
8333,NCT01928719,Number
7167,NCT02153346,Number
7167,NCT02153346,Number
7167,NCT02153346,Number
1954,NCT00714168,Number
7167,NCT02153346,Number
7167,NCT02153346,Number
5061,NCT00747643,Number
1959,NCT02748889,Number
4430,NCT02930226,Number
7109,NCT00349622,Number
7109,NCT00349622,Number
7109,NCT00349622,Number
1987,NCT00599014,Number
3062,NCT00283283,Number
5779,NCT00721149,Number
5779,NCT00721149,Number
2002,NCT01705288,Number
2005,NCT01750294,Number
3516,NCT00396253,Number
3515,NCT01491607,Number
7069,NCT00393874,Number
8403,NCT00458211,Number
3515,NCT01491607,Number
2011,NCT02500836,Number
7066,NCT00633009,Number
8408,NCT01324999,Number
2849,NCT01202994,Number
2018,NCT01011634,Number
2018,NCT01011634,Number
2019,NCT01699022,Number
7058,NCT01227005,Number
6069,NCT02019927,Number
7046,NCT02115607,Number
2023,NCT02161458,Number
7072,NCT01199380,Number
8397,NCT02037568,Number
3927,NCT03354663,Number
1991,NCT00819013,Number
1351,NCT00505414,Number
4412,NCT02546388,Number
5076,NCT01001221,Number
3523,NCT00280826,Number
8381,NCT00938782,Number
5076,NCT01001221,Number
7107,NCT00134784,Number
3922,NCT00926796,Number
5794,NCT01378065,Number
5076,NCT01001221,Number
7079,NCT00955201,Number
5076,NCT01001221,Number
7080,NCT01505764,Number
3062,NCT00283283,Number
4407,NCT02170532,Number
1995,NCT03311646,Number
5779,NCT00721149,Number
4407,NCT02170532,Number
8390,NCT00496483,Number
5090,NCT00313144,Number
8332,NCT01928758,Number
1912,NCT02052544,Number
4929,NCT00422799,Number
4454,NCT00657917,Number
3868,NCT01904604,Number
1838,NCT00350337,Number
5821,NCT01387282,Number
3174,NCT01309828,Number
4453,NCT00678652,Number
8251,NCT01649947,Number
3174,NCT01309828,Number
8255,NCT01100268,Number
7325,NCT01838863,Number
4451,NCT00884377,Number
8259,NCT00514449,Number
7322,NCT01208870,Number
7317,NCT00822692,Number
8260,NCT00515177,Number
3569,NCT00847288,Number
5562,NCT01611194,Number
4991,NCT01174173,Number
4450,NCT00984256,Number
5820,NCT01395914,Number
7305,NCT01670825,Number
3877,NCT02173379,Number
8238,NCT00784849,Number
3174,NCT01309828,Number
1912,NCT02052544,Number
8235,NCT00676793,Number
4460,NCT00248833,Number
3586,NCT00396032,Number
3026,NCT00183963,Number
8215,NCT02147613,Number
4932,NCT00588471,Number
1774,NCT01329939,Number
8227,NCT02257099,Number
1774,NCT01329939,Number
8228,NCT00879996,Number
8231,NCT02255357,Number
1776,NCT00531661,Number
4964,NCT00672204,Number
7347,NCT02877680,Number
5566,NCT00473642,Number
7341,NCT01996826,Number
4455,NCT00415051,Number
3575,NCT00846573,Number
1808,NCT01520038,Number
1817,NCT03301298,Number
8234,NCT00176462,Number
7326,NCT01556581,Number
4449,NCT01140191,Number
1873,NCT01591408,Number
3173,NCT00995488,Number
3565,NCT01566500,Number
5812,NCT03111550,Number
4432,NCT02445963,Number
8324,NCT01506323,Number
7258,NCT02010684,Number
8325,NCT00760474,Number
3042,NCT00208026,Number
2864,NCT00736190,Number
3171,NCT00654615,Number
8329,NCT00418314,Number
7246,NCT01750268,Number
1908,NCT00118898,Number
8330,NCT00767806,Number
8330,NCT00767806,Number
8330,NCT00767806,Number
1908,NCT00118898,Number
1908,NCT00118898,Number
2864,NCT00736190,Number
1909,NCT01149759,Number
1910,NCT01545232,Number
3548,NCT02158884,Number
5019,NCT00324675,Number
3896,NCT00523978,Number
4434,NCT02067676,Number
8303,NCT00026221,Number
3173,NCT00995488,Number
3173,NCT00995488,Number
4442,NCT01644565,Number
5819,NCT00651794,Number
2864,NCT00736190,Number
5819,NCT00651794,Number
8280,NCT01910402,Number
4442,NCT01644565,Number
4440,NCT01666652,Number
3033,NCT03058692,Number
5818,NCT01272284,Number
1899,NCT03118297,Number
3173,NCT00995488,Number
7292,NCT01529034,Number
2864,NCT00736190,Number
4437,NCT01877421,Number
1890,NCT00366301,Number
2864,NCT00736190,Number
3173,NCT00995488,Number
5812,NCT03111550,Number
1894,NCT01339390,Number
1084,NCT01720277,Number
7573,NCT01824589,Number
7573,NCT01824589,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
7798,NCT00256750,Number
7797,NCT00198822,Number
4710,NCT02829918,Number
7915,NCT00956813,Number
3712,NCT01272232,Number
2962,NCT00463060,Number
1426,NCT00584844,Number
2962,NCT00463060,Number
2962,NCT00463060,Number
2962,NCT00463060,Number
4704,NCT02244957,Number
7797,NCT00198822,Number
1427,NCT00584805,Number
5889,NCT01477710,Number
5890,NCT01477450,Number
1254,NCT01605669,Number
2949,NCT02151877,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
7804,NCT00860470,Number
7913,NCT00719563,Number
1421,NCT02394457,Number
1421,NCT02394457,Number
1421,NCT02394457,Number
4752,NCT01191411,Number
1287,NCT00220779,Number
7804,NCT00860470,Number
7804,NCT00860470,Number
7798,NCT00256750,Number
7899,NCT00272779,Number
4752,NCT01191411,Number
1423,NCT01422889,Number
1283,NCT02223338,Number
2962,NCT00463060,Number
1423,NCT01422889,Number
7910,NCT01856673,Number
1423,NCT01422889,Number
1423,NCT01422889,Number
4722,NCT02094898,Number
2962,NCT00463060,Number
7913,NCT00719563,Number
7913,NCT00719563,Number
1428,NCT00584454,Number
7790,NCT01770743,Number
1429,NCT00584194,Number
7926,NCT00265850,Number
7932,NCT01316055,Number
5870,NCT01105091,Number
1452,NCT00997503,Number
4670,NCT01332500,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
7938,NCT00869206,Number
1452,NCT00997503,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
1213,NCT03310580,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
7941,NCT00110084,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
4671,NCT01077596,Number
1452,NCT00997503,Number
5870,NCT01105091,Number
7774,NCT00727506,Number
3710,NCT00312845,Number
1433,NCT01264952,Number
4693,NCT02258256,Number
5891,NCT00811954,Number
5873,NCT01435512,Number
1444,NCT00809445,Number
1444,NCT00809445,Number
4673,NCT01107379,Number
4673,NCT01107379,Number
7774,NCT00727506,Number
4671,NCT01077596,Number
7772,NCT02221869,Number
4672,NCT00486811,Number
3187,NCT01553318,Number
1235,NCT00723008,Number
3703,NCT00395876,Number
4672,NCT00486811,Number
3702,NCT01980485,Number
7764,NCT01138917,Number
1452,NCT00997503,Number
1421,NCT02394457,Number
7804,NCT00860470,Number
5917,NCT01205646,Number
1360,NCT00191282,Number
1360,NCT00191282,Number
7828,NCT01374906,Number
4764,NCT01843751,Number
4782,NCT03333876,Number
3719,NCT00528840,Number
7851,NCT00956631,Number
3719,NCT00528840,Number
1330,NCT00490841,Number
2954,NCT03408483,Number
7823,NCT01085136,Number
7852,NCT01313208,Number
1373,NCT00414011,Number
1328,NCT00657618,Number
7852,NCT01313208,Number
1328,NCT00657618,Number
1328,NCT00657618,Number
7823,NCT01085136,Number
3729,NCT02191137,Number
7823,NCT01085136,Number
7823,NCT01085136,Number
1325,NCT00662012,Number
1336,NCT01992185,Number
3188,NCT01088438,Number
7804,NCT00860470,Number
1337,NCT01916629,Number
7836,NCT02143973,Number
2956,NCT00767039,Number
1349,NCT01992172,Number
1349,NCT01992172,Number
7833,NCT01775995,Number
1349,NCT01992172,Number
1348,NCT00001723,Number
5885,NCT01988402,Number
3721,NCT01444911,Number
4772,NCT00624585,Number
3721,NCT01444911,Number
3721,NCT01444911,Number
5885,NCT01988402,Number
5885,NCT01988402,Number
3727,NCT00528606,Number
3727,NCT00528606,Number
7845,NCT02143648,Number
7830,NCT00415168,Number
7830,NCT00415168,Number
1358,NCT01857973,Number
7830,NCT00415168,Number
1376,NCT00299741,Number
4787,NCT00858403,Number
7822,NCT00094302,Number
7822,NCT00094302,Number
7868,NCT00337467,Number
7868,NCT00337467,Number
7812,NCT01102972,Number
7812,NCT01102972,Number
7812,NCT01102972,Number
1405,NCT02496221,Number
7810,NCT03136484,Number
3712,NCT01272232,Number
3712,NCT01272232,Number
7871,NCT00248040,Number
7809,NCT01495923,Number
3731,NCT01786993,Number
3731,NCT01786993,Number
3731,NCT01786993,Number
3712,NCT01272232,Number
7807,NCT01848184,Number
3731,NCT01786993,Number
7874,NCT01906515,Number
7804,NCT00860470,Number
1294,NCT00220740,Number
3731,NCT01786993,Number
7868,NCT00337467,Number
1403,NCT00006604,Number
3730,NCT00459316,Number
7813,NCT02216123,Number
1381,NCT01240902,Number
1381,NCT01240902,Number
7855,NCT00773734,Number
3714,NCT00294723,Number
3714,NCT00294723,Number
7819,NCT00742859,Number
1316,NCT02207608,Number
4787,NCT00858403,Number
3730,NCT00459316,Number
3730,NCT00459316,Number
1309,NCT00263887,Number
4807,NCT02359045,Number
7812,NCT01102972,Number
7812,NCT01102972,Number
1312,NCT00220805,Number
3730,NCT00459316,Number
3730,NCT00459316,Number
7867,NCT00933270,Number
7812,NCT01102972,Number
1309,NCT00263887,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
7945,NCT01439945,Number
7648,NCT00790790,Number
4566,NCT02379221,Number
7647,NCT00785577,Number
5904,NCT02307916,Number
3674,NCT00613730,Number
7643,NCT00386100,Number
7642,NCT00676143,Number
5862,NCT01247974,Number
5602,NCT01134510,Number
1132,NCT00291551,Number
5862,NCT01247974,Number
5846,NCT00291161,Number
7641,NCT00667810,Number
1522,NCT00159432,Number
5846,NCT00291161,Number
8004,NCT01437852,Number
3669,NCT01951417,Number
7631,NCT00622401,Number
8006,NCT01839708,Number
3806,NCT00578812,Number
3806,NCT00578812,Number
1530,NCT00844532,Number
7647,NCT00785577,Number
7648,NCT00790790,Number
1452,NCT00997503,Number
4591,NCT01001325,Number
7992,NCT00369785,Number
1155,NCT00996372,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
1154,NCT04018001,Number
3679,NCT00084136,Number
1491,NCT02223065,Number
1498,NCT01494350,Number
7649,NCT01390220,Number
3679,NCT00084136,Number
3198,NCT01005732,Number
4601,NCT01344616,Number
5865,NCT03157531,Number
4601,NCT01344616,Number
3679,NCT00084136,Number
1501,NCT01148563,Number
1141,NCT00414518,Number
3669,NCT01951417,Number
5913,NCT01458561,Number
7622,NCT02202031,Number
5913,NCT01458561,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
1558,NCT00733512,Number
1558,NCT00733512,Number
3662,NCT00787566,Number
1562,NCT02016482,Number
5916,NCT01239680,Number
5916,NCT01239680,Number
3811,NCT01823341,Number
1091,NCT02817841,Number
1568,NCT02209259,Number
3811,NCT01823341,Number
3656,NCT01668667,Number
8042,NCT01109576,Number
1574,NCT01557868,Number
1574,NCT01557868,Number
7577,NCT00431847,Number
7577,NCT00431847,Number
1086,NCT00936715,Number
1086,NCT00936715,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
8023,NCT00742781,Number
1121,NCT01419769,Number
7617,NCT00140140,Number
7617,NCT00140140,Number
3807,NCT00551200,Number
7617,NCT00140140,Number
1553,NCT02228967,Number
7617,NCT00140140,Number
5913,NCT01458561,Number
2996,NCT00814697,Number
7617,NCT00140140,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
3664,NCT01261325,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
8027,NCT01515072,Number
1107,NCT01260324,Number
1107,NCT01260324,Number
8027,NCT01515072,Number
1107,NCT01260324,Number
1155,NCT00996372,Number
3789,NCT01591681,Number
1491,NCT02223065,Number
1456,NCT03400475,Number
1452,NCT00997503,Number
1196,NCT00996164,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
7964,NCT00040937,Number
1452,NCT00997503,Number
4644,NCT02601625,Number
1452,NCT00997503,Number
1191,NCT01498640,Number
1452,NCT00997503,Number
4642,NCT01084239,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1190,NCT01157897,Number
1452,NCT00997503,Number
7976,NCT00880191,Number
1452,NCT00997503,Number
3700,NCT00729937,Number
7976,NCT00880191,Number
4653,NCT01786109,Number
1452,NCT00997503,Number
1199,NCT00444457,Number
1452,NCT00997503,Number
1207,NCT02458092,Number
1452,NCT00997503,Number
7946,NCT01376349,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
7947,NCT01091454,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
7949,NCT00489411,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
5869,NCT01829997,Number
7952,NCT00124618,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
3765,NCT01338506,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1452,NCT00997503,Number
1188,NCT01333488,Number
5894,NCT02253654,Number
1158,NCT00639418,Number
7739,NCT00470158,Number
4631,NCT01700517,Number
7666,NCT02298361,Number
1479,NCT01858428,Number
1479,NCT01858428,Number
7666,NCT02298361,Number
3681,NCT01411891,Number
7986,NCT00748098,Number
1486,NCT02424383,Number
1486,NCT02424383,Number
7990,NCT00122447,Number
1486,NCT02424383,Number
4604,NCT00908830,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
7991,NCT00872989,Number
3679,NCT00084136,Number
7659,NCT01999868,Number
2934,NCT01047709,Number
7690,NCT00571038,Number
1475,NCT00290147,Number
7711,NCT02843178,Number
7977,NCT00776100,Number
5894,NCT02253654,Number
3777,NCT00486018,Number
1185,NCT00761631,Number
7979,NCT00217620,Number
7979,NCT00217620,Number
7979,NCT00217620,Number
4640,NCT01511939,Number
7713,NCT01569191,Number
2940,NCT02834624,Number
3684,NCT00684021,Number
5604,NCT00401414,Number
7706,NCT01746264,Number
1471,NCT01088503,Number
3778,NCT00485836,Number
3198,NCT01005732,Number
4640,NCT01511939,Number
1471,NCT01088503,Number
5898,NCT00951171,Number
1473,NCT02140762,Number
5110,NCT01280968,Number
1351,NCT00505414,Number
5125,NCT01155869,Number
8848,NCT01033942,Number
8844,NCT00859053,Number
6391,NCT01355679,Number
5382,NCT00741091,Number
2500,NCT01453894,Number
4063,NCT00180479,Number
2500,NCT01453894,Number
8848,NCT01033942,Number
8848,NCT01033942,Number
8848,NCT01033942,Number
8848,NCT01033942,Number
8848,NCT01033942,Number
8851,NCT01835223,Number
4063,NCT00180479,Number
2500,NCT01453894,Number
4063,NCT00180479,Number
5688,NCT00302042,Number
5501,NCT00498355,Number
8850,NCT01435603,Number
5388,NCT01617083,Number
2508,NCT02129608,Number
4065,NCT01714323,Number
6372,NCT00996281,Number
8843,NCT00400803,Number
3350,NCT01096771,Number
4062,NCT02230332,Number
8835,NCT00624520,Number
2482,NCT02703909,Number
8813,NCT01671332,Number
8813,NCT01671332,Number
3356,NCT01917812,Number
4061,NCT00835120,Number
6405,NCT01083654,Number
6404,NCT01491919,Number
4061,NCT00835120,Number
2486,NCT00203996,Number
4061,NCT00835120,Number
8820,NCT01330420,Number
6404,NCT01491919,Number
4061,NCT00835120,Number
4061,NCT00835120,Number
4061,NCT00835120,Number
4061,NCT00835120,Number
2489,NCT01514279,Number
4061,NCT00835120,Number
6140,NCT00870545,Number
5370,NCT02201212,Number
3351,NCT00394329,Number
8851,NCT01835223,Number
6372,NCT00996281,Number
6286,NCT02156271,Number
2534,NCT01142908,Number
5499,NCT01677195,Number
8893,NCT01664624,Number
8893,NCT01664624,Number
8893,NCT01664624,Number
8893,NCT01664624,Number
6352,NCT02626611,Number
2531,NCT01222585,Number
8893,NCT01664624,Number
6147,NCT00763009,Number
2534,NCT01142908,Number
2538,NCT01015820,Number
2510,NCT01744821,Number
6329,NCT02755285,Number
3338,NCT02290106,Number
6323,NCT00005879,Number
3268,NCT00837161,Number
135,NCT01369030,Number
135,NCT01369030,Number
6304,NCT02388880,Number
4179,NCT00959764,Number
5709,NCT00326495,Number
6149,NCT00749203,Number
5398,NCT00814502,Number
6364,NCT00518323,Number
8871,NCT01137006,Number
150,NCT01028300,Number
8859,NCT01045421,Number
6372,NCT00996281,Number
8859,NCT01045421,Number
8859,NCT01045421,Number
8859,NCT01045421,Number
8859,NCT01045421,Number
8859,NCT01045421,Number
8866,NCT01104701,Number
6372,NCT00996281,Number
8866,NCT01104701,Number
8866,NCT01104701,Number
6372,NCT00996281,Number
8866,NCT01104701,Number
154,NCT01112917,Number
6372,NCT00996281,Number
6372,NCT00996281,Number
6372,NCT00996281,Number
6372,NCT00996281,Number
6372,NCT00996281,Number
5692,NCT00101868,Number
2523,NCT00499746,Number
8813,NCT01671332,Number
6407,NCT00108862,Number
6407,NCT00108862,Number
5315,NCT00588692,Number
2390,NCT00680706,Number
6517,NCT02207803,Number
2393,NCT02219321,Number
5315,NCT00588692,Number
2394,NCT02828111,Number
5315,NCT00588692,Number
4042,NCT02924051,Number
6075,NCT01847469,Number
6516,NCT01853384,Number
6504,NCT00840658,Number
3118,NCT01785615,Number
6407,NCT00108862,Number
8765,NCT00280748,Number
6502,NCT01787175,Number
2404,NCT00675506,Number
5533,NCT00223080,Number
6119,NCT01305811,Number
5317,NCT01308814,Number
5533,NCT00223080,Number
2410,NCT00267631,Number
6490,NCT02508480,Number
3119,NCT02299427,Number
2389,NCT01396044,Number
2388,NCT00528931,Number
2388,NCT00528931,Number
5296,NCT00298155,Number
8733,NCT00831766,Number
4037,NCT00039741,Number
