,NCTId,CollaboratorClass
8471,NCT01258244,UNKNOWN
7498,NCT01033513,UNKNOWN
1572,NCT01618591,UNKNOWN
7391,NCT04094298,UNKNOWN
7584,NCT04046965,UNKNOWN
7392,NCT01611350,UNKNOWN
4472,NCT04211077,UNKNOWN
7392,NCT01611350,UNKNOWN
1572,NCT01618591,UNKNOWN
9159,NCT04451382,UNKNOWN
4909,NCT03419728,UNKNOWN
7719,NCT00201929,UNKNOWN
4178,NCT04536298,UNKNOWN
4178,NCT04536298,UNKNOWN
1572,NCT01618591,UNKNOWN
4178,NCT04536298,UNKNOWN
4177,NCT03352115,UNKNOWN
2472,NCT03313271,UNKNOWN
2472,NCT03313271,UNKNOWN
3493,NCT03231592,UNKNOWN
9540,NCT04098744,UNKNOWN
2472,NCT03313271,UNKNOWN
4178,NCT04536298,UNKNOWN
4466,NCT04395781,UNKNOWN
4466,NCT04395781,UNKNOWN
9535,NCT04104191,UNKNOWN
1832,NCT01150279,UNKNOWN
1832,NCT01150279,UNKNOWN
1832,NCT01150279,UNKNOWN
8200,NCT00542113,UNKNOWN
9555,NCT04090528,UNKNOWN
9556,NCT04090359,UNKNOWN
4099,NCT02512926,UNKNOWN
3513,NCT03560271,UNKNOWN
4919,NCT03554785,UNKNOWN
8874,NCT01216891,UNKNOWN
3525,NCT03455530,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
4694,NCT00816426,UNKNOWN
9014,NCT04579926,UNKNOWN
4164,NCT03499860,UNKNOWN
7908,NCT03271307,UNKNOWN
7907,NCT03455127,UNKNOWN
7907,NCT03455127,UNKNOWN
6603,NCT01171638,UNKNOWN
9158,NCT04452201,UNKNOWN
5334,NCT03646084,UNKNOWN
9158,NCT04452201,UNKNOWN
8882,NCT01882010,UNKNOWN
3508,NCT00119574,UNKNOWN
8882,NCT01882010,UNKNOWN
4694,NCT00816426,UNKNOWN
9562,NCT04087213,UNKNOWN
7584,NCT04046965,UNKNOWN
5334,NCT03646084,UNKNOWN
7584,NCT04046965,UNKNOWN
5334,NCT03646084,UNKNOWN
9560,NCT04088175,UNKNOWN
9559,NCT04088357,UNKNOWN
1844,NCT03775954,UNKNOWN
7400,NCT03395028,UNKNOWN
8200,NCT00542113,UNKNOWN
6551,NCT03409575,UNKNOWN
8220,NCT00126152,UNKNOWN
7905,NCT04034381,UNKNOWN
8640,NCT00766051,UNKNOWN
3454,NCT00137696,UNKNOWN
8898,NCT04004325,UNKNOWN
2491,NCT03702283,UNKNOWN
7904,NCT04119375,UNKNOWN
8218,NCT03065426,UNKNOWN
7627,NCT04242160,UNKNOWN
8640,NCT00766051,UNKNOWN
4466,NCT04395781,UNKNOWN
4466,NCT04395781,UNKNOWN
4466,NCT04395781,UNKNOWN
4885,NCT03971227,UNKNOWN
6504,NCT00840658,UNKNOWN
6550,NCT04495686,UNKNOWN
7904,NCT04119375,UNKNOWN
9010,NCT04581603,UNKNOWN
8220,NCT00126152,UNKNOWN
9476,NCT04162145,UNKNOWN
7903,NCT04216030,UNKNOWN
7627,NCT04242160,UNKNOWN
6497,NCT03259646,UNKNOWN
9472,NCT04166591,UNKNOWN
7724,NCT00829114,UNKNOWN
7903,NCT04216030,UNKNOWN
5867,NCT04227405,UNKNOWN
5867,NCT04227405,UNKNOWN
5867,NCT04227405,UNKNOWN
7627,NCT04242160,UNKNOWN
8214,NCT03557294,UNKNOWN
7722,NCT04115813,UNKNOWN
8213,NCT01880372,UNKNOWN
9528,NCT04110236,UNKNOWN
7400,NCT03395028,UNKNOWN
6548,NCT02889640,UNKNOWN
6548,NCT02889640,UNKNOWN
1832,NCT01150279,UNKNOWN
4901,NCT03969264,UNKNOWN
6548,NCT02889640,UNKNOWN
8203,NCT03865758,UNKNOWN
2477,NCT03702270,UNKNOWN
7767,NCT02050165,UNKNOWN
6547,NCT03539315,UNKNOWN
4185,NCT02197689,UNKNOWN
6547,NCT03539315,UNKNOWN
8398,NCT02706964,UNKNOWN
4185,NCT02197689,UNKNOWN
9161,NCT04448834,UNKNOWN
7409,NCT03168776,UNKNOWN
7766,NCT03441867,UNKNOWN
6520,NCT03867812,UNKNOWN
7720,NCT04244799,UNKNOWN
4186,NCT04357730,UNKNOWN
9502,NCT04131647,UNKNOWN
8393,NCT02808598,UNKNOWN
9500,NCT04132869,UNKNOWN
4186,NCT04357730,UNKNOWN
9497,NCT04134884,UNKNOWN
7905,NCT04034381,UNKNOWN
4919,NCT03554785,UNKNOWN
4487,NCT03352479,UNKNOWN
8873,NCT00759746,UNKNOWN
4939,NCT03030508,UNKNOWN
7708,NCT00859716,UNKNOWN
9673,NCT04002440,UNKNOWN
4950,NCT01722474,UNKNOWN
7911,NCT01072279,UNKNOWN
7910,NCT01856673,UNKNOWN
1552,NCT02911285,UNKNOWN
1269,NCT04111263,UNKNOWN
3591,NCT04043130,UNKNOWN
3591,NCT04043130,UNKNOWN
8863,NCT02926677,UNKNOWN
8510,NCT04473729,UNKNOWN
4947,NCT03908255,UNKNOWN
6683,NCT02987543,UNKNOWN
6674,NCT02435459,UNKNOWN
6662,NCT03394703,UNKNOWN
4140,NCT02354482,UNKNOWN
4140,NCT02354482,UNKNOWN
9140,NCT04471207,UNKNOWN
7507,NCT04096521,UNKNOWN
6668,NCT01768546,UNKNOWN
9142,NCT04469530,UNKNOWN
6668,NCT01768546,UNKNOWN
7370,NCT02123251,UNKNOWN
9649,NCT04021602,UNKNOWN
9649,NCT04021602,UNKNOWN
3579,NCT03253783,UNKNOWN
9143,NCT04467723,UNKNOWN
6662,NCT03394703,UNKNOWN
7911,NCT01072279,UNKNOWN
1270,NCT01890850,UNKNOWN
7817,NCT03376633,UNKNOWN
9021,NCT04575090,UNKNOWN
6750,NCT01711411,UNKNOWN
8857,NCT03454022,UNKNOWN
6749,NCT01844102,UNKNOWN
7769,NCT00876889,UNKNOWN
4113,NCT04368988,UNKNOWN
2765,NCT04135443,UNKNOWN
4499,NCT02398942,UNKNOWN
9131,NCT04479943,UNKNOWN
8510,NCT04473729,UNKNOWN
2763,NCT01059487,UNKNOWN
9131,NCT04479943,UNKNOWN
7581,NCT03705377,UNKNOWN
7581,NCT03705377,UNKNOWN
7919,NCT02463968,UNKNOWN
1930,NCT02863081,UNKNOWN
9697,NCT03985423,UNKNOWN
4682,NCT04044261,UNKNOWN
7705,NCT04377412,UNKNOWN
7637,NCT00073853,UNKNOWN
7705,NCT04377412,UNKNOWN
1277,NCT01714479,UNKNOWN
9021,NCT04575090,UNKNOWN
2389,NCT01396044,UNKNOWN
7919,NCT02463968,UNKNOWN
9021,NCT04575090,UNKNOWN
9682,NCT03999684,UNKNOWN
9682,NCT03999684,UNKNOWN
6662,NCT03394703,UNKNOWN
6662,NCT03394703,UNKNOWN
2440,NCT02289313,UNKNOWN
4919,NCT03554785,UNKNOWN
6633,NCT01630980,UNKNOWN
1565,NCT04253743,UNKNOWN
5305,NCT04212962,UNKNOWN
1884,NCT00942695,UNKNOWN
5305,NCT04212962,UNKNOWN
7817,NCT03376633,UNKNOWN
5305,NCT04212962,UNKNOWN
5305,NCT04212962,UNKNOWN
4921,NCT02433210,UNKNOWN
4149,NCT04477304,UNKNOWN
2433,NCT03379558,UNKNOWN
7909,NCT03064620,UNKNOWN
6623,NCT02132793,UNKNOWN
2435,NCT04575168,UNKNOWN
6662,NCT03394703,UNKNOWN
5308,NCT02145949,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
4919,NCT03554785,UNKNOWN
9595,NCT04058145,UNKNOWN
7379,NCT02504931,UNKNOWN
6616,NCT03250156,UNKNOWN
4919,NCT03554785,UNKNOWN
9593,NCT04059107,UNKNOWN
5313,NCT04562948,UNKNOWN
9591,NCT04060849,UNKNOWN
9613,NCT04048590,UNKNOWN
5304,NCT03887390,UNKNOWN
6634,NCT03551483,UNKNOWN
5304,NCT03887390,UNKNOWN
4140,NCT02354482,UNKNOWN
4140,NCT02354482,UNKNOWN
9639,NCT04027010,UNKNOWN
9639,NCT04027010,UNKNOWN
9637,NCT04033081,UNKNOWN
4141,NCT00164658,UNKNOWN
7504,NCT00272220,UNKNOWN
1563,NCT04316819,UNKNOWN
7817,NCT03376633,UNKNOWN
9635,NCT04036396,UNKNOWN
5827,NCT04181034,UNKNOWN
7712,NCT01910493,UNKNOWN
1894,NCT01339390,UNKNOWN
5827,NCT04181034,UNKNOWN
1894,NCT01339390,UNKNOWN
9627,NCT04038840,UNKNOWN
1894,NCT01339390,UNKNOWN
5828,NCT03411577,UNKNOWN
7714,NCT04133766,UNKNOWN
1250,NCT02105753,UNKNOWN
1564,NCT04283344,UNKNOWN
9150,NCT04462770,UNKNOWN
7376,NCT00756600,UNKNOWN
1891,NCT03480854,UNKNOWN
1891,NCT03480854,UNKNOWN
1891,NCT03480854,UNKNOWN
7817,NCT03376633,UNKNOWN
7627,NCT04242160,UNKNOWN
6493,NCT01045564,UNKNOWN
3427,NCT02833922,UNKNOWN
9287,NCT04323176,UNKNOWN
8318,NCT04362189,UNKNOWN
2597,NCT03066999,UNKNOWN
9196,NCT04404855,UNKNOWN
4730,NCT03366363,UNKNOWN
9198,NCT04403737,UNKNOWN
7741,NCT00136370,UNKNOWN
8953,NCT04606966,UNKNOWN
8953,NCT04606966,UNKNOWN
3249,NCT04067804,UNKNOWN
3249,NCT04067804,UNKNOWN
7486,NCT03366454,UNKNOWN
7457,NCT02791945,UNKNOWN
8956,NCT03611660,UNKNOWN
7612,NCT04366284,UNKNOWN
6305,NCT03494738,UNKNOWN
7612,NCT04366284,UNKNOWN
7758,NCT02944149,UNKNOWN
1688,NCT03947593,UNKNOWN
9281,NCT04330391,UNKNOWN
7758,NCT02944149,UNKNOWN
2606,NCT03824093,UNKNOWN
7458,NCT01672710,UNKNOWN
5938,NCT02319967,UNKNOWN
5938,NCT02319967,UNKNOWN
5938,NCT02319967,UNKNOWN
3232,NCT04502212,UNKNOWN
3231,NCT03278990,UNKNOWN
3231,NCT03278990,UNKNOWN
5931,NCT01213914,UNKNOWN
3258,NCT04442152,UNKNOWN
3258,NCT04442152,UNKNOWN
3259,NCT02694627,UNKNOWN
9333,NCT04288752,UNKNOWN
4304,NCT03945162,UNKNOWN
4308,NCT04597437,UNKNOWN
2581,NCT03925038,UNKNOWN
9327,NCT04294004,UNKNOWN
4308,NCT04597437,UNKNOWN
8309,NCT04188106,UNKNOWN
6375,NCT02752672,UNKNOWN
1610,NCT03593356,UNKNOWN
4308,NCT04597437,UNKNOWN
9323,NCT04295135,UNKNOWN
1144,NCT04026321,UNKNOWN
1144,NCT04026321,UNKNOWN
4409,NCT02430792,UNKNOWN
8365,NCT00947206,UNKNOWN
2703,NCT03826290,UNKNOWN
5421,NCT03590509,UNKNOWN
7759,NCT03971435,UNKNOWN
7759,NCT03971435,UNKNOWN
7758,NCT02944149,UNKNOWN
6355,NCT04156919,UNKNOWN
4811,NCT04294342,UNKNOWN
1702,NCT04201028,UNKNOWN
3262,NCT03077945,UNKNOWN
8953,NCT04606966,UNKNOWN
8317,NCT03717233,UNKNOWN
8318,NCT04362189,UNKNOWN
3231,NCT03278990,UNKNOWN
7861,NCT03862963,UNKNOWN
6385,NCT01100658,UNKNOWN
4396,NCT00662571,UNKNOWN
8350,NCT02558855,UNKNOWN
8570,NCT02133846,UNKNOWN
1644,NCT02188329,UNKNOWN
2645,NCT01228214,UNKNOWN
