,NCTId,ConditionBrowseBranchAbbrev
3758,NCT03421626,Rare
9217,NCT04383938,Rare
7694,NCT02910934,Rare
5090,NCT00313144,Rare
9219,NCT04382391,Rare
5082,NCT04300699,Rare
5078,NCT00344071,Rare
1701,NCT01950572,Rare
5075,NCT03662412,Rare
5070,NCT00138411,Rare
5068,NCT01508676,Rare
1707,NCT00160472,Rare
9536,NCT04103931,Rare
7705,NCT04377412,Rare
1708,NCT04417673,Rare
5064,NCT00173537,Rare
5063,NCT03411057,Rare
9215,NCT04386057,Rare
7707,NCT03198754,Rare
5055,NCT01591928,Rare
5054,NCT00298922,Rare
5051,NCT01059240,Rare
1691,NCT02568202,Rare
9222,NCT04379843,Rare
5104,NCT00792155,Rare
7688,NCT01942746,Rare
5145,NCT01263418,Rare
1674,NCT03621826,Rare
5139,NCT00230568,Rare
5138,NCT04287361,Rare
1675,NCT02005198,Rare
5136,NCT01286038,Rare
1676,NCT03264131,Rare
7678,NCT01968590,Rare
9227,NCT04378075,Rare
1677,NCT00432510,Rare
5130,NCT03009045,Rare
1679,NCT00976833,Rare
5126,NCT01367977,Rare
7683,NCT03935282,Rare
7685,NCT03478553,Rare
7686,NCT01067287,Rare
5109,NCT02839785,Rare
1687,NCT01401244,Rare
5107,NCT00901173,Rare
5050,NCT00342472,Rare
1717,NCT00104455,Rare
5047,NCT01500083,Rare
4989,NCT04071327,Rare
1748,NCT00931476,Rare
4983,NCT02720484,Rare
1749,NCT01988532,Rare
4974,NCT02747732,Rare
1751,NCT03576755,Rare
7747,NCT01624337,Rare
9201,NCT04400903,Rare
1753,NCT01111201,Rare
4967,NCT00793390,Rare
9199,NCT04401527,Rare
4958,NCT00847756,Rare
4954,NCT02299115,Rare
4953,NCT00817947,Rare
4952,NCT03030599,Rare
4951,NCT04055688,Rare
1765,NCT00056589,Rare
9197,NCT04404530,Rare
4949,NCT01479582,Rare
4948,NCT03426891,Rare
1746,NCT01772602,Rare
4991,NCT01174173,Rare
1719,NCT01464099,Rare
7738,NCT00707785,Rare
1721,NCT03336567,Rare
5038,NCT02036502,Rare
9208,NCT04391179,Rare
5033,NCT01573494,Rare
9207,NCT04392232,Rare
1729,NCT03248141,Rare
5023,NCT02494687,Rare
1730,NCT01511393,Rare
5018,NCT01221506,Rare
1731,NCT01497600,Rare
9205,NCT04393155,Rare
7728,NCT03916796,Rare
5009,NCT00491660,Rare
1736,NCT02186626,Rare
1738,NCT03642691,Rare
9204,NCT04398368,Rare
7734,NCT02847962,Rare
1740,NCT04349072,Rare
9203,NCT04398745,Rare
7669,NCT04377581,Rare
5148,NCT00183989,Rare
1670,NCT03789721,Rare
9265,NCT04342663,Rare
5307,NCT04570293,Rare
9263,NCT04342728,Rare
7603,NCT01287104,Rare
7604,NCT03357224,Rare
5291,NCT03050814,Rare
