,NCTId,ConditionBrowseLeafId
9759,NCT03933904,T995
8458,NCT02399215,T950
8409,NCT01253161,T950
8149,NCT00017199,T950
9811,NCT03891784,T950
8149,NCT00017199,T949
6688,NCT04212650,T931
5854,NCT00043706,T931
1597,NCT00320970,T931
9590,NCT04064190,T931
3583,NCT04428112,T906
3247,NCT01943682,T894
8152,NCT01812005,T894
7913,NCT00719563,T894
6212,NCT02481310,T894
8174,NCT02992522,T894
8072,NCT03015896,T894
8146,NCT00004084,T894
6185,NCT00116090,T893
6229,NCT04562012,T889
1844,NCT03775954,T884
7614,NCT01851629,T879
5757,NCT00254176,T876
5603,NCT03542812,T876
7834,NCT01702805,T876
1384,NCT03237364,T874
3636,NCT00633373,T873
1384,NCT03237364,T873
6135,NCT00975559,T870
5628,NCT03746769,T868
6021,NCT03387553,T863
8691,NCT00118157,T863
7948,NCT01009918,T863
7967,NCT01124695,T863
6839,NCT03384914,T863
7947,NCT01091454,T863
5241,NCT02019524,T863
7953,NCT00079118,T863
6290,NCT03295695,T863
7963,NCT00874211,T863
9268,NCT04341311,T854
4056,NCT01682746,T854
8724,NCT00039468,T853
5986,NCT04171115,T809
9055,NCT04545957,T763
8150,NCT00568308,T763
4844,NCT02811666,T763
4307,NCT04145141,T763
2094,NCT00123825,T763
1514,NCT00183885,T763
4843,NCT01581307,T763
3875,NCT00081900,T763
2558,NCT01871545,T763
6670,NCT00430313,T763
5496,NCT01528878,T763
7876,NCT03817736,T763
3514,NCT00451022,T763
3235,NCT00906984,T763
9191,NCT04410302,T763
9584,NCT04072445,T763
3029,NCT00913757,T763
9300,NCT04315883,T763
9936,NCT03804593,T763
9917,NCT03819088,T763
8851,NCT01835223,T763
2021,NCT02291133,T763
9596,NCT04057365,T763
4710,NCT02829918,T763
9499,NCT04134559,T763
3795,NCT01899976,T763
6877,NCT02760537,T763
1614,NCT04540081,T763
7400,NCT03395028,T759
1510,NCT00183846,T757
4933,NCT03042182,T757
8627,NCT01007552,T757
9584,NCT04072445,T757
1583,NCT01524146,T757
5775,NCT04504604,T757
5911,NCT01773655,T757
4307,NCT04145141,T757
2094,NCT00123825,T757
9191,NCT04410302,T757
9917,NCT03819088,T757
7259,NCT03992001,T739
3364,NCT01864057,T730
3459,NCT03161470,T723
56,NCT01287247,T715
8561,NCT03622697,T709
3583,NCT04428112,T706
3961,NCT03260920,T706
4184,NCT02004691,T706
6178,NCT00308113,T700
2284,NCT03863119,T700
9994,NCT03769116,T700
8383,NCT01081080,T700
7640,NCT00468832,T700
5320,NCT00016653,T700
4794,NCT01557400,T700
1146,NCT02592941,T700
6864,NCT01126697,T700
4027,NCT01890798,T700
7569,NCT04322357,T700
3288,NCT02194725,T700
6063,NCT02168114,T700
2125,NCT03433807,T700
3196,NCT03680365,T700
2146,NCT00318734,T69
2213,NCT00344903,T69
5799,NCT01328197,T66
6567,NCT01534819,T66
2000,NCT02050113,T66
7806,NCT00706394,T66
4460,NCT00248833,T646
7479,NCT02169882,T646
4060,NCT02842866,T646
3909,NCT00384397,T646
