,NCTId,ConditionMeshId
3143,NCT00634764,D000078064
8088,NCT03893708,D000078064
6932,NCT03767699,D000078064
5373,NCT04294095,D000078064
8151,NCT01545934,D000078064
6905,NCT01751230,D000078064
8049,NCT01408147,D000078064
8665,NCT02344537,D000077342
2174,NCT00001101,D000077342
2175,NCT00000938,D000077342
7799,NCT04060342,D000077277
7019,NCT02041819,D000077277
3951,NCT03278626,D000077277
5107,NCT00901173,D000077277
6370,NCT01807546,D000077277
7020,NCT02033538,D000077277
4337,NCT02578641,D000077274
9608,NCT04049682,D000077260
9461,NCT04179981,D000077260
9193,NCT04407377,D000077260
98,NCT03433131,D000077260
9286,NCT04323254,D000077260
5082,NCT04300699,D000077216
3052,NCT00879840,D000077216
5991,NCT04024878,D000077216
9105,NCT04498520,D000077216
2289,NCT00531570,D000077216
3075,NCT02000778,D000077216
5995,NCT03921658,D000077216
6579,NCT02043158,D000077216
4690,NCT02545010,D000077216
5241,NCT02019524,D000077216
3994,NCT01196429,D000077216
2481,NCT02529150,D000077216
6152,NCT00720096,D000077216
8689,NCT02520115,D000077216
8747,NCT04374630,D000077216
7005,NCT03532139,D000077216
8989,NCT04598321,D000077216
8301,NCT01468896,D000077195
7799,NCT04060342,D000077195
5694,NCT03789097,D000077195
6542,NCT00756444,D000077195
6370,NCT01807546,D000077195
2943,NCT01979211,D000077195
9595,NCT04058145,D000077195
7312,NCT04590963,D000077195
1939,NCT04242173,D000077195
2905,NCT02002182,D000077195
4395,NCT01040832,D000077195
8859,NCT01045421,D000077195
3773,NCT00454779,D000077195
5492,NCT04027946,D000077192
6664,NCT03090815,D000077192
4477,NCT00716456,D000077192
4706,NCT04474080,D000077062
5982,NCT04293016,D000077062
4562,NCT04451070,D000077062
7701,NCT01145443,D000077062
8777,NCT02146326,D000077062
6671,NCT04466423,D000077062
7681,NCT03753360,D000077062
9280,NCT04330482,D000077062
8244,NCT04150055,D000077062
3280,NCT02354716,D000076385
5319,NCT01493349,D000076385
2537,NCT04433546,D000075902
1964,NCT03480217,D000075222
6372,NCT00996281,D000075222
7939,NCT03360799,D000074609
8536,NCT02290938,D000074609
2367,NCT04266314,D000074609
9770,NCT03927053,D000074609
4704,NCT02244957,D000074079
9461,NCT04179981,D000074079
1164,NCT01427673,D000074079
5417,NCT03431831,D000073932
5168,NCT02787486,D000073842
5168,NCT02787486,D000073839
9310,NCT04305743,D000073818
1465,NCT00694174,D000073818
3252,NCT01070082,D000073818
9443,NCT04203225,D000073818
2220,NCT01461889,D000073617
5082,NCT04300699,D000073496
3127,NCT04543825,D000073496
5833,NCT04132739,D000073496
5256,NCT02570672,D000073496
9397,NCT04235751,D000073397
9272,NCT04337021,D000073397
8430,NCT02808702,D000072861
8360,NCT00074802,D000072861
8836,NCT02325128,D000072861
8643,NCT03932032,D000072861
3978,NCT02322554,D000072836
9629,NCT04038671,D000072836
3977,NCT02467998,D000072836
3431,NCT01938222,D000072836
5288,NCT01836237,D000072836
6097,NCT01547325,D000072836
3709,NCT00762060,D000072836
8996,NCT04593693,D000072836
143,NCT04072289,D000072836
2779,NCT04036344,D000072836
1412,NCT02280733,D000072836
5703,NCT04241471,D000072836
5818,NCT01272284,D000072836
7101,NCT02544061,D000072836
1351,NCT00505414,D000072716
3812,NCT01264887,D000072716
2355,NCT01854229,D000072716
4087,NCT00472303,D000072716
1847,NCT00967915,D000072676
9859,NCT03863327,D000072658
