,NCTId,DesignMasking
5000,NCT02270164,Triple
1608,NCT03588364,Triple
4498,NCT02119195,Triple
7590,NCT03839719,Triple
4505,NCT00202878,Triple
4508,NCT01169259,Triple
4514,NCT00396162,Triple
1634,NCT02443090,Triple
4530,NCT03282916,Triple
1629,NCT01809639,Triple
4532,NCT04386577,Triple
7564,NCT02753842,Triple
4547,NCT03831165,Triple
4550,NCT01669915,Triple
4554,NCT01684722,Triple
7549,NCT02820038,Triple
7541,NCT01396187,Triple
4559,NCT01747447,Triple
4560,NCT01653678,Triple
4564,NCT03021616,Triple
4569,NCT03853304,Triple
4572,NCT02451176,Triple
7523,NCT00164281,Triple
7601,NCT02420353,Triple
1640,NCT03756025,Triple
7611,NCT04599296,Triple
7672,NCT00438594,Triple
4323,NCT02317250,Triple
4328,NCT03172741,Triple
4343,NCT03309163,Triple
7730,NCT03541941,Triple
7712,NCT01910493,Triple
4375,NCT01244204,Triple
7702,NCT03371225,Triple
4401,NCT01817244,Triple
1671,NCT01904500,Triple
1667,NCT04459455,Triple
4483,NCT03054103,Triple
7667,NCT01212848,Triple
1666,NCT02239627,Triple
4414,NCT02945501,Triple
4420,NCT04314713,Triple
4430,NCT02930226,Triple
7649,NCT01390220,Triple
4435,NCT02018250,Triple
4450,NCT00984256,Triple
1646,NCT01596998,Triple
1609,NCT03293654,Triple
4579,NCT01782352,Triple
1693,NCT01782898,Triple
4582,NCT02239874,Triple
4719,NCT03274713,Triple
4720,NCT04049045,Triple
4723,NCT04034784,Triple
4726,NCT01715740,Triple
7362,NCT02237196,Triple
4751,NCT01369043,Triple
7348,NCT02689713,Triple
1552,NCT02911285,Triple
4791,NCT04335331,Triple
1550,NCT02963376,Triple
1549,NCT02617940,Triple
7313,NCT00437021,Triple
7309,NCT04474093,Triple
4823,NCT02485145,Triple
1539,NCT00629330,Triple
7300,NCT02469324,Triple
7293,NCT00599508,Triple
4824,NCT03290963,Triple
7289,NCT03449667,Triple
4825,NCT04588727,Triple
4829,NCT02698371,Triple
7379,NCT02504931,Triple
4715,NCT03512730,Triple
1566,NCT04098250,Triple
7438,NCT04043182,Triple
7487,NCT02903602,Triple
4583,NCT01696435,Triple
4584,NCT01704859,Triple
4586,NCT01728571,Triple
4622,NCT04568369,Triple
1593,NCT01492517,Triple
7446,NCT02269423,Triple
4638,NCT02410278,Triple
7440,NCT02215200,Triple
4662,NCT01427400,Triple
7390,NCT00130208,Triple
7432,NCT01750684,Triple
1580,NCT00378131,Triple
4679,NCT00914745,Triple
4691,NCT00836147,Triple
4697,NCT03168490,Triple
1574,NCT01557868,Triple
7396,NCT01158976,Triple
1572,NCT01618591,Triple
7393,NCT00737893,Triple
1692,NCT02239926,Triple
1696,NCT00936000,Triple
8478,NCT02929667,Triple
8139,NCT03711500,Triple
3864,NCT03924414,Triple
8276,NCT02929485,Triple
1848,NCT00814905,Triple
1845,NCT01099605,Triple
3876,NCT04605783,Triple
1837,NCT01554644,Triple
3890,NCT03789591,Triple
8232,NCT01811940,Triple
3899,NCT02312050,Triple
3934,NCT00609323,Triple
8214,NCT03557294,Triple
8212,NCT01297062,Triple
8211,NCT01882439,Triple
1819,NCT01293604,Triple
8190,NCT04501536,Triple
1811,NCT03403621,Triple
3979,NCT00905125,Triple
8159,NCT02256085,Triple
8157,NCT03353922,Triple
8150,NCT00568308,Triple
4039,NCT01192178,Triple
3862,NCT00633321,Triple
8310,NCT03482440,Triple
3805,NCT02378740,Triple
8418,NCT00914108,Triple
3711,NCT01733394,Triple
8454,NCT01001429,Triple
8441,NCT00621530,Triple
8427,NCT01280591,Triple
8425,NCT01495858,Triple
1888,NCT00659672,Triple
1887,NCT00668447,Triple
1886,NCT00942513,Triple
1885,NCT00942656,Triple
3728,NCT00249405,Triple
1864,NCT00137202,Triple
8393,NCT02808598,Triple
3760,NCT04082338,Triple
8362,NCT01783327,Triple
8350,NCT02558855,Triple
8346,NCT03848312,Triple
8344,NCT04427527,Triple
3784,NCT01713777,Triple
1867,NCT01317784,Triple
1866,NCT02856802,Triple
8145,NCT01141049,Triple
1791,NCT01075165,Triple
7773,NCT04373460,Triple
8135,NCT01223404,Triple
7927,NCT00134056,Triple
4210,NCT01701349,Triple
7897,NCT02415595,Triple
7881,NCT01393626,Triple
7875,NCT02017548,Triple
4247,NCT00124514,Triple
7852,NCT01313208,Triple
7845,NCT02143648,Triple
1713,NCT03642847,Triple
7828,NCT01374906,Triple
7824,NCT01299272,Triple
7822,NCT00094302,Triple
7820,NCT01352637,Triple
4273,NCT02889809,Triple
7809,NCT01495923,Triple
1704,NCT00384371,Triple
7797,NCT00198822,Triple
7795,NCT02260856,Triple
7790,NCT01770743,Triple
7782,NCT03698279,Triple
1698,NCT02742532,Triple
7930,NCT00008385,Triple
4189,NCT00101790,Triple
7940,NCT00058357,Triple
4111,NCT01181323,Triple
4043,NCT00554359,Triple
4048,NCT00235729,Triple
4053,NCT00031447,Triple
4064,NCT04351841,Triple
1777,NCT02015156,Triple
4066,NCT00683553,Triple
8096,NCT03790358,Triple
4101,NCT03870334,Triple
4108,NCT00691587,Triple
8046,NCT01898299,Triple
7961,NCT00689728,Triple
4116,NCT02236598,Triple
