,NCTId,DesignPrimaryPurpose
3064,NCT02412865,Treatment
5089,NCT03869138,Treatment
7780,NCT01522768,Treatment
2994,NCT03061188,Treatment
2993,NCT03229356,Treatment
6706,NCT02157051,Treatment
6705,NCT02187211,Treatment
7783,NCT04201613,Treatment
2988,NCT00496145,Treatment
5096,NCT00000788,Treatment
2987,NCT04417361,Treatment
2986,NCT01239095,Treatment
5090,NCT00313144,Treatment
6704,NCT02226367,Treatment
6701,NCT02322047,Treatment
2982,NCT02524366,Treatment
2996,NCT00814697,Treatment
2997,NCT00097877,Treatment
7777,NCT01080833,Treatment
5084,NCT01960465,Treatment
3000,NCT01106170,Treatment
5083,NCT02155127,Treatment
3002,NCT00001703,Treatment
3003,NCT01419652,Treatment
6707,NCT01959022,Treatment
3006,NCT00324909,Treatment
3007,NCT02682784,Treatment
3008,NCT01227590,Treatment
7776,NCT00208585,Treatment
6708,NCT01716338,Treatment
7775,NCT00283153,Treatment
3012,NCT01999244,Treatment
3013,NCT01326026,Treatment
2981,NCT04311294,Treatment
2979,NCT03710161,Treatment
7773,NCT04373460,Treatment
5102,NCT01993251,Treatment
5101,NCT00574587,Treatment
2958,NCT03740490,Treatment
2957,NCT01125397,Treatment
2956,NCT00767039,Treatment
2955,NCT03633708,Treatment
2954,NCT03408483,Treatment
7798,NCT00256750,Treatment
7785,NCT04393246,Treatment
7799,NCT04060342,Treatment
2949,NCT02151877,Treatment
2948,NCT01713530,Treatment
6696,NCT03339258,Treatment
2946,NCT00598793,Treatment
2945,NCT03843437,Treatment
2960,NCT02307565,Treatment
6697,NCT03305055,Treatment
2962,NCT00463060,Treatment
2963,NCT00758628,Treatment
7795,NCT02260856,Treatment
2965,NCT04039399,Treatment
7794,NCT03399786,Treatment
2967,NCT00322257,Treatment
7793,NCT02963922,Treatment
7792,NCT04023487,Treatment
6698,NCT03202303,Treatment
7791,NCT02058342,Treatment
2972,NCT00624767,Treatment
2974,NCT02662023,Treatment
7789,NCT02599961,Treatment
5097,NCT00109161,Treatment
7787,NCT03325062,Treatment
7774,NCT00727506,Treatment
3016,NCT00109668,Treatment
2943,NCT01979211,Treatment
3060,NCT00106054,Treatment
6714,NCT01391832,Treatment
3065,NCT03467789,Treatment
6129,NCT01111682,Treatment
6713,NCT01402817,Treatment
6712,NCT01410721,Treatment
3061,NCT00956345,Treatment
3059,NCT03427411,Treatment
6710,NCT01632709,Treatment
3058,NCT03644914,Treatment
3057,NCT04499508,Treatment
7750,NCT03453866,Treatment
5065,NCT00612287,Treatment
3054,NCT02068079,Treatment
3053,NCT00624000,Treatment
7745,NCT00858988,Treatment
3068,NCT03679676,Treatment
3069,NCT00000693,Treatment
7744,NCT03308812,Treatment
5059,NCT00356200,Treatment
3072,NCT02860676,Treatment
7743,NCT02127281,Treatment
3074,NCT01167920,Treatment
6715,NCT01186315,Treatment
3076,NCT03917875,Treatment
3078,NCT03776201,Treatment
3079,NCT00909480,Treatment
6717,NCT01168687,Treatment
3081,NCT00269503,Treatment
5054,NCT00298922,Treatment
3083,NCT03978442,Treatment
3084,NCT04533607,Treatment
5066,NCT01801696,Treatment
5070,NCT00138411,Treatment
3017,NCT01185041,Treatment
3025,NCT02591381,Treatment
3031,NCT01129570,Treatment
5076,NCT01001221,Treatment
7766,NCT03441867,Treatment
6709,NCT01672658,Treatment
3027,NCT00682617,Treatment
3026,NCT00183963,Treatment
3024,NCT01926678,Treatment
3049,NCT01051284,Treatment
3023,NCT00962806,Treatment
7768,NCT01597518,Treatment
7770,NCT02277418,Treatment
7771,NCT02336048,Treatment
7772,NCT02221869,Treatment
3018,NCT02808143,Treatment
7764,NCT01138917,Treatment
5075,NCT03662412,Treatment
5074,NCT04247087,Treatment
7762,NCT02737761,Treatment
5073,NCT04502589,Treatment
3037,NCT00135733,Treatment
3038,NCT02191748,Treatment
7761,NCT02870205,Treatment
3040,NCT02924194,Treatment
3041,NCT00399711,Treatment
3042,NCT00208026,Treatment
3043,NCT02240407,Treatment
7760,NCT02927249,Treatment
7757,NCT01177072,Treatment
7756,NCT01413126,Treatment
3047,NCT02800486,Treatment
5071,NCT02660970,Treatment
7802,NCT04484649,Treatment
6695,NCT03433300,Treatment
5129,NCT01341587,Treatment
7844,NCT02229851,Treatment
5117,NCT02456311,Treatment
5118,NCT04248751,Treatment
2851,NCT04313088,Treatment
2850,NCT03681769,Treatment
5119,NCT02720471,Treatment
2848,NCT02030600,Treatment
2845,NCT02077972,Treatment
5121,NCT01849887,Treatment
2844,NCT02296840,Treatment
2843,NCT03080090,Treatment
7845,NCT02143648,Treatment
7846,NCT01153386,Treatment
2840,NCT02560038,Treatment
7847,NCT01165476,Treatment
7840,NCT03872375,Treatment
2855,NCT03325777,Treatment
2856,NCT02239146,Treatment
2857,NCT01231165,Treatment
7839,NCT00827112,Treatment
6686,NCT00000700,Treatment
2860,NCT00333151,Treatment
2861,NCT04570475,Treatment
2862,NCT04156802,Treatment
2863,NCT00440232,Treatment
2864,NCT00736190,Treatment
5115,NCT02002403,Treatment
2866,NCT01106456,Treatment
2867,NCT02696148,Treatment
7836,NCT02143973,Treatment
7834,NCT01702805,Treatment
5114,NCT02798432,Treatment
7848,NCT02131272,Treatment
2836,NCT01581905,Treatment
2872,NCT02068430,Treatment
6680,NCT00837239,Treatment
7855,NCT00773734,Treatment
2816,NCT02931435,Treatment
2815,NCT02021175,Treatment
5124,NCT01791660,Treatment
7856,NCT02386098,Treatment
2812,NCT03334786,Treatment
6678,NCT01104805,Treatment
2835,NCT01850615,Treatment
7858,NCT01632241,Treatment
2808,NCT04221815,Treatment
6677,NCT01911390,Treatment
7859,NCT04137250,Treatment
5128,NCT01395784,Treatment
