,NCTId,EnrollmentCount
5502,NCT03538639,9999
1854,NCT02608853,9999
1828,NCT00852904,9942
5846,NCT00291161,994
1097,NCT03566264,99209
4482,NCT01481285,992
7723,NCT01668992,992
4672,NCT00486811,990
5191,NCT01616537,990
4635,NCT02870868,99
9648,NCT04021771,99
4302,NCT01264627,99
4344,NCT02661542,99
8256,NCT02717754,99
7720,NCT04244799,99
5814,NCT03194685,99
3088,NCT03308721,99
6690,NCT04205656,99
74,NCT01087905,987
7968,NCT00450281,981
8516,NCT02133209,98
8879,NCT01764698,98
2836,NCT01581905,98
6466,NCT01850940,98
1643,NCT02610374,98
3164,NCT01661686,98
8203,NCT03865758,98
1675,NCT02005198,98
1237,NCT01241123,98
2023,NCT02161458,98
4656,NCT00795561,98
8704,NCT02963090,98
8812,NCT01265953,98
9585,NCT04071951,9776
5229,NCT00340405,9759
5858,NCT01128166,975
5452,NCT00788944,971
3811,NCT01823341,97
8884,NCT02624193,97
9893,NCT03837353,97
2737,NCT03211156,97
5865,NCT03157531,97
8120,NCT00404274,97
6691,NCT03880487,97
7435,NCT02656017,97
6069,NCT02019927,97
8480,NCT01797497,97
8407,NCT02708069,97
1887,NCT00668447,97
7657,NCT00978497,97
4543,NCT01864564,962
3850,NCT04394234,961985
5299,NCT03475420,9613
1231,NCT03615599,96000
7298,NCT02946736,960
5856,NCT01818791,960
9330,NCT04292119,96
5224,NCT04047251,96
8983,NCT04605549,96
3389,NCT01611402,96
9600,NCT04056013,96
5106,NCT00699777,96
5232,NCT00187928,96
4773,NCT03499509,96
9531,NCT04108858,96
5458,NCT02024672,96
4809,NCT02268331,96
1312,NCT00220805,96
2248,NCT03242655,96
2803,NCT01570309,96
1780,NCT02958085,96
5669,NCT04311736,96
1843,NCT03272048,96
6380,NCT01266122,96
1419,NCT03981952,96
6194,NCT04560946,96
5734,NCT02739464,96
6335,NCT04278495,96
2059,NCT04275297,96
2070,NCT03492229,96
2093,NCT00097838,96
8849,NCT02043496,96
5549,NCT02236273,956
2725,NCT00812097,955
8290,NCT00608036,954
6473,NCT00847912,954
7676,NCT03202745,9518
4494,NCT00883792,95000
5778,NCT01841983,9500
3971,NCT02688660,950
4290,NCT04180930,950
6344,NCT02932475,950
5293,NCT03255265,950
6046,NCT02657135,95
4975,NCT01929564,95
7638,NCT01169428,95
8433,NCT01552213,95
4794,NCT01557400,95
5325,NCT02086630,95
1155,NCT00996372,949
4326,NCT04534621,948
8771,NCT03377855,948
5801,NCT01073579,9423
9736,NCT03953898,94
1048,NCT03369730,94
7322,NCT01208870,94
3894,NCT04296344,94
4151,NCT02664610,94
2346,NCT03340051,94
8212,NCT01297062,94
105,NCT00837499,938
1200,NCT01234103,933
1770,NCT02568306,93
8464,NCT00581295,93
2700,NCT00880256,93
6374,NCT02394600,93
5898,NCT00951171,93
1660,NCT01490658,93
1024,NCT02123225,93
3329,NCT00114621,93
7527,NCT02983864,93
2922,NCT00341159,9257
1793,NCT04478110,925
6411,NCT02438592,924
7189,NCT04185597,9234
1972,NCT02838368,921
4978,NCT02590198,9201
7187,NCT04286243,9200
7639,NCT02910557,920
5910,NCT01794078,92
2635,NCT00924898,92
8331,NCT01772290,92
7343,NCT01130987,92
8600,NCT00873366,92
6840,NCT01260727,92
8166,NCT02303392,92
5512,NCT04567238,92
9451,NCT04192227,92
5688,NCT00302042,92
2799,NCT04585230,92
1415,NCT02544334,92
6271,NCT00703924,92
7526,NCT01299116,916
3352,NCT00805246,910
7282,NCT01502449,91
3548,NCT02158884,91
1771,NCT01561950,91
9336,NCT04284514,91
1487,NCT01714531,91
8365,NCT00947206,909
1694,NCT00342927,9084
4060,NCT02842866,907
5287,NCT04197674,903
7641,NCT00667810,901
5659,NCT01836445,901
1267,NCT03185728,9000
7514,NCT01572532,9000
7606,NCT04049305,900
7361,NCT03962712,900
1150,NCT00232947,900
1547,NCT02542046,900
5010,NCT03000998,900
4484,NCT02963441,900
3140,NCT00061165,900
5716,NCT02352116,900
2454,NCT03333109,900
2519,NCT03194854,900
5318,NCT00341250,900
4931,NCT04158830,900
6636,NCT01286142,900
3424,NCT03338257,900
2830,NCT01484717,90
7550,NCT01510834,90
5758,NCT02236390,90
9440,NCT04204668,90
3964,NCT00866788,90
6820,NCT04215445,90
8167,NCT03523507,90
4627,NCT02538601,90
7901,NCT02359097,90
5980,NCT04363164,90
6362,NCT00088283,90
2298,NCT00048555,90
2864,NCT00736190,90
6858,NCT03663452,90
5047,NCT01500083,90
9048,NCT04551677,90
9672,NCT04002882,90
6465,NCT04338334,90
1775,NCT04526002,90
9397,NCT04235751,90
9399,NCT04235686,90
6009,NCT03668873,90
1792,NCT00871468,90
5897,NCT03030794,90
3461,NCT01586767,90
2726,NCT03577990,90
2735,NCT04559191,90
7411,NCT04387019,90
1595,NCT03820414,90
5855,NCT03293524,90
6072,NCT01943825,90
2781,NCT02925481,90
2783,NCT01451762,90
7473,NCT00446979,90
1552,NCT02911285,90
7907,NCT03455127,90
6867,NCT03852628,90
8194,NCT01492738,90
9907,NCT03823911,90
7031,NCT02370173,90
9139,NCT04472026,90
3163,NCT03452579,90
8943,NCT03935048,90
9148,NCT04463719,90
9575,NCT04079179,90
9504,NCT04128995,90
6723,NCT00464724,90
4812,NCT03656679,90
9204,NCT04398368,90
5620,NCT01291277,90
4084,NCT00000641,90
3116,NCT04014348,90
3720,NCT00584051,90
3078,NCT03776201,90
4075,NCT04259632,90
6745,NCT01233609,90
152,NCT02352532,90
9530,NCT04109222,90
3813,NCT00125138,90
4547,NCT03831165,90
9126,NCT04483206,90
9617,NCT04047277,90
6805,NCT00681616,90
3994,NCT01196429,90
7551,NCT04525651,90
4780,NCT02278237,90
7319,NCT03869060,9
3416,NCT00187018,9
1886,NCT00942513,9
8546,NCT01028911,9
2780,NCT03076216,9
6720,NCT01020318,9
4843,NCT01581307,9
5517,NCT02057289,9
3355,NCT01445327,9
2251,NCT00587990,9
7408,NCT03329404,9
6880,NCT01498458,9
5768,NCT02281760,9
9721,NCT03967093,9
3115,NCT02630563,9
9848,NCT03867045,9
2202,NCT00663143,9
5935,NCT00397696,9
3393,NCT02116712,9
5733,NCT02602223,9
4595,NCT02745210,9
3570,NCT00999154,9
6142,NCT00852644,9
1909,NCT01149759,9
3018,NCT02808143,9
3689,NCT03812263,9
2816,NCT02931435,9
3830,NCT01123577,899
5627,NCT00352924,89655
2600,NCT00608283,8951
3112,NCT02366286,892
7448,NCT01653535,891
3277,NCT02263326,89
4013,NCT02167022,89
6160,NCT00591864,89
8046,NCT01898299,89
6977,NCT00485914,89
6355,NCT04156919,89
7440,NCT02215200,89
6888,NCT00253643,89
4792,NCT02956174,89
4022,NCT00819169,89
7699,NCT02721147,89
7740,NCT00441298,889
6555,NCT02378090,888
7360,NCT01132937,886
1070,NCT02813356,8800
3687,NCT00347412,880
9418,NCT04221607,88
1078,NCT01120509,88
8519,NCT03372811,88
5945,NCT03685058,88
3804,NCT04482699,88
9156,NCT04452500,88
1211,NCT02064426,88
9911,NCT03822325,88
8562,NCT01975857,88
6557,NCT02349945,88
3926,NCT00453362,88
6556,NCT01647919,88
7463,NCT02320903,88
3267,NCT00911820,88
4643,NCT03494283,88
5887,NCT01709786,88
2244,NCT00607620,878
1602,NCT00128375,878
2072,NCT00661128,8750
3953,NCT02403466,875
8102,NCT02219399,871
6601,NCT01692067,871
4082,NCT00071266,870
7154,NCT02291653,87
8426,NCT00462683,87
3106,NCT00287521,87
4825,NCT04588727,87
3939,NCT00157755,87
1991,NCT00819013,87
4269,NCT03337139,87
1074,NCT00208156,87
1919,NCT00549991,8687
4032,NCT00664040,868
5749,NCT02427061,868
3836,NCT00522119,868
6669,NCT00341887,8676
4857,NCT01914185,8663
4826,NCT01963169,866
8277,NCT00941876,864
2090,NCT03722589,864
3545,NCT02565420,8616
8123,NCT01980771,860
3732,NCT03059004,860
1590,NCT04419883,86
1548,NCT03903588,86
2958,NCT03740490,86
1539,NCT00629330,86
1017,NCT02200055,86
9055,NCT04545957,86
1748,NCT00931476,86
9453,NCT04188535,86
3327,NCT00763698,86
3944,NCT03106233,86
1838,NCT00350337,86
7300,NCT02469324,86
8240,NCT01658228,86
6140,NCT00870545,86
9604,NCT04054687,86
4115,NCT00302861,86
9518,NCT04118998,86
8768,NCT02559869,86
7856,NCT02386098,86
1724,NCT02098603,86
9822,NCT03881735,86
2918,NCT01377857,8572
8761,NCT01825252,856
8209,NCT03459118,853
1027,NCT00701259,852
1589,NCT02877147,85000
7705,NCT04377412,8500
2154,NCT03819686,850
8391,NCT02860442,850
5665,NCT03231579,85
4231,NCT03172962,85
4521,NCT01768325,85
9283,NCT04329832,85
8939,NCT04475718,85
2909,NCT01004952,85
1177,NCT03180853,85
8565,NCT01307137,85
8770,NCT00124280,85
4961,NCT03106363,85
2566,NCT02877394,85
8686,NCT00310895,85
3357,NCT02039882,85
5908,NCT01882244,85
3920,NCT00389779,849
4167,NCT00134979,847
3712,NCT01272232,846
7121,NCT02368808,843
7505,NCT00337428,843
4141,NCT00164658,8400
3887,NCT02957799,840
3392,NCT02177006,840
7990,NCT00122447,84
4683,NCT02561390,84
4886,NCT02121782,84
3628,NCT00733096,84
4447,NCT01194336,84
5119,NCT02720471,84
3992,NCT00884013,84
8401,NCT00599794,84
2594,NCT01347762,84
6827,NCT01903330,84
5216,NCT03844867,84
3090,NCT04148118,84
9387,NCT04241913,84
9862,NCT03861091,84
2558,NCT01871545,84
3452,NCT03180242,84
3212,NCT01351064,84
2731,NCT00440596,84
5161,NCT03201406,837
6372,NCT00996281,837
1436,NCT01465503,837
6868,NCT02725970,836
3643,NCT00936897,833
