,NCTId,HealthyVolunteers
9999,NCT03766373,No
4473,NCT03284372,No
4483,NCT03054103,No
7798,NCT00256750,No
4481,NCT02670850,No
4480,NCT03602118,No
4479,NCT03532958,No
7799,NCT04060342,No
4477,NCT00716456,No
4476,NCT00848796,No
4475,NCT03909503,No
4474,NCT02302612,No
4472,NCT04211077,No
4485,NCT00211900,No
7800,NCT03798548,No
7801,NCT03461120,No
4469,NCT00570297,No
4467,NCT01954290,No
4466,NCT04395781,No
7803,NCT03250364,No
7805,NCT01927523,No
7806,NCT00706394,No
7807,NCT01848184,No
7808,NCT01412541,No
4484,NCT02963441,No
4488,NCT02971358,No
7853,NCT02006719,No
7789,NCT02599961,No
4515,NCT00925366,No
4514,NCT00396162,No
4512,NCT01828996,No
4511,NCT03593330,No
7785,NCT04393246,No
4509,NCT03955874,No
4507,NCT02318862,No
7787,NCT03325062,No
4505,NCT00202878,No
4504,NCT03655730,No
7791,NCT02058342,No
7795,NCT02260856,No
4499,NCT02398942,No
7792,NCT04023487,No
4497,NCT04356027,No
4496,NCT04518657,No
4495,NCT02901639,No
7793,NCT02963922,No
4493,NCT02037555,No
4492,NCT02140788,No
7794,NCT03399786,No
4490,NCT04191473,No
7809,NCT01495923,No
7810,NCT03136484,No
7811,NCT04243265,No
7850,NCT01421303,No
7839,NCT00827112,No
7840,NCT03872375,No
7841,NCT03191253,No
7843,NCT04345393,No
7844,NCT02229851,No
7845,NCT02143648,No
4419,NCT02799836,No
4417,NCT00460967,No
7848,NCT02131272,No
7849,NCT00616083,No
4412,NCT02546388,No
7812,NCT01102972,No
4411,NCT02301195,No
4410,NCT00806910,No
4409,NCT02430792,No
4408,NCT04334707,No
4407,NCT02170532,No
7851,NCT00956631,No
4405,NCT00734539,No
7852,NCT01313208,No
4403,NCT00360087,No
4402,NCT03579329,No
7836,NCT02143973,No
7834,NCT01702805,No
7833,NCT01775995,No
7832,NCT01504308,No
7813,NCT02216123,No
4454,NCT00657917,No
7814,NCT00002090,No
7815,NCT02849080,No
4451,NCT00884377,No
7816,NCT02431208,No
4449,NCT01140191,No
7817,NCT03376633,No
7818,NCT03208686,No
7819,NCT00742859,No
7820,NCT01352637,No
7821,NCT00857324,No
7822,NCT00094302,No
7823,NCT01085136,No
7824,NCT01299272,No
7825,NCT00744679,No
7826,NCT00841126,No
7827,NCT02607865,No
7828,NCT01374906,No
7830,NCT00415168,No
7831,NCT01619930,No
4516,NCT00527722,No
4517,NCT02817854,No
7783,NCT04201613,No
4596,NCT04163224,No
4608,NCT02328989,No
7742,NCT04169269,No
4604,NCT00908830,No
4603,NCT02208050,No
4602,NCT02990091,No
7743,NCT02127281,No
4600,NCT03953924,No
4599,NCT03859362,No
4598,NCT02647983,No
4597,NCT03655587,No
7744,NCT03308812,No
4578,NCT03176420,No
4594,NCT01892514,No
4593,NCT02657317,No
4592,NCT00580944,No
4590,NCT01500538,No
4589,NCT03710694,No
7746,NCT04012749,No
4587,NCT03613623,No
4585,NCT00596908,No
7748,NCT02008058,No
7749,NCT00537173,No
4609,NCT00199797,No
4610,NCT03640312,No
4612,NCT03584113,No
4613,NCT01409681,No
7730,NCT03541941,No
4636,NCT02113670,No
7731,NCT00901979,No
4634,NCT04263025,No
4633,NCT02249650,No
4632,NCT02269410,No
7732,NCT03158558,No
4630,NCT00750685,No
4629,NCT03982576,No
4628,NCT01695252,No
4627,NCT02538601,No
4626,NCT03709888,No
4625,NCT02476630,No
7734,NCT02847962,No
7735,NCT03794999,No
4621,NCT00161525,No
4620,NCT01891773,No
4619,NCT03747783,No
4616,NCT00027404,No
4615,NCT02501447,No
7738,NCT00707785,No
4581,NCT04368117,No
4577,NCT03579706,No
4519,NCT04247646,No
4534,NCT00656955,No
4545,NCT03828877,No
4544,NCT00128999,No
7774,NCT00727506,No
4542,NCT00333229,No
4541,NCT02366234,No
7775,NCT00283153,No
4539,NCT02774434,No
4538,NCT01524705,No
4536,NCT00088543,No
4535,NCT03660917,No
4531,NCT01330264,No
7755,NCT02775929,No
4530,NCT03282916,No
7779,NCT00605163,No
4528,NCT04607642,No
4527,NCT03132857,No
4526,NCT01431924,No
7780,NCT01522768,No
4524,NCT00299065,No
7781,NCT03594734,No
4521,NCT01768325,No
4520,NCT03266783,No
4546,NCT03671785,No
4547,NCT03831165,No
7773,NCT04373460,No
7772,NCT02221869,No
7756,NCT01413126,No
4572,NCT02451176,No
7757,NCT01177072,No
7759,NCT03971435,No
4568,NCT01954901,No
7760,NCT02927249,No
7761,NCT02870205,No
7762,NCT02737761,No
7763,NCT04287075,No
7764,NCT01138917,No
7766,NCT03441867,No
7767,NCT02050165,No
7768,NCT01597518,No
4558,NCT02555904,No
4557,NCT01672060,No
4556,NCT01801384,No
4555,NCT01747889,No
4554,NCT01684722,No
7769,NCT00876889,No
4552,NCT00364182,No
7771,NCT02336048,No
4401,NCT01817244,No
4399,NCT04293536,No
7729,NCT04248088,No
4245,NCT01300325,No
4256,NCT00391664,No
4255,NCT00032344,No
4254,NCT01190254,No
4253,NCT00576693,No
7902,NCT02848235,No
4250,NCT01617161,No
4249,NCT02752035,No
4248,NCT03957577,No
4247,NCT00124514,No
4246,NCT03251794,No
4244,NCT00615407,No
4258,NCT00339651,No
7904,NCT04119375,No
4242,NCT00000173,No
4241,NCT01717287,No
4240,NCT00120471,No
4239,NCT00089947,No
4238,NCT03713320,No
7905,NCT04034381,No
4236,NCT00332709,No
4235,NCT04526418,No
7906,NCT03631719,No
4257,NCT01578967,No
7901,NCT02359097,No
4398,NCT03719963,No
4273,NCT02889809,No
4283,NCT00726661,No
7893,NCT00002305,No
4281,NCT04278183,No
7894,NCT00002074,No
4279,NCT03753373,No
4278,NCT03175640,No
7895,NCT00002306,No
7896,NCT03124277,No
4275,NCT02703506,No
4274,NCT00358917,No
7897,NCT02415595,No
4260,NCT02708264,No
4271,NCT00680979,No
4270,NCT02188368,No
4269,NCT03337139,No
4267,NCT03572595,No
4266,NCT02206425,No
4265,NCT02685826,No
4264,NCT01480999,No
7899,NCT00272779,No
7900,NCT01665690,No
4261,NCT02103335,No
4233,NCT02068937,No
4232,NCT01796106,No
7907,NCT03455127,No
4187,NCT01795547,No
4198,NCT00088504,No
4197,NCT02720653,No
4196,NCT00970853,No
4195,NCT03604705,No
4193,NCT01967394,No
7920,NCT03141567,No
4191,NCT03765593,No
4190,NCT02564055,No
4189,NCT00101790,No
4188,NCT04423458,No
4186,NCT04357730,No
4230,NCT01654926,No
4185,NCT02197689,No
4184,NCT02004691,No
7921,NCT03932799,No
4182,NCT03137264,No
4181,NCT04200443,No
4180,NCT03008837,No
4179,NCT00959764,No
7922,NCT00072046,No
7923,NCT02348645,No
4175,NCT02655354,No
4199,NCT02137512,No
4200,NCT00768248,No
7918,NCT01256294,No
4202,NCT01228344,No
4229,NCT02716909,No
4227,NCT04132557,No
4226,NCT00475202,No
4225,NCT03474029,No
4224,NCT02880644,No
4223,NCT01611233,No
4221,NCT01190267,No
7910,NCT01856673,No
4219,NCT02572323,No
4218,NCT04315311,No
7913,NCT00719563,No
4214,NCT02316353,No
4213,NCT01530867,No
7914,NCT00223509,No
4211,NCT02322333,No
4210,NCT01701349,No
7915,NCT00956813,No
4207,NCT04295538,No
4206,NCT00339638,No
4205,NCT04006119,No
4204,NCT03945981,No
4284,NCT01092572,No
4286,NCT01076816,No
4287,NCT01744548,No
4361,NCT00522041,No
4372,NCT03483805,No
7861,NCT03862963,No
4369,NCT02230566,No
4368,NCT04059705,No
4367,NCT02849301,No
4366,NCT00760162,No
4365,NCT04418856,No
4364,NCT02948738,No
4363,NCT02479555,No
4362,NCT00192634,No
7862,NCT03828201,No
4344,NCT02661542,No
4359,NCT00697151,No
7863,NCT02103296,No
7865,NCT02476253,No
4355,NCT03030885,No
4353,NCT00342758,No
7867,NCT00933270,No
4351,NCT03159234,No
7868,NCT00337467,No
4349,NCT02915471,No
7871,NCT00248040,No
4373,NCT00001469,No
4374,NCT02441998,No
7859,NCT04137250,No
7858,NCT01632241,No
4397,NCT04569344,No
4396,NCT00662571,No
4395,NCT01040832,No
4394,NCT02519868,No
4393,NCT03351088,No
4392,NCT02344576,No
4391,NCT03714711,No
4390,NCT01296698,No
4389,NCT03404986,No
4388,NCT00221416,No
4387,NCT01811316,No
4386,NCT03185871,No
4385,NCT02351544,No
4384,NCT02222662,No
7854,NCT03014414,No
7855,NCT00773734,No
4381,NCT01013636,No
4380,NCT02178982,No
4379,NCT02814994,No
7856,NCT02386098,No
7857,NCT02697422,No
4345,NCT02193958,No
4343,NCT03309163,No
4289,NCT03165591,No
4305,NCT02304263,No
7881,NCT01393626,No
4314,NCT03355794,No
4313,NCT04609514,No
7882,NCT00855075,No
4311,NCT01625442,No
4310,NCT00173823,No
4309,NCT01897896,No
4308,NCT04597437,No
4307,NCT04145141,No
7883,NCT01470599,No
4304,NCT03945162,No
4342,NCT00136019,No
4303,NCT00114699,No
4302,NCT01264627,No
4301,NCT00312169,No
7885,NCT03944395,No
4298,NCT00098748,No
4297,NCT00006286,No
7886,NCT03880006,No
4294,NCT02109198,No
4293,NCT02125591,No
7888,NCT03135366,No
4316,NCT03674775,No
4317,NCT04112173,No
4318,NCT00914784,No
4319,NCT04274907,No
4341,NCT03163589,No
4340,NCT04557761,No
7873,NCT03751124,No
4338,NCT04333576,No
4337,NCT02578641,No
4336,NCT04176627,No
7874,NCT01906515,No
7875,NCT02017548,No
7876,NCT03817736,No
4332,NCT01587703,No
7877,NCT00823979,No
4330,NCT01182467,No
4329,NCT00683085,No
4328,NCT03172741,No
7878,NCT03563040,No
7879,NCT00033722,No
4325,NCT00728455,No
4324,NCT00044525,No
4323,NCT02317250,No
4322,NCT01285960,No
4321,NCT01138254,No
4638,NCT02410278,No
4640,NCT01511939,No
4173,NCT03372746,No
4949,NCT01479582,No
7605,NCT04037852,No
7606,NCT04049305,No
4960,NCT02941601,No
4958,NCT00847756,No
7610,NCT02032277,No
4954,NCT02299115,No
4953,NCT00817947,No
4952,NCT03030599,No
4951,NCT04055688,No
7611,NCT04599296,No
4948,NCT03426891,No
4964,NCT00672204,No
4946,NCT04040504,No
7613,NCT03464409,No
4944,NCT04143113,No
4943,NCT03271203,No
4942,NCT02165644,No
4941,NCT03185832,No
4939,NCT03030508,No
7615,NCT01360736,No
4937,NCT04271462,No
4936,NCT03833375,No
4963,NCT02071745,No
7604,NCT03357224,No
4874,NCT04464187,No
4980,NCT02093091,No
4990,NCT01892631,No
4989,NCT04071327,No
4988,NCT02381340,No
4987,NCT00659087,No
4986,NCT03230305,No
4985,NCT03785678,No
4984,NCT03693313,No
4983,NCT02720484,No
4982,NCT01063296,No
4981,NCT02375659,No
4979,NCT04030273,No
4967,NCT00793390,No
4978,NCT02590198,No
7601,NCT02420353,No
7602,NCT04011176,No
4974,NCT02747732,No
4973,NCT02800642,No
4972,NCT03305393,No
4971,NCT02694978,No
4970,NCT03102086,No
4969,NCT00433173,No
4968,NCT02332993,No
7616,NCT04075513,No
7617,NCT00140140,No
4933,NCT03042182,No
4889,NCT00734357,No
4902,NCT00848523,No
7631,NCT00622401,No
4899,NCT04446728,No
4898,NCT02684071,No
4896,NCT03674801,No
4895,NCT03696290,No
4894,NCT02017756,No
7633,NCT03580538,No
4891,NCT04036032,No
4890,NCT01390649,No
7635,NCT02096653,No
4932,NCT00588471,No
7636,NCT01207687,No
7637,NCT00073853,No
7639,NCT02910557,No
4883,NCT01499706,No
4882,NCT03143049,No
4880,NCT01113502,No
4879,NCT02111512,No
4878,NCT04113811,No
4877,NCT03540745,No
4876,NCT01829269,No
4903,NCT02443220,No
7629,NCT03193398,No
7628,NCT03527641,No
4906,NCT00940784,No
7618,NCT03005418,No
7619,NCT01339689,No
4929,NCT00422799,No
7620,NCT02990793,No
4927,NCT03389581,No
4926,NCT03654118,No
4925,NCT01846182,No
7621,NCT02114229,No
4923,NCT04273152,No
4921,NCT02433210,No
4920,NCT00159458,No
7624,NCT02756689,No
4916,NCT01946867,No
4915,NCT02862184,No
4914,NCT00688298,No
7626,NCT03446131,No
4912,NCT00582478,No
4910,NCT04570449,No
4909,NCT03419728,No
4908,NCT02155153,No
4907,NCT01721473,No
4991,NCT01174173,No
4992,NCT02122640,No
4993,NCT02154555,No
5065,NCT00612287,No
5075,NCT03662412,No
5074,NCT04247087,No
5073,NCT04502589,No
7570,NCT04238910,No
5071,NCT02660970,No
7571,NCT03060109,No
7572,NCT01988909,No
5068,NCT01508676,No
5067,NCT02678026,No
5066,NCT01801696,No
7573,NCT01824589,No
5052,NCT01331486,No
5063,NCT03411057,No
7574,NCT00110526,No
7575,NCT04398784,No
5060,NCT01960946,No
5059,NCT00356200,No
5058,NCT03457272,No
7576,NCT04045132,No
7577,NCT00431847,No
5055,NCT01591928,No
5054,NCT00298922,No
5076,NCT01001221,No
7569,NCT04322357,No
5078,NCT00344071,No
7568,NCT02758236,No
5104,NCT00792155,No
7561,NCT03005054,No
5102,NCT01993251,No
5101,NCT00574587,No
5100,NCT03832283,No
7562,NCT00711373,No
5098,NCT03741335,No
5097,NCT00109161,No
5096,NCT00000788,No
5095,NCT03365063,No
5094,NCT00932958,No
7565,NCT02246413,No
5090,NCT00313144,No
5088,NCT04032613,No
5087,NCT01854892,No
5086,NCT03520400,No
5085,NCT01247753,No
5084,NCT01960465,No
5083,NCT02155127,No
5082,NCT04300699,No
5080,NCT02981043,No
7578,NCT01959321,No
5051,NCT01059240,No
4996,NCT01626729,No
5009,NCT00491660,No
7583,NCT00235235,No
7584,NCT04046965,No
5020,NCT04397055,No
5019,NCT00324675,No
5018,NCT01221506,No
7586,NCT03077919,No
5015,NCT04266938,No
7588,NCT01673178,No
5013,NCT01844596,No
5012,NCT04041297,No
5008,NCT01435941,No
5050,NCT00342472,No
7591,NCT03844061,No
5006,NCT02383303,No
5005,NCT00237367,No
7592,NCT04146168,No
7593,NCT01582711,No
7594,NCT03936738,No
7595,NCT04545424,No
7596,NCT01661283,No
4999,NCT01722032,No
4998,NCT01874951,No
5024,NCT00430196,No
5025,NCT04026399,No
5026,NCT02233517,No
5027,NCT03779191,No
7579,NCT03842111,No
5048,NCT01369797,No
5047,NCT01500083,No
5046,NCT00617825,No
5045,NCT04163627,No
5044,NCT00748111,No
5043,NCT00901459,No
5042,NCT03285191,No
7580,NCT03834584,No
5040,NCT03102580,No
5039,NCT03291808,No
5038,NCT02036502,No
5037,NCT02271932,No
7581,NCT03705377,No
