,NCTId,InterventionAncestorId
7739,NCT00470158,D000078622
8176,NCT01814501,D000078622
4947,NCT03908255,D000078622
1260,NCT00002317,D000078622
4956,NCT01762995,D000078622
4957,NCT02178410,D000078622
7879,NCT00033722,D000078622
6357,NCT01880463,D000078622
7678,NCT01968590,D000078622
7353,NCT03385304,D000078622
8132,NCT03599193,D000078622
8574,NCT03483441,D000078622
5241,NCT02019524,D000078622
6864,NCT01126697,D000078622
4242,NCT00000173,D000078622
3737,NCT01488227,D000078622
1398,NCT00412087,D000078622
8110,NCT01858311,D000078622
2618,NCT00798876,D000078622
1259,NCT00002434,D000078622
2510,NCT01744821,D000078622
5291,NCT03050814,D000078622
8470,NCT00731588,D000078622
6849,NCT02863809,D000078622
6798,NCT03030703,D000078622
1307,NCT01632761,D000078622
4584,NCT01704859,D000078622
2979,NCT03710161,D000078622
4586,NCT01728571,D000078622
5444,NCT00473239,D000078622
8588,NCT02360644,D000078622
4938,NCT01785004,D000078622
3489,NCT00184054,D000078622
5427,NCT03056625,D000078622
7826,NCT00841126,D000078622
5405,NCT02839915,D000078622
3562,NCT01178320,D000078622
7216,NCT00396500,D000078622
3637,NCT00336232,D000078622
6449,NCT04070833,D000078622
7680,NCT03000374,D000078622
4637,NCT01630213,D000078622
6584,NCT01175291,D000078622
2872,NCT02068430,D000078622
7930,NCT00008385,D000078622
7522,NCT00336245,D000078622
1814,NCT00995917,D000078622
3908,NCT00880178,D000078622
3911,NCT00631085,D000078622
8292,NCT01709110,D000078622
1379,NCT00907972,D000078622
8334,NCT04060030,D000078622
4266,NCT02206425,D000078622
6155,NCT00656019,D000078622
2803,NCT01570309,D000078622
3929,NCT00418938,D000078622
2409,NCT01364805,D000078622
6526,NCT03069144,D000078622
5074,NCT04247087,D000078622
6166,NCT00541164,D000078622
6525,NCT03848806,D000078622
2417,NCT01049048,D000078622
7018,NCT01992263,D000078622
8899,NCT01721798,D000078622
6186,NCT00921557,D000078622
7413,NCT04060017,D000078622
2861,NCT04570475,D000078622
1956,NCT00668941,D000078622
7428,NCT02216812,D000078622
6178,NCT00308113,D000078622
8023,NCT00742781,D000078622
3828,NCT00002120,D000078622
2792,NCT02956408,D000078622
7521,NCT00379158,D000078622
1112,NCT02375503,D000078622
8113,NCT00679666,D000078622
5160,NCT01351805,D000078622
2418,NCT02435771,D000078622
7926,NCT00265850,D000078622
1914,NCT02115724,D000078622
7222,NCT00222547,D000078622
6134,NCT00986986,D000078622
2390,NCT00680706,D000078622
4583,NCT01696435,D000078622
7965,NCT02865187,D000078622
5949,NCT01011348,D000078622
4888,NCT01633177,D000078622
3207,NCT00065455,D000078622
6230,NCT00321932,D000078622
1262,NCT00002102,D000078622
4550,NCT01669915,D000078622
4843,NCT01581307,D000078622
3211,NCT03615950,D000078622
7980,NCT00775645,D000078622
1523,NCT00183911,D000078622
3065,NCT03467789,D000078622
4554,NCT01684722,D000078622
7458,NCT01672710,D000078622
9917,NCT03819088,D000078622
4559,NCT01747447,D000078622
5525,NCT01443728,D000078622
5653,NCT01177579,D000078622
3060,NCT00106054,D000078622
6711,NCT01425476,D000078622
4560,NCT01653678,D000078622
7083,NCT00109551,D000078622
1274,NCT02636348,D000078622
4540,NCT01758081,D000078622
2506,NCT01349088,D000078622
4508,NCT01169259,D000078622
4751,NCT01369043,D000078622
5837,NCT01601847,D000078622
4178,NCT04536298,D000078622
3122,NCT01450462,D000078622
3098,NCT01475617,D000078622
7142,NCT01046825,D000078622
7738,NCT00707785,D000078622
5804,NCT02175030,D000078622
9261,NCT04344184,D000078622
2702,NCT01217840,D000078622
7990,NCT00122447,D000078622
9263,NCT04342728,D000078622
4812,NCT03656679,D000078622
3093,NCT01295879,D000078622
4528,NCT04607642,D000078622
4154,NCT00857376,D000078622
4532,NCT04386577,D000078622
2532,NCT01858051,D000078622
2178,NCT01696409,D000078622
7944,NCT00365105,D000078622
8779,NCT03212677,D000078622
7804,NCT00860470,D000078622
4082,NCT00071266,D000078622
5593,NCT03478878,D000078622
7706,NCT01746264,D000078622
8272,NCT00874575,D000078622
6789,NCT00476346,D000078622
4725,NCT00062556,D000078622
8213,NCT01880372,D000078622
9337,NCT04283630,D000078622
4569,NCT03853304,D000078622
5568,NCT01992874,D000078622
1261,NCT00002103,D000078622
4579,NCT01782352,D000078622
8163,NCT00700791,D000078622
5574,NCT03478865,D000078622
3364,NCT01864057,D000078622
6739,NCT03302299,D000078622
8323,NCT00308971,D000078622
1008,NCT00350077,D000078622
8234,NCT00176462,D000078622
8551,NCT01711359,D000078622
6472,NCT00000152,D000078622
2155,NCT00363038,D000078622
4375,NCT01244204,D000078622
2157,NCT00018551,D000078622
4582,NCT02239874,D000078622
4072,NCT01127282,D000078622
7797,NCT00198822,D000078622
7074,NCT03866837,D000078622
4897,NCT02414529,D000078622
5630,NCT01410084,D000078622
8272,NCT00874575,D000077264
2417,NCT01049048,D000077264
4059,NCT01587638,D000077264
8176,NCT01814501,D000077264
4925,NCT01846182,D000077264
4178,NCT04536298,D000077264
7944,NCT00365105,D000077264
6525,NCT03848806,D000077264
4957,NCT02178410,D000077264
7018,NCT01992263,D000077264
1379,NCT00907972,D000077264
7948,NCT01009918,D000077264
4888,NCT01633177,D000077264
8129,NCT00537043,D000077264
4897,NCT02414529,D000077264
9862,NCT03861091,D000077264
6186,NCT00921557,D000077264
7956,NCT01099449,D000077264
4956,NCT01762995,D000077264
6230,NCT00321932,D000077264
9212,NCT04388319,D000077264
4942,NCT02165644,D000077264
2418,NCT02435771,D000077264
2702,NCT01217840,D000077264
1398,NCT00412087,D000077264
4938,NCT01785004,D000077264
2792,NCT02956408,D000077264
9521,NCT04116112,D000077264
3737,NCT01488227,D000077264
6526,NCT03069144,D000077264
8327,NCT04369742,D000077264
5630,NCT01410084,D000077264
3300,NCT00754390,D000077264
3310,NCT01391858,D000077264
