,NCTId,InterventionBrowseBranchAbbrev
7190,NCT04166370,Vi
145,NCT01358552,Vi
8110,NCT01858311,Vi
9263,NCT04342728,Vi
8690,NCT00410904,Vi
5849,NCT02297126,Vi
9831,NCT03877003,Vi
2979,NCT03710161,Vi
4694,NCT00816426,Vi
5850,NCT03164616,Vi
2510,NCT01744821,Vi
8113,NCT00679666,Vi
1914,NCT02115724,Vi
7980,NCT00775645,Vi
8269,NCT04117022,Vi
6575,NCT02083679,Vi
7458,NCT01672710,Vi
140,NCT01370954,Vi
6739,NCT03302299,Vi
8958,NCT03410823,Vi
5074,NCT04247087,Vi
7675,NCT00731887,Vi
6155,NCT00656019,Vi
8689,NCT02520115,Vi
7678,NCT01968590,Vi
8234,NCT00176462,Vi
2418,NCT02435771,Vi
2872,NCT02068430,Vi
4072,NCT01127282,Vi
6558,NCT00424294,Vi
2861,NCT04570475,Vi
7830,NCT00415168,Vi
3075,NCT02000778,Vi
3487,NCT01482962,Vi
7083,NCT00109551,Vi
3383,NCT04381481,Vi
3737,NCT01488227,Vi
8735,NCT01678079,Vi
3364,NCT01864057,Vi
3598,NCT02511054,Vi
6223,NCT02706951,Vi
8841,NCT02117336,Vi
5884,NCT02749968,Vi
6582,NCT00341120,Vi
8566,NCT02187055,Vi
4532,NCT04386577,Vi
2501,NCT03012555,Vi
7479,NCT02169882,Vi
7879,NCT00033722,Vi
5249,NCT00473317,Vi
6711,NCT01425476,Vi
7978,NCT00268489,Vi
8023,NCT00742781,Vi
4662,NCT01427400,Vi
4540,NCT01758081,Vi
6584,NCT01175291,Vi
8334,NCT04060030,Vi
7892,NCT01389219,Vi
6449,NCT04070833,Vi
123,NCT02053506,Vi
2618,NCT00798876,Vi
2506,NCT01349088,Vi
1979,NCT04571697,Vi
139,NCT01368549,Vi
1855,NCT01617109,Vi
4508,NCT01169259,Vi
1307,NCT01632761,Vi
6577,NCT03828019,Vi
3489,NCT00184054,Vi
9361,NCT04262869,Vi
7115,NCT00111163,Vi
5593,NCT03478878,Vi
3070,NCT02679794,Vi
6230,NCT00321932,Vi
5346,NCT00396812,Vi
2702,NCT01217840,Vi
4242,NCT00000173,Vi
1112,NCT02375503,Vi
5041,NCT03914365,Vi
7680,NCT03000374,Vi
1318,NCT04073719,Vi
7000,NCT01907906,Vi
5444,NCT00473239,Vi
7411,NCT04387019,Vi
6251,NCT04203186,Vi
8552,NCT01710358,Vi
6138,NCT00904423,Vi
9400,NCT04234581,Vi
7990,NCT00122447,Vi
3637,NCT00336232,Vi
8176,NCT01814501,Vi
1331,NCT04532788,Vi
4751,NCT01369043,Vi
1379,NCT00907972,Vi
8755,NCT00903695,Vi
7706,NCT01746264,Vi
6798,NCT03030703,Vi
3122,NCT01450462,Vi
7431,NCT02706873,Vi
4395,NCT01040832,Vi
5291,NCT03050814,Vi
7739,NCT00470158,Vi
7734,NCT02847962,Vi
4154,NCT00857376,Vi
7993,NCT00121186,Vi
6134,NCT00986986,Vi
7738,NCT00707785,Vi
4957,NCT02178410,Vi
2390,NCT00680706,Vi
5798,NCT01365975,Vi
3093,NCT01295879,Vi
4375,NCT01244204,Vi
3098,NCT01475617,Vi
7428,NCT02216812,Vi
6118,NCT01310192,Vi
4766,NCT02972138,Vi
7018,NCT01992263,Vi
7413,NCT04060017,Vi
2532,NCT01858051,Vi
4178,NCT04536298,Vi
