,NCTId,InterventionBrowseLeafId
4934,NCT00141908,T94
5308,NCT02145949,T9
8469,NCT00760383,T9
5641,NCT03579225,T88
6300,NCT01119326,T88
8538,NCT04170062,T88
1456,NCT03400475,T88
2221,NCT03148262,T88
5944,NCT01564524,T88
5957,NCT02267187,T88
6078,NCT01822301,T88
3467,NCT02775565,T88
2424,NCT03028688,T88
2443,NCT03479905,T88
3412,NCT04408352,T88
2518,NCT04129567,T88
4192,NCT03093662,T88
2954,NCT03408483,T88
6360,NCT03255681,T88
2816,NCT02931435,T88
6660,NCT02403232,T88
5295,NCT03615469,T85
1526,NCT02375256,T8
4443,NCT01556945,T8
6024,NCT03266965,T8
5308,NCT02145949,T8
6428,NCT04117607,T8
96,NCT02569632,T8
8469,NCT00760383,T8
6991,NCT01594008,T79
6923,NCT03370991,T79
7575,NCT04398784,T79
7688,NCT01942746,T79
1621,NCT04049162,T79
7767,NCT02050165,T79
1166,NCT01532622,T79
7293,NCT00599508,T79
7266,NCT01399138,T79
7265,NCT01888848,T79
7264,NCT02075307,T79
1002,NCT01686282,T79
1882,NCT01293617,T75
3576,NCT04005924,T75
4785,NCT02019680,T73
5920,NCT04021342,T71
1294,NCT00220740,T7
7257,NCT01031927,T7
6212,NCT02481310,T7
1883,NCT01283672,T65
1819,NCT01293604,T65
5761,NCT03711747,T63
1038,NCT03525184,T6
5320,NCT00016653,T6
123,NCT02053506,T6
4767,NCT00255229,T6
5916,NCT01239680,T6
8104,NCT04106882,T6
5000,NCT02270164,T59
2155,NCT00363038,T58
2112,NCT01164644,T58
7767,NCT02050165,T56
1605,NCT02142712,T5
8017,NCT01695291,T5
6774,NCT03342482,T5
1046,NCT02419443,T5
8514,NCT00030940,T5
1382,NCT04453293,T5
2683,NCT03004443,T5
4396,NCT00662571,T5
5658,NCT01365819,T482
2230,NCT01299896,T482
6405,NCT01083654,T482
2631,NCT00713479,T482
2657,NCT01011829,T482
2333,NCT00709696,T482
4077,NCT01871506,T482
6569,NCT00525837,T482
9432,NCT04210180,T482
4065,NCT01714323,T482
5194,NCT01347112,T482
3969,NCT01177176,T482
8853,NCT01156610,T482
2055,NCT02859142,T482
9464,NCT04176172,T482
9452,NCT04188873,T482
2866,NCT01106456,T482
9708,NCT03980561,T482
5061,NCT00747643,T482
8214,NCT03557294,T482
8577,NCT00749944,T482
8175,NCT00694044,T482
8309,NCT04188106,T482
5074,NCT04247087,T481
2155,NCT00363038,T481
1814,NCT00995917,T481
5849,NCT02297126,T481
7411,NCT04387019,T481
3637,NCT00336232,T481
5630,NCT01410084,T480
6643,NCT00342992,T480
1914,NCT02115724,T480
8323,NCT00308971,T480
2042,NCT01630551,T480
2618,NCT00798876,T480
8269,NCT04117022,T480
8110,NCT01858311,T480
7804,NCT00860470,T480
7074,NCT03866837,T480
2520,NCT03136029,T480
4751,NCT01369043,T480
2676,NCT00835289,T480
8755,NCT00903695,T480
3911,NCT00631085,T480
8163,NCT00700791,T480
4242,NCT00000173,T480
8588,NCT02360644,T479
1956,NCT00668941,T479
7678,NCT01968590,T479
5630,NCT01410084,T479
4586,NCT01728571,T479
5160,NCT01351805,T479
1855,NCT01617109,T479
4584,NCT01704859,T479
2417,NCT01049048,T479
1307,NCT01632761,T479
4888,NCT01633177,T479
4559,NCT01747447,T479
4583,NCT01696435,T479
3122,NCT01450462,T479
1379,NCT00907972,T479
7706,NCT01746264,T479
8272,NCT00874575,T479
6357,NCT01880463,T479
5837,NCT01601847,T479
6230,NCT00321932,T479
4582,NCT02239874,T479
4178,NCT04536298,T479
8023,NCT00742781,T479
6449,NCT04070833,T479
8574,NCT03483441,T479
4560,NCT01653678,T479
4579,NCT01782352,T479
3065,NCT03467789,T479
2178,NCT01696409,T479
4550,NCT01669915,T479
4554,NCT01684722,T479
2792,NCT02956408,T479
7786,NCT02066441,T479
5525,NCT01443728,T479
8958,NCT03410823,T479
5444,NCT00473239,T479
4532,NCT04386577,T479
2532,NCT01858051,T479
4508,NCT01169259,T479
2510,NCT01744821,T479
4637,NCT01630213,T479
4938,NCT01785004,T479
2501,NCT03012555,T479
6711,NCT01425476,T479
4957,NCT02178410,T479
1398,NCT00412087,T479
4540,NCT01758081,T479
5837,NCT01601847,T478
1379,NCT00907972,T478
3065,NCT03467789,T478
4559,NCT01747447,T478
3093,NCT01295879,T478
3737,NCT01488227,T478
6357,NCT01880463,T478
4560,NCT01653678,T478
4582,NCT02239874,T478
4508,NCT01169259,T478
4579,NCT01782352,T478
6449,NCT04070833,T478
5525,NCT01443728,T478
1398,NCT00412087,T478
4586,NCT01728571,T478
2178,NCT01696409,T478
1307,NCT01632761,T478
2702,NCT01217840,T478
4550,NCT01669915,T478
4554,NCT01684722,T478
4888,NCT01633177,T478
8272,NCT00874575,T478
2418,NCT02435771,T478
2803,NCT01570309,T478
