,NCTId,InterventionMeshId
5328,NCT01038323,D000078862
1075,NCT00618956,D000078862
2509,NCT01329406,D000078862
4175,NCT02655354,D000078785
5954,NCT00506389,D000078785
6353,NCT00482612,D000078785
7182,NCT02845349,D000078784
1075,NCT00618956,D000078764
5328,NCT01038323,D000078764
2509,NCT01329406,D000078764
1038,NCT03525184,D000078622
8714,NCT00072995,D000078622
7213,NCT01129089,D000078622
6138,NCT00904423,D000078622
8490,NCT00846872,D000078604
1139,NCT00154323,D000078330
1156,NCT00154362,D000078330
4012,NCT01390909,D000078330
6288,NCT00518713,D000078306
6285,NCT00162981,D000078306
6075,NCT01847469,D000078305
9212,NCT04388319,D000078305
8160,NCT01401023,D000078304
1572,NCT01618591,D000078262
100,NCT00328380,D000078262
5782,NCT00098384,D000078262
7745,NCT00858988,D000078262
2400,NCT01951209,D000078262
1101,NCT02498301,D000078262
3182,NCT03462966,D000078262
86,NCT02766647,D000078224
79,NCT02766634,D000078224
1573,NCT02703051,D000078224
8692,NCT00462358,D000078224
7142,NCT01046825,D000078224
3688,NCT02629289,D000078224
7440,NCT02215200,D000078224
7400,NCT03395028,D000078224
7617,NCT00140140,D000078224
7421,NCT01444612,D000078222
8555,NCT03560232,D000078142
7186,NCT04370977,D000078102
6251,NCT04203186,D000078102
7226,NCT00140361,D000078102
7491,NCT01052584,D000078102
2968,NCT00266058,D000078102
7464,NCT01976780,D000078102
4202,NCT01228344,D000078102
3037,NCT00135733,D000077944
2465,NCT01433770,D000077944
2292,NCT00342862,D000077944
9920,NCT03817970,D000077924
6242,NCT04573478,D000077868
7927,NCT00134056,D000077868
6241,NCT04573920,D000077868
6243,NCT02630043,D000077867
8276,NCT02929485,D000077867
6590,NCT01158950,D000077867
2131,NCT00156013,D000077866
3703,NCT00395876,D000077785
3629,NCT00396318,D000077785
3586,NCT00396032,D000077785
3516,NCT00396253,D000077785
4985,NCT03785678,D000077785
3810,NCT00094107,D000077784
3757,NCT00219557,D000077784
3780,NCT00094055,D000077784
2936,NCT01529138,D000077784
3851,NCT00094094,D000077784
2871,NCT01378546,D000077770
2561,NCT00891033,D000077767
4074,NCT01321346,D000077767
9268,NCT04341311,D000077767
8527,NCT00723203,D000077767
8128,NCT01460940,D000077767
5634,NCT00958022,D000077767
3955,NCT02720510,D000077767
4902,NCT00848523,D000077767
