,NCTId,IsFDARegulatedDevice
0,NCT04371159,Yes
8262,NCT03840096,Yes
8498,NCT02224352,Yes
8472,NCT03533829,Yes
8459,NCT04309370,Yes
8411,NCT03649958,Yes
8402,NCT03461783,Yes
8378,NCT04418934,Yes
8367,NCT03774186,Yes
8299,NCT03383666,Yes
1306,NCT03693937,Yes
8265,NCT03872856,Yes
8179,NCT03446833,Yes
1878,NCT03257436,Yes
8168,NCT01958437,Yes
8167,NCT03523507,Yes
1356,NCT02175316,Yes
8119,NCT03769740,Yes
1374,NCT03969654,Yes
8068,NCT04083690,Yes
1396,NCT03594292,Yes
8032,NCT04080128,Yes
1402,NCT03620786,Yes
7955,NCT04390009,Yes
1218,NCT03491397,Yes
8522,NCT03581877,Yes
8594,NCT03581136,Yes
8695,NCT03705325,Yes
8986,NCT04604015,Yes
8981,NCT04606030,Yes
8978,NCT04608773,Yes
1017,NCT02200055,Yes
1023,NCT02755831,Yes
8965,NCT02728076,Yes
8962,NCT04066894,Yes
1034,NCT03719391,Yes
8954,NCT04331366,Yes
8952,NCT04157270,Yes
1039,NCT03306602,Yes
1045,NCT04607356,Yes
8932,NCT03951064,Yes
1055,NCT03056534,Yes
1057,NCT03421561,Yes
8867,NCT03095391,Yes
8832,NCT03995667,Yes
8807,NCT02535572,Yes
8781,NCT03199079,Yes
8751,NCT03932773,Yes
8729,NCT04542642,Yes
7935,NCT03567018,Yes
1437,NCT03875651,Yes
7908,NCT03271307,Yes
7408,NCT03329404,Yes
7316,NCT03762070,Yes
7296,NCT03767894,Yes
7289,NCT03449667,Yes
1722,NCT03711916,Yes
1723,NCT03520426,Yes
7270,NCT03154307,Yes
7239,NCT04453943,Yes
7135,NCT00615979,Yes
7128,NCT03692273,Yes
7108,NCT03834714,Yes
1790,NCT03131544,Yes
7014,NCT03462758,Yes
1803,NCT04063709,Yes
6998,NCT03165968,Yes
6993,NCT04043715,Yes
6945,NCT03433599,Yes
6915,NCT03820947,Yes
6866,NCT03760497,Yes
6854,NCT04100564,Yes
6849,NCT02863809,Yes
6842,NCT03264235,Yes
7374,NCT04372797,Yes
7409,NCT03168776,Yes
1460,NCT02984943,Yes
1653,NCT03814096,Yes
7832,NCT01504308,Yes
7764,NCT01138917,Yes
1512,NCT03713333,Yes
7707,NCT03198754,Yes
7704,NCT02088671,Yes
7671,NCT03865901,Yes
1548,NCT03903588,Yes
7632,NCT03156010,Yes
7620,NCT02990793,Yes
7611,NCT04599296,Yes
7606,NCT04049305,Yes
7605,NCT04037852,Yes
7595,NCT04545424,Yes
1590,NCT04419883,Yes
7564,NCT02753842,Yes
7553,NCT03752619,Yes
7552,NCT03439319,Yes
7528,NCT04250688,Yes
1624,NCT03512301,Yes
7509,NCT03510286,Yes
1632,NCT04504019,Yes
1006,NCT02876575,Yes
8988,NCT04599751,Yes
8992,NCT04596241,Yes
9459,NCT04182113,Yes
9453,NCT04188535,Yes
9448,NCT04195646,Yes
9445,NCT04201132,Yes
9439,NCT04205084,Yes
9437,NCT04207437,Yes
9434,NCT04209790,Yes
9431,NCT04210427,Yes
9411,NCT04227119,Yes
9402,NCT04233112,Yes
9394,NCT04238143,Yes
9391,NCT04240561,Yes
9383,NCT04242277,Yes
9382,NCT04243044,Yes
9378,NCT04250662,Yes
9376,NCT04251988,Yes
9375,NCT04252040,Yes
9373,NCT04254003,Yes
9354,NCT04269161,Yes
9345,NCT04276805,Yes
9340,NCT04280653,Yes
9333,NCT04288752,Yes
9454,NCT04188262,Yes
9460,NCT04180540,Yes
9304,NCT04311619,Yes
9461,NCT04179981,Yes
9576,NCT04077190,Yes
9567,NCT04084093,Yes
9562,NCT04087213,Yes
9557,NCT04089371,Yes
9556,NCT04090359,Yes
9552,NCT04090970,Yes
9543,NCT04095481,Yes
9537,NCT04103619,Yes
9535,NCT04104191,Yes
9533,NCT04104737,Yes
9532,NCT04107610,Yes
9526,NCT04112433,Yes
9515,NCT04121364,Yes
9511,NCT04124419,Yes
9505,NCT04128618,Yes
9495,NCT04138953,Yes
9494,NCT04142229,Yes
9480,NCT04153188,Yes
9478,NCT04160000,Yes
9476,NCT04162145,Yes
9469,NCT04171544,Yes
9308,NCT04306211,Yes
9297,NCT04317586,Yes
8993,NCT04595903,Yes
9107,NCT04497129,Yes
9101,NCT04502316,Yes
9096,NCT04506307,Yes
9091,NCT04511338,Yes
9088,NCT04514757,Yes
9077,NCT04524715,Yes
9070,NCT04530500,Yes
9067,NCT04534660,Yes
9065,NCT04538963,Yes
9063,NCT04539158,Yes
9055,NCT04545957,Yes
9053,NCT04546763,Yes
9051,NCT04549051,Yes
9046,NCT04554212,Yes
9029,NCT04566874,Yes
9016,NCT04577976,Yes
9012,NCT04580667,Yes
9009,NCT04582214,Yes
9005,NCT04584762,Yes
9002,NCT04587804,Yes
8996,NCT04593693,Yes
8995,NCT04593784,Yes
9106,NCT04497363,Yes
9113,NCT04494698,Yes
9290,NCT04321356,Yes
9114,NCT04491175,Yes
9288,NCT04322448,Yes
9273,NCT04336774,Yes
9269,NCT04340622,Yes
9256,NCT04349202,Yes
9254,NCT04350359,Yes
9244,NCT04359108,Yes
9236,NCT04368702,Yes
9226,NCT04378270,Yes
9221,NCT04380311,Yes
9220,NCT04380415,Yes
9219,NCT04382391,Yes
9211,NCT04388488,Yes
9198,NCT04403737,Yes
9188,NCT04411823,Yes
9178,NCT04426526,Yes
9172,NCT04432727,Yes
9169,NCT04437680,Yes
9168,NCT04437732,Yes
9138,NCT04473430,Yes
9123,NCT04484805,Yes
9117,NCT04486560,Yes
6820,NCT04215445,Yes
6773,NCT03409133,Yes
9600,NCT04056013,Yes
2939,NCT04011748,Yes
2862,NCT04156802,Yes
4414,NCT02945501,Yes
2884,NCT03721835,Yes
2900,NCT04317924,Yes
4340,NCT04557761,Yes
4336,NCT04176627,Yes
4323,NCT02317250,Yes
2914,NCT04115228,Yes
4313,NCT04609514,Yes
2925,NCT04465019,Yes
4251,NCT04180423,Yes
6772,NCT03440554,Yes
2945,NCT03843437,Yes
4192,NCT03093662,Yes
4180,NCT03008837,Yes
2982,NCT02524366,Yes
4148,NCT03055858,Yes
4147,NCT02923193,Yes
4102,NCT03892889,Yes
4047,NCT03504826,Yes
4040,NCT02005445,Yes
4006,NCT03032770,Yes
4475,NCT03909503,Yes
2841,NCT03465995,Yes
4547,NCT03831165,Yes
4568,NCT01954901,Yes
2641,NCT03323723,Yes
4885,NCT03971227,Yes
4881,NCT03308903,Yes
2670,NCT04399941,Yes
4877,NCT03540745,Yes
4852,NCT03277846,Yes
4806,NCT03065647,Yes
2709,NCT03982979,Yes
4782,NCT03333876,Yes
2728,NCT03557775,Yes
2729,NCT03850717,Yes
4741,NCT04092400,Yes
2735,NCT04559191,Yes
4698,NCT03639025,Yes
4692,NCT03494244,Yes
4681,NCT04401631,Yes
4660,NCT03831724,Yes
2780,NCT03076216,Yes
4623,NCT04427995,Yes
4596,NCT04163224,Yes
2808,NCT04221815,Yes
3999,NCT04434313,Yes
3057,NCT04499508,Yes
3065,NCT03467789,Yes
3617,NCT03148496,Yes
3597,NCT04570579,Yes
3588,NCT03860259,Yes
3190,NCT04327518,Yes
3571,NCT04262791,Yes
3202,NCT03040466,Yes
3208,NCT03992378,Yes
3500,NCT04434352,Yes
3215,NCT02261974,Yes
3473,NCT01766102,Yes
3449,NCT03891381,Yes
3441,NCT03184792,Yes
3232,NCT04502212,Yes
3418,NCT02180139,Yes
3412,NCT04408352,Yes
3402,NCT03738462,Yes
3374,NCT03634306,Yes
3256,NCT01131312,Yes
3321,NCT04046055,Yes
3316,NCT04312165,Yes
3302,NCT01117571,Yes
3278,NCT03411863,Yes
3604,NCT04306445,Yes
3622,NCT04141605,Yes
3950,NCT03596151,Yes
3633,NCT03830307,Yes
3073,NCT03864367,Yes
3927,NCT03354663,Yes
3913,NCT02583178,Yes
3906,NCT03852316,Yes
3841,NCT04436198,Yes
3104,NCT03778060,Yes
3108,NCT03920670,Yes
3113,NCT04608149,Yes
3124,NCT01820182,Yes
3127,NCT04543825,Yes
3758,NCT03421626,Yes
3754,NCT03834142,Yes
3131,NCT03465917,Yes
3693,NCT03218787,Yes
3152,NCT03249584,Yes
3686,NCT03650556,Yes
3667,NCT03734523,Yes
3649,NCT02600936,Yes
3634,NCT03555266,Yes
3170,NCT03856255,Yes
3171,NCT00654615,Yes
4941,NCT03185832,Yes
4951,NCT04055688,Yes
2630,NCT03286283,Yes
6291,NCT03892746,Yes
2099,NCT03377621,Yes
6229,NCT04562012,Yes
6227,NCT04182659,Yes
6199,NCT03693924,Yes
6143,NCT00851253,Yes
6142,NCT00852644,Yes
6141,NCT00853528,Yes
6059,NCT02317640,Yes
2139,NCT04155047,Yes
2150,NCT02600845,Yes
6018,NCT03418129,Yes
6013,NCT03551678,Yes
6000,NCT03851406,Yes
2181,NCT03723603,Yes
2182,NCT03723577,Yes
5994,NCT03927404,Yes
5990,NCT04051242,Yes
5983,NCT04275973,Yes
5972,NCT03029884,Yes
5971,NCT04162847,Yes
5969,NCT03763747,Yes
6246,NCT03883477,Yes
2085,NCT03246126,Yes
5961,NCT04073225,Yes
2076,NCT04598828,Yes
6770,NCT03564795,Yes
6768,NCT03996876,Yes
6762,NCT04601532,Yes
6743,NCT03221777,Yes
6735,NCT04074486,Yes
6679,NCT04171960,Yes
6652,NCT04169529,Yes
1940,NCT03596203,Yes
6622,NCT04261738,Yes
6613,NCT03598816,Yes
6599,NCT03547869,Yes
1960,NCT04545333,Yes
6573,NCT03259386,Yes
2000,NCT02050113,Yes
6492,NCT03244475,Yes
6475,NCT04246281,Yes
2015,NCT00578994,Yes
6474,NCT04341948,Yes
6462,NCT03733626,Yes
6392,NCT03750292,Yes
6329,NCT02755285,Yes
5968,NCT02367521,Yes
5960,NCT04120584,Yes
4972,NCT03305393,Yes
5633,NCT03098082,Yes
5626,NCT03107546,Yes
5611,NCT03259893,Yes
5578,NCT03505567,Yes
5550,NCT04145323,Yes
5464,NCT02828280,Yes
5393,NCT03438682,Yes
2443,NCT03479905,Yes
5358,NCT04236804,Yes
5347,NCT01615055,Yes
5331,NCT04586387,Yes
5295,NCT03615469,Yes
5269,NCT04250779,Yes
2512,NCT04574167,Yes
5211,NCT04518670,Yes
5183,NCT04276051,Yes
5179,NCT03731000,Yes
2545,NCT04277780,Yes
5084,NCT01960465,Yes
2583,NCT04562649,Yes
2597,NCT03066999,Yes
5030,NCT04313296,Yes
5631,NCT04132700,Yes
5642,NCT04103164,Yes
5945,NCT03685058,Yes
2330,NCT03735407,Yes
2219,NCT03699930,Yes
2221,NCT03148262,Yes
5924,NCT03341000,Yes
5922,NCT03662308,Yes
5906,NCT02006433,Yes
2234,NCT02924857,Yes
5865,NCT03157531,Yes
5834,NCT04495634,Yes
2253,NCT03406975,Yes
5812,NCT03111550,Yes
5802,NCT03198156,Yes
5775,NCT04504604,Yes
2283,NCT01327105,Yes
2286,NCT03640286,Yes
