,NCTId,IsFDARegulatedDrug
9999,NCT03766373,Yes
7276,NCT03416348,Yes
7429,NCT03207152,Yes
7431,NCT02706873,Yes
7440,NCT02215200,Yes
7445,NCT04533464,Yes
1698,NCT02742532,Yes
7451,NCT03334396,Yes
7452,NCT03334422,Yes
1695,NCT00833963,Yes
7454,NCT03733301,Yes
7456,NCT04360681,Yes
1678,NCT03921294,Yes
1676,NCT03264131,Yes
7497,NCT04471974,Yes
7526,NCT01299116,Yes
7545,NCT03343197,Yes
1657,NCT04550455,Yes
7558,NCT03207750,Yes
7561,NCT03005054,Yes
7569,NCT04322357,Yes
7580,NCT03834584,Yes
1637,NCT03334175,Yes
7591,NCT03844061,Yes
7595,NCT04545424,Yes
1629,NCT01809639,Yes
7603,NCT01287104,Yes
7423,NCT03276572,Yes
7413,NCT04060017,Yes
1713,NCT03642847,Yes
7323,NCT03544632,Yes
7285,NCT03227861,Yes
1770,NCT02568306,Yes
7290,NCT03079999,Yes
7301,NCT03623022,Yes
1762,NCT02995915,Yes
7307,NCT04574869,Yes
1759,NCT02870231,Yes
7312,NCT04590963,Yes
7319,NCT03869060,Yes
7320,NCT04298138,Yes
1751,NCT03576755,Yes
7338,NCT03026556,Yes
7400,NCT03395028,Yes
7348,NCT02689713,Yes
1741,NCT03095807,Yes
1740,NCT04349072,Yes
7355,NCT03386539,Yes
7356,NCT01670877,Yes
7362,NCT02237196,Yes
1729,NCT03248141,Yes
7376,NCT00756600,Yes
7380,NCT03521154,Yes
7391,NCT04094298,Yes
7393,NCT00737893,Yes
7610,NCT02032277,Yes
7616,NCT04075513,Yes
1616,NCT03866434,Yes
1475,NCT00290147,Yes
7815,NCT02849080,Yes
7827,NCT02607865,Yes
7828,NCT01374906,Yes
7844,NCT02229851,Yes
7856,NCT02386098,Yes
7862,NCT03828201,Yes
7873,NCT03751124,Yes
1483,NCT02386150,Yes
1482,NCT03051386,Yes
1481,NCT03867162,Yes
1476,NCT02285777,Yes
7955,NCT04390009,Yes
7810,NCT03136484,Yes
7957,NCT03527186,Yes
1456,NCT03400475,Yes
7967,NCT01124695,Yes
7984,NCT02940301,Yes
7985,NCT02760030,Yes
7992,NCT00369785,Yes
7996,NCT01058395,Yes
7998,NCT02831582,Yes
8001,NCT02949128,Yes
8008,NCT03701711,Yes
1432,NCT03140488,Yes
1511,NCT03535272,Yes
1514,NCT00183885,Yes
7618,NCT03005418,Yes
1569,NCT04127058,Yes
7621,NCT02114229,Yes
7629,NCT03193398,Yes
1603,NCT02963935,Yes
7650,NCT03850509,Yes
1595,NCT03820414,Yes
1594,NCT04274153,Yes
1587,NCT00183872,Yes
7678,NCT01968590,Yes
1582,NCT01724619,Yes
1575,NCT03068949,Yes
1573,NCT02703051,Yes
1567,NCT04255251,Yes
7801,NCT03461120,Yes
1566,NCT04098250,Yes
7730,NCT03541941,Yes
1550,NCT02963376,Yes
7742,NCT04169269,Yes
1544,NCT04382625,Yes
7773,NCT04373460,Yes
7782,NCT03698279,Yes
7793,NCT02963922,Yes
7794,NCT03399786,Yes
7799,NCT04060342,Yes
1519,NCT00183898,Yes
7277,NCT03236012,Yes
7275,NCT04071600,Yes
6398,NCT03953300,Yes
7267,NCT02938975,Yes
6561,NCT04200352,Yes
2038,NCT03922061,Yes
6577,NCT03828019,Yes
2036,NCT03342196,Yes
2035,NCT03978234,Yes
6583,NCT03905642,Yes
2033,NCT01511640,Yes
6586,NCT04576507,Yes
6589,NCT04596644,Yes
2028,NCT03973489,Yes
6597,NCT04531579,Yes
6613,NCT03598816,Yes
2006,NCT02550366,Yes
6663,NCT04380038,Yes
6681,NCT03043326,Yes
6682,NCT03765567,Yes
6683,NCT02987543,Yes
6688,NCT04212650,Yes
6689,NCT04210986,Yes
1986,NCT03568331,Yes
1985,NCT04140695,Yes
6691,NCT03880487,Yes
6692,NCT03867357,Yes
1980,NCT03005639,Yes
1979,NCT04571697,Yes
2047,NCT03341078,Yes
2052,NCT03999099,Yes
6534,NCT04545385,Yes
2081,NCT03963375,Yes
6416,NCT03311126,Yes
6424,NCT00021814,Yes
6426,NCT04306705,Yes
2113,NCT03597516,Yes
6428,NCT04117607,Yes
6443,NCT03552263,Yes
2105,NCT04211545,Yes
6473,NCT00847912,Yes
2090,NCT03722589,Yes
2088,NCT04372108,Yes
2082,NCT03844412,Yes
6515,NCT03198819,Yes
6533,NCT03813238,Yes
