,NCTId,LeadSponsorClass
3992,NCT00884013,OTHER_GOV
4818,NCT03068117,OTHER_GOV
5114,NCT02798432,OTHER_GOV
4963,NCT02071745,OTHER_GOV
5698,NCT03089684,OTHER_GOV
6662,NCT03394703,OTHER_GOV
3830,NCT01123577,OTHER_GOV
7736,NCT03210415,OTHER_GOV
5074,NCT04247087,OTHER_GOV
7747,NCT01624337,OTHER_GOV
4721,NCT00517270,OTHER_GOV
9890,NCT03838510,OTHER_GOV
7181,NCT01280162,OTHER_GOV
4875,NCT03379961,OTHER_GOV
6812,NCT04595344,OTHER_GOV
4318,NCT00914784,OTHER_GOV
6675,NCT00708890,OTHER_GOV
4095,NCT01560026,OTHER_GOV
4695,NCT03239782,OTHER_GOV
7162,NCT04568330,OTHER_GOV
4401,NCT01817244,OTHER_GOV
4288,NCT01044095,OTHER_GOV
4226,NCT00475202,OTHER_GOV
5439,NCT04482361,OTHER_GOV
6376,NCT02133469,OTHER_GOV
4231,NCT03172962,OTHER_GOV
3854,NCT04176107,OTHER_GOV
8403,NCT00458211,OTHER_GOV
4611,NCT03183401,OTHER_GOV
7909,NCT03064620,OTHER_GOV
3772,NCT00422643,OTHER_GOV
4466,NCT04395781,OTHER_GOV
4352,NCT04561804,OTHER_GOV
7688,NCT01942746,OTHER_GOV
6427,NCT03756545,OTHER_GOV
7689,NCT01489215,OTHER_GOV
4191,NCT03765593,OTHER_GOV
7218,NCT00351702,OTHER_GOV
5334,NCT03646084,OTHER_GOV
6433,NCT03400436,OTHER_GOV
4362,NCT00192634,OTHER_GOV
8220,NCT00126152,OTHER_GOV
7098,NCT03127293,OTHER_GOV
5428,NCT00860002,OTHER_GOV
8497,NCT02700542,OTHER_GOV
7536,NCT00368095,OTHER_GOV
5001,NCT00489151,OTHER_GOV
7512,NCT02271737,OTHER_GOV
4321,NCT01138254,OTHER_GOV
4908,NCT02155153,OTHER_GOV
7126,NCT04387812,OTHER_GOV
6201,NCT01055990,OTHER_GOV
5081,NCT02120248,OTHER_GOV
4974,NCT02747732,OTHER_GOV
4777,NCT04287257,OTHER_GOV
4927,NCT03389581,OTHER_GOV
4626,NCT03709888,OTHER
4629,NCT03982576,OTHER
4628,NCT01695252,OTHER
7654,NCT02268292,OTHER
4631,NCT01700517,OTHER
4627,NCT02538601,OTHER
5000,NCT02270164,OTHER
4639,NCT01353352,OTHER
4632,NCT02269410,OTHER
4643,NCT03494283,OTHER
4656,NCT00795561,OTHER
4654,NCT04516824,OTHER
4653,NCT01786109,OTHER
4652,NCT04198974,OTHER
4651,NCT03486093,OTHER
4646,NCT04384263,OTHER
4645,NCT02940795,OTHER
7652,NCT03672461,OTHER
4642,NCT01084239,OTHER
4633,NCT02249650,OTHER
4641,NCT01163773,OTHER
4640,NCT01511939,OTHER
4624,NCT01889225,OTHER
7653,NCT04113135,OTHER
4637,NCT01630213,OTHER
4636,NCT02113670,OTHER
4635,NCT02870868,OTHER
4634,NCT04263025,OTHER
4625,NCT02476630,OTHER
4613,NCT01409681,OTHER
4623,NCT04427995,OTHER
7660,NCT00681694,OTHER
7658,NCT02512445,OTHER
4595,NCT02745210,OTHER
4594,NCT01892514,OTHER
4593,NCT02657317,OTHER
4592,NCT00580944,OTHER
4591,NCT01001325,OTHER
4590,NCT01500538,OTHER
4587,NCT03613623,OTHER
4586,NCT01728571,OTHER
4584,NCT01704859,OTHER
4622,NCT04568369,OTHER
4583,NCT01696435,OTHER
4582,NCT02239874,OTHER
4581,NCT04368117,OTHER
7661,NCT04230967,OTHER
4579,NCT01782352,OTHER
4578,NCT03176420,OTHER
4577,NCT03579706,OTHER
7662,NCT03755401,OTHER
7663,NCT03059082,OTHER
4597,NCT03655587,OTHER
4598,NCT02647983,OTHER
4599,NCT03859362,OTHER
4600,NCT03953924,OTHER
4621,NCT00161525,OTHER
4620,NCT01891773,OTHER
4619,NCT03747783,OTHER
4618,NCT03598660,OTHER
7655,NCT02816294,OTHER
4616,NCT00027404,OTHER
4615,NCT02501447,OTHER
7656,NCT03272074,OTHER
4658,NCT03437837,OTHER
4612,NCT03584113,OTHER
4610,NCT03640312,OTHER
4609,NCT00199797,OTHER
4608,NCT02328989,OTHER
4607,NCT03804242,OTHER
4606,NCT04092530,OTHER
4605,NCT02357277,OTHER
4604,NCT00908830,OTHER
4603,NCT02208050,OTHER
4602,NCT02990091,OTHER
4657,NCT04171180,OTHER
7644,NCT02887235,OTHER
4659,NCT02267317,OTHER
4750,NCT03245879,OTHER
4748,NCT04108702,OTHER
4747,NCT04236271,OTHER
4746,NCT02181556,OTHER
4745,NCT04516252,OTHER
7628,NCT03527641,OTHER
4743,NCT02036060,OTHER
4742,NCT03641742,OTHER
4741,NCT04092400,OTHER
4740,NCT01766960,OTHER
4738,NCT03634852,OTHER
4737,NCT01859026,OTHER
4735,NCT04450914,OTHER
4734,NCT03914781,OTHER
4733,NCT03280979,OTHER
4732,NCT01556191,OTHER
4731,NCT02812030,OTHER
4730,NCT03366363,OTHER
4729,NCT04266210,OTHER
4728,NCT04119206,OTHER
4727,NCT03247803,OTHER
4726,NCT01715740,OTHER
4749,NCT04352634,OTHER
7626,NCT03446131,OTHER
4724,NCT03595410,OTHER
4752,NCT01191411,OTHER
4773,NCT03499509,OTHER
4772,NCT00624585,OTHER
7621,NCT02114229,OTHER
7622,NCT02202031,OTHER
4769,NCT03971305,OTHER
4768,NCT01622959,OTHER
4767,NCT00255229,OTHER
4766,NCT02972138,OTHER
4765,NCT02701868,OTHER
4764,NCT01843751,OTHER
4763,NCT00820378,OTHER
7623,NCT01903889,OTHER
4761,NCT03490682,OTHER
4760,NCT03251911,OTHER
7624,NCT02756689,OTHER
4758,NCT03327103,OTHER
4757,NCT03645941,OTHER
4756,NCT00672594,OTHER
4755,NCT04171336,OTHER
7625,NCT02171312,OTHER
4753,NCT02419885,OTHER
7630,NCT03432715,OTHER
7631,NCT00622401,OTHER
7646,NCT03643978,OTHER
4690,NCT02545010,OTHER
4688,NCT01867905,OTHER
4687,NCT00746083,OTHER
4686,NCT01241383,OTHER
4685,NCT04075903,OTHER
4684,NCT04580017,OTHER
4683,NCT02561390,OTHER
4679,NCT00914745,OTHER
4677,NCT02232269,OTHER
4676,NCT04598399,OTHER
4675,NCT02746900,OTHER
4674,NCT03683589,OTHER
4573,NCT02359916,OTHER
4669,NCT01710943,OTHER
4668,NCT00140114,OTHER
4667,NCT03780985,OTHER
4666,NCT03482206,OTHER
4665,NCT03711981,OTHER
4664,NCT04512157,OTHER
4663,NCT04349020,OTHER
4662,NCT01427400,OTHER
4661,NCT04579120,OTHER
4689,NCT02880527,OTHER
4692,NCT03494244,OTHER
4722,NCT02094898,OTHER
4693,NCT02258256,OTHER
4720,NCT04049045,OTHER
4719,NCT03274713,OTHER
4718,NCT02679092,OTHER
4717,NCT00736554,OTHER
4716,NCT04577911,OTHER
4715,NCT03512730,OTHER
4713,NCT04542005,OTHER
4712,NCT03259178,OTHER
7633,NCT03580538,OTHER
4710,NCT02829918,OTHER
4709,NCT01336452,OTHER
7634,NCT00198796,OTHER
7635,NCT02096653,OTHER
4706,NCT04474080,OTHER
4704,NCT02244957,OTHER
4703,NCT02038101,OTHER
4702,NCT02045290,OTHER
4701,NCT04246528,OTHER
4700,NCT02274012,OTHER
4697,NCT03168490,OTHER
7638,NCT01169428,OTHER
4574,NCT04203199,OTHER
4558,NCT02555904,OTHER
4572,NCT02451176,OTHER
7722,NCT04115813,OTHER
7724,NCT00829114,OTHER
7725,NCT00138047,OTHER
7726,NCT00115271,OTHER
7727,NCT01672840,OTHER
7728,NCT03916796,OTHER
7729,NCT04248088,OTHER
7730,NCT03541941,OTHER
7732,NCT03158558,OTHER
7733,NCT03413709,OTHER
7734,NCT02847962,OTHER
7737,NCT03774602,OTHER
7738,NCT00707785,OTHER
7739,NCT00470158,OTHER
4419,NCT02799836,OTHER
4418,NCT00554736,OTHER
4416,NCT01321281,OTHER
4415,NCT01563887,OTHER
4413,NCT02551666,OTHER
4412,NCT02546388,OTHER
4411,NCT02301195,OTHER
4410,NCT00806910,OTHER
7723,NCT01668992,OTHER
7721,NCT04160169,OTHER
4408,NCT04334707,OTHER
7720,NCT04244799,OTHER
7694,NCT02910934,OTHER
7696,NCT02170246,OTHER
7697,NCT04016909,OTHER
7698,NCT00399529,OTHER
7699,NCT02721147,OTHER
7700,NCT04055181,OTHER
7701,NCT01145443,OTHER
7702,NCT03371225,OTHER
7703,NCT02272959,OTHER
7705,NCT04377412,OTHER
7706,NCT01746264,OTHER
7707,NCT03198754,OTHER
7709,NCT02764528,OTHER
7710,NCT04379414,OTHER
7711,NCT02843178,OTHER
7712,NCT01910493,OTHER
7713,NCT01569191,OTHER
7714,NCT04133766,OTHER
7716,NCT04044235,OTHER
7718,NCT00775866,OTHER
7719,NCT00201929,OTHER
4409,NCT02430792,OTHER
4407,NCT02170532,OTHER
7692,NCT00162435,OTHER
4380,NCT02178982,OTHER
7749,NCT00537173,OTHER
4377,NCT04379830,OTHER
4376,NCT03360422,OTHER
4375,NCT01244204,OTHER
4374,NCT02441998,OTHER
7750,NCT03453866,OTHER
4371,NCT01504217,OTHER
7751,NCT03529695,OTHER
4368,NCT04059705,OTHER
4367,NCT02849301,OTHER
7752,NCT04312334,OTHER
4365,NCT04418856,OTHER
4364,NCT02948738,OTHER
7753,NCT04092114,OTHER
7754,NCT03255941,OTHER
4359,NCT00697151,OTHER
7755,NCT02775929,OTHER
4357,NCT04344873,OTHER
4356,NCT01236287,OTHER
4355,NCT03030885,OTHER
7756,NCT01413126,OTHER
4379,NCT02814994,OTHER
4381,NCT01013636,OTHER
7743,NCT02127281,OTHER
4382,NCT04139187,OTHER
4405,NCT00734539,OTHER
7744,NCT03308812,OTHER
7745,NCT00858988,OTHER
4402,NCT03579329,OTHER
4400,NCT02079831,OTHER
4399,NCT04293536,OTHER
4398,NCT03719963,OTHER
4397,NCT04569344,OTHER
4396,NCT00662571,OTHER
7746,NCT04012749,OTHER
4394,NCT02519868,OTHER
4393,NCT03351088,OTHER
4392,NCT02344576,OTHER
4391,NCT03714711,OTHER
4389,NCT03404986,OTHER
4388,NCT00221416,OTHER
7748,NCT02008058,OTHER
4386,NCT03185871,OTHER
4385,NCT02351544,OTHER
4384,NCT02222662,OTHER
4383,NCT01223313,OTHER
7693,NCT03406013,OTHER
4467,NCT01954290,OTHER
4571,NCT00141895,OTHER
4545,NCT03828877,OTHER
4543,NCT01864564,OTHER
7672,NCT00438594,OTHER
4541,NCT02366234,OTHER
4540,NCT01758081,OTHER
7673,NCT03266120,OTHER
4538,NCT01524705,OTHER
4537,NCT03890497,OTHER
7674,NCT03170297,OTHER
4535,NCT03660917,OTHER
4533,NCT02972515,OTHER
4532,NCT04386577,OTHER
4531,NCT01330264,OTHER
4530,NCT03282916,OTHER
4529,NCT00731497,OTHER
7675,NCT00731887,OTHER
4527,NCT03132857,OTHER
7676,NCT03202745,OTHER
4525,NCT01273077,OTHER
7677,NCT03677674,OTHER
4523,NCT03897764,OTHER
4522,NCT02765945,OTHER
4544,NCT00128999,OTHER
4546,NCT03671785,OTHER
4520,NCT03266783,OTHER
4547,NCT03831165,OTHER
4570,NCT04385524,OTHER
4569,NCT03853304,OTHER
7664,NCT03393637,OTHER
7665,NCT01989273,OTHER
7666,NCT02298361,OTHER
7667,NCT01212848,OTHER
7668,NCT04178538,OTHER
7669,NCT04377581,OTHER
7670,NCT02225847,OTHER
4561,NCT01144767,OTHER
4560,NCT01653678,OTHER
4559,NCT01747447,OTHER
4557,NCT01672060,OTHER
4556,NCT01801384,OTHER
4555,NCT01747889,OTHER
4554,NCT01684722,OTHER
4553,NCT01029483,OTHER
4551,NCT04596904,OTHER
4550,NCT01669915,OTHER
4549,NCT03905928,OTHER
4548,NCT03403257,OTHER
4521,NCT01768325,OTHER
4519,NCT04247646,OTHER
4468,NCT00256477,OTHER
7682,NCT00732173,OTHER
7683,NCT03935282,OTHER
4490,NCT04191473,OTHER
7684,NCT03502096,OTHER
4488,NCT02971358,OTHER
4487,NCT03352479,OTHER
4486,NCT00788879,OTHER
7685,NCT03478553,OTHER
7686,NCT01067287,OTHER
4483,NCT03054103,OTHER
7687,NCT04053842,OTHER
4481,NCT02670850,OTHER
4478,NCT03433053,OTHER
4477,NCT00716456,OTHER
4476,NCT00848796,OTHER
7691,NCT02052037,OTHER
4474,NCT02302612,OTHER
4473,NCT03284372,OTHER
4472,NCT04211077,OTHER
4471,NCT04557241,OTHER
4470,NCT01166412,OTHER
4469,NCT00570297,OTHER
4492,NCT02140788,OTHER
4494,NCT00883792,OTHER
4518,NCT03303859,OTHER
4495,NCT02901639,OTHER
4517,NCT02817854,OTHER
4516,NCT00527722,OTHER
4515,NCT00925366,OTHER
4514,NCT00396162,OTHER
4513,NCT01782053,OTHER
4512,NCT01828996,OTHER
4511,NCT03593330,OTHER
7678,NCT01968590,OTHER
4509,NCT03955874,OTHER
4508,NCT01169259,OTHER
4507,NCT02318862,OTHER
4506,NCT03543891,OTHER
7679,NCT03289130,OTHER
4504,NCT03655730,OTHER
4503,NCT04579601,OTHER
7680,NCT03000374,OTHER
4500,NCT00418899,OTHER
4499,NCT02398942,OTHER
4498,NCT02119195,OTHER
7681,NCT03753360,OTHER
4496,NCT04518657,OTHER
4775,NCT02650154,OTHER
4792,NCT02956174,OTHER
4778,NCT02021838,OTHER
5080,NCT02981043,OTHER
5092,NCT04590521,OTHER
5091,NCT01974180,OTHER
7569,NCT04322357,OTHER
5089,NCT03869138,OTHER
5088,NCT04032613,OTHER
5087,NCT01854892,OTHER
7570,NCT04238910,OTHER
5085,NCT01247753,OTHER
5083,NCT02155127,OTHER
5082,NCT04300699,OTHER
5079,NCT04396431,OTHER
5063,NCT03411057,OTHER
5077,NCT03337438,OTHER
7572,NCT01988909,OTHER
5075,NCT03662412,OTHER
5073,NCT04502589,OTHER
5072,NCT01646463,OTHER
5071,NCT02660970,OTHER
5069,NCT03858868,OTHER
5068,NCT01508676,OTHER
5067,NCT02678026,OTHER
5066,NCT01801696,OTHER
5093,NCT03069092,OTHER
7568,NCT02758236,OTHER
5095,NCT03365063,OTHER
7567,NCT03870204,OTHER
5121,NCT01849887,OTHER
5120,NCT02975167,OTHER
5119,NCT02720471,OTHER
5118,NCT04248751,OTHER
5117,NCT02456311,OTHER
5116,NCT00798538,OTHER
5115,NCT02002403,OTHER
5112,NCT03501082,OTHER
5111,NCT02833259,OTHER
5110,NCT01280968,OTHER
5109,NCT02839785,OTHER
5108,NCT02744846,OTHER
7565,NCT02246413,OTHER
7566,NCT04072211,OTHER
5104,NCT00792155,OTHER
5103,NCT03724487,OTHER
5102,NCT01993251,OTHER
5101,NCT00574587,OTHER
5100,NCT03832283,OTHER
5099,NCT01454492,OTHER
5098,NCT03741335,OTHER
5064,NCT00173537,OTHER
5062,NCT02341326,OTHER
5123,NCT01377805,OTHER
5022,NCT03308097,OTHER
5032,NCT02056535,OTHER
5031,NCT04540003,OTHER
5030,NCT04313296,OTHER
5029,NCT02801747,OTHER
5028,NCT00167648,OTHER
5027,NCT03779191,OTHER
7578,NCT01959321,OTHER
5025,NCT04026399,OTHER
5024,NCT00430196,OTHER
5023,NCT02494687,OTHER
5021,NCT01633567,OTHER
5061,NCT00747643,OTHER
5020,NCT04397055,OTHER
5019,NCT00324675,OTHER
5018,NCT01221506,OTHER
5017,NCT03923491,OTHER
5016,NCT01466998,OTHER
5015,NCT04266938,OTHER
5014,NCT04168658,OTHER
5013,NCT01844596,OTHER
5012,NCT04041297,OTHER
5011,NCT02094170,OTHER
5033,NCT01573494,OTHER
5034,NCT03372018,OTHER
5035,NCT03349775,OTHER
5036,NCT04279704,OTHER
5060,NCT01960946,OTHER
5059,NCT00356200,OTHER
5058,NCT03457272,OTHER
5057,NCT04313998,OTHER
5056,NCT00568854,OTHER
5055,NCT01591928,OTHER
5054,NCT00298922,OTHER
5053,NCT00790478,OTHER
5052,NCT01331486,OTHER
