,NCTId,OverallStatus
783,NCT01532440,Withheld
672,NCT02268227,Withheld
659,NCT02340832,Withheld
660,NCT02327598,Withheld
661,NCT02325609,Withheld
662,NCT02322840,Withheld
663,NCT02312141,Withheld
664,NCT02300974,Withheld
665,NCT02289534,Withheld
666,NCT02284321,Withheld
667,NCT02283125,Withheld
668,NCT02280577,Withheld
669,NCT02275624,Withheld
670,NCT02272114,Withheld
671,NCT02271087,Withheld
673,NCT02255539,Withheld
688,NCT02134236,Withheld
674,NCT02239263,Withheld
675,NCT02231034,Withheld
676,NCT02223663,Withheld
677,NCT02218450,Withheld
678,NCT02195362,Withheld
679,NCT02195128,Withheld
680,NCT02191800,Withheld
681,NCT02187458,Withheld
682,NCT02167880,Withheld
683,NCT02166073,Withheld
684,NCT02142465,Withheld
685,NCT02142374,Withheld
686,NCT02142023,Withheld
658,NCT02343068,Withheld
657,NCT02353377,Withheld
656,NCT02364375,Withheld
655,NCT02365467,Withheld
628,NCT02553395,Withheld
629,NCT02548429,Withheld
630,NCT02543814,Withheld
631,NCT02540577,Withheld
632,NCT02540564,Withheld
633,NCT02535234,Withheld
634,NCT02525783,Withheld
635,NCT02517645,Withheld
636,NCT02506400,Withheld
637,NCT02495116,Withheld
638,NCT02480829,Withheld
639,NCT02474784,Withheld
640,NCT02474771,Withheld
641,NCT02474758,Withheld
642,NCT02458378,Withheld
643,NCT02455063,Withheld
644,NCT02441634,Withheld
645,NCT02436005,Withheld
646,NCT02430441,Withheld
647,NCT02405871,Withheld
648,NCT02403167,Withheld
649,NCT02396914,Withheld
650,NCT02388425,Withheld
651,NCT02383082,Withheld
652,NCT02380716,Withheld
653,NCT02380014,Withheld
654,NCT02365545,Withheld
687,NCT02141334,Withheld
689,NCT02124538,Withheld
500,NCT03148613,Withheld
735,NCT01795118,Withheld
722,NCT01877369,Withheld
723,NCT01874925,Withheld
724,NCT01867008,Withheld
725,NCT01859975,Withheld
726,NCT01854879,Withheld
727,NCT01847846,Withheld
728,NCT01835769,Withheld
729,NCT01835366,Withheld
730,NCT01827488,Withheld
731,NCT01820741,Withheld
732,NCT01801995,Withheld
733,NCT01801241,Withheld
734,NCT01795807,Withheld
736,NCT01792869,Withheld
690,NCT02108275,Withheld
737,NCT01790867,Withheld
738,NCT01787981,Withheld
739,NCT01777880,Withheld
740,NCT01773941,Withheld
741,NCT01773265,Withheld
742,NCT01747265,Withheld
743,NCT01738230,Withheld
744,NCT01738165,Withheld
745,NCT01733264,Withheld
746,NCT01733251,Withheld
747,NCT01724541,Withheld
748,NCT01721122,Withheld
749,NCT01715454,Withheld
721,NCT01882309,Withheld
720,NCT01883557,Withheld
719,NCT01894698,Withheld
718,NCT01896141,Withheld
691,NCT02089646,Withheld
692,NCT02086812,Withheld
693,NCT02085174,Withheld
694,NCT02082847,Withheld
695,NCT02070601,Withheld
696,NCT02036385,Withheld
697,NCT02020447,Withheld
698,NCT02006251,Withheld
699,NCT02004249,Withheld
700,NCT02003105,Withheld
701,NCT01989390,Withheld
702,NCT01989377,Withheld
703,NCT01988727,Withheld
704,NCT01988025,Withheld
705,NCT01984151,Withheld
706,NCT01973621,Withheld
707,NCT01966211,Withheld
708,NCT01957982,Withheld
709,NCT01951131,Withheld
710,NCT01950767,Withheld
711,NCT01940458,Withheld
712,NCT01940211,Withheld
713,NCT01937000,Withheld
714,NCT01936987,Withheld
715,NCT01916083,Withheld
716,NCT01906736,Withheld
717,NCT01905241,Withheld
627,NCT02561052,Withheld
626,NCT02576210,Withheld
625,NCT02579486,Withheld
547,NCT03035318,Withheld
534,NCT03124706,Withheld
535,NCT03124264,Withheld
536,NCT03124251,Withheld
537,NCT03123380,Withheld
538,NCT03123341,Withheld
539,NCT03122379,Withheld
540,NCT03120702,Withheld
541,NCT03100760,Withheld
542,NCT03098602,Withheld
543,NCT03073148,Withheld
544,NCT03072186,Withheld
545,NCT03066063,Withheld
546,NCT03038074,Withheld
548,NCT03034902,Withheld
624,NCT02596464,Withheld
549,NCT03021707,Withheld
550,NCT03021473,Withheld
551,NCT03019107,Withheld
552,NCT03017742,Withheld
553,NCT03003767,Withheld
554,NCT02995421,Withheld
555,NCT02986789,Withheld
556,NCT02972892,Withheld
557,NCT02970799,Withheld
558,NCT02966210,Withheld
559,NCT02957071,Withheld
560,NCT02956928,Withheld
561,NCT02948751,Withheld
533,NCT03124719,Withheld
532,NCT03124732,Withheld
531,NCT03124745,Withheld
530,NCT03124810,Withheld
502,NCT03147482,Withheld
503,NCT03147417,Withheld
504,NCT03143127,Withheld
505,NCT03142594,Withheld
506,NCT03142581,Withheld
507,NCT03138369,Withheld
508,NCT03138343,Withheld
509,NCT03134989,Withheld
510,NCT03132363,Withheld
511,NCT03132350,Withheld
512,NCT03129152,Withheld
513,NCT03128840,Withheld
514,NCT03128632,Withheld
515,NCT03127566,Withheld
516,NCT03127540,Withheld
517,NCT03127527,Withheld
518,NCT03127501,Withheld
519,NCT03127488,Withheld
520,NCT03125135,Withheld
521,NCT03125122,Withheld
523,NCT03125096,Withheld
524,NCT03125044,Withheld
525,NCT03124992,Withheld
526,NCT03124953,Withheld
527,NCT03124940,Withheld
528,NCT03124888,Withheld
529,NCT03124849,Withheld
562,NCT02938637,Withheld
563,NCT02922621,Withheld
564,NCT02919566,Withheld
595,NCT02771119,Withheld
597,NCT02761759,Withheld
598,NCT02756260,Withheld
599,NCT02746289,Withheld
600,NCT02746120,Withheld
601,NCT02719444,Withheld
602,NCT02716155,Withheld
603,NCT02712931,Withheld
604,NCT02711254,Withheld
605,NCT02699021,Withheld
606,NCT02698787,Withheld
607,NCT02698397,Withheld
608,NCT02697604,Withheld
609,NCT02686450,Withheld
610,NCT02684110,Withheld
611,NCT02680964,Withheld
612,NCT02680860,Withheld
613,NCT02662049,Withheld
614,NCT02638883,Withheld
615,NCT02634996,Withheld
616,NCT02634554,Withheld
617,NCT02634125,Withheld
618,NCT02631213,Withheld
619,NCT02626624,Withheld
620,NCT02624739,Withheld
621,NCT02622919,Withheld
622,NCT02599519,Withheld
623,NCT02597296,Withheld
596,NCT02764580,Withheld
594,NCT02784431,Withheld
