,NCTId,Phase
2844,NCT02296840,Phase 4
6710,NCT01632709,Phase 4
9164,NCT04443608,Phase 4
7730,NCT03541941,Phase 4
2819,NCT03418649,Phase 4
9151,NCT04461795,Phase 4
7724,NCT00829114,Phase 4
6697,NCT03305055,Phase 4
2827,NCT00791895,Phase 4
4410,NCT00806910,Phase 4
4407,NCT02170532,Phase 4
6707,NCT01959022,Phase 4
9135,NCT04478617,Phase 4
6214,NCT03113786,Phase 4
6719,NCT01087736,Phase 4
8338,NCT00176982,Phase 4
2837,NCT02222246,Phase 4
7713,NCT01569191,Phase 4
4362,NCT00192634,Phase 4
4359,NCT00697151,Phase 4
6739,NCT03302299,Phase 4
6740,NCT03680456,Phase 4
6749,NCT01844102,Phase 4
4343,NCT03309163,Phase 4
7739,NCT00470158,Phase 4
1942,NCT03764683,Phase 4
6682,NCT03765567,Phase 4
7742,NCT04169269,Phase 4
9242,NCT04360824,Phase 4
1965,NCT03072511,Phase 4
9237,NCT04368364,Phase 4
6620,NCT00342355,Phase 4
8309,NCT04188106,Phase 4
4547,NCT03831165,Phase 4
4542,NCT00333229,Phase 4
4538,NCT01524705,Phase 4
4537,NCT03890497,Phase 4
2769,NCT01977989,Phase 4
4523,NCT03897764,Phase 4
4520,NCT03266783,Phase 4
4514,NCT00396162,Phase 4
2785,NCT02746874,Phase 4
6663,NCT04380038,Phase 4
6665,NCT02360020,Phase 4
7755,NCT02775929,Phase 4
9189,NCT04411667,Phase 4
2788,NCT01953120,Phase 4
4492,NCT02140788,Phase 4
4483,NCT03054103,Phase 4
6762,NCT04601532,Phase 4
4321,NCT01138254,Phase 4
4311,NCT01625442,Phase 4
2910,NCT02120560,Phase 4
8381,NCT00938782,Phase 4
7654,NCT02268292,Phase 4
4167,NCT00134979,Phase 4
4159,NCT00703846,Phase 4
8957,NCT01302938,Phase 4
4152,NCT00407147,Phase 4
1845,NCT01099605,Phase 4
8946,NCT01743976,Phase 4
4144,NCT01110200,Phase 4
8403,NCT00458211,Phase 4
6889,NCT00693121,Phase 4
8404,NCT00361075,Phase 4
4128,NCT03481894,Phase 4
8935,NCT03635905,Phase 4
8934,NCT03164967,Phase 4
7643,NCT00386100,Phase 4
8928,NCT00555425,Phase 4
2956,NCT00767039,Phase 4
