,NCTId,StdAge
9999,NCT03766373,Older Adult
3997,NCT01850082,Older Adult
3992,NCT00884013,Older Adult
3993,NCT03683394,Older Adult
7957,NCT03527186,Older Adult
3994,NCT01196429,Older Adult
3995,NCT02262806,Older Adult
7956,NCT01099449,Older Adult
3998,NCT03903146,Older Adult
4666,NCT03482206,Older Adult
3999,NCT04434313,Older Adult
7954,NCT00316836,Older Adult
4000,NCT01154101,Older Adult
4001,NCT03110354,Older Adult
7953,NCT00079118,Older Adult
4002,NCT02446626,Older Adult
3991,NCT00005131,Older Adult
3989,NCT01953588,Older Adult
7958,NCT03991182,Older Adult
3988,NCT04324359,Older Adult
3984,NCT01028937,Older Adult
3982,NCT00097123,Older Adult
7960,NCT00075686,Older Adult
3980,NCT00644332,Older Adult
7961,NCT00689728,Older Adult
3978,NCT02322554,Older Adult
7962,NCT00016406,Older Adult
3977,NCT02467998,Older Adult
3976,NCT02813161,Older Adult
3975,NCT02813187,Older Adult
7963,NCT00874211,Older Adult
3973,NCT00249782,Older Adult
7964,NCT00040937,Older Adult
4003,NCT04220203,Older Adult
7952,NCT00124618,Older Adult
4004,NCT02209077,Older Adult
4020,NCT01016483,Older Adult
4031,NCT02588651,Older Adult
4030,NCT03603496,Older Adult
7941,NCT00110084,Older Adult
4029,NCT00101712,Older Adult
7942,NCT00040885,Older Adult
4027,NCT01890798,Older Adult
4026,NCT01322529,Older Adult
7943,NCT00087178,Older Adult
4025,NCT02564653,Older Adult
4024,NCT00356915,Older Adult
7944,NCT00365105,Older Adult
4023,NCT00138593,Older Adult
4022,NCT00819169,Older Adult
7945,NCT01439945,Older Adult
7946,NCT01376349,Older Adult
4005,NCT04435873,Older Adult
4018,NCT00237926,Older Adult
7947,NCT01091454,Older Adult
4016,NCT02568618,Older Adult
7948,NCT01009918,Older Adult
4014,NCT01590888,Older Adult
4012,NCT01390909,Older Adult
7949,NCT00489411,Older Adult
4011,NCT04040881,Older Adult
4009,NCT00005278,Older Adult
4008,NCT02061579,Older Adult
7950,NCT00081250,Older Adult
4007,NCT03064932,Older Adult
4006,NCT03032770,Older Adult
7951,NCT00531817,Older Adult
3970,NCT04548895,Older Adult
3969,NCT01177176,Older Adult
3968,NCT04023604,Older Adult
7984,NCT02940301,Older Adult
3941,NCT03060538,Older Adult
7979,NCT00217620,Older Adult
3939,NCT00157755,Older Adult
7980,NCT00775645,Older Adult
3938,NCT02389855,Older Adult
3937,NCT03242070,Older Adult
7981,NCT00124579,Older Adult
3936,NCT00039962,Older Adult
3935,NCT00481715,Older Adult
7982,NCT00096031,Older Adult
3934,NCT00609323,Older Adult
3933,NCT00000980,Older Adult
7983,NCT00113399,Older Adult
3931,NCT00507936,Older Adult
3930,NCT01625468,Older Adult
7978,NCT00268489,Older Adult
7985,NCT02760030,Older Adult
3929,NCT00418938,Older Adult
7986,NCT00748098,Older Adult
3927,NCT03354663,Older Adult
3926,NCT00453362,Older Adult
7987,NCT02795104,Older Adult
3924,NCT04431622,Older Adult
3923,NCT00107666,Older Adult
7988,NCT01980979,Older Adult
3921,NCT01589692,Older Adult
3920,NCT00389779,Older Adult
7990,NCT00122447,Older Adult
3919,NCT03343795,Older Adult
3918,NCT00040027,Older Adult
3942,NCT00593983,Older Adult
3944,NCT03106233,Older Adult
7966,NCT00088764,Older Adult
3955,NCT02720510,Older Adult
3967,NCT00032890,Older Adult
7967,NCT01124695,Older Adult
3965,NCT03254199,Older Adult
3964,NCT00866788,Older Adult
7968,NCT00450281,Older Adult
3963,NCT03495284,Older Adult
3962,NCT03464188,Older Adult
3961,NCT03260920,Older Adult
7970,NCT01385137,Older Adult
3960,NCT03286179,Older Adult
3958,NCT02059564,Older Adult
3957,NCT02045043,Older Adult
7971,NCT02169024,Older Adult
3956,NCT00982644,Older Adult
7972,NCT00087399,Older Adult
7977,NCT00776100,Older Adult
3954,NCT00007631,Older Adult
3953,NCT02403466,Older Adult
7973,NCT00085501,Older Adult
3952,NCT00102466,Older Adult
3951,NCT03278626,Older Adult
7974,NCT01641809,Older Adult
3950,NCT03596151,Older Adult
3949,NCT04243343,Older Adult
7975,NCT01515800,Older Adult
3948,NCT01058421,Older Adult
3947,NCT02996877,Older Adult
7976,NCT00880191,Older Adult
3946,NCT03259373,Older Adult
3945,NCT00121979,Older Adult
7940,NCT00058357,Older Adult
4032,NCT00664040,Older Adult
4033,NCT00004342,Older Adult
4105,NCT01537367,Older Adult
4117,NCT01271023,Older Adult
7902,NCT02848235,Older Adult
4116,NCT02236598,Older Adult
4115,NCT00302861,Older Adult
4114,NCT02840877,Older Adult
4113,NCT04368988,Older Adult
7904,NCT04119375,Older Adult
4112,NCT03606655,Older Adult
4110,NCT04009291,Older Adult
4109,NCT04131296,Older Adult
4108,NCT00691587,Older Adult
7906,NCT03631719,Older Adult
4107,NCT02804750,Older Adult
4106,NCT00117689,Older Adult
4104,NCT03289676,Older Adult
7901,NCT02359097,Older Adult
7908,NCT03271307,Older Adult
4103,NCT01353677,Older Adult
4102,NCT03892889,Older Adult
4101,NCT03870334,Older Adult
7910,NCT01856673,Older Adult
4100,NCT02616640,Older Adult
4098,NCT02887183,Older Adult
4097,NCT01889797,Older Adult
7913,NCT00719563,Older Adult
4095,NCT01560026,Older Adult
4094,NCT03422276,Older Adult
4093,NCT02113475,Older Adult
7914,NCT00223509,Older Adult
4092,NCT02807454,Older Adult
4118,NCT00235300,Older Adult
4120,NCT03209895,Older Adult
7915,NCT00956813,Older Adult
4136,NCT03400514,Older Adult
7888,NCT03135366,Older Adult
4146,NCT04000971,Older Adult
4145,NCT00135798,Older Adult
7889,NCT02383602,Older Adult
4144,NCT01110200,Older Adult
7890,NCT02271074,Older Adult
4142,NCT00075283,Older Adult
4141,NCT00164658,Older Adult
4140,NCT02354482,Older Adult
4139,NCT00364026,Older Adult
7893,NCT00002305,Older Adult
4138,NCT04514653,Older Adult
4137,NCT03378219,Older Adult
7894,NCT00002074,Older Adult
4135,NCT04120194,Older Adult
7900,NCT01665690,Older Adult
4134,NCT02961751,Older Adult
4133,NCT04554966,Older Adult
7895,NCT00002306,Older Adult
4132,NCT00520143,Older Adult
4131,NCT04336579,Older Adult
4130,NCT03777020,Older Adult
7896,NCT03124277,Older Adult
4127,NCT04422873,Older Adult
7897,NCT02415595,Older Adult
4126,NCT04427800,Older Adult
4125,NCT04139928,Older Adult
7899,NCT00272779,Older Adult
4122,NCT00856856,Older Adult
4121,NCT01816516,Older Adult
4091,NCT02669420,Older Adult
4090,NCT00000411,Older Adult
4034,NCT00799617,Older Adult
