,NCTId,StudyType
5536,NCT02243033,Observational
6681,NCT03043326,Observational
8395,NCT03921242,Observational
4137,NCT03378219,Observational
4136,NCT03400514,Observational
4131,NCT04336579,Observational
8383,NCT01081080,Observational
4127,NCT04422873,Observational
4126,NCT04427800,Observational
1875,NCT00142636,Observational
6633,NCT01630980,Observational
1877,NCT02682667,Observational
1879,NCT01830712,Observational
8377,NCT01891383,Observational
6636,NCT01286142,Observational
6638,NCT00151359,Observational
8372,NCT01431027,Observational
8396,NCT02693327,Observational
4140,NCT02354482,Observational
8399,NCT01838356,Observational
1841,NCT01953016,Observational
1827,NCT02997345,Observational
1828,NCT00852904,Observational
6609,NCT04045938,Observational
1832,NCT01150279,Observational
8414,NCT01162369,Observational
1836,NCT00415415,Observational
1842,NCT00296088,Observational
1854,NCT02608853,Observational
1844,NCT03775954,Observational
8406,NCT04372823,Observational
6618,NCT02036931,Observational
8401,NCT00599794,Observational
1851,NCT00416364,Observational
1853,NCT00620334,Observational
6641,NCT02382822,Observational
1889,NCT01406366,Observational
6643,NCT00342992,Observational
6669,NCT00341887,Observational
6664,NCT03090815,Observational
1928,NCT00071175,Observational
1929,NCT01888068,Observational
1930,NCT02863081,Observational
8335,NCT02740998,Observational
4086,NCT04604418,Observational
1938,NCT00356707,Observational
6662,NCT03394703,Observational
8328,NCT01185990,Observational
4081,NCT00527345,Observational
8326,NCT03206775,Observational
6673,NCT02258386,Observational
1947,NCT00344136,Observational
1948,NCT00377702,Observational
1924,NCT03265912,Observational
4093,NCT02113475,Observational
1892,NCT00361673,Observational
6654,NCT04197011,Observational
8366,NCT04548596,Observational
4109,NCT04131296,Observational
8359,NCT00271921,Observational
6649,NCT01265381,Observational
6652,NCT04169529,Observational
4103,NCT01353677,Observational
8351,NCT01306201,Observational
1921,NCT00368732,Observational
1912,NCT02052544,Observational
8347,NCT01506206,Observational
6658,NCT01574300,Observational
1915,NCT01050959,Observational
4095,NCT01560026,Observational
1919,NCT00549991,Observational
1825,NCT00097461,Observational
1824,NCT00797095,Observational
1823,NCT01809288,Observational
1752,NCT00519402,Observational
6567,NCT01534819,Observational
1746,NCT01772602,Observational
4209,NCT03356340,Observational
6568,NCT03738774,Observational
1749,NCT01988532,Observational
4206,NCT00339638,Observational
1753,NCT01111201,Observational
4213,NCT01530867,Observational
8476,NCT00973518,Observational
