,NCTId,AgreementOtherDetails,AgreementPISponsorEmployee,AgreementRestrictionType,AgreementRestrictiveAgreement,ArmGroupDescription,ArmGroupInterventionName,ArmGroupLabel,ArmGroupType,AvailIPDComment,AvailIPDId,AvailIPDType,AvailIPDURL,BaselineCategoryTitle,BaselineClassDenomCountGroupId,BaselineClassDenomCountValue,BaselineClassDenomUnits,BaselineClassTitle,BaselineDenomCountGroupId,BaselineDenomCountValue
0,NCT04371159,0,0,0,0,Each participant will test their urine sample using the Velieve U.S. device,Device: Velieve U.S.,Velieve U.S.,Experimental,0,0,0,0,0,0,0,0,0,0,0
1,NCT04474496,0,0,0,0,Marshallese persons 18 years of age or older residing in the United States,Other: Assessing impact of COVID19,Marshallese in the U.S.,0,0,0,0,0,0,0,0,0,0,0,0
2,NCT02801266,0,0,0,0,"['The intervention arm receives contraceptive counseling from counselors who underwent training on the use of evidence informed birth control counseling.', 'The no intervention arm receives contraceptive counseling from counselors who underwent no additional training beyond what they normally receive.']",Behavioral: Evidence informed birth control counseling,"['Intervention', 'No intervention']","['Experimental', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
3,NCT01599390,0,0,0,0,0,Other: Data collection,Influenza Group,0,0,0,0,0,0,0,0,0,0,0,0
4,NCT00312702,0,No,0,No,"['Falciparum Malaria Protein 11 with AS02A adjuvant', 'Falciparum Malaria Protein 11 with AS02A adjuvant']","['Biological: Falciparum Malaria Protein 11 with AS02A adjuvant', 'Biological: Falciparum Malaria Protein 11 with AS02A adjuvant']","['10µg dose FMP011', '50µg dose FMP011']","['Experimental', 'Experimental']",0,0,0,0,"['Female', 'Male', 'Hispanic or Latino', 'Not Hispanic or Latino', 'Unknown or Not Reported', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",0,0,0,United States,"['BG000', 'BG001', 'BG002', 'BG003']","['5', '13', '1', '19']"
5,NCT00312663,0,No,0,No,"['Falciparum Malaria Protein 11 with AS01B adjuvant', 'Falciparum Malaria Protein 11 with AS01B adjuvant']","['Biological: Falciparum Malaria Protein 11 with AS01B adjuvant.', 'Biological: Falciparum Malaria Protein 11 with AS01B adjuvant.']","['10ug dose FMP011', '50ug dose FMP011']","['Experimental', 'Experimental']",0,0,0,0,"['Female', 'Male', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",0,0,0,United States,"['BG000', 'BG001', 'BG002', 'BG003']","['5', '13', '6', '24']"
6,NCT01153880,0,0,0,0,"['Age at time of prescription was <9 months', 'Age at time of prescription was uncertain for <9 months', 'Age at time of prescription was 9 months to 6 years', 'Age at time of prescription was 7 to 18 years', 'Age at time of prescription was 19 to 65 years', 'Age at time of prescription was 66 years and older']","['Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin']","['Age <9 months definitive', 'Age <9 months uncertain', '9 months to 6 years', '7 to 18 years', '19 to 65 years', '66 years and older']",0,0,0,0,0,0,0,0,0,0,0,0
7,NCT02019732,0,0,0,0,"Applicable subjects less than 65 years of age identified in the Marketscan Commercial database during the period from July 2000 through April 2009, and October 2010 to May 2011 and subjects 65 years of age and older identified in MarketScan Medicare Supplemental database during the period from July 2006 through April 2009, and October 2010 to May 2011.",Other: Data collection,Study Group,0,0,0,0,0,0,0,0,0,0,0,0
8,NCT03972358,0,0,0,0,"Mifepristone 200 mg orally on day 1.

Misoprostol 800 mcg buccally on day 2 (24 hours after mifepristone).","['Drug: Mifepristone', 'Drug: Misoprostol']",Medical menstrual regulation,Experimental,0,0,0,0,0,0,0,0,0,0,0
9,NCT00948233,0,0,0,0,"['Educational video game', 'Pamphlets on stopping tobacco use']","['Behavioral: Video Game', 'Behavioral: Surveys', 'Behavioral: Pamphlet', 'Behavioral: Surveys']","['Intervention', 'Standard Care']",0,0,0,0,0,0,0,0,0,0,0,0
10,NCT00026728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NCT01211990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NCT02663219,0,0,0,0,"['The intervention arm will provide a Case Manager (CM) intervention package designed to enhance linkage to care, antiretroviral treatment (ART) initiation, treatment adherence and retention in care.', 'Standard of care']",Behavioral: Intervention,"['Intervention', 'Control']","['Experimental', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
13,NCT00121108,0,0,0,0,"['Placebo', 'MEDI-524']","['Other: Placebo', 'Biological: MEDI-524']","['2', '1']","['Placebo Comparator', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
14,NCT01861210,0,0,0,0,"['Couples Voluntary HIV Counseling and Testing, adapted for use with male couples from the standard African couples testing service.', 'Individual Voluntary Counseling and Testing involves HIV testing and individual, client-centered HIV prevention counseling. This service is provided by counselors trained in Centers for Disease Control and Prevention\'s ""Fundamentals of HIV Prevention Counseling"" training.']","['Behavioral: Couples Voluntary HIV Counseling and Testing', 'Behavioral: Individual Counseling and Testing']","['Couples Counseling and Testing', 'Individudal Counseling and Testing']","['Experimental', 'Active Comparator']",0,0,0,0,0,0,0,0,0,0,0
15,NCT02911155,0,0,0,0,radiologic technologists certified in nuclear medicine,0,US Nuclear Medicine Technologist,0,0,0,0,0,0,0,0,0,0,0,0
16,NCT00724867,"GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.",No,OTHER,Yes,"['Belimumab 1 mg/kg IV every 28 days', 'Belimumab 10 mg/kg IV every 28 days']","['Biological: Belimumab 1 mg/kg', 'Biological: Belimumab 10 mg/kg']","['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']","['Experimental', 'Experimental']",0,0,0,0,"['Female', 'Male']",0,0,0,"['Black or African American/African Heritage', 'American Indian or Alaska Native', 'Asian: Central Asian Heritage', 'Asian: East Asian Heritage', 'Asian: Japanese Heritage', 'Asian: South Asian Heritage', 'Asian: Southeast Asian Heritage', 'Native Hawaiian or Other Pacific Islander', 'White: Middle East/North African Heritage', 'White: White/Caucasian/European Heritage', 'Mixed Race']",BG000,268
17,NCT03973905,"GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single site data not precede the primary publication of the entire clinical trial.",No,OTHER,Yes,"['Infant subjects of at least 2 days old and less than (<) 2 months old, who met the pertussis diagnosis definition (laboratory confirmed pertussis, epidemiological linkage to a laboratory-confirmed case, clinically compatible illness), and who met the case infants inclusion criteria (resided in the catchment area on their cough onset date, were born in a hospital in their state of residence, had at least 37 weeks gestational age at birth, were neither adopted, nor in foster care and did not live in a residential care facility).\n\nThis post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.', 'Infant subjects of at least 2 days old and less than (<) 2 months old, who did not have a pertussis diagnosis prior to the cough onset date and who met the inclusion criteria for control infants (were born on a hospital in their state of residence, were at least 37 weeks gestational age at birth, were neither adopted, nor in foster care, did not live in a residential care facility, were born at the same hospital as the case infant).\n\nThis post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.']","['Other: Not applicable / dataset analysis', 'Other: Not applicable / dataset analysis']","['Pertussis Case Group', 'Control Group']",0,0,0,0,0,"['Female', 'Male']",0,0,0,"[""Infant's age (weeks)"", 'White', 'Black', 'Other-unspecified']","['BG000', 'BG001', 'BG002']","['107', '183', '290']"
18,NCT00340457,0,0,0,0,"['African American patients with renal cancer from two geographic areas of the US', 'African American participants without renal cancer from two geographic areas of the US']",0,"['Cases', 'Controls']",0,0,0,0,0,0,0,0,0,0,0,0
19,NCT02429284,0,0,0,0,"Patients newly diagnosed with chronic thromboembolic pulmonary hypertension (CTEPH), WHO Group IV Classification for Pulmonary Hypertension.",0,Patients newly diagnosed with CTEPH,0,0,0,0,0,0,0,0,0,0,0,0
20,NCT02889263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NCT03995745,0,0,0,0,"[""Participants randomized to this arm will receive an electronic pill bottle, AdhereTech. The AdhereTech bottle will be remotely monitored by the Way to Health platform. Participants will be randomly assigned a 2-digit number to be used as part of the lottery-based engagement incentives in which eligibility to win will be conditional on medication adherence. Participants will also be eligible for a financial bonus if participant's viral load is suppressed at the end of the intervention period. Participants will also receive an enrollment incentive and an incentive to complete a lab visit at the end of the intervention period."", 'Of the 20 participants randomized to the control arm, 10 will be randomly assigned to receive an electronic pill bottle, AdhereTech. The AdhereTech bottle will be remotely monitored by the Way to Health platform. Participants will also receive an enrollment incentive and an incentive to complete a lab visit at the end of the intervention period.']",Behavioral: Medication adherence and financial incentives,"['adherence based financial incentives', 'control']","['Experimental', 'No Intervention']",0,0,0,0,0,0,0,0,0,0,0
