NCTId,Biological:,Device:,Diagnostic,Dietary,Drug:,Genetic:,Other:,Procedure:
NCT00121108,1,0,0,0,0,0,1,0
NCT00312663,1,0,0,0,0,0,0,0
NCT00312702,1,0,0,0,0,0,0,0
NCT00351741,0,1,0,0,0,0,0,0
NCT00385047,1,0,0,0,0,0,0,0
NCT00412568,0,0,0,0,0,0,0,1
NCT00413673,0,0,0,0,0,0,0,1
NCT00601835,1,0,0,0,0,0,0,0
NCT00646438,0,0,0,0,1,0,0,0
NCT00666380,1,0,0,0,0,0,0,0
NCT00730964,0,0,0,0,1,0,0,0
NCT00796315,0,0,0,0,1,0,0,0
NCT00800267,0,0,0,0,1,0,0,0
NCT00875641,0,0,0,0,0,0,1,0
NCT00928694,0,0,0,0,1,0,0,0
NCT00935623,1,0,0,0,0,0,0,0
NCT00959933,0,0,0,0,1,0,0,0
NCT00960479,0,0,0,0,1,0,0,0
NCT01028300,0,1,0,0,0,0,0,0
NCT01087905,0,0,0,0,1,0,0,0
NCT01112917,0,1,0,0,0,0,0,1
NCT01150695,1,0,0,0,0,0,1,0
NCT01153880,0,0,0,0,1,0,0,0
NCT01235260,0,0,0,0,1,0,1,0
NCT01256164,0,1,0,0,0,0,0,0
NCT01287247,1,0,0,0,0,0,0,0
NCT01290393,0,0,0,0,0,0,1,0
NCT01306266,0,0,0,0,1,0,0,0
NCT01339546,0,0,0,0,0,0,1,0
NCT01358552,0,0,0,0,0,0,1,0
NCT01368549,0,0,0,0,0,0,1,0
NCT01369030,0,0,0,0,0,0,1,0
NCT01370954,0,0,0,0,0,0,1,0
NCT01568424,0,1,0,0,0,0,0,0
NCT01599390,0,0,0,0,0,0,1,0
NCT01629537,0,0,0,0,0,0,0,1
NCT01641029,0,0,0,0,0,0,1,0
NCT01704235,0,0,0,0,0,0,1,0
NCT01764269,0,0,0,0,0,0,1,0
NCT01927835,1,0,0,0,0,0,0,0
NCT01940679,0,0,0,1,0,0,0,0
NCT01965561,0,1,0,0,0,0,0,0
NCT02019732,0,0,0,0,0,0,1,0
NCT02053506,0,0,0,1,0,0,0,0
NCT02109757,0,0,0,0,0,0,1,0
NCT02128542,0,0,0,0,1,0,0,0
NCT02163525,0,0,0,0,0,0,0,1
NCT02207569,0,1,0,0,0,0,0,0
NCT02334462,1,0,0,0,1,0,0,0
NCT02352532,0,0,0,0,0,0,1,0
NCT02395536,0,0,0,0,0,0,1,0
NCT02406599,0,1,0,0,0,0,1,0
NCT02569632,1,0,0,0,0,0,0,0
NCT02616198,0,0,0,0,0,0,1,0
NCT02746809,0,1,0,0,0,0,0,0
NCT02766634,1,0,0,0,0,0,0,0
NCT02766647,1,0,0,0,0,0,0,0
NCT02773979,1,0,0,0,1,0,1,0
NCT02813577,0,1,0,0,0,0,0,0
NCT02829073,0,1,0,0,0,0,0,0
NCT02848781,0,1,0,0,0,0,0,1
NCT02867722,0,0,0,0,1,0,0,0
NCT02882100,1,0,0,0,0,0,0,0
NCT02886689,0,0,0,0,1,0,0,0
NCT02951598,0,0,0,0,1,0,0,0
NCT02959827,0,0,0,0,1,0,0,0
NCT02987335,0,0,0,0,1,0,0,0
NCT03197688,0,0,0,0,0,0,1,0
NCT03198793,0,0,0,0,1,0,0,0
NCT03199846,0,0,0,0,0,0,1,0
NCT03242278,0,0,0,0,1,0,0,0
NCT03276637,0,0,0,0,0,1,0,0
NCT03311295,0,1,0,0,0,0,0,0
NCT03353480,0,0,0,0,1,0,0,0
NCT03382418,1,0,0,0,0,0,0,0
NCT03390660,0,0,0,0,0,0,1,0
NCT03631472,0,1,0,0,0,0,0,0
NCT03683134,0,0,0,1,0,0,0,0
NCT03801928,0,0,0,0,1,0,0,0
NCT03933202,0,0,0,0,1,0,0,0
NCT03933215,0,0,0,0,1,0,0,0
NCT03965195,1,0,0,0,0,0,0,0
NCT03972358,0,0,0,0,1,0,0,0
NCT03973905,0,0,0,0,0,0,1,0
NCT04072289,0,1,0,0,0,0,0,0
NCT04191824,0,0,1,0,0,0,0,0
NCT04205877,0,1,0,0,0,0,0,0
NCT04229212,0,1,0,0,0,0,0,0
NCT04281290,0,0,0,0,0,0,0,1
NCT04371159,0,1,0,0,0,0,0,0
NCT04423770,0,0,0,0,0,0,1,0
NCT04474496,0,0,0,0,0,0,1,0
NCT04552535,0,0,0,0,1,0,0,0
NCT04562636,0,0,0,0,0,0,1,0
NCT04587245,0,0,0,0,0,0,1,0
