NCTId,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00121108,2,0,0,0,2,0
NCT00312663,0,4,0,0,0,0
NCT00312702,0,4,0,0,0,0
NCT00351741,2,2,0,0,0,0
NCT00385047,0,4,0,0,0,0
NCT00412568,2,0,0,0,0,0
NCT00413673,0,2,0,0,0,0
NCT00601835,2,2,0,0,0,0
NCT00646438,2,0,2,0,0,0
NCT00666380,0,4,0,0,0,0
NCT00724867,0,4,0,0,0,0
NCT00730964,0,0,0,2,0,0
NCT00796315,0,2,0,0,0,0
NCT00800267,4,2,0,0,0,0
NCT00928694,4,0,0,0,0,0
NCT00935623,0,4,0,0,0,0
NCT00959933,2,2,0,0,0,0
NCT00960479,2,2,0,0,0,0
NCT01028300,0,0,0,2,0,0
NCT01087905,16,0,0,0,0,0
NCT01112917,0,2,0,0,0,0
NCT01150695,0,4,0,0,0,0
NCT01154296,0,2,2,0,0,0
NCT01256164,2,2,0,0,0,0
NCT01306266,2,0,0,0,2,0
NCT01568424,0,0,0,2,0,0
NCT01629537,0,2,0,2,0,0
NCT01764269,0,0,0,4,0,0
NCT01861210,2,2,0,0,0,0
NCT01873482,0,2,0,0,0,0
NCT01927835,0,8,0,0,4,0
NCT01940679,0,8,0,0,0,0
NCT01965561,0,8,0,0,0,0
NCT02053506,0,4,0,0,0,0
NCT02069925,2,2,0,0,0,0
NCT02109757,2,2,0,0,0,0
NCT02128542,0,2,0,0,0,0
NCT02163525,4,0,0,0,0,0
NCT02207569,0,2,0,0,0,0
NCT02334462,2,12,0,0,0,0
NCT02352532,2,2,0,0,0,2
NCT02395536,0,2,0,2,0,0
NCT02406599,0,0,0,4,0,0
NCT02569632,0,2,0,0,0,0
NCT02616198,8,0,0,0,0,0
NCT02663219,0,2,2,0,0,0
NCT02746809,0,2,0,0,0,0
NCT02766634,0,4,0,0,0,0
NCT02766647,0,4,0,0,0,0
NCT02773979,6,0,0,0,0,0
NCT02787538,2,2,0,0,0,0
NCT02801266,0,2,2,0,0,0
NCT02813577,0,0,0,2,0,0
NCT02829073,0,2,0,0,2,0
NCT02848781,4,2,0,0,0,0
NCT02867722,0,2,0,0,0,0
NCT02882100,2,2,0,0,0,0
NCT02939131,2,2,0,0,0,0
NCT02951598,0,0,0,8,0,0
NCT02971709,0,2,2,0,0,0
NCT03198793,0,2,0,0,0,0
NCT03276637,0,2,0,0,0,0
NCT03293875,0,0,0,4,0,0
NCT03310112,2,2,2,0,0,0
NCT03311295,0,2,0,0,0,0
NCT03353480,0,2,0,2,0,0
NCT03382418,0,4,0,0,2,0
NCT03631472,0,2,0,0,0,0
NCT03683134,2,2,0,0,0,0
NCT03688126,0,4,0,0,0,0
NCT03699709,0,2,2,0,0,0
NCT03867409,0,8,0,0,0,0
NCT03924505,2,2,0,0,0,0
NCT03965195,2,2,0,0,0,0
NCT03972358,0,2,0,0,0,0
NCT03995745,0,2,2,0,0,0
NCT04004260,0,2,0,2,0,0
NCT04021030,0,2,0,0,0,0
NCT04072289,0,2,2,0,0,0
NCT04163341,0,2,2,0,0,0
NCT04191824,4,0,0,0,0,0
NCT04229212,0,2,2,0,0,0
NCT04263311,0,2,2,0,0,0
NCT04281290,0,2,0,0,0,0
NCT04371159,0,2,0,0,0,0
NCT04562636,0,4,0,2,0,0
