NCTId,Count of Participants,Least Squares Mean,Mean,Median,Number
NCT00312663,4,0,2,0,2
NCT00312702,6,0,2,0,2
NCT00351741,4,0,2,0,2
NCT00601835,4,0,2,0,2
NCT00724867,2,0,2,0,2
NCT00730964,2,0,2,0,4
NCT00796315,2,0,2,0,4
NCT00875641,4,0,2,0,0
NCT00928694,2,0,6,0,0
NCT01028300,4,0,0,0,2
NCT01087905,4,0,2,0,2
NCT01112917,6,0,2,0,2
NCT01154296,0,8,0,0,26
NCT01256164,4,0,2,0,2
NCT01369030,2,0,2,0,4
NCT01568424,2,0,2,12,0
NCT01965561,2,0,4,0,0
NCT02128542,2,0,4,0,12
NCT02207569,2,0,2,0,2
NCT02395536,24,0,4,0,2
NCT02746809,6,0,2,0,0
NCT02813577,6,0,0,0,2
NCT02939131,12,0,20,0,0
NCT02959827,6,0,0,0,0
NCT03973905,4,0,2,0,0
