,NCTId,ArmGroupLabel,,,,,,NCTId,ArmGroupLabel
1111,NCT01306266,rizatriptan,,,,,,NCT04371159,Velieve U.S.
111,NCT01306266,rizatriptan,,,,,,NCT04474496,Marshallese in the U.S.
1082,NCT01641029,pyelonephritis,,,,,,NCT02801266,"['Intervention', 'No intervention']"
82,NCT01641029,pyelonephritis,,,,,,NCT01599390,Influenza Group
67,NCT03045120,nilotinib cohort,,,,,,NCT00312702,"['10µg dose FMP011', '50µg dose FMP011']"
1067,NCT03045120,nilotinib cohort,,,,,,NCT00312663,"['10ug dose FMP011', '50ug dose FMP011']"
1072,NCT00800267,latanoprost 0.005%,,,,,,NCT01153880,"['Age <9 months definitive', 'Age <9 months uncertain', '9 months to 6 years', '7 to 18 years', '19 to 65 years', '66 years and older']"
72,NCT00800267,latanoprost 0.005%,,,,,,NCT02019732,Study Group
155,NCT01764269,inactivated influenza vaccine (IIV),,,,,,NCT03972358,Medical menstrual regulation
1155,NCT01764269,inactivated influenza vaccine (IIV),,,,,,NCT00948233,"['Intervention', 'Standard Care']"
67,NCT03045120,imatinib cohort,,,,,,NCT00026728,0
1067,NCT03045120,imatinib cohort,,,,,,NCT01211990,0
67,NCT03045120,dasatinib cohort,,,,,,NCT02663219,"['Intervention', 'Control']"
1067,NCT03045120,dasatinib cohort,,,,,,NCT00121108,"['2', '1']"
1021,NCT03995745,control,,,,,,NCT01861210,"['Couples Counseling and Testing', 'Individudal Counseling and Testing']"
21,NCT03995745,control,,,,,,NCT02911155,US Nuclear Medicine Technologist
1067,NCT03045120,bosutinib cohort,,,,,,NCT00724867,"['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']"
67,NCT03045120,bosutinib cohort,,,,,,NCT03973905,"['Pertussis Case Group', 'Control Group']"
104,NCT03390660,birth cohorts,,,,,,NCT00340457,"['Cases', 'Controls']"
1104,NCT03390660,birth cohorts,,,,,,NCT02429284,Patients newly diagnosed with CTEPH
1047,NCT03199846,advanced melanoma patients,,,,,,NCT02889263,0
47,NCT03199846,advanced melanoma patients,,,,,,NCT03995745,"['adherence based financial incentives', 'control']"
1021,NCT03995745,adherence based financial incentives,,,,,,NCT00928694,"['1', '2']"
21,NCT03995745,adherence based financial incentives,,,,,,NCT02153996,0
89,NCT02882100,aTIV,,,,,,NCT00413673,1
