,Prediction,value_count,NCTId
0,Completed,1,NCT00000102
1,Completed,1,NCT00000119
2,Completed,1,NCT00000187
3,Completed,1,NCT00000188
4,Completed,1,NCT00000189
5,Completed,1,NCT00000191
6,Completed,1,NCT00000192
7,Terminated,1,NCT00000193
8,Terminated,1,NCT00000194
9,Terminated,1,NCT00000195
10,Terminated,1,NCT00000196
11,Completed,1,NCT00000197
12,Completed,1,NCT00000200
13,Completed,1,NCT00000201
14,Completed,1,NCT00000202
15,Completed,1,NCT00000203
16,Completed,1,NCT00000204
17,Terminated,1,NCT00000206
18,Completed,1,NCT00000208
19,Completed,1,NCT00000209
20,Completed,1,NCT00000210
21,Completed,1,NCT00000211
22,Completed,1,NCT00000212
23,Completed,1,NCT00000213
24,Completed,1,NCT00000214
25,Completed,1,NCT00000215
26,Completed,1,NCT00000217
27,Completed,1,NCT00000223
28,Completed,1,NCT00000225
29,Completed,1,NCT00000226
30,Completed,1,NCT00000227
31,Completed,1,NCT00000228
32,Completed,1,NCT00000229
33,Completed,1,NCT00000230
34,Completed,1,NCT00000231
35,Terminated,1,NCT00000232
36,Completed,1,NCT00000233
37,Terminated,1,NCT00000234
38,Completed,1,NCT00000235
39,Completed,1,NCT00000236
40,Completed,1,NCT00000237
41,Completed,1,NCT00000238
42,Completed,1,NCT00000239
43,Terminated,1,NCT00000240
44,Completed,1,NCT00000241
45,Completed,1,NCT00000242
46,Completed,1,NCT00000244
47,Completed,1,NCT00000245
48,Completed,1,NCT00000246
49,Completed,1,NCT00000249
50,Completed,1,NCT00000250
51,Completed,1,NCT00000251
52,Completed,1,NCT00000252
53,Completed,1,NCT00000254
54,Completed,1,NCT00000255
55,Completed,1,NCT00000261
56,Completed,1,NCT00000266
57,Completed,1,NCT00000267
58,Completed,1,NCT00000269
59,Completed,1,NCT00000271
60,Completed,1,NCT00000273
61,Completed,1,NCT00000274
62,Completed,1,NCT00000275
63,Completed,1,NCT00000277
64,Completed,1,NCT00000278
65,Completed,1,NCT00000279
66,Completed,1,NCT00000281
67,Completed,1,NCT00000282
68,Completed,1,NCT00000284
69,Completed,1,NCT00000286
70,Completed,1,NCT00000288
71,Completed,1,NCT00000289
72,Completed,1,NCT00000291
73,Completed,1,NCT00000294
74,Completed,1,NCT00000295
75,Completed,1,NCT00000296
76,Completed,1,NCT00000297
77,Completed,1,NCT00000298
78,Completed,1,NCT00000299
79,Completed,1,NCT00000301
80,Completed,1,NCT00000303
81,Completed,1,NCT00000304
82,Completed,1,NCT00000306
83,Completed,1,NCT00000307
84,Completed,1,NCT00000308
85,Completed,1,NCT00000309
86,Completed,1,NCT00000310
87,Completed,1,NCT00000314
88,Completed,1,NCT00000317
89,Completed,1,NCT00000318
90,Completed,1,NCT00000319
91,Completed,1,NCT00000320
92,Completed,1,NCT00000322
93,Completed,1,NCT00000324
94,Terminated,1,NCT00000326
