NCTId,Attribute,Value
NCT04371159,101-200,1
NCT04474496,1001-10000,1
NCT02801266,1001-10000,1
NCT01599390,0-50,1
NCT00312702,0-50,1
NCT00312663,0-50,1
NCT01153880,0-50,1
NCT02019732,0-50,1
NCT03972358,201-500,1
NCT00948233,0-50,1
NCT00026728,10000plus,1
NCT01211990,0-50,1
NCT02663219,201-500,1
NCT00121108,1001-10000,1
NCT01861210,201-500,1
NCT02911155,201-500,1
NCT00724867,201-500,1
NCT03973905,201-500,1
NCT00340457,1001-10000,1
NCT02429284,501-1000,1
NCT02889263,10000plus,1
NCT03995745,0-50,1
NCT00928694,0-50,1
NCT02153996,0-50,1
NCT00413673,51-100,1
NCT03867409,1001-10000,1
NCT04004260,101-200,1
NCT04205877,1001-10000,1
NCT01262079,101-200,1
NCT00646438,101-200,1
NCT00341588,1001-10000,1
NCT04562636,1001-10000,1
NCT03924505,51-100,1
NCT02334462,501-1000,1
NCT03311295,0-50,1
NCT03242278,10000plus,1
NCT03683134,51-100,1
NCT04047316,51-100,1
NCT03952364,101-200,1
NCT04021030,0-50,1
NCT02959827,1001-10000,1
NCT02395536,501-1000,1
NCT03628235,201-500,1
NCT02787538,51-100,1
NCT01290393,0-50,1
NCT04263311,101-200,1
NCT00875641,10000plus,1
NCT03199846,501-1000,1
NCT04587245,51-100,1
NCT02773979,0-50,1
NCT03274726,1001-10000,1
NCT01283828,1001-10000,1
NCT04191824,1001-10000,1
NCT03197688,1001-10000,1
NCT02813577,0-50,1
NCT00666380,0-50,1
NCT01287247,501-1000,1
NCT04163341,51-100,1
NCT02987335,51-100,1
NCT02867722,0-50,1
NCT03276637,51-100,1
NCT03192891,1001-10000,1
NCT03373045,1001-10000,1
NCT04229212,51-100,1
NCT02848781,101-200,1
NCT00385047,0-50,1
NCT02993120,1001-10000,1
NCT03045120,101-200,1
NCT01154296,1001-10000,1
NCT02857764,10000plus,1
NCT00412568,101-200,1
NCT03353480,51-100,1
NCT00800267,201-500,1
NCT00601835,1001-10000,1
NCT01087905,501-1000,1
NCT02616198,51-100,1
NCT00007540,0-50,1
NCT02163525,101-200,1
NCT03310112,101-200,1
NCT02766634,51-100,1
NCT02971709,101-200,1
NCT03801928,101-200,1
NCT01641029,501-1000,1
NCT02128542,51-100,1
NCT00573976,501-1000,1
NCT00306007,201-500,1
NCT02766647,0-50,1
NCT04460898,0-50,1
NCT00413517,101-200,1
NCT02882100,501-1000,1
NCT00533975,201-500,1
NCT02109757,101-200,1
NCT00959933,0-50,1
NCT00960479,0-50,1
NCT03266497,1001-10000,1
NCT02207569,201-500,1
NCT02569632,0-50,1
NCT02069925,201-500,1
NCT03433131,0-50,1
NCT02746809,51-100,1
NCT00328380,501-1000,1
NCT04552535,101-200,1
NCT03293875,1001-10000,1
NCT01235260,0-50,1
NCT03390660,10000plus,1
NCT00837499,501-1000,1
NCT01629537,0-50,1
NCT00351741,51-100,1
NCT01965561,0-50,1
NCT01927835,0-50,1
NCT01704235,0-50,1
NCT01306266,0-50,1
NCT00796315,0-50,1
NCT00005463,0-50,1
NCT03382418,0-50,1
NCT00054743,0-50,1
NCT00730964,1001-10000,1
NCT02886689,1001-10000,1
NCT00005455,0-50,1
NCT01150695,201-500,1
NCT00245076,0-50,1
NCT00935623,0-50,1
NCT03688126,1001-10000,1
NCT02053506,51-100,1
NCT03933215,101-200,1
NCT03933202,201-500,1
NCT00005171,0-50,1
NCT01256164,51-100,1
NCT03631472,0-50,1
NCT03699709,101-200,1
NCT00237263,201-500,1
NCT02939131,101-200,1
NCT03488264,101-200,1
NCT01873482,0-50,1
NCT02829073,101-200,1
NCT01369030,501-1000,1
NCT01568424,0-50,1
NCT02406599,201-500,1
NCT03965195,1001-10000,1
NCT01368549,501-1000,1
NCT01370954,201-500,1
NCT01339546,0-50,1
NCT02252159,1001-10000,1
NCT04072289,101-200,1
NCT04423770,1001-10000,1
NCT01358552,51-100,1
NCT02856646,201-500,1
NCT01940679,0-50,1
NCT02951598,1001-10000,1
NCT02988934,1001-10000,1
NCT01028300,0-50,1
NCT01034865,501-1000,1
NCT02352532,51-100,1
NCT03198793,201-500,1
NCT01112917,101-200,1
NCT01764269,501-1000,1
NCT03346603,501-1000,1
NCT04281290,0-50,1
NCT04601103,0-50,1
NCT04600856,0-50,1
NCT04599907,0-50,1
NCT04593875,0-50,1
NCT04589507,0-50,1
NCT04586205,0-50,1
NCT04585646,0-50,1
NCT04584788,0-50,1
NCT04584099,0-50,1
NCT04577898,0-50,1
NCT04577456,0-50,1
NCT04569253,0-50,1
NCT04567186,0-50,1
NCT04562532,0-50,1
NCT04558970,0-50,1
NCT04558632,0-50,1
NCT04558047,0-50,1
NCT04557917,0-50,1
NCT04557891,0-50,1
NCT04556968,0-50,1
NCT04556474,0-50,1
NCT04547920,0-50,1
NCT04547712,0-50,1
NCT04544670,0-50,1
NCT04542525,0-50,1
NCT04540913,0-50,1
NCT04537013,0-50,1
NCT04536168,0-50,1
NCT04534764,0-50,1
NCT04532099,0-50,1
NCT04529616,0-50,1
NCT04529109,0-50,1
NCT04524247,0-50,1
NCT04523545,0-50,1
NCT04513574,0-50,1
NCT04510857,0-50,1
NCT04508335,0-50,1
NCT04502758,0-50,1
NCT04501146,0-50,1
NCT04500821,0-50,1
NCT04499521,0-50,1
NCT04496752,0-50,1
NCT04493021,0-50,1
NCT04488666,0-50,1
NCT04483791,0-50,1
NCT04476784,0-50,1
NCT04474054,0-50,1
NCT04469218,0-50,1
NCT04466930,0-50,1
NCT04455997,0-50,1
NCT04455854,0-50,1
NCT04450108,0-50,1
NCT04437615,0-50,1
NCT04422990,0-50,1
NCT04419714,0-50,1
NCT04409158,0-50,1
NCT04403542,0-50,1
NCT04400643,0-50,1
NCT04394546,0-50,1
NCT04388787,0-50,1
NCT04388722,0-50,1
NCT04386785,0-50,1
NCT04378764,0-50,1
NCT04377438,0-50,1
NCT04338971,0-50,1
NCT04335981,0-50,1
NCT04332640,0-50,1
NCT04330001,0-50,1
NCT04324593,0-50,1
NCT04320823,0-50,1
NCT04319887,0-50,1
NCT04318132,0-50,1
NCT04314947,0-50,1
NCT04314700,0-50,1
NCT04313725,0-50,1
NCT04310566,0-50,1
NCT04307446,0-50,1
NCT04306744,0-50,1
NCT04305119,0-50,1
NCT04303273,0-50,1
NCT04299386,0-50,1
NCT04299009,0-50,1
NCT04298359,0-50,1
NCT04296773,0-50,1
NCT04295499,0-50,1
NCT04287036,0-50,1
NCT04285541,0-50,1
NCT04281940,0-50,1
NCT04279522,0-50,1
NCT04277455,0-50,1
NCT04263532,0-50,1
NCT04252183,0-50,1
NCT04247581,0-50,1
NCT04244357,0-50,1
NCT04243369,0-50,1
NCT04243239,0-50,1
NCT04239885,0-50,1
NCT04237207,0-50,1
