NCTId,Attribute,Value
NCT00000105,Biological,1
NCT00000105,Drug,1
NCT00000113,Other,1
NCT00000143,Device,1
NCT00000143,Drug,1
NCT00000167,Procedure,1
NCT00000170,Device,1
NCT00000170,Drug,1
NCT00000249,Drug,1
NCT00000250,Drug,1
NCT00000251,Drug,1
NCT00000251,Other,1
NCT00000252,Drug,1
NCT00000253,Drug,1
NCT00000254,Drug,1
NCT00000254,Other,1
NCT00000255,Drug,1
NCT00000256,Drug,1
NCT00000257,Drug,1
NCT00000258,Drug,1
NCT00000259,Drug,1
NCT00000259,Other,1
NCT00000261,Drug,1
NCT00000261,Other,1
NCT00000262,Drug,1
NCT00000262,Other,1
NCT00000263,Drug,1
NCT00000263,Other,1
NCT00000264,Drug,1
NCT00000264,Other,1
NCT00000271,Drug,1
NCT00000273,Drug,1
NCT00000299,Drug,1
NCT00000304,Drug,1
NCT00000308,Drug,1
NCT00000311,Drug,1
NCT00000317,Behavioral,1
NCT00000317,Drug,1
NCT00000318,Drug,1
NCT00000320,Drug,1
NCT00000331,Drug,1
NCT00000359,Behavioral,1
NCT00000372,Drug,1
NCT00000373,Drug,1
NCT00000378,Drug,1
NCT00000383,Behavioral,1
NCT00000385,Drug,1
NCT00000387,Behavioral,1
NCT00000392,Drug,1
NCT00000395,DietarySupplement,1
NCT00000395,Drug,1
NCT00000396,Behavioral,1
NCT00000400,Drug,1
NCT00000401,Drug,1
NCT00000407,Behavioral,1
NCT00000408,Procedure,1
NCT00000409,Other,1
NCT00000409,Procedure,1
NCT00000410,Procedure,1
NCT00000411,Other,1
NCT00000411,Procedure,1
NCT00000412,Drug,1
NCT00000414,Behavioral,1
NCT00000416,Other,1
NCT00000421,Drug,1
NCT00000428,Drug,1
NCT00000431,Drug,1
NCT00000434,Behavioral,1
NCT00000435,Drug,1
NCT00000437,Drug,1
NCT00000439,Drug,1
NCT00000448,Drug,1
NCT00000450,Drug,1
NCT00000451,Drug,1
NCT00000457,Drug,1
NCT00000607,Device,1
NCT00000620,Drug,1
NCT00000774,Biological,1
NCT00000815,Biological,1
NCT00000817,Drug,1
NCT00000817,Procedure,1
NCT00000829,Biological,1
NCT00000884,Biological,1
NCT00000935,Biological,1
NCT00000936,Drug,1
NCT00000955,Drug,1
NCT00001077,DietarySupplement,1
NCT00001082,Drug,1
NCT00001131,Drug,1
NCT00001151,Drug,1
NCT00001213,Drug,1
NCT00001248,Device,1
NCT00001259,Drug,1
NCT00001262,Drug,1
NCT00001277,Drug,1
NCT00001304,Drug,1
NCT00001305,Drug,1
NCT00001309,Other,1
NCT00001322,Drug,1
NCT00001337,Biological,1
NCT00001337,Drug,1
NCT00001379,Biological,1
NCT00001379,Drug,1
NCT00001465,Device,1
NCT00001481,Drug,1
NCT00001481,Other,1
NCT00001521,Drug,1
NCT00001532,Device,1
NCT00001563,Biological,1
NCT00001563,Drug,1
NCT00001566,Biological,1
NCT00001566,Drug,1
NCT00001566,Procedure,1
NCT00001575,Biological,1
NCT00001575,Drug,1
NCT00001586,Biological,1
NCT00001586,Drug,1
NCT00001586,Other,1
NCT00001596,Drug,1
NCT00001626,Drug,1
NCT00001651,Other,1
NCT00001656,Drug,1
NCT00001703,Biological,1
NCT00001723,Drug,1
NCT00001806,Other,1
NCT00001832,Biological,1
NCT00001832,Drug,1
NCT00001832,Procedure,1
NCT00001880,Drug,1
NCT00001941,Biological,1
NCT00001962,Drug,1
NCT00001964,Drug,1
NCT00001984,Drug,1
NCT00002463,Drug,1
NCT00002463,Procedure,1
NCT00002484,Radiation,1
NCT00002485,Procedure,1
NCT00002494,Drug,1
NCT00002494,Radiation,1
NCT00002495,Drug,1
NCT00002495,Radiation,1
NCT00002501,Biological,1
NCT00002501,Drug,1
NCT00002514,Biological,1
NCT00002514,Drug,1
NCT00002514,Procedure,1
NCT00002514,Radiation,1
NCT00002520,Behavioral,1
NCT00002520,Drug,1
NCT00002524,Biological,1
NCT00002524,Drug,1
NCT00002524,Radiation,1
NCT00002525,Drug,1
NCT00002527,Drug,1
NCT00002527,Other,1
NCT00002537,Drug,1
NCT00002537,Radiation,1
NCT00002540,Other,1
NCT00002540,Procedure,1
NCT00002548,Biological,1
NCT00002548,Drug,1
NCT00002548,Procedure,1
NCT00002548,Radiation,1
NCT00002550,Drug,1
NCT00002550,Procedure,1
NCT00002550,Radiation,1
NCT00002551,Drug,1
NCT00002551,Radiation,1
NCT00002556,Biological,1
NCT00002556,Drug,1
NCT00002556,Other,1
NCT00002558,Biological,1
NCT00002558,Drug,1
NCT00002558,Procedure,1
NCT00002565,Biological,1
NCT00002565,Drug,1
NCT00002569,Drug,1
NCT00002569,Radiation,1
NCT00002570,Drug,1
NCT00002571,Biological,1
NCT00002571,Drug,1
NCT00002571,Radiation,1
NCT00002574,Biological,1
NCT00002574,Drug,1
NCT00002575,Procedure,1
NCT00002583,Drug,1
NCT00002586,DietarySupplement,1
NCT00002586,Drug,1
NCT00002587,Drug,1
NCT00002590,Biological,1
NCT00002590,Drug,1
NCT00002590,Radiation,1
NCT00002593,Drug,1
NCT00002594,Biological,1
NCT00002594,Drug,1
NCT00002594,Procedure,1
NCT00002597,Drug,1
NCT00002597,Radiation,1
NCT00002601,Biological,1
NCT00002601,Drug,1
NCT00002601,Procedure,1
NCT00002602,Radiation,1
NCT00002610,Biological,1
NCT00002610,Drug,1
NCT00002610,Procedure,1
NCT00002610,Radiation,1
NCT00002611,Biological,1
NCT00002611,Drug,1
NCT00002611,Procedure,1
NCT00002611,Radiation,1
NCT00002618,Biological,1
NCT00002618,Drug,1
NCT00002618,Radiation,1
NCT00002621,Biological,1
NCT00002622,Drug,1
NCT00002624,Procedure,1
NCT00002624,Radiation,1
NCT00002625,Drug,1
NCT00002625,Radiation,1
NCT00002642,Drug,1
NCT00002642,Procedure,1
NCT00002642,Radiation,1
NCT00002643,Biological,1
NCT00002643,Drug,1
NCT00002643,Procedure,1
NCT00002643,Radiation,1
NCT00002649,Biological,1
NCT00002649,Drug,1
NCT00002649,Procedure,1
NCT00002649,Radiation,1
NCT00002656,Drug,1
NCT00002657,Biological,1
NCT00002657,Drug,1
NCT00002657,Procedure,1
NCT00002657,Radiation,1
NCT00002663,Biological,1
NCT00002664,Biological,1
NCT00002668,Behavioral,1
NCT00002670,Drug,1
NCT00002670,Radiation,1
NCT00002676,Drug,1
NCT00002676,Radiation,1
NCT00002677,Drug,1
NCT00002678,Drug,1
NCT00002682,Drug,1
NCT00002704,Biological,1
NCT00002704,Drug,1
NCT00002704,Radiation,1
NCT00002705,Drug,1
NCT00002706,Other,1
NCT00002706,Procedure,1
NCT00002707,Drug,1
NCT00002708,Procedure,1
NCT00002708,Radiation,1
NCT00002715,Biological,1
NCT00002715,Drug,1
NCT00002716,Drug,1
NCT00002716,Procedure,1
NCT00002718,Biological,1
NCT00002718,Drug,1
NCT00002718,Procedure,1
NCT00002718,Radiation,1
NCT00002721,Drug,1
NCT00002721,Procedure,1
NCT00002723,Drug,1
NCT00002725,Drug,1
NCT00002727,Radiation,1
NCT00002734,Biological,1
NCT00002734,Drug,1
NCT00002734,Radiation,1
NCT00002735,Drug,1
NCT00002735,Radiation,1
NCT00002740,Biological,1
NCT00002740,Drug,1
NCT00002740,Procedure,1
NCT00002740,Radiation,1
NCT00002744,Drug,1
NCT00002744,Radiation,1
NCT00002745,Drug,1
NCT00002756,Biological,1
NCT00002756,Drug,1
NCT00002759,Drug,1
NCT00002760,Drug,1
NCT00002760,Other,1
NCT00002762,Behavioral,1
NCT00002762,Procedure,1
NCT00002766,Biological,1
NCT00002766,Drug,1
NCT00002766,Radiation,1
NCT00002768,Biological,1
NCT00002768,Drug,1
NCT00002768,Procedure,1
NCT00002772,Biological,1
NCT00002772,Drug,1
NCT00002772,Procedure,1
NCT00002772,Radiation,1
NCT00002774,Drug,1
NCT00002774,Radiation,1
NCT00002779,Drug,1
NCT00002787,Biological,1
NCT00002787,Other,1
NCT00002796,Biological,1
NCT00002796,Drug,1
NCT00002798,Biological,1
NCT00002798,Drug,1
NCT00002798,Procedure,1
NCT00002798,Radiation,1
NCT00002804,Biological,1
NCT00002804,Drug,1
NCT00002804,Procedure,1
NCT00002804,Radiation,1
NCT00002805,Biological,1
NCT00002805,Drug,1
NCT00002805,Procedure,1
NCT00002805,Radiation,1
NCT00002806,Drug,1
NCT00002806,Radiation,1
NCT00002807,Radiation,1
NCT00002812,Drug,1
NCT00002812,Radiation,1
NCT00002816,Drug,1
NCT00002816,Radiation,1
NCT00002825,Biological,1
NCT00002825,Drug,1
NCT00002827,Biological,1
NCT00002827,Drug,1
NCT00002827,Radiation,1
NCT00002829,Biological,1
NCT00002829,Drug,1
NCT00002829,Procedure,1
NCT00002829,Radiation,1
NCT00002831,Biological,1
NCT00002831,Drug,1
NCT00002831,Procedure,1
NCT00002832,Biological,1
NCT00002832,Drug,1
NCT00002832,Procedure,1
NCT00002833,Biological,1
NCT00002833,Drug,1
NCT00002833,Procedure,1
NCT00002835,Biological,1
NCT00002835,Drug,1
NCT00002835,Procedure,1
NCT00002835,Radiation,1
NCT00002836,Biological,1
NCT00002836,Drug,1
NCT00002836,Procedure,1
NCT00002837,Biological,1
NCT00002837,Drug,1
NCT00002837,Procedure,1
NCT00002838,Biological,1
NCT00002838,Drug,1
NCT00002838,Procedure,1
NCT00002842,Drug,1
NCT00002842,Procedure,1
NCT00002844,Drug,1
NCT00002844,Procedure,1
NCT00002844,Radiation,1
NCT00002849,Biological,1
NCT00002849,Drug,1
NCT00002850,Drug,1
NCT00002852,Drug,1
NCT00002852,Procedure,1
NCT00002854,Biological,1
NCT00002854,Drug,1
NCT00002854,Procedure,1
NCT00002855,Drug,1
NCT00002855,Procedure,1
NCT00002860,Procedure,1
NCT00002862,Drug,1
NCT00002864,Drug,1
NCT00002874,Drug,1
NCT00002874,Radiation,1
NCT00002875,Biological,1
NCT00002875,Drug,1
NCT00002875,Radiation,1
NCT00002879,Drug,1
NCT00002880,Drug,1
NCT00002882,Biological,1
NCT00002882,Drug,1
NCT00002882,Procedure,1
NCT00002909,Drug,1
NCT00002912,Drug,1
NCT00002913,Biological,1
NCT00002913,Drug,1
NCT00002920,Drug,1
NCT00002920,Procedure,1
NCT00002921,Drug,1
NCT00002923,Drug,1
NCT00002924,Other,1
NCT00002925,Biological,1
NCT00002925,Drug,1
NCT00002931,Biological,1
NCT00002931,Drug,1
NCT00002931,Procedure,1
NCT00002934,Procedure,1
NCT00002938,Procedure,1
NCT00002939,Drug,1
NCT00002941,Drug,1
NCT00002941,Procedure,1
NCT00002942,Procedure,1
NCT00002944,Drug,1
NCT00002946,Drug,1
NCT00002949,Drug,1
NCT00002949,Radiation,1
NCT00002951,Drug,1
NCT00002951,Procedure,1
NCT00002951,Radiation,1
NCT00002952,Biological,1
NCT00002956,Biological,1
NCT00002961,Drug,1
NCT00002961,Procedure,1
NCT00002961,Radiation,1
NCT00002965,Biological,1
NCT00002968,Biological,1
NCT00002968,Other,1
NCT00002970,Drug,1
NCT00002975,Drug,1
NCT00002981,Procedure,1
NCT00002981,Radiation,1
NCT00002994,Biological,1
NCT00002998,Drug,1
NCT00003005,Drug,1
NCT00003006,Genetic,1
NCT00003006,Other,1
NCT00003018,Drug,1
NCT00003019,Drug,1
NCT00003034,Drug,1
NCT00003039,Drug,1
NCT00003040,Procedure,1
NCT00003040,Radiation,1
NCT00003042,Biological,1
NCT00003042,Drug,1
NCT00003042,Procedure,1
NCT00003045,Device,1
NCT00003045,Radiation,1
NCT00003046,Biological,1
NCT00003048,Drug,1
NCT00003056,Drug,1
NCT00003058,Drug,1
NCT00003070,Drug,1
NCT00003070,Procedure,1
NCT00003075,Drug,1
NCT00003075,Other,1
NCT00003077,DietarySupplement,1
NCT00003084,Drug,1
NCT00003088,Drug,1
NCT00003092,Drug,1
NCT00003093,Biological,1
NCT00003093,Drug,1
NCT00003093,Procedure,1
NCT00003098,Other,1
NCT00003099,Drug,1
NCT00003099,Other,1
NCT00003117,Drug,1
NCT00003118,Drug,1
NCT00003118,Procedure,1
NCT00003118,Radiation,1
NCT00003119,Biological,1
NCT00003119,Drug,1
NCT00003119,Procedure,1
NCT00003119,Radiation,1
NCT00003120,Drug,1
NCT00003126,Drug,1
NCT00003127,Drug,1
NCT00003130,Drug,1
NCT00003134,Drug,1
NCT00003136,Biological,1
NCT00003136,Drug,1
NCT00003136,Procedure,1
NCT00003137,Drug,1
NCT00003138,Biological,1
NCT00003138,Procedure,1
NCT00003139,Drug,1
NCT00003139,Other,1
NCT00003141,Biological,1
NCT00003141,Drug,1
NCT00003141,Procedure,1
NCT00003143,Drug,1
NCT00003145,Biological,1
NCT00003145,Drug,1
NCT00003145,Other,1
NCT00003145,Procedure,1
NCT00003145,Radiation,1
NCT00003147,Biological,1
NCT00003157,Drug,1
NCT00003157,Radiation,1
NCT00003162,Procedure,1
NCT00003162,Radiation,1
NCT00003166,Drug,1
NCT00003166,Other,1
NCT00003167,Biological,1
NCT00003170,DietarySupplement,1
NCT00003170,Other,1
NCT00003178,Biological,1
NCT00003178,Drug,1
NCT00003190,Drug,1
NCT00003191,Drug,1
NCT00003192,Drug,1
NCT00003193,Drug,1
NCT00003193,Procedure,1
NCT00003193,Radiation,1
NCT00003196,Biological,1
NCT00003196,Drug,1
NCT00003196,Procedure,1
NCT00003196,Radiation,1
NCT00003199,Biological,1
NCT00003199,Drug,1
NCT00003199,Procedure,1
NCT00003199,Radiation,1
NCT00003200,Drug,1
NCT00003200,Radiation,1
NCT00003203,Biological,1
NCT00003203,Drug,1
NCT00003203,Procedure,1
NCT00003203,Radiation,1
NCT00003204,Biological,1
NCT00003204,Drug,1
NCT00003204,Other,1
NCT00003207,Drug,1
NCT00003210,Biological,1
NCT00003210,Other,1
NCT00003211,Biological,1
NCT00003211,Drug,1
NCT00003211,Procedure,1
NCT00003211,Radiation,1
NCT00003217,Biological,1
NCT00003217,Drug,1
NCT00003222,Biological,1
NCT00003223,Drug,1
NCT00003224,Biological,1
NCT00003225,Drug,1
NCT00003234,Drug,1
NCT00003239,Biological,1
NCT00003239,Drug,1
NCT00003248,Biological,1
NCT00003248,Drug,1
NCT00003249,Drug,1
NCT00003254,Drug,1
NCT00003256,Drug,1
NCT00003270,Biological,1
NCT00003270,Drug,1
NCT00003270,Procedure,1
NCT00003270,Radiation,1
NCT00003276,Drug,1
NCT00003278,Drug,1
NCT00003278,Radiation,1
NCT00003281,Drug,1
NCT00003281,Radiation,1
NCT00003282,Drug,1
NCT00003282,Other,1
NCT00003282,Procedure,1
NCT00003288,Biological,1
NCT00003288,Drug,1
NCT00003292,Drug,1
NCT00003298,Drug,1
NCT00003298,Procedure,1
NCT00003298,Radiation,1
NCT00003299,Drug,1
NCT00003311,Biological,1
NCT00003311,Drug,1
NCT00003313,Biological,1
NCT00003313,Drug,1
NCT00003313,Radiation,1
NCT00003317,Drug,1
NCT00003317,Procedure,1
NCT00003317,Radiation,1
NCT00003323,Drug,1
NCT00003323,Other,1
NCT00003325,Procedure,1
NCT00003330,Biological,1
NCT00003350,Drug,1
NCT00003350,Other,1
NCT00003350,Procedure,1
NCT00003351,Drug,1
NCT00003369,Drug,1
NCT00003370,Drug,1
NCT00003377,Drug,1
NCT00003377,Radiation,1
NCT00003384,Other,1
NCT00003384,Procedure,1
NCT00003387,Drug,1
NCT00003387,Radiation,1
NCT00003389,Drug,1
NCT00003389,Radiation,1
NCT00003404,Radiation,1
NCT00003416,Biological,1
NCT00003416,Drug,1
NCT00003416,Procedure,1
NCT00003425,Biological,1
NCT00003425,Drug,1
NCT00003425,Procedure,1
NCT00003432,Biological,1
NCT00003439,Biological,1
NCT00003440,Biological,1
NCT00003440,Drug,1
