,Rank,NCTId,AgreementOtherDetails,AgreementPISponsorEmployee,AgreementRestrictionType,AgreementRestrictiveAgreement,ArmGroupDescription,ArmGroupInterventionName,ArmGroupLabel,ArmGroupType,AvailIPDComment,AvailIPDId,AvailIPDType,AvailIPDURL,BaselineCategoryTitle,BaselineClassDenomCountGroupId,BaselineClassDenomCountValue,BaselineClassDenomUnits,BaselineClassTitle,BaselineDenomCountGroupId,BaselineDenomCountValue
0,1,['NCT04371159'],[],[],[],[],['Each participant will test their urine sample using the Velieve U.S. device'],['Device: Velieve U.S.'],['Velieve U.S.'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],['Marshallese persons 18 years of age or older residing in the United States'],['Other: Assessing impact of COVID19'],['Marshallese in the U.S.'],[],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],"['The intervention arm receives contraceptive counseling from counselors who underwent training on the use of evidence informed birth control counseling.', 'The no intervention arm receives contraceptive counseling from counselors who underwent no additional training beyond what they normally receive.']",['Behavioral: Evidence informed birth control counseling'],"['Intervention', 'No intervention']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],['Other: Data collection'],['Influenza Group'],[],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],[],['No'],[],['No'],"['Falciparum Malaria Protein 11 with AS02A adjuvant', 'Falciparum Malaria Protein 11 with AS02A adjuvant']","['Biological: Falciparum Malaria Protein 11 with AS02A adjuvant', 'Biological: Falciparum Malaria Protein 11 with AS02A adjuvant']","['10µg dose FMP011', '50µg dose FMP011']","['Experimental', 'Experimental']",[],[],[],[],"['Female', 'Male', 'Hispanic or Latino', 'Not Hispanic or Latino', 'Unknown or Not Reported', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",[],[],[],['United States'],"['BG000', 'BG001', 'BG002', 'BG003']","['5', '13', '1', '19']"
0,6,['NCT00312663'],[],['No'],[],['No'],"['Falciparum Malaria Protein 11 with AS01B adjuvant', 'Falciparum Malaria Protein 11 with AS01B adjuvant']","['Biological: Falciparum Malaria Protein 11 with AS01B adjuvant.', 'Biological: Falciparum Malaria Protein 11 with AS01B adjuvant.']","['10ug dose FMP011', '50ug dose FMP011']","['Experimental', 'Experimental']",[],[],[],[],"['Female', 'Male', 'American Indian or Alaska Native', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'Black or African American', 'White', 'More than one race', 'Unknown or Not Reported']",[],[],[],['United States'],"['BG000', 'BG001', 'BG002', 'BG003']","['5', '13', '6', '24']"
0,7,['NCT01153880'],[],[],[],[],"['Age at time of prescription was <9 months', 'Age at time of prescription was uncertain for <9 months', 'Age at time of prescription was 9 months to 6 years', 'Age at time of prescription was 7 to 18 years', 'Age at time of prescription was 19 to 65 years', 'Age at time of prescription was 66 years and older']","['Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin', 'Drug: Retapamulin', 'Drug: Co-prescription of retapamulin and topical mupirocin']","['Age <9 months definitive', 'Age <9 months uncertain', '9 months to 6 years', '7 to 18 years', '19 to 65 years', '66 years and older']",[],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],"['Applicable subjects less than 65 years of age identified in the Marketscan Commercial database during the period from July 2000 through April 2009, and October 2010 to May 2011 and subjects 65 years of age and older identified in MarketScan Medicare Supplemental database during the period from July 2006 through April 2009, and October 2010 to May 2011.']",['Other: Data collection'],['Study Group'],[],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],['Mifepristone 200 mg orally on day 1.\n\nMisoprostol 800 mcg buccally on day 2 (24 hours after mifepristone).'],"['Drug: Mifepristone', 'Drug: Misoprostol']",['Medical menstrual regulation'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],"['Educational video game', 'Pamphlets on stopping tobacco use']","['Behavioral: Video Game', 'Behavioral: Surveys', 'Behavioral: Pamphlet', 'Behavioral: Surveys']","['Intervention', 'Standard Care']",[],[],[],[],[],[],[],[],[],[],[],[]
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],[],[],[],[],"['The intervention arm will provide a Case Manager (CM) intervention package designed to enhance linkage to care, antiretroviral treatment (ART) initiation, treatment adherence and retention in care.', 'Standard of care']",['Behavioral: Intervention'],"['Intervention', 'Control']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,14,['NCT00121108'],[],[],[],[],"['Placebo', 'MEDI-524']","['Other: Placebo', 'Biological: MEDI-524']","['2', '1']","['Placebo Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,15,['NCT01861210'],[],[],[],[],"['Couples Voluntary HIV Counseling and Testing, adapted for use with male couples from the standard African couples testing service.', 'Individual Voluntary Counseling and Testing involves HIV testing and individual, client-centered HIV prevention counseling. This service is provided by counselors trained in Centers for Disease Control and Prevention\'s ""Fundamentals of HIV Prevention Counseling"" training.']","['Behavioral: Couples Voluntary HIV Counseling and Testing', 'Behavioral: Individual Counseling and Testing']","['Couples Counseling and Testing', 'Individudal Counseling and Testing']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,16,['NCT02911155'],[],[],[],[],['radiologic technologists certified in nuclear medicine'],[],['US Nuclear Medicine Technologist'],[],[],[],[],[],[],[],[],[],[],[],[]
0,17,['NCT00724867'],"['GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.']",['No'],['OTHER'],['Yes'],"['Belimumab 1 mg/kg IV every 28 days', 'Belimumab 10 mg/kg IV every 28 days']","['Biological: Belimumab 1 mg/kg', 'Biological: Belimumab 10 mg/kg']","['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']","['Experimental', 'Experimental']",[],[],[],[],"['Female', 'Male']",[],[],[],"['Black or African American/African Heritage', 'American Indian or Alaska Native', 'Asian: Central Asian Heritage', 'Asian: East Asian Heritage', 'Asian: Japanese Heritage', 'Asian: South Asian Heritage', 'Asian: Southeast Asian Heritage', 'Native Hawaiian or Other Pacific Islander', 'White: Middle East/North African Heritage', 'White: White/Caucasian/European Heritage', 'Mixed Race']",['BG000'],['268']
0,18,['NCT03973905'],"['GSK agreements may vary with individual investigators, but will not prohibit any investigator from publishing. GSK supports the publication of results from all centers of a multi-center trial but requests that reports based on single site data not precede the primary publication of the entire clinical trial.']",['No'],['OTHER'],['Yes'],"['Infant subjects of at least 2 days old and less than (<) 2 months old, who met the pertussis diagnosis definition (laboratory confirmed pertussis, epidemiological linkage to a laboratory-confirmed case, clinically compatible illness), and who met the case infants inclusion criteria (resided in the catchment area on their cough onset date, were born in a hospital in their state of residence, had at least 37 weeks gestational age at birth, were neither adopted, nor in foster care and did not live in a residential care facility).\n\nThis post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.', 'Infant subjects of at least 2 days old and less than (<) 2 months old, who did not have a pertussis diagnosis prior to the cough onset date and who met the inclusion criteria for control infants (were born on a hospital in their state of residence, were at least 37 weeks gestational age at birth, were neither adopted, nor in foster care, did not live in a residential care facility, were born at the same hospital as the case infant).\n\nThis post-hoc analysis was limited to cases and controls whose mothers were either vaccinated with Boostrix or did not receive any Tdap vaccine. Cases with no remaining matched control were also excluded from the analysis and vice versa.']","['Other: Not applicable / dataset analysis', 'Other: Not applicable / dataset analysis']","['Pertussis Case Group', 'Control Group']",[],[],[],[],[],"['Female', 'Male']",[],[],[],"[""Infant's age (weeks)"", 'White', 'Black', 'Other-unspecified']","['BG000', 'BG001', 'BG002']","['107', '183', '290']"
0,19,['NCT00340457'],[],[],[],[],"['African American patients with renal cancer from two geographic areas of the US', 'African American participants without renal cancer from two geographic areas of the US']",[],"['Cases', 'Controls']",[],[],[],[],[],[],[],[],[],[],[],[]
0,20,['NCT02429284'],[],[],[],[],"['Patients newly diagnosed with chronic thromboembolic pulmonary hypertension (CTEPH), WHO Group IV Classification for Pulmonary Hypertension.']",[],['Patients newly diagnosed with CTEPH'],[],[],[],[],[],[],[],[],[],[],[],[]
0,21,['NCT02889263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,22,['NCT03995745'],[],[],[],[],"[""Participants randomized to this arm will receive an electronic pill bottle, AdhereTech. The AdhereTech bottle will be remotely monitored by the Way to Health platform. Participants will be randomly assigned a 2-digit number to be used as part of the lottery-based engagement incentives in which eligibility to win will be conditional on medication adherence. Participants will also be eligible for a financial bonus if participant's viral load is suppressed at the end of the intervention period. Participants will also receive an enrollment incentive and an incentive to complete a lab visit at the end of the intervention period."", 'Of the 20 participants randomized to the control arm, 10 will be randomly assigned to receive an electronic pill bottle, AdhereTech. The AdhereTech bottle will be remotely monitored by the Way to Health platform. Participants will also receive an enrollment incentive and an incentive to complete a lab visit at the end of the intervention period.']",['Behavioral: Medication adherence and financial incentives'],"['adherence based financial incentives', 'control']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,23,['NCT00928694'],"['Merck agreements may vary with individual investigators, but will not prohibit any investigator from publishing. Merck supports the publication of results from all centers of a multi-center trial but requests that reports based on single-site data not precede the primary publication of the entire clinical trial.']",['No'],['OTHER'],['Yes'],"['Fenofibrate U.S. Formulation', 'Fenofibrate UK Formulation']","['Drug: fenofibrate (U.S. formulation)', 'Drug: fenofibrate (UK formulation)']","['1', '2']","['Active Comparator', 'Active Comparator']",[],[],[],[],"['Female', 'Male']",[],[],[],[],['BG000'],['14']
0,24,['NCT02153996'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,25,['NCT00413673'],[],[],[],[],['PRK'],['Procedure: PRK'],['1'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,26,['NCT03867409'],[],[],[],[],"['Participant is exposed to a demographically concordant (i.e. gender and race matched with patient) colon cancer screening message delivered by virtual human technology.', 'Participant is exposed to a demographically dis-concordant (i.e. gender and race matched with patient) colon cancer screening message delivered by virtual human technology.', 'Participant is exposed to a demographically concordant (i.e. gender and race matched with patient) colon cancer screening message delivered in a text-based format.', 'Participant is exposed to a demographically dis-concordant (i.e. gender and race matched with patient) colon cancer screening message delivered in a text-based format.']","['Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology', 'Behavioral: message delivered via virtual technology']","['Concordant virtual human', 'Dis-concordant virtual human', 'Concordant text', 'Dis-concordant text']","['Experimental', 'Experimental', 'Experimental', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,27,['NCT04004260'],[],[],[],[],"['The intervention offered is a guided Internet-based CBT intervention. The intervention is similar to a self-help program, providing an opportunity to learn about new ways of coping with tinnitus during everyday life. It is a 8-week long e-learning intervention, with new modules introduced weekly and assignments are given to practice the techniques learned.', 'The weekly check-in control group will be monitored weekly by means of the Tinnitus Handicap Inventory-Screening version (THI-S) and the Tinnitus Qualities Questionnaire (TQQ). Once the experimental group completes the ICBT intervention, the control group undertake the same ICBT intervention.']","['Behavioral: Internet-based Cognitive Behavior Therapy', 'Behavioral: Internet-based Cognitive Behavior Therapy']","['Experimental group', 'Weekly check-in control group']","['Experimental', 'Other']",[],[],[],[],[],[],[],[],[],[],[]
0,28,['NCT04205877'],[],[],[],[],['All participants will have the same data collected at the same time points.'],['Device: Transcatheter PDA Closure'],['Registry Group'],[],[],[],[],[],[],[],[],[],[],[],[]
0,29,['NCT01262079'],[],[],[],[],[],[],"['Group 1: 6-15 years old', 'Group 2: 16-25 years old', 'Group 3: 26-35 years old', 'Group 4: 36-45 years old', 'Group 5: 46-55 years old', 'Group 6: 56-65 years old', 'Group 7: 66-75 years old', 'Group 8: 76-85 years old', 'Group 9: > 85 years old']",[],[],[],[],[],[],[],[],[],[],[],[]
0,30,['NCT00646438'],[],[],[],[],"['strict glucose control (study arm)', 'standard insulin treatment (control arm)']",['Drug: Strict Glycemic Control for one year post-op CABG'],"['1', '2']","['Active Comparator', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,31,['NCT00341588'],[],[],[],[],"['Male U.S. serviceman, age 18-45 years old with TGCT', 'Male U.S. serviceman, age 18-45 years old without TGCT']",[],"['Cases', 'Controls']",[],[],[],[],[],[],[],[],[],[],[],[]
0,32,['NCT04562636'],[],[],[],[],"['Four environmental messages from the Meatless Monday campaign.', 'Four health messages from the Meatless Monday campaign.', ""Four neutral messages about checking one's credit score.""]","['Other: Environmental message', 'Other: Health message', 'Other: Neutral Message']","['Environment-focused Meatless Monday messages', 'Health-focused Meatless Monday messages', 'Neutral Message']","['Experimental', 'Experimental', 'Other']",[],[],[],[],[],[],[],[],[],[],[]
0,33,['NCT03924505'],[],[],[],[],"['This arm will receive the naloxone intervention implementation manual and the External Facilitation (EF) intervention. The manual provides details for developing, implementing, and managing a naloxone intervention program within different types of organizations that serve people who use opioids, including SSPs. The EF intervention is a collaborative, organization-centered form of guiding to navigate barriers and leverage facilitators to advance an evidence-based intervention along the EPIS continuum. Guidance will be conducted by an External Facilitator.', 'This arm will receive the naloxone intervention implementation manual. The manual provides details for developing, implementing, and managing a naloxone intervention program within different types of organizations that serve people who use opioids, including SSPs.']","['Behavioral: Implementation Manual with External Facilitation Intervention', 'Behavioral: Implementation Manual only']","['Implementation Manual and External Facilitation', 'Implementation Manual - only']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,34,['NCT02334462'],[],[],[],[],"['Arm A1 (N=5) to receive 16 micrograms Pfs25M on D0, D28 Arm A2 (N=50) to receive 47 micrograms Pfs25M and Normal Saline on D0, D28, D168, D530', 'Arm 1a (N=5) to receive 16 micrograms Pfs25M on D0, D28. Arm 1b (N=5) to receive 47 micrograms Pfs25M on D0, D28.', 'Arm B1 (N=5) to receive 15 micrograms Pfs230D1M on D0, D28 Pfs230D1M-EPA/Alhydrogel Arm B2 (N=50) to receive 40 micrograms Pfs230D1M and Normal Saline on D0, D28, D168, D530', 'Arm 2a (N=5) to receive 5 micrograms Pfs230D1M on D0, D28.Arm 2b (N=5) to receive 15 micrograms Pgs230D1M on D0, D28. Arm 2c (N=5) to receive 40 micrograms Pfs230D1M on D0, D28.', 'Arm C1 (N=5) to receive 16 micrograms Pfs25M and 15 micrograms Pfs230D1M on D0, D28Arm C2 (N=50) to receive 47 micrograms Pfs25M and 40 microgramsPfs230D1M on D0, D28, D168, D530', 'Arm 3a (N=5) to receive 16 micrograms Pfs25M and 15 micrograms Pfs230D1M on D0, D28. Arm 3b (N=5) to receive 47 micrograms Pfs25M and 40 micrograms Pfs230D1M on D0, D28.', 'Arm D1 (N=5) to receive TWINRIX on D0, D28Arm D2 (N=5) to receive TWINRIX and NormalSaline on D0, D28Arm D3 (N=50) to receive TWINRIX and NormalSaline on D0, D28, D168; to receive Menactra andNormal Saline on D530']","['Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Biological: Pfs230D1M-EPA/Alhydrogel', 'Biological: Pfs25M-EPA/Alhydrogel', 'Drug: TWINRIX', 'Drug: Menactra']","['Group 1- Mali', 'Group 1-U.S', 'Group 2- Mali', 'Group 2-U.S', 'Group 3- Mali', 'Group 3- U.S.', 'Group 4- Mali']","['Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,35,['NCT03311295'],[],[],[],[],[],['Device: ARTO System'],['ARTO System'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,36,['NCT03242278'],[],[],[],[],"['NVAF patients who receive a standard dose of rivaroxaban (20 mg daily)', 'NVAF patients who receive a reduced dose of rivaroxaban (15 mg daily)']","['Drug: Rivaroxaban (Xarelto, BAY59-7939)', 'Drug: Rivaroxaban (Xarelto, BAY59-7939)']","['NVAF patients receiving 20 mg rivaroxaban', 'NVAF patients receiving 15 mg rivaroxaban']",[],[],[],[],[],[],[],[],[],[],[],[]
0,37,['NCT03683134'],[],[],[],[],"['Participants will receive both nutrition education on patterns of a Mediterranean style diet as well as olive oil and mixed nuts.', 'Participants will receive nutrition education on the dietary recommendations for heart health from the American Heart Association.']","['Behavioral: Mediterranean diet', 'Dietary Supplement: Olive oil and mixed nuts', 'Behavioral: American Heart Association']","['Mediterranean diet group', 'American Heart Association group']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,38,['NCT04047316'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,39,['NCT03952364'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,40,['NCT04021030'],[],[],[],[],[],['Behavioral: Cognitive Behavioral Therapy (CBT)'],['Cognitive Behavioral Therapy (CBT)'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
