,Rank,NCTId,LocationContactRole,LocationCountry,LocationFacility,LocationState,LocationStatus,LocationZip,MaximumAge,MinimumAge,NCTIdAlias,OfficialTitle,OrgClass,OrgFullName,OrgStudyId,OrgStudyIdDomain,OrgStudyIdLink,OrgStudyIdType,OtherEventAssessmentType,OtherEventNotes,OtherEventOrganSystem
0,1,['NCT04371159'],[],['United States'],"['Comprehensive Clinical Trials, LLC']",['Florida'],[],['33409'],['80 Years'],['18 Years'],[],"['A Comparative, Controlled Study to Evaluate the Clinical Accuracy of the Velieve U.S. UTI Urine Analysis Test System']",['INDUSTRY'],['Healthy.io Ltd.'],['CTP-Velieve-MC-02'],[],[],[],[],[],[]
0,2,['NCT04474496'],[],['United States'],['University of Arkansas for Medical Sciences Northwest'],['Arkansas'],[],['72703'],[],['18 Years'],[],['Impact of COVID-19 on Marshallese Communities in the U.S.'],['OTHER'],['University of Arkansas'],['261131'],[],[],[],[],[],[]
0,3,['NCT02801266'],[],['United States'],"['New York University, Silver School of Social Work']",['New York'],[],['10001'],['30 Years'],['18 Years'],[],['Improving Contraceptive Counseling in the United States'],['OTHER'],['New York University'],['FPRPA006057'],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],"['Burden of Influenza in the United States, July 1997 up to April 2009']",['INDUSTRY'],['GlaxoSmithKline'],['116730'],[],[],[],[],[],[]
0,5,['NCT00312702'],[],['United States'],['Walter Reed Army Institute of Research'],['Maryland'],[],['20910'],['50 Years'],['18 Years'],[],"['A Phase I/IIa Controlled Study of the Safety, Immunogenicity and Preliminary Efficacy of FMP011/AS02A Candidate Malaria Vaccine in Malaria-naive Adults Living in the United States']",['FED'],['U.S. Army Medical Research and Development Command'],['WRAIR 1249'],[],[],[],"['Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment']","['Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Any', 'Any', 'Any', 'Any', 'Any', 'Immunization 1', 'Immunization 2', 'Immunization 2', 'Immunization 2']","['General disorders', 'General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'General disorders', 'Gastrointestinal disorders', 'Nervous system disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'General disorders', 'General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'General disorders', 'Gastrointestinal disorders', 'Nervous system disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'Injury, poisoning and procedural complications', 'Blood and lymphatic system disorders', 'Ear and labyrinth disorders', 'Nervous system disorders', 'Ear and labyrinth disorders', 'Injury, poisoning and procedural complications', 'Blood and lymphatic system disorders', 'Nervous system disorders']"
0,6,['NCT00312663'],[],['United States'],['Walter Reed Army Institute of Research'],['Maryland'],[],['20910'],['50 Years'],['18 Years'],[],"['A Phase I/IIa Controlled Study of the Safety, Immunogenicity and Preliminary Efficacy of FMP011/AS01B Candidate Malaria Vaccine in Malaria-naive Adults Living in the United States']",['FED'],['U.S. Army Medical Research and Development Command'],['WRAIR 1250'],[],[],[],"['Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment', 'Non-systematic Assessment']","['Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 1', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Any', 'Any', 'Any', 'Any', 'Any', 'Any', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2', 'Immunization 2']","['General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'General disorders', 'Gastrointestinal disorders', 'Nervous system disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'Nervous system disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'General disorders', 'Skin and subcutaneous tissue disorders', 'General disorders', 'Gastrointestinal disorders', 'Nervous system disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'General disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Injury, poisoning and procedural complications', 'Musculoskeletal and connective tissue disorders', 'Infections and infestations', 'Musculoskeletal and connective tissue disorders', 'Blood and lymphatic system disorders', 'Musculoskeletal and connective tissue disorders', 'Musculoskeletal and connective tissue disorders', 'Infections and infestations', 'Musculoskeletal and connective tissue disorders', 'Blood and lymphatic system disorders']"
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],['Pharmacovigilence for Retapamulin: Age-stratified Monitoring of Prescribed Use in the United States'],['INDUSTRY'],['GlaxoSmithKline'],['113158'],[],[],[],[],[],[]
0,8,['NCT02019732'],[],['United States'],['GSK Investigational Site'],['Maryland'],[],['20814'],[],[],[],"['Burden of Mild Outcomes Due to Influenza in the United States, July 2000 Through April 2009 and October 2010 to May 2011']",['INDUSTRY'],['GlaxoSmithKline'],['117233'],[],[],[],[],[],[]
0,9,['NCT03972358'],"['Contact', 'Principal Investigator', 'Contact', 'Principal Investigator']","['United States', 'United States']","['Carafem Health Center', 'Carafem Health Center']","['Illinois', 'Maryland']","['Not yet recruiting', 'Recruiting']","['60076', '20815']",['49 Years'],['18 Years'],[],['Assessing Acceptability and Use of Medical Menstrual Regulation in the United States'],['OTHER'],['Gynuity Health Projects'],['8002'],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],['18 Years'],[],['Combating Tobacco Use in the United States Army'],['OTHER'],['M.D. Anderson Cancer Center'],['2009-0222'],[],[],[],[],[],[]
