,Rank,NCTId,OtherEventSourceVocabulary,OtherEventStatsGroupId,OtherEventStatsNumAffected,OtherEventStatsNumAtRisk,OtherEventStatsNumEvents,OtherEventTerm,OtherOutcomeDescription,OtherOutcomeMeasure,OtherOutcomeTimeFrame,OutcomeAnalysisCILowerLimit,OutcomeAnalysisCILowerLimitComment,OutcomeAnalysisCINumSides,OutcomeAnalysisCIPctValue,OutcomeAnalysisCIUpperLimit,OutcomeAnalysisCIUpperLimitComment,OutcomeAnalysisDispersionType,OutcomeAnalysisDispersionValue,OutcomeAnalysisEstimateComment,OutcomeAnalysisGroupId
0,1,['NCT04371159'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],"['Method switching for pill users as assessed by a questionnaire designed for this study asking current method used at posttest to determine if it is no longer the pill using questions designed for this study', 'Gaps in pregnancy protection (number of weeks not using any birth control during contraceptive method switches as assessed by a questionnaire designed for this study using retrospective recall', 'Counselor behavior (topics covered during counseling) as assessed by a questionnaire designed for this study asking if counselor did or did not address key topics about method use', 'Pill users retrospective report of the number of missed pills using a questionnaire designed for this study']","['six months to one year from initial clinic visit', 'six months to one year from initial clinic visit', 'six months to one year from initial clinic visit', 'six months to one year from initial clinic visit']",[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],"['MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA', 'MedDRA']","['EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002']","['5', '13', '0', '5', '13', '0', '1', '2', '0', '3', '2', '0', '1', '1', '0', '0', '4', '0', '1', '5', '0', '2', '6', '0', '2', '4', '0', '3', '6', '0', '5', '13', '0', '5', '13', '0', '1', '2', '0', '3', '2', '0', '1', '0', '0', '0', '1', '0', '1', '2', '0', '5', '10', '0', '5', '9', '0', '0', '1', '0', '0', '1', '0', '1', '1', '0', '0', '4', '0', '1', '5', '0', '2', '6', '0', '2', '4', '0', '2', '6', '0', '0', '2', '0', '0', '1', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '0', '0', '1', '0']","['5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1', '5', '13', '1']","['5', '13', '0', '5', '13', '0', '1', '2', '0', '3', '2', '0', '1', '1', '0', '0', '4', '0', '1', '5', '0', '2', '6', '0', '2', '4', '0', '3', '6', '0', '5', '13', '0', '5', '13', '0', '1', '2', '0', '3', '2', '0', '1', '0', '0', '0', '1', '0', '1', '2', '0', '5', '10', '0', '5', '9', '0', '0', '1', '0', '0', '1', '0', '1', '1', '0', '0', '4', '0', '1', '5', '0', '2', '6', '0', '2', '4', '0', '2', '6', '0', '0', '2', '0', '0', '1', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '0', '0', '1', '0']","['Local', 'Pain', 'Swelling', 'Redness', 'Fever', 'Nausea', 'Headache', 'Malaise', 'Myalgia', 'Fatigue', 'Local', 'Pain', 'Swelling', 'Redness', 'Fever', 'Myalgia', 'Fatigue', 'Local', 'Pain', 'Swelling', 'Redness', 'Fever', 'Nausea', 'Headache', 'Malaise', 'Myalgia', 'Fatigue', 'Chills', 'Bruise at injection site', 'Axilla lymphadenopathy', 'Ringing in ears - bilateral', 'Vasovagal event', 'Ringing in ears - bilateral', 'Bruise at injection site', 'Axilla lymphadenopathy', 'Vasovagal event']",[],[],[],[],[],[],[],[],[],[],[],[],[]
0,6,['NCT00312663'],"['MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA', 'MeDRA']","['EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002', 'EG000', 'EG001', 'EG002']","['5', '13', '0', '1', '4', '0', '3', '4', '0', '3', '5', '0', '1', '2', '0', '3', '10', '0', '3', '9', '0', '2', '7', '0', '2', '9', '0', '3', '4', '0', '5', '13', '0', '1', '2', '0', '1', '2', '0', '0', '2', '0', '0', '2', '0', '1', '2', '0', '1', '0', '0', '4', '11', '0', '0', '3', '0', '2', '3', '0', '3', '5', '0', '1', '2', '0', '3', '9', '0', '3', '9', '0', '2', '7', '0', '2', '9', '0', '3', '4', '0', '2', '3', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '2', '7', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0']","['5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0', '5', '13', '0']","['5', '13', '0', '1', '4', '0', '3', '4', '0', '3', '5', '0', '1', '2', '0', '3', '10', '0', '3', '9', '0', '2', '7', '0', '2', '9', '0', '3', '4', '0', '5', '13', '0', '1', '2', '0', '1', '2', '0', '0', '2', '0', '0', '2', '0', '1', '2', '0', '1', '0', '0', '4', '11', '0', '0', '3', '0', '2', '3', '0', '3', '5', '0', '1', '2', '0', '3', '9', '0', '3', '9', '0', '2', '7', '0', '2', '9', '0', '3', '4', '0', '2', '3', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '2', '7', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0']","['Pain', 'Swelling', 'Redness', 'Fever', 'Nausea', 'Headache', 'Malaise', 'Myalgia', 'Fatigue', 'Joint pain', 'Pain', 'Swelling', 'Redness', 'Headache', 'Myalgia', 'Fatigue', 'Joint pain', 'Pain', 'Swelling', 'Redness', 'Fever', 'Nausea', 'Headache', 'Malaise', 'Myalgia', 'Fatigue', 'Joint pain', 'Chills', 'Bruise', 'Back pain', 'Flu-like symptoms', 'Stiffness', 'Swollen glands', 'Chills', 'Back pain', 'Flu-like symptoms', 'Stiffness', 'Swollen glands - neck and axillary']",[],[],[],[],[],[],[],[],[],[],[],[],[]
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
