,Rank,NCTId,OutcomeAnalysisGroupDescription,OutcomeGroupId,OutcomeAnalysisNonInferiorityComment,OutcomeAnalysisNonInferiorityType,OutcomeAnalysisOtherAnalysisDescription,OutcomeAnalysisPValue,OutcomeAnalysisPValueComment,OutcomeAnalysisParamType,OutcomeAnalysisParamValue,OutcomeAnalysisStatisticalComment,OutcomeAnalysisStatisticalMethod,OutcomeAnalysisTestedNonInferiority,OutcomeCategoryTitle,OutcomeClassDenomCountGroupId,OutcomeClassDenomCountValue,OutcomeClassDenomUnits,OutcomeClassTitle,OutcomeDenomCountGroupId,OutcomeDenomCountValue
0,1,['NCT04371159'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],[],"['OG000', 'OG001', 'OG002', 'OG000', 'OG001']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Pain - Grade 1', 'Pain - Grade 2', 'Pain - Grade 3', 'Redness - Grade 1', 'Redness - Grade 2', 'Redness - Grade 3', 'Swelling - Grade 1', 'Swelling - Grade 2', 'Swelling - Grade 3', 'Day 0', 'Day 28', 'Day 42 (challenge day)', 'Day 84']","['OG000', 'OG001', 'OG002', 'OG000', 'OG001']","['5', '13', '1', '5', '13']"
0,6,['NCT00312663'],[],"['OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Pain - Grade 1', 'Pain - Grade 2', 'Pain - Grade 3', 'Redness - Grade 1', 'Redness - Grade 2', 'Redness - Grade 3', 'Swelling - Grade 1', 'Swelling - Grade 2', 'Swelling - Grade 3', 'Day 0', 'Day 28', 'Day 42', 'Day 84']","['OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002']","['5', '13', '0', '5', '13', '6']"
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
