,Rank,NCTId,OutcomeDenomUnits,OutcomeGroupDescription,OutcomeMeasurementUpperLimit,OutcomeGroupTitle,OutcomeMeasureAnticipatedPostingDate,OutcomeMeasureCalculatePct,OutcomeMeasureDenomUnitsSelected,OutcomeMeasureDescription,OutcomeMeasureDispersionType,OutcomeMeasureParamType,OutcomeMeasurePopulationDescription,OutcomeMeasureReportingStatus,OutcomeMeasureTimeFrame,OutcomeMeasureTitle,OutcomeMeasureType,OutcomeMeasureTypeUnitsAnalyzed,OutcomeMeasureUnitOfMeasure,OutcomeMeasurementComment,OutcomeMeasurementGroupId
0,1,['NCT04371159'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],"['Participants', 'Participants']","['Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', 'Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', ""12 Subjects from the high dose group and 1 non immunized subject enrolled prior to challenge to serve as IC's for malaria sporozoite challenge.\n\n1 infectivity control subject out of the 6 came from this phase 1 study, the other 5 came from the phase 2 study (WRAIR 1250, NCT00312663). Both studies were included in one final clinical study report."", 'Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', 'Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine']","['171.2', '220.2', '2855.6', '2207.3', 'NA', '64250.0', 'NA', '49800.0']","['10µg Dose FMP011', '50µg Dose FMP011', 'Infectivity Control', '10µg Dose FMP011', '50µg Dose FMP011']",[],[],[],"['An AE was defined as any reaction, side effect, or untoward event that occurred during the course of the trial whether or not the event was considered related to study drug or clinically significant.\n\nGrade 1: Mild Grade 2: Moderate Grade 3: Severe', 'Anti-LSA-1 Antibody Response in Titer Units on days 0, 28, 42 and 84']",['Full Range'],"['Number', 'Median']","[""The AE's were tabulated and summarized by subject and treatment groups. No additional analyses were performed. Grade 1 = mild, Grade 2 = moderate, Grade 3 = severe Infectivity Controls were not included in this analysis."", ""Low dose group didn't participate in challenge (day 42) and day 84""]","['Posted', 'Posted']","['30 days post vaccination', 'days 0, 28, 42 (challenge day) and 84']","['Safety - Most Frequently Reported Adverse Events and Grade', 'Anti-LSA-1 Antibody Response in Titer Units']","['Primary', 'Secondary']",[],"['Number of adverse events', 'Titer units']","[""Low dose group didn't participate in challenge (day 42)"", ""Low dose group didn't participate in day 84""]","['OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001']"
0,6,['NCT00312663'],"['Participants', 'Participants']","['Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', 'Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', ""10 Subject from the high dose group and six non immunized subjects enrolled prior to challenge to serve as IC's for malaria sporozoite challenge"", 'Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', 'Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', ""10 Subject from the high dose group and six non immunized subjects enrolled prior to challenge to serve as IC's for malaria sporozoite challenge.""]","['644.0', '475.9', 'NA', '3523.3', '6161.0', 'NA', 'NA', '85080.0', '248.5', 'NA', '18131.0', '235.4']","['10ug Dose FMP011', '50ug Dose FMP011', 'Infectivity Control (IC)', '10ug Dose FMP011', '50ug Dose FMP011', 'Infectivity Controls (IC)']",[],[],[],"['An AE was defined as any reaction, side effect, or untoward event that occurred during the course of the trial whether or not the event was considered related to the study drug or clinically significant. Grade 1: Mild Grade 2: Moderate Grade 3: Severe', 'Anti-LSA-1 Antibody Response in Titer Units on Days 0, 28, 42, and 84']",['Full Range'],"['Number', 'Median']","[""The AE's were tabulated and summarized by subject and treatment groups. No additional analyses were performed. Subjects from the IC group were not evaluated for AE's and there for not included in the data.\n\nGrade 1 = mild, Grade 2 = moderate, Grade 3 = severe"", 'nAnti-LSA-1 Antibody Response in Titer units on Days 0, 28, 42 and 84']","['Posted', 'Posted']","['30 days post vaccination', 'Days 0, 28, 42, and 84']","['Safety - Most Frequently Reported Adverse Events and Grade', 'Anti-LSA-1 Antibody Response in Titer Units on Days 0, 28, 42, and 84']","['Primary', 'Secondary']",[],"['adverse events', 'Titer units']","[""Didn't participate in phase"", ""Didn't participate in phase"", ""Didn't' participate in Challenge Phase"", ""Didn't' participate in Challenge Phase""]","['OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002', 'OG000', 'OG001', 'OG002']"
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
