,Rank,NCTId,OutcomeMeasurementLowerLimit,OutcomeMeasurementSpread,PrimaryOutcomeTimeFrame,OutcomeMeasurementValue,OverallOfficialAffiliation,OverallOfficialName,OverallOfficialRole,OverallStatus,OversightHasDMC,PatientRegistry,Phase,PointOfContactEMail,PointOfContactOrganization,PointOfContactPhone,PointOfContactPhoneExt,PointOfContactTitle,PrimaryCompletionDate,PrimaryCompletionDateType,PrimaryOutcomeDescription
0,1,['NCT04371159'],[],[],['11 months'],[],[],[],[],['Completed'],[],[],['Not Applicable'],[],[],[],[],[],"['May 30, 2020']",['Actual'],[]
0,2,['NCT04474496'],[],[],['Baseline'],[],[],[],[],['Enrolling by invitation'],['No'],['No'],[],[],[],[],[],[],"['November 1, 2020']",['Anticipated'],"['Respondents will be asked how COVID-19 has impacted mulitple facets of their lives, including housing, food security, and employment and income']"
0,3,['NCT02801266'],[],[],"['immediately after counseling session', 'immediately after counseling session', 'immediately after counseling session', '6 months from initial clinic visit', 'one year from initial clinic visit']",[],['New York University'],"['James J Jaccard, PhD']",['Principal Investigator'],['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],['October 2014'],['Actual'],[]
0,4,['NCT01599390'],[],[],"['From July 1997 to April 2009 (i.e., up to almost 12 years)', 'From July 1997 to April 2009 (i.e., up to almost 12 years)']",[],['GlaxoSmithKline'],['GSK Clinical Trials'],['Study Director'],['Completed'],['No'],[],[],[],[],[],[],[],['February 2013'],['Actual'],[]
0,5,['NCT00312702'],"['21.4', '18.5', '82.3', '51.4', 'NA', '10590.0', 'NA', '3397.0']",[],['30 days post vaccination'],"['3', '10', '0', '2', '3', '0', '0', '0', '0', '3', '1', '0', '0', '0', '0', '0', '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '24.8', '47.1', '1629.9', '834.8', 'NA', '29851.5', 'NA', '10378.5']",['Walter Reed Army Institute of Research (WRAIR)'],"['James F Cummings, MD']",['Principal Investigator'],['Completed'],['Yes'],[],"['Phase 1', 'Phase 2']",['james.cummings@us.army.mil'],['Walter Reed Army Institute of Research'],['301-319-9312'],[],"['James F. Cummings, MD']",['October 2006'],['Actual'],"['An AE was defined as any reaction, side effect, or untoward event that occurred during the course of the trial whether or not the event was considered related to study drug or clinically significant.\n\nGrade 1: Mild Grade 2: Moderate Grade 3: Severe']"
0,6,['NCT00312663'],"['23.7', '-10', 'NA', '51.9', '41.1', 'NA', 'NA', '1774.9', '-10', 'NA', '834.0', '14.0']",[],['30 days post vaccination'],"['5', '9', '0', '4', '0', '0', '1', '1', '1', '1', '1', '2', '1', '2', '0', '0', '0', '2', '36.2', '43.15', 'NA', '514.4', '462.0', 'NA', 'NA', '36527.0', '21.1', 'NA', '9180.0', '30']",['Walter Reed Army Institute of Research (WRAIR)'],"['James F. Cummings, MD']",['Principal Investigator'],['Completed'],['Yes'],[],"['Phase 1', 'Phase 2']",['james.cummings@us.army.mil'],['WRAIR'],['301-319-9312'],[],"['James Cummings, MD']",['October 2006'],['Actual'],"['An AE was defined as any reaction, side effect, or untoward event that occurred during the course of the trial whether or not the event was considered related to the study drug or clinically significant. Grade 1: Mild Grade 2: Moderate Grade 3: Severe']"
0,7,['NCT01153880'],[],[],['First prescription in database for each calendar year between January 2007 and December 2011'],[],['GlaxoSmithKline'],['GSK Clinical Trials'],['Study Director'],['Completed'],['No'],[],[],[],[],[],[],[],['August 2012'],['Actual'],[]
0,8,['NCT02019732'],[],[],['Up to 10 years approximately (Marketscan Commercial Database) and up to 6 years approximately (Marketscan Medicare Supplemental Database).'],[],['GlaxoSmithKline'],['GSK Clinical Trials'],['Study Director'],['Completed'],[],[],[],[],[],[],[],[],['June 2013'],['Actual'],"['- All the events contained within ""potentially influenza-attributable"" office visits. - Weekly proportion of circulating influenza A and B strains determined for each season.']"
0,9,['NCT03972358'],[],[],['Up to 28 days after mifepristone administration'],[],['Gynuity Health Projects'],"['Wendy R Sheldon, PhD']",['Principal Investigator'],['Recruiting'],['No'],[],['Phase 2'],[],[],[],[],[],"['December 31, 2020']",['Anticipated'],['Acceptability of MMR']
0,10,['NCT00948233'],[],[],"['Baseline, immediately following completion of the program, and at 6- and 12-month follow-ups']",[],['M.D. Anderson Cancer Center'],"['Alex Prokhorov, MD, PHD']",['Study Chair'],['Withdrawn'],['No'],[],[],[],[],[],[],[],['July 2016'],['Actual'],[]
0,11,['NCT00026728'],[],[],[],[],[],[],[],['Completed'],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],['National Institute of Mental Health (NIMH)'],"['Maryland Pao, M.D.']",['Principal Investigator'],['Completed'],[],[],[],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],[],[],"['UP to 24 months', 'Up to 24 months']",[],"['Johns Hopkins University', 'Columbia University']","['Chris Beyrer, MD/MPH', 'Robert H Remien, PhD']","['Study Chair', 'Study Chair']",['Unknown status'],['No'],[],['Not Applicable'],[],[],[],[],[],['February 2019'],['Anticipated'],[]
0,14,['NCT00121108'],[],[],['Through Day 150'],[],['MedImmune LLC'],"['Hason Jafri, M.D.']",['Study Director'],['Completed'],['Yes'],[],['Phase 3'],[],[],[],[],[],['December 2010'],['Actual'],[]
0,15,['NCT01861210'],[],[],['3 months'],[],['Emory University Rollins School of Public Health'],"['Patrick S Sullivan, PhD']",['Principal Investigator'],['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],['May 2012'],['Actual'],"['Having been punched, hit, or kicked by the partner he tested with, injured to the point of feeling physical pain the day after a fight, or inflicting any of these acts on his partner in the preceding three months.']"
0,16,['NCT02911155'],[],[],['2016-2022'],[],['National Cancer Institute (NCI)'],['Cari M Kitahara'],['Principal Investigator'],['Completed'],[],[],[],[],[],[],[],[],"['May 1, 2020']",['Actual'],['Cancer and other disease risks associated with occupational nuclear medicine radiation exposures']
