,Rank,NCTId,PrimaryOutcomeMeasure,SecondaryIdDomain,ReferenceCitation,ReferencePMID,ReferenceType,RemovedCountry,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorTitle,ResponsiblePartyOldNameTitle,ResponsiblePartyOldOrganization,ResponsiblePartyType,ResultsFirstPostDate,ResultsFirstPostDateType,ResultsFirstSubmitDate,ResultsFirstSubmitQCDate,RetractionPMID,RetractionSource,SamplingMethod
0,1,['NCT04371159'],"['Evaluation of the % agreement of the Velieve U.S., tested by the lay user, as compared to a comparator device, tested by a professional user.']",[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,2,['NCT04474496'],['Effects of COVID-19 on social determinants of health'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,3,['NCT02801266'],"['Patient satisfaction with counselors as assessed by 5 point Likert rating scales using questionnaire designed for this study at immediate posttest.', 'Patient satisfaction with counseling session as assessed by 5 point Likert rating scales using a questionnaire designed for this study at immediate posttest.', 'Patient satisfaction with clinic experience overall as assessed by 5 point Likert rating scales using a questionnaire designed for this study at immediate posttest.', 'Patient satisfaction with clinic experience overall as assessed by 5 point Likert rating scales using a questionnaire designed for this study at 6 months.', 'Patient satisfaction with clinic experience overall as assessed by 5 point Likert rating scales using a questionnaire designed for this study at 12 months.']",['NYU Committee on Activities Involving Human Subjects'],[],[],[],[],['New York University'],['James Jaccard'],['Professor and Associate Dean for Research'],[],[],['Principal Investigator'],[],[],[],[],[],[],[]
0,4,['NCT01599390'],"['Occurrences of potentially influenza-attributable hospitalization or death by age, risk status, region and season.', 'Amount of circulating influenza A and B, and RSV strains determined for each season.']",[],"['Matias G, Taylor R, Haguinet F, Schuck-Paim C, Lustig R, Shinde V. Estimates of hospitalization attributable to influenza and RSV in the US during 1997-2009, by age and risk status. BMC Public Health. 2017 Mar 21;17(1):271. doi: 10.1186/s12889-017-4177-z.']",['28320361'],['derived'],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,5,['NCT00312702'],['Safety - Most Frequently Reported Adverse Events and Grade'],['USAMRMC'],[],[],[],[],[],[],[],[],[],['Sponsor'],"['November 26, 2018']",['Actual'],"['December 9, 2016']","['May 15, 2018']",[],[],[]
0,6,['NCT00312663'],['Safety - Most Frequently Reported Adverse Events and Grade'],['USAMRMC'],[],[],[],[],[],[],[],[],[],['Sponsor'],"['November 26, 2018']",['Actual'],"['December 9, 2016']","['May 3, 2018']",[],[],[]
0,7,['NCT01153880'],['Prescription of retapamulin'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Probability Sample']
0,8,['NCT02019732'],"[""Weekly occurrences of potentially influenza-attributable physician's office visits by age, region and season.""]",[],"['Matias G, Haguinet F, Lustig RL, Edelman L, Chowell G, Taylor RJ. Model estimates of the burden of outpatient visits attributable to influenza in the United States. BMC Infect Dis. 2016 Nov 7;16(1):641.']",['27821091'],['derived'],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,9,['NCT03972358'],['Number of participants who report that MMR was acceptable or highly acceptable during the exit interview'],[],[],[],[],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,10,['NCT00948233'],['Reductions in Smoking Initiation/Smokeless Tobacco Use and Smoking Cessation'],['DOD'],[],[],[],['United States'],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Non-Probability Sample']
0,11,['NCT00026728'],[],[],"[""Huang YQ, Li JJ, Kaplan MH, Poiesz B, Katabira E, Zhang WC, Feiner D, Friedman-Kien AE. Human herpesvirus-like nucleic acid in various forms of Kaposi's sarcoma. Lancet. 1995 Mar 25;345(8952):759-61.""]",['7891487'],['background'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],"['Abbe M, Simon C, Angiolillo A, Ruccione K, Kodish ED. A survey of language barriers from the perspective of pediatric oncologists, interpreters, and parents. Pediatr Blood Cancer. 2006 Nov;47(6):819-24.', 'Alegría M, Canino G, Ríos R, Vera M, Calderón J, Rusch D, Ortega AN. Inequalities in use of specialty mental health services among Latinos, African Americans, and non-Latino whites. Psychiatr Serv. 2002 Dec;53(12):1547-55.', 'Barakat LP, Kazak AE, Meadows AT, Casey R, Meeske K, Stuber ML. Families surviving childhood cancer: a comparison of posttraumatic stress symptoms with families of healthy children. J Pediatr Psychol. 1997 Dec;22(6):843-59.']","['16615062', '12461214', '9494321']","['background', 'background', 'background']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],"['HIV status at screening for each MSM recruited', 'HIV viral load at screening for each MSM recruited']",['DAIDS'],"['KM Mitchell, B Hoots, D Dimitrov, et al. Potential Impact on HIV Incidence of Increasing Viral Suppression among HIV- positive MSM in Baltimore: Mathematical Modelling for HPTN 078. HIV Research for Prevention (HIVR4P 2016). Chicago, October 17-21, 2016. Abstract OA10.04']",[],['background'],[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],[]
0,14,['NCT00121108'],['The incidence of RSV hospitalization from Study Day 0 through Study Day 150 of the 1st RSV season will be the primary endpoint.'],[],"[""O'Brien KL, Chandran A, Weatherholtz R, Jafri HS, Griffin MP, Bellamy T, Millar EV, Jensen KM, Harris BS, Reid R, Moulton LH, Losonsky GA, Karron RA, Santosham M; Respiratory Syncytial Virus (RSV) Prevention study group. Efficacy of motavizumab for the prevention of respiratory syncytial virus disease in healthy Native American infants: a phase 3 randomised double-blind placebo-controlled trial. Lancet Infect Dis. 2015 Dec;15(12):1398-408. doi: 10.1016/S1473-3099(15)00247-9. Epub 2015 Nov 4.""]",['26511956'],['derived'],[],[],[],[],"['Hasan Jafri, M.D.']",['MedImmune Inc.'],[],[],[],[],[],[],[],[]
0,15,['NCT01861210'],['Intimate partner violence'],['Other'],[],[],[],[],['Emory University'],['Patrick S Sullivan'],['Professor'],[],[],['Principal Investigator'],[],[],[],[],[],[],[]
0,16,['NCT02911155'],['U.S. nuclear medicine tecnologist'],[],"['Drozdovitch V, Brill AB, Callahan RJ, Clanton JA, DePietro A, Goldsmith SJ, Greenspan BS, Gross MD, Hays MT, Moore SC, Ponto JA, Shreeve WW, Melo DR, Linet MS, Simon SL. Use of radiopharmaceuticals in diagnostic nuclear medicine in the United States: 1960-2010. Health Phys. 2015 May;108(5):520-37. doi: 10.1097/HP.0000000000000261.', 'Kitahara CM, Linet MS, Drozdovitch V, Alexander BH, Preston DL, Simon SL, Freedman DM, Brill AB, Miller JS, Little MP, Rajaraman P, Doody MM. Cancer and circulatory disease risks in US radiologic technologists associated with performing procedures involving radionuclides. Occup Environ Med. 2015 Nov;72(11):770-6. doi: 10.1136/oemed-2015-102834. Epub 2015 Jul 28.', 'Drozdovitch V, Brill AB, Mettler FA Jr, Beckner WM, Goldsmith SJ, Gross MD, Hays MT, Kirchner PT, Langan JK, Reba RC, Smith GT, Bouville A, Linet MS, Melo DR, Lee C, Simon SL. Nuclear medicine practices in the 1950s through the mid-1970s and occupational radiation doses to technologists from diagnostic radioisotope procedures. Health Phys. 2014 Oct;107(4):300-10. doi: 10.1097/HP.0000000000000107.']","['25811150', '26220810', '25162420']","['background', 'background', 'background']",[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Probability Sample']
0,17,['NCT00724867'],"['Number of Participants With the Indicated Type of Adverse Event (AEs) and Serious Adverse Event (SAEs)', 'AE Rates by System Organ Class (SOC) During the Study', 'SAE Rates by System Organ Class (SOC) During the Study', 'Change From Baseline in Activated Partial Thromboplastin Time (APTT) and Prothrombin Time (PT) at the Indicated Time Points', 'Change From Baseline in Basophils, Eosinophils, Lymphocytes, Monocytes, Neutrophils, Neutrophils Segmented and Platelets at the Indicated Time Points', 'Change From Baseline in Erythrocytes at the Indicated Time Points', 'Change From Baseline in Hematocrit at the Indicated Time Points', 'Change From Baseline in Hemoglobin at the Indicated Time Points', 'Change From Baseline in Albumin and Protein at the Indicated Time Points', 'Change From Baseline in Blood Urea Nitrogen, Glucose, Calcium, Carbon Dioxide, Chloride, Magnesium, Phosphate, Potassium and Sodium at the Indicated Time Points', 'Change From Baseline in Creatinine, Urate and Bilirubin at the Indicated Time Points', 'Change From Baseline in Creatinine Clearance at the Indicated Time Points', 'Change From Baseline in BUN/Creatinine at the Indicated Time Points', 'Change From Baseline in Alanine Aminotransferase, Alkaline Phosphatase, Aspartate Aminotransferase, Gamma Glutamyl Transferase and Lactate Dehydrogenase at the Indicated Time Points', 'Number of Participants With the Indicated Immunogenic Response', 'Systolic Blood Pressure and Diastolic Blood Pressure at Indicated Time Points.', 'Percentage of Participants With at Least 25% Increase From Baseline in Creatinine at Indicated Time Points.', 'Percentage of Participants With at Least 25% Reduction From Baseline in Creatinine at Indicated Time Points. Amongst Subjects With Abnormal (>124 Umol/L) Creatinine at Baseline by Year Interval.']",['Human Genome Sciences'],"['Strand V, Berry P, Lin X, Asukai Y, Punwaney R, Ramachandran S. Long-Term Impact of Belimumab on Health-Related Quality of Life and Fatigue in Patients With Systemic Lupus Erythematosus: Six Years of Treatment. Arthritis Care Res (Hoboken). 2019 Jun;71(6):829-838. doi: 10.1002/acr.23788. Epub 2019 Apr 29.', 'Furie RA, Wallace DJ, Aranow C, Fettiplace J, Wilson B, Mistry P, Roth DA, Gordon D. Long-Term Safety and Efficacy of Belimumab in Patients With Systemic Lupus Erythematosus: A Continuation of a Seventy-Six-Week Phase III Parent Study in the United States. Arthritis Rheumatol. 2018 Jun;70(6):868-877. doi: 10.1002/art.40439. Epub 2018 Apr 25.']","['30320964', '29409143']","['derived', 'derived']",['Canada'],[],[],[],[],[],['Sponsor'],"['March 28, 2016']",['Estimate'],"['November 19, 2015']","['March 10, 2016']",[],[],[]
0,18,['NCT03973905'],['Number of Pertussis Cases and Matched Controls Among Infants Born to Mothers Vaccinated With Boostrix Vaccine (During Third Trimester of Pregnancy) or Not Exposed to Any Tdap Vaccine During Pregnancy'],[],"['Skoff TH, Blain AE, Watt J, Scherzinger K, McMahon M, Zansky SM, Kudish K, Cieslak PR, Lewis M, Shang N, Martin SW. Impact of the US Maternal Tetanus, Diphtheria, and Acellular Pertussis Vaccination Program on Preventing Pertussis in Infants <2 Months of Age: A Case-Control Evaluation. Clin Infect Dis. 2017 Nov 29;65(12):1977-1983. doi: 10.1093/cid/cix724.']",['29028938'],['background'],[],[],[],[],[],[],['Sponsor'],"['July 7, 2020']",['Actual'],"['May 29, 2020']","['July 3, 2020']",[],[],['Probability Sample']
0,19,['NCT00340457'],[],[],"['Bergström A, Moradi T, Lindblad P, Nyrén O, Adami HO, Wolk A. Occupational physical activity and renal cell cancer: a nationwide cohort study in Sweden. Int J Cancer. 1999 Oct 8;83(2):186-91.', 'Brauch H, Weirich G, Hornauer MA, Störkel S, Wöhl T, Brüning T. Trichloroethylene exposure and specific somatic mutations in patients with renal cell carcinoma. J Natl Cancer Inst. 1999 May 19;91(10):854-61.', 'Brüning T, Lammert M, Kempkes M, Thier R, Golka K, Bolt HM. Influence of polymorphisms of GSTM1 and GSTT1 for risk of renal cell cancer in workers with long-term high occupational exposure to trichloroethene. Arch Toxicol. 1997;71(9):596-9.']","['10471525', '10340905', '9285043']","['background', 'background', 'background']",[],[],[],[],[],[],['Sponsor'],[],[],[],[],[],[],['Probability Sample']
0,20,['NCT02429284'],"['Describe the patterns of evaluation of CTEPH Patients', 'Describe the patters of risk factors and clinical presentation of CTEPH Patients', 'Outcomes of medical and surgical therapy of CTEPH patients as assessed by hemodynamics, quality of life, and functional status']",[],"['Kim NH, Delcroix M, Jenkins DP, Channick R, Dartevelle P, Jansa P, Lang I, Madani MM, Ogino H, Pengo V, Mayer E. Chronic thromboembolic pulmonary hypertension. J Am Coll Cardiol. 2013 Dec 24;62(25 Suppl):D92-9. doi: 10.1016/j.jacc.2013.10.024. Review.', 'McGoon MD, Benza RL, Escribano-Subias P, Jiang X, Miller DP, Peacock AJ, Pepke-Zaba J, Pulido T, Rich S, Rosenkranz S, Suissa S, Humbert M. Pulmonary arterial hypertension: epidemiology and registries. J Am Coll Cardiol. 2013 Dec 24;62(25 Suppl):D51-9. doi: 10.1016/j.jacc.2013.10.023. Review.', ""Pepke-Zaba J, Delcroix M, Lang I, Mayer E, Jansa P, Ambroz D, Treacy C, D'Armini AM, Morsolini M, Snijder R, Bresser P, Torbicki A, Kristensen B, Lewczuk J, Simkova I, Barberà JA, de Perrot M, Hoeper MM, Gaine S, Speich R, Gomez-Sanchez MA, Kovacs G, Hamid AM, Jaïs X, Simonneau G. Chronic thromboembolic pulmonary hypertension (CTEPH): results from an international prospective registry. Circulation. 2011 Nov 1;124(18):1973-81. doi: 10.1161/CIRCULATIONAHA.110.015008. Epub 2011 Oct 3.""]","['24355646', '24355642', '21969018']","['background', 'background', 'background']",[],"['University of California, San Diego']",['Kim Kerr'],['Clinical Professor of Medicine'],[],[],['Principal Investigator'],[],[],[],[],[],[],['Non-Probability Sample']
