,Rank,NCTId,SecondaryId,StdAge,SecondaryIdLink,SecondaryIdType,SecondaryOutcomeDescription,SecondaryOutcomeMeasure,SecondaryOutcomeTimeFrame,SeeAlsoLinkLabel,SeeAlsoLinkURL,SeriousEventAssessmentType,SeriousEventNotes,SeriousEventOrganSystem,SeriousEventSourceVocabulary,SeriousEventStatsGroupId,SeriousEventStatsNumAffected,SeriousEventStatsNumAtRisk,SeriousEventStatsNumEvents,SeriousEventTerm,StartDate
0,1,['NCT04371159'],[],"['Adult', 'Older Adult']",[],[],[],"['Evaluation of the Velieve U.S. usability success rate, by potential lay users under actual use conditions.']",['11 months'],[],[],[],[],[],[],[],[],[],[],[],"['February 5, 2020']"
0,2,['NCT04474496'],[],"['Adult', 'Older Adult']",[],[],"['Respondents will be asked to rate their general health and mental health now and compared with before the COVID-19 outbreak', 'Respondents with type 2 diabetes will be asked to compare their current self-care behaviors with before the COVID-19 outbreak using multiple items, including the Summary of Diabetes Self-Care Activities (adapted to include retrospective pre-COVID-19 comparisons of behaviors)', 'Using Behavioral Risk Factor Surveillance System items and relevant items from the Summary of Diabetes Self-Care Activities, respondents will be asked to compare their current diet and physical activity behaviors with before the COVID-19 outbreak', 'Respondents will be asked to report whether they have been screened for COVID-19 (and how), whether they have been tested for COVID-19 (and how), whether they would accept a COVID-19 vaccine, and what specific actions they have taken to prevent being infected by COVID-19', 'Respondents will be asked to report which sources of information they use the most and trust the most to stay informed about COVID-19', 'Respondents will be asked to report how the COVID-19 outbreak has impacted their daily lives, including health concerns, impacts on family, and access to healthcare', 'Respondents will be asked to report how likely they feel they are to be infected, their chances of dying if infected, how easy it is to avoid being infected, and how concerned they are with what could result from being infected (e.g., losing a job, infecting others, being isolated)']","['Effects of COVID-19 on general health status and mental health', 'Effects of COVID-19 on disease management', 'Effects of COVID-19 on diet and physical activity behaviors', 'COVID-19 screening, testing, and prevention', 'Trusted sources of COVID-19 information', 'Impacts of COVID-19 on daily life', 'COVID-19 attitudes, fears, and beliefs']","['Baseline', 'Baseline', 'Baseline', 'Baseline', 'Baseline', 'Baseline', 'Baseline']",[],[],[],[],[],[],[],[],[],[],[],"['July 27, 2020']"
0,3,['NCT02801266'],['12-9103'],['Adult'],[],['Other Identifier'],[],"['Type of contraceptive method currently using (including none and dual use) as assessed by a questionnaire designed for this study (e.g., what method of birth control are you currently using).']",['six months to one year from initial clinic visit'],[],[],[],[],[],[],[],[],[],[],[],['October 2012']
0,4,['NCT01599390'],[],"['Child', 'Adult', 'Older Adult']",[],[],[],"['Influenza vaccine content and effectiveness by season.', 'Influenza vaccine coverage by season.']","['From July 1997 to April 2009 (i.e., up to almost 12 years)', 'From July 1997 to April 2009 (i.e., up to almost 12 years)']",[],[],[],[],[],[],[],[],[],[],[],['July 2012']
0,5,['NCT00312702'],['HSRRB A-13732'],['Adult'],[],['Other Identifier'],"['Anti-LSA-1 Antibody Response in Titer Units on days 0, 28, 42 and 84']",['Anti-LSA-1 Antibody Response in Titer Units'],"['days 0, 28, 42 (challenge day) and 84']",[],[],[],[],[],[],[],[],[],[],[],['April 2006']
0,6,['NCT00312663'],['HSRRB A-13734'],['Adult'],[],['Other Identifier'],"['Anti-LSA-1 Antibody Response in Titer Units on Days 0, 28, 42, and 84']","['Anti-LSA-1 Antibody Response in Titer Units on Days 0, 28, 42, and 84']","['Days 0, 28, 42, and 84']",[],[],[],[],[],[],[],[],[],[],[],['April 2006']
0,7,['NCT01153880'],[],"['Child', 'Adult', 'Older Adult']",[],[],[],['Prescription for retapamulin and topical mupirocin'],['First same-day prescriptions for both medicines in database for each calendar year between Janaury 2007 and December 2011'],[],[],[],[],[],[],[],[],[],[],[],['December 2008']
0,8,['NCT02019732'],[],"['Child', 'Adult', 'Older Adult']",[],[],[],"['Assessment of Influenza vaccine content and effectiveness by season.', 'Assessment of Influenza vaccine coverage by season and region.', 'Assessment of Influenza B vaccine mismatch (by region and season).']","['Up to 10 years approximately (Marketscan Commercial Database) and up to 6 years approximately (Marketscan Medicare Supplemental Database).', 'Up to 10 years approximately (Marketscan Commercial Database) and up to 6 years approximately (Marketscan Medicare Supplemental Database).', 'Up to 10 years approximately (Marketscan Commercial Database) and up to 6 years approximately (Marketscan Medicare Supplemental Database).']",[],[],[],[],[],[],[],[],[],[],[],['January 2013']
0,9,['NCT03972358'],[],['Adult'],[],[],"['Efficacy', 'Safety and side effects', 'Experiences, perceived advantages and disadvantages']","['Number of participants not pregnant at follow-up', 'Number of participants with adverse events and/or side effects', 'Perceived advantages and disadvantages of MMR as reported by participants during the exit interview']","['Up to 28 days after mifepristone administration', 'Up to 28 days after mifepristone administration', 'Up to 28 days after mifepristone administration']",[],[],[],[],[],[],[],[],[],[],[],['January 2020']
0,10,['NCT00948233'],['W81XWH-09-2-0033'],"['Adult', 'Older Adult']",[],['Other Identifier'],[],[],[],['University of Texas MD Anderson Cancer Center Website'],['http://www.mdanderson.org'],[],[],[],[],[],[],[],[],[],['June 2009']
0,11,['NCT00026728'],['01-C-0073'],"['Child', 'Adult', 'Older Adult']",[],[],[],[],[],['NIH Clinical Center Detailed Web Page'],['http://clinicalstudies.info.nih.gov/detail/B_2001-C-0073.html'],[],[],[],[],[],[],[],[],[],['February 2001']
0,12,['NCT01211990'],['10-M-0192'],"['Adult', 'Older Adult']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['August 31, 2010']"
0,13,['NCT02663219'],"['UM1AI068619', '11995']","['Child', 'Adult', 'Older Adult']",['https://projectreporter.nih.gov/reporterapi.cfm?PROJECTNUM=UM1AI068619&Fy=all'],"['U.S. NIH Grant/Contract', 'Other Identifier']","['comparison between those who enrolled', 'participant-administered questionnaire', 'participant-administered questionnaire', 'viral load and cd4 are the biomarkers for adherence']","['HIV prevalence', 'HIV viral load after enrollment', 'Number of times participants are linked to care', 'HCV status at baseline', 'HIV viral load at end of study', 'Baseline Demographics', 'CD4 status at baseline', 'Self-reported sexual risk behavior of unprotected anal intercourse, characteristics of 3 most recent partners) at baseline and 24 months', 'Antiretroviral adherence at 24 months']","['Up to 24 months', 'Up to 24 months measured at months 3, 6, 9, 12, 18 and 24', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months', 'Up to 24 months']",['Potential Impact on HIV Incidence of Increasing Viral Suppression among HIV- positive MSM in Baltimore: Mathematical Modelling for HPTN 078'],['https://www.hptn.org/sites/default/files/2016-10/R4P_slides_KM_078_modelling_181016_FINAL.pdf'],[],[],[],[],[],[],[],[],[],"['June 6, 2016']"
0,14,['NCT00121108'],[],['Child'],[],[],[],['Safety and tolerability of MEDI-524 will be assessed primarily by summarizing adverse events and serious adverse events occurring through Study Day 150.'],['Through Day 150'],[],[],[],[],[],[],[],[],[],[],[],['November 2004']
0,15,['NCT01861210'],"['R34MH086331', 'CVCTMSM']",['Adult'],['https://projectreporter.nih.gov/reporterapi.cfm?PROJECTNUM=R34MH086331&Fy=all'],"['U.S. NIH Grant/Contract', 'Other Identifier']",['Either or both partners reported that the relationship ended after their participation in the study'],['Relationship dissolution'],"['3 months, or at the time of followup survey']",[],[],[],[],[],[],[],[],[],[],[],['September 2010']
0,16,['NCT02911155'],['16-C-N141'],"['Adult', 'Older Adult']",[],[],"['Collect data on nuclear medicine procedures performed, radioisotopes used, related work and safety practices, and places of employment over time.', ""Collect badge doses from the nation's largest commercial dosimetry provider for use in estimating occupational radiation exposures.""]","['Administer questionnaire', 'Obtain badge doses']","['2016-2018', '2016-2019']",[],[],[],[],[],[],[],[],[],[],[],"['September 21, 2016']"
