,Rank,NCTId,StartDateType,StatusVerifiedDate,StudyFirstPostDate,StudyFirstPostDateType,StudyFirstSubmitDate,StudyFirstSubmitQCDate,StudyPopulation,StudyType,TargetDuration,UnpostedEventDate,UnpostedEventType,UnpostedResponsibleParty,VersionHolder,WhyStopped
0,1,['NCT04371159'],['Actual'],['June 2020'],"['May 1, 2020']",['Actual'],"['April 30, 2020']","['April 30, 2020']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,2,['NCT04474496'],['Actual'],['September 2020'],"['July 16, 2020']",['Actual'],"['July 10, 2020']","['July 15, 2020']",['Self-reported Marshallese persons 18 years of age or older who live in the continental United States or Hawaii.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,3,['NCT02801266'],[],['June 2016'],"['June 15, 2016']",['Estimate'],"['June 2, 2016']","['June 11, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,4,['NCT01599390'],[],['February 2013'],"['May 16, 2012']",['Estimate'],"['May 14, 2012']","['May 14, 2012']",['All records of people in the US in the Nationwide Inpatient Sample (NIS) hospitalization data or in the US mortality data will be included in this study.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,5,['NCT00312702'],[],['May 2018'],"['April 10, 2006']",['Estimate'],"['April 6, 2006']","['April 6, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,6,['NCT00312663'],[],['May 2018'],"['April 10, 2006']",['Estimate'],"['April 6, 2006']","['April 6, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,7,['NCT01153880'],[],['May 2013'],"['June 30, 2010']",['Estimate'],"['June 29, 2010']","['June 29, 2010']",['Members with enrollment and phamacy benefits eligibility in the Integrated Health Care Information Services (IHCIS) National Managed Care Benchmarked Database will be assessed annually for prescription sales claims for five years post-launch of retapamulin. The IHCIS is a US national managed care database which is Health Insurance Portability and Accountability Act (HIPAA) compliant and features encrypted member and provider identifiers.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,8,['NCT02019732'],[],['January 2017'],"['December 24, 2013']",['Estimate'],"['November 27, 2013']","['December 19, 2013']",['All records related to physician office visits of subjects less than 65 years of age and 65 years of age and older in the United States with an outcome of interest in the relevant Marketscan database.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,9,['NCT03972358'],['Anticipated'],['January 2020'],"['June 3, 2019']",['Actual'],"['May 28, 2019']","['May 31, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,10,['NCT00948233'],[],['July 2016'],"['July 29, 2009']",['Estimate'],"['July 16, 2009']","['July 28, 2009']","['Soldiers stationed at Fort Hood, Texas, who are not scheduled to be mobilized for a 13-month period.']",['Observational'],[],[],[],[],"['October 30, 2020']",['Military related changes led to to no initiation of recruitment.']
0,11,['NCT00026728'],[],['December 2005'],"['November 15, 2001']",['Estimate'],"['November 14, 2001']","['November 14, 2001']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,12,['NCT01211990'],[],"['May 13, 2013']","['September 30, 2010']",['Estimate'],"['September 29, 2010']","['September 29, 2010']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,13,['NCT02663219'],['Actual'],['January 2018'],"['January 26, 2016']",['Estimate'],"['January 13, 2016']","['January 21, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,14,['NCT00121108'],[],['June 2012'],"['July 21, 2005']",['Estimate'],"['July 13, 2005']","['July 19, 2005']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,15,['NCT01861210'],[],['May 2015'],"['May 23, 2013']",['Estimate'],"['May 21, 2013']","['May 22, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,16,['NCT02911155'],[],['May 2020'],"['September 22, 2016']",['Estimate'],"['September 21, 2016']","['September 21, 2016']","['This is an occupational cohort of 35,593 U.S. nuclear medicine technologists certified by the American Registry of Radiologic Technologist or the Nuclear Medicine Technology Certification Board in 1980 or later.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,17,['NCT00724867'],[],['March 2016'],"['July 30, 2008']",['Estimate'],"['July 28, 2008']","['July 29, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,18,['NCT03973905'],['Actual'],['July 2020'],"['June 4, 2019']",['Actual'],"['February 13, 2019']","['June 3, 2019']","['Infant subjects, born to mothers exposed, or unexposed to Boostrix or any Tdap vaccination, coming from 6 emerging program network sites.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,19,['NCT00340457'],[],"['February 5, 2020']","['June 21, 2006']",['Estimate'],"['June 19, 2006']","['June 19, 2006']","['Cases and controls are residents of Chicago (Cook County), IL and Detroit (Wayne, Oakland, Macomb Counties), MI.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,20,['NCT02429284'],['Actual'],['March 2020'],"['April 29, 2015']",['Estimate'],"['April 13, 2015']","['April 28, 2015']",['All consecutive consenting patients recently diagnosed (< 6 months) with CTEPH at participating study sites will be enrolled. Patients must meet inclusion criteria and have the diagnosis of CTEPH confirmed by the Adjudication Committee (AC) to be enrolled. Adult and pediatric patients may be enrolled and prior medical therapy will not exclude patients from enrollment.'],['Observational'],['4 Years'],[],[],[],"['October 30, 2020']",[]
