,Rank,NCTId,BaselineDenomUnits,BaselineGroupDescription,BaselineGroupId,BaselineGroupTitle,BaselineMeasureCalculatePct,BaselineMeasureDenomCountGroupId,BaselineMeasureDenomCountValue,BaselineMeasureDenomUnits,BaselineMeasureDenomUnitsSelected,BaselineMeasureDescription,BaselineMeasureDispersionType,BaselineMeasureParamType,BaselineMeasurePopulationDescription,BaselineMeasureTitle,BaselineMeasureUnitOfMeasure,BaselineMeasurementComment,BaselineMeasurementGroupId,BaselineMeasurementLowerLimit,BaselineMeasurementSpread
0,1,['NCT04371159'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],['Participants'],"['Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', 'Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', ""12 Subjects from the high dose group and 1 non immunized subject enrolled prior to challenge to serve as IC's for malaria sporozoite challenge.\n\n1 infectivity control subject out of the 6 came from this phase 1 study, the other 5 came from the phase 2 study (WRAIR 1250, NCT00312663). Both studies were included in one final clinical study report."", 'Total of all reporting groups']","['BG000', 'BG001', 'BG002', 'BG003']","['10µg Dose FMP011', '50µg Dose FMP011', 'Infectivity Control (IC)', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Ethnicity (NIH/OMB)', 'Race (NIH/OMB)', 'Region of Enrollment']","['years', 'Participants', 'Participants', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003']",[],"['6.2', '8.2', '0.0', '8.2']"
0,6,['NCT00312663'],['Participants'],"['Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', 'Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', ""10 Subject from the high dose group and six non immunized subjects enrolled prior to challenge to serve as IC's for malaria sporozoite challenge"", 'Total of all reporting groups']","['BG000', 'BG001', 'BG002', 'BG003']","['10ug Dose FMP011', '50ug Dose FMP011', 'Infectivity Control (IC)', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Race (NIH/OMB)', 'Region of Enrollment']","['years', 'Participants', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003', 'BG000', 'BG001', 'BG002', 'BG003']",[],"['7.9', '8.1', '4.9', '7.9']"
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
