,Rank,NCTId,BaselineMeasurementUpperLimit,BaselineMeasurementValue,BaselinePopulationDescription,BaselineTypeUnitsAnalyzed,BioSpecDescription,BioSpecRetention,BriefSummary,BriefTitle,CentralContactEMail,CentralContactName,CentralContactPhone,CentralContactPhoneExt,CentralContactRole,CollaboratorClass,CollaboratorName,CompletionDate,CompletionDateType,Condition,ConditionAncestorId
0,1,['NCT04371159'],[],[],[],[],[],[],"[""The Velieve U.S. UTI Urine Analysis Test System (henceforth Velieve U.S.) is composed of a kit and a smartphone application. The device will be provided to the subject in a simulated home-use environment. All subjects will be asked to complete the urine test by following the application guidance,including providing a urine sample and scanning the urine strip after placing it on the Color-Board. The user will also complete a questionnaire to collect information regarding the use of the Velieve U.S. device. Following the usability test performed by the lay user, the subject's urine sample will be tested by the professional user using the comparator device.\n\nThe use of the Velieve U.S. device will be evaluated for identified risks. Additionally, measurable usability criteria for specific, critical steps will be evaluated.""]","['A Comparative, Controlled Study to Evaluate the Clinical Accuracy of the Velieve U.S. UTI Urine Analysis Test System']",[],[],[],[],[],[],[],"['May 30, 2020']",['Actual'],['Urinary Tract Infections'],"['D000007239', 'D000014570']"
0,2,['NCT04474496'],[],[],[],[],[],[],"['Up to 2000 Marshallese will complete an online or telephone survey. Among those who complete the survey, 40 participants will be randomly selected and invited to complete an in-depth qualitative interview. This survey will collect data describing the impact of COVID-19 on self-reported Marshallese persons in the United States. Data collected will help describe: 1) risk exposure, 2) knowledge of preventive recommendations, 3) barriers and facilitators to implementing preventative recommendations, 4) barriers and facilitators to COVID-19 testing when appropriate, and self-care behaviors during COVID-19.']",['Impact of COVID-19 on Marshallese Communities in the U.S.'],[],[],[],[],[],['OTHER'],['Patient-Centered Outcomes Research Institute'],"['November 1, 2020']",['Anticipated'],['COVID-19'],[]
0,3,['NCT02801266'],[],[],[],[],[],[],"['This project develops a contraceptive counseling protocol (CCP) grounded in scientific evidence and evaluates the CCP for promoting behaviors conducive to preventing unintended pregnancy among women. The project develops and refines the CCP using focus groups and in-depth interviews with (a) key administrators in the national office of Planned Parenthood (b) key administrators in participating Title X clinics, (c) contraceptive counselors, and (d) clients of the health centers. The CCP uses scientifically grounded principles for guiding effective decision making and provider-client communication. Ten Title X clinics are randomly assigned to one of two conditions (5 clinics per condition): (1) treatment as usual (TAU) or (2) implementation of the CCP. Approximately 150 women are selected for study participation in each clinic, yielding about 1,400 participants (half control and half CCP). Immediately following their counseling session, women complete a computer-administered interview that serves as a fidelity check and permits evaluation of the effects of the CCP on variables associated with counseling satisfaction. All women are re-interviewed by phone 6 months later and 12 months later. The effect of the CCP on method-choice effectiveness, method switching, gaps in protection, and use accuracy are evaluated.']",['Improving Contraceptive Counseling in the United States'],[],[],[],[],[],['OTHER'],['Planned Parenthood Federation of America'],['October 2015'],['Actual'],"['New Behavioral Protocol', 'Treatment as Usual']",[]
0,4,['NCT01599390'],[],[],[],[],[],[],"['The study will assess the burden of severe influenza outcomes by age, risk status, and influenza subtype, in order to create a profile of the burden of influenza-related morbidity and mortality in United States from July 1997 to April 2009.']","['Influenza Burden Assessment in the United States, July1997 - up to April 2009']",[],[],[],[],[],['INDUSTRY'],['Sage Analytica'],['February 2013'],['Actual'],['Influenza'],"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']"
0,5,['NCT00312702'],[],"['25.4', '32.8', '34.5', '30.7', '2', '7', '1', '10', '3', '6', '0', '9', '0', '0', '0', '0', '5', '13', '1', '19', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '11', '1', '17', '0', '1', '0', '1', '0', '0', '0', '0', '5', '13', '1', '18']","[""12 Subjects from the high dose group and 1 non immunized subject enrolled prior to challenge to serve as IC's for malaria sporozoite challenge.""]",[],[],[],"['Phase I/II Trial of a Malaria Vaccine, FMP011/AS01B, in Adults Living in the United States of America.']",['Phase I/II Trial of a Malaria Vaccine in Adults Living in the United States of America'],[],[],[],[],[],"['INDUSTRY', 'OTHER', 'FED']","['GlaxoSmithKline', 'The PATH Malaria Vaccine Initiative (MVI)', 'Walter Reed Army Institute of Research (WRAIR)']",['April 2007'],['Actual'],"['Malaria', 'Plasmodium Falciparum Malaria']","['D000011528', 'D000010272']"
0,6,['NCT00312663'],[],"['30.8', '32.8', '24.5', '32.2', '1', '8', '0', '9', '4', '5', '6', '15', '0', '0', '0', '0', '1', '3', '0', '4', '0', '0', '0', '0', '0', '2', '1', '3', '4', '6', '5', '15', '0', '2', '0', '2', '0', '0', '0', '0', '5', '13', '6', '18']",['10 subjects from the high dose group and 6 non-immunized subjects participated in the Infectivity Control'],[],[],[],"['Phase I/II Trial of a Malaria Vaccine, FMP011/AS01B, in Adults Living in the United States of America.']",['Phase I/II Trial of a Malaria Vaccine in Adults Living in the United States of America'],[],[],[],[],[],"['INDUSTRY', 'OTHER', 'FED']","['GlaxoSmithKline', 'The PATH Malaria Vaccine Initiative (MVI)', 'Walter Reed Army Institute of Research (WRAIR)']",['April 2007'],['Actual'],['Plasmodium Falciparum Malaria'],"['D000011528', 'D000010272']"
0,7,['NCT01153880'],[],[],[],[],[],[],"['Retapamulin, a topical pleuromutilin antibiotic, is the first in a new class of topical antibiotics approved for human use. In the United States (US), retapamulin is approved for the treatment of impetigo in persons nine or more months of age and was launched on 12 April 2007. This five-year study is designed to examine use of retapamulin in the pediatric population less than nine months of age. We will conduct an annual assessment of prescription sales claims for retapamulin using the Integrated Health Care Information Services (IHCIS) National Managed Care Benchmarked Database. For each year of reporting, the observed frequencies of the exposure, with or without same-day, co-prescribed sales claim of mupirocin, will be identified. The study objectives are to determine the frequency of retapamulin sales in a representative US population stratified by the designated age group and to determine the frequency of same-day sale of the topical agent, mupirocin.']",['United States Pharmacovigilence Retapamulin-Prescribing'],[],[],[],[],[],[],[],['August 2012'],['Actual'],"['Skin Infections, Bacterial']","['D000007239', 'D000013492', 'D000003240', 'D000007249', 'D000010335', 'D000012871']"
0,8,['NCT02019732'],[],[],[],[],[],[],"[""This is a database study to quantify the burden of multiple mild outcomes (i.e., those that result in visits to a physician's office) attributable to influenza in the United States, stratified by age group, geographic region and influenza subtype for selected influenza seasons.""]",['Study to Assess the Burden of Mild Outcomes (Physician Office Visits) Due to Influenza in the United States'],[],[],[],[],[],[],[],['June 2013'],['Actual'],['Influenza'],"['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']"
0,9,['NCT03972358'],[],[],[],[],[],[],['This study will assess the acceptability and use of medical menstrual regulation among women in the United States.'],['Assessing Medical Menstrual Regulation in the United States'],['wsheldon@gynuity.org'],"['Wendy R Sheldon, PhD']",['212-448-1230'],[],['Contact'],[],[],"['December 31, 2020']",['Anticipated'],['Menstrual Regulation'],[]
0,10,['NCT00948233'],[],[],[],[],"['Saliva samples at the 12-month follow-up visit to measure level of cotinine, a chemical related to tobacco use.']",['Samples Without DNA'],"['The goal of this behavioral research study is to test a new multimedia anti-tobacco video game tailored to the U.S. Army. Researchers want to study how using the program affects tobacco use in soldiers, as compared to standard anti-tobacco programs.']",['Project COMBAT: Combating Tobacco Use in the United States Army'],[],[],[],[],[],['FED'],['United States Department of Defense'],['July 2016'],['Actual'],"['Smoking', 'Smoking Cessation']",[]
0,11,['NCT00026728'],[],[],[],[],[],[],"[""This study will investigate patterns of Kaposi's sarcoma herpes virus (KSHV) in the United States and its potential impact on the U.S. population. KSHV is a newly discovered virus that is strongly associated with Kaposi's sarcoma and primary effusion lymphoma. The high prevalence of KS and KSHV among HIV-infected homosexual men suggests sexual contact as a primary mode of transmission. Reports of non-sexual transmission in parts of Africa and the Mediterranean where Kaposi's sarcoma is endemic, and the identification of viral DNA in saliva and other bodily fluids, however, indicate the virus is also transmitted non-sexually. This study will:\n\nCompare the prevalence of KSHV among different demographic groups in the United States\nExamine the association between KSHV and high risk behaviors such as drug use (marijuana and cocaine), sexual behavior (age at first sexual intercourse and number of sexual partners), and medical risk factors (herpes simplex virus II, hepatitis B and hepatitis C)\nEstimate the prevalence of KSHV in the United States.\n\nData and blood samples for the study will be taken from the NHANES III survey. NHANES is a program of periodic surveys conducted by the Centers for Disease Control and Prevention's National Center for Health Statistics. The survey is designed to provide national estimates of health status for the United States non-institutionalized civilian population by means of household interviews, standardized physical examinations, and blood sample collection and testing. NHANES III-the seventh in a series of national examination studies-was conducted from 1988 to 1994.\n\nThis study will use the HANES data to identify risks associated with a KSHV-positive blood test in the survey population. The study plans to include all 19,754 participants (67% of the 29,314 participants originally examined) for whom blood samples were collected and remain available.""]","[""Seroprevalence of Kaposi's Sarcoma Herpes Virus in the United States""]",[],[],[],[],[],[],[],['December 2005'],[],"[""Kaposi's Sarcoma"", 'Herpesviridae Infection']","['D000018204', 'D000009370', 'D000009369', 'D000004266', 'D000014777', 'D000009383']"
0,12,['NCT01211990'],[],[],[],[],[],[],"['Background:\n\n- State-of-the art care for children with cancer or rare diseases is not available in all countries. Owing to the proximity of Latin America and the growing numbers of Latinos already in the United States, many international patients receiving specialized medical care in U.S. hospitals are from Spanish-speaking countries. Although there are benefits associated with obtaining specialized care in the United States, linguistic barriers and cultural differences as well as the general stresses of caring for a child with a serious illness may affect families ability to obtain adequate care for their children. Researchers are interested in exploring the experiences and needs of international Latino families receiving medical care for their child in the United States in order to help health care centers provide more appropriate resources and improve the overall quality of culturally sensitive care.\n\nObjectives:\n\n- To understand the experiences of international Latino families who are receiving treatment for their child or have enrolled their child in a research study in the United States.\n\nEligibility:\n\nCaregivers of a child between birth and 25 years of ages who are from Latin America (which includes Mexico, all countries in Central America and South America, and Spanish-speaking Caribbean countries) and who have traveled to the United States to enroll their child in a research protocol and/or seek treatment for their child s medical condition.\nCaregivers must have a child enrolled on a research protocol at the time of this study.\nCaregivers must have been away from their country of origin for a minimum of 3 months.\n\nDesign:\n\nThis study requires a single interview that should take approximately 1 hour.\nParticipants will complete the interview with a member of the research team who is bilingual or fluent in Spanish.\nParticipants will be asked open-ended questions about why they chose to come to the United States, how they are adjusting to living and getting medical care for their child in the United States, and what hopes they have for treatment outcomes and future medical care.\nResearchers will record the interviews to be reviewed later. The recordings will be used for this study only.']",['An Exploratory Study of the Characteristics of and Challenges for International Families Seeking Medical Care in the United States'],[],[],[],[],[],[],[],"['May 13, 2013']",[],"['Cancer', 'Allogeneic Peripheral Blood Stem Cell Transplant', 'Bone Marrow Transplantation']",[]
0,13,['NCT02663219'],[],[],[],[],[],[],"['The purpose of this study is to develop and assess the efficacy of an integrated strategy that includes feasible and scalable interventions to identify, recruit, link to care, retain in care, attain, and maintain viral suppression among HIV-infected men who have sex with men (MSM) in the United States (US).']","['Enhancing Recruitment, Linkage to Care and Treatment for HIV-Infected MSM in the United States']",[],[],[],[],[],['NIH'],['National Institute of Allergy and Infectious Diseases (NIAID)'],['February 2019'],['Anticipated'],['HIV'],[]
0,14,['NCT00121108'],[],[],[],[],[],[],"['This study (MI-CP117) is a Phase 3, randomized, double-blind, placebo-controlled trial designed to determine if MEDI-524 compared to placebo will result in clinical efficacy in the reduction of RSV hospitalization in otherwise healthy Native American Indian Infants in the Southwestern United States during their first RSV season.']",['MEDI-524 (Motavizumab) for the Prevention of Respiratory Syncytial Virus (RSV) Disease Among Native American Indian Infants in the Southwestern United States'],[],[],[],[],[],[],[],['March 2011'],['Actual'],['Healthy'],[]
0,15,['NCT01861210'],[],[],[],[],[],[],"['This is a study to determine whether testing for HIV together as a couple, as opposed to testing separately, in acceptable to men in male couples, and is a safe prevention service. Testing of couples together has been provided for decades in Africa, but has never been tested in the United States. In this study, male couples will be enrolled and randomly assigned to be tested together in the same room, or separately. At the time of testing, investigators will ask questions about how they felt about the service they received. Three months later, investigators will survey the men again, and determine whether they had any problems after the testing, like violence in the relationship or the relationship breaking up. The main outcomes are being satisfied with the testing service, and safety (lack of intimate partner violence or relationship termination). Although the study is not designed to determine if the service reduces risk behaviors for HIV transmission, investigators will examine data on risks just to explore that topic. The main hypotheses are: (1) men will be at least as satisfied with couples testing as they are with individual testing; and (2) men tested as couples will not experience higher rates of intimate partner violence or relationship dissolution, relative to men tested separately.']",['Couples HIV Counseling and Testing for Male Couples in the United States'],[],[],[],[],[],['NIH'],['National Institute of Mental Health (NIMH)'],['June 2012'],['Actual'],['HIV'],[]
0,16,['NCT02911155'],[],[],[],[],[],[],"['Background:\n\nThe field of nuclear medicine has changed a lot in the past decades. Technology has gotten better, so patients are exposed to less radiation. But now workers are doing procedures more often and using lead aprons less. So they may be exposed to more radiation. This may put them at higher risk for cancers and other health problems that are related to radiation. Researchers want to collect data from technologists to learn more about the risks and appropriate doses of radiation.\n\nObjective:\n\nTo learn more about the risks and appropriate doses of radiation for nuclear medicine technologists.\n\nEligibility:\n\nAdults who were first certified in nuclear medicine technology in the United States after 1980. They must be living in the United States. They must not be participants in the USRT study.\n\nDesign:\n\nParticipants will be recruited online.\n\nParticipants will complete an online survey. It will take about a half hour. This will have questions about their work with nuclear medicine procedures. There will be questions about the kinds of procedures and how often they do them.\n\nParticipants will give a short work history. This will include the names of current and past employers.\n\nParticipants will allow researchers to get records of their film badge dose readings. These will come from dosimetry providers.\n\nDosimetry data will not be shared with participants. Researchers can t ensure the how accurate or complete the data are.']",['Cancer and Other Disease Risks in U.S. Nuclear Medicine Technologists'],[],[],[],[],[],[],[],"['May 1, 2020']",['Actual'],"['Brain Cancer', 'Thyroid Cancer', 'Circulatory Disease', 'Breast Cancer']","['D000004701', 'D000009371', 'D000009369', 'D000006258', 'D000004700', 'D000013959', 'D000016543', 'D000009423', 'D000001927', 'D000002493', 'D000009422', 'D000010335']"
0,17,['NCT00724867'],[],"['42.8', '250', '18', '57', '8', '0', '2', '3', '1', '7', '0', '3', '183', '4']",[],[],[],[],"['This is a continuation study to provide continuing treatment to subjects who completed study HGS1006-C1056 in the United States, to evaluate the long-term safety and efficacy of belimumab(LymphoStat-B™) in subjects with SLE disease.']",['A Continuation Trial for Subjects With Lupus Who Completed Protocol HGS1006-C1056 in the United States'],[],[],[],[],[],['INDUSTRY'],['GlaxoSmithKline'],['March 2015'],['Actual'],['Systemic Lupus Erythematosus'],"['D000003240', 'D000001327', 'D000007154']"
