,Rank,NCTId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm,DelayedPosting,DesignAllocation,DesignInterventionModel,DesignInterventionModelDescription,DesignMasking,DesignMaskingDescription,DesignObservationalModel,DesignPrimaryPurpose,DesignTimePerspective,DesignWhoMasked
0,1,['NCT04371159'],"['Infection', 'Urologic Diseases']","['BC01', 'All', 'BXS']","['Bacterial and Fungal Diseases', 'All Conditions', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions']",['Urinary Tract Infections'],"['M8866', 'M4951', 'M15885', 'M15902']","['Infection', 'Communicable Diseases', 'Urinary Tract Infections', 'Urologic Diseases']","['low', 'low', 'high', 'low']",['D000014552'],['Urinary Tract Infections'],[],['N/A'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Diagnostic'],[],[]
0,2,['NCT04474496'],[],"['BC18', 'BC19', 'All']","['Nutritional and Metabolic Diseases', 'Gland and Hormone Related Diseases', 'All Conditions']",[],"['M5698', 'M5702']","['Diabetes Mellitus', 'Diabetes Mellitus, Type 2']","['low', 'low']",[],[],[],[],[],[],[],[],['Other'],[],['Cross-Sectional'],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],[],[],[],['Randomized'],['Parallel Assignment'],[],['Single'],[],[],['Prevention'],[],['Participant']
0,4,['NCT01599390'],"['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",['Influenza'],"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",['D000007251'],"['Influenza, Human']",[],[],[],[],[],[],[],[],['Retrospective'],[]
0,5,['NCT00312702'],"['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']",[],['Randomized'],['Parallel Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,6,['NCT00312663'],"['Protozoan Infections', 'Parasitic Diseases']","['BC03', 'All', 'BC01', 'Rare']","['Parasitic Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Plasmodium Falciparum Malaria', 'Malaria', 'Malaria']","['M17716', 'M9863', 'M8866', 'M4951', 'M12971', 'M11768', 'T3576']","['Malaria, Falciparum', 'Malaria', 'Infection', 'Communicable Diseases', 'Protozoan Infections', 'Parasitic Diseases', 'Malaria']","['high', 'high', 'low', 'low', 'low', 'low', 'high']","['D000008288', 'D000016778']","['Malaria', 'Malaria, Falciparum']",[],['Randomized'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Prevention'],[],[]
0,7,['NCT01153880'],"['Infection', 'Suppuration', 'Connective Tissue Diseases', 'Inflammation', 'Pathologic Processes', 'Skin Diseases']","['BC01', 'All', 'BC17', 'BC23']","['Bacterial and Fungal Diseases', 'All Conditions', 'Skin and Connective Tissue Diseases', 'Symptoms and General Pathology']","['Skin Infections', 'Skin Infections', 'Infections, Bacterial']","['M8866', 'M4951', 'M14260', 'M4313', 'M14257', 'M3303', 'M14856', 'M5047', 'M8876']","['Infection', 'Communicable Diseases', 'Skin Diseases, Infectious', 'Cellulitis', 'Skin Diseases', 'Bacterial Infections', 'Suppuration', 'Connective Tissue Diseases', 'Inflammation']","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'low']","['D000002481', 'D000012874', 'D000001424']","['Cellulitis', 'Skin Diseases, Infectious', 'Bacterial Infections']",[],[],[],[],[],[],[],[],['Retrospective'],[]
0,8,['NCT02019732'],"['Orthomyxoviridae Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'BC08', 'All', 'BC01']","['Viral Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",['Influenza'],"['M8878', 'M8866', 'M4951', 'M11485', 'M16105', 'M13732', 'M13561', 'M13560']","['Influenza, Human', 'Infection', 'Communicable Diseases', 'Orthomyxoviridae Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",['D000007251'],"['Influenza, Human']",[],[],[],[],[],[],[],[],['Retrospective'],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],[],['N/A'],['Single Group Assignment'],[],['None (Open Label)'],[],[],['Treatment'],[],[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Case-Only'],[],['Prospective'],[]
