,Rank,NCTId,DetailedDescription,DispFirstPostDate,DispFirstPostDateType,DispFirstSubmitDate,DispFirstSubmitQCDate,EligibilityCriteria,EnrollmentCount,EnrollmentType,EventGroupDeathsNumAffected,EventGroupDeathsNumAtRisk,EventGroupDescription,EventGroupId,EventGroupOtherNumAffected,EventGroupOtherNumAtRisk,EventGroupSeriousNumAffected,EventGroupSeriousNumAtRisk,EventGroupTitle,EventsDescription,EventsFrequencyThreshold
0,1,['NCT04371159'],[],[],[],[],[],"['Inclusion Criteria:\n\nMales and Females 18-80 years of age;\nSubjects who are healthy or:\n\nSubjects with a medical condition that normally present with an abnormal concentration of Leukocytes, Nitrites and Blood: (examples of such conditions include the following):\n\nUrinary tract infection (UTI)\nPatients with suspected or known occult blood in urine\nPregnant women\nOther relevant conditions\nSubjects with any pathological findings which might be identified by the urine test (according to the physician discretion)\nSubject is capable and willing to provide informed consent;\nSubject has facility with both hands;\nSubject is capable and willing to adhere to the study procedures.\nSubject is familiar with the use of a smartphone\nSubject is capable of comprehending and following instructions in English\n\nExclusion Criteria:\n\nSubject has dementia.\nSubject has mental disorders.\nSubject cannot collect urine in a receptacle.\nSubject is visually impaired (cannot read the user manual).\nAny additional reason the study physician believes disqualifies the subject from participating in the study.']",['125'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],"[""Specific Aims Aim 1: Document COVID-19 risk exposure for Marshallese community members. Aim 2: Document Marshallese community members' knowledge of preventive recommendations.\n\nAim 3: Document barriers and facilitators to implementing preventative recommendations.\n\nAim 4: Document Marshallese community members' barriers and facilitators to COVID-19 testing when appropriate.\n\nAim 5: Document self-care behaviors during COVID-19. Aim 6: Explore COVID-19 pandemic related barriers and facilitators to diabetes self-management among Marshallese adults with T2DM.\n\nAim 7: Assess the effect of the COVID-19 pandemic on diabetes self-management activities among Marshallese adults with T2DM.""]",[],[],[],[],['Inclusion Criteria:\n\nSelf-reported Marshallese\n18 years of age or older\nLive in the Continental U.S. or Hawaii\n\nExclusion Criteria:\n\n- Does not meet inclusion criteria'],['2000'],['Anticipated'],[],[],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],['Inclusion Criteria:\n\nMust be seeking contraception from clinic on day of recruitment\n\nExclusion Criteria:\n\nNot seeking contraception from clinic on day of recruitment'],['1418'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
0,4,['NCT01599390'],['This epidemiological study is a modelling of time series retrospectively extracted from multiple databases. Data will be extracted from existing electronic healthcare databases.'],[],[],[],[],"['Inclusion Criteria:\n\nRecorded in the US NIS hospitalization data or the US National Vital Statistics System (NVSS) mortality data with a pre-specified diagnostic code.\n\nExclusion Criteria:\n\nMissing data in the following fields: age, primary discharge diagnosis, admission month (NIS) /month of death (NVSS), and status at discharge (alive / dead).']",['1'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],"['Controlled challenge, Phase I/IIa WRAIR study.\nHealthy, malaria-naive adults aged 18 - 50 years.\n2 groups, 5 subjects in group A (10µg dose) and 15 subjects in group B (50µg dose).\nControl: none for immunization phase; infectivity controls for challenge and rechallenge phases. Six infectivity controls per day of challenge will be enrolled for the challenge phases, with 3 alternates available for challenge if needed.\nVaccination schedule of 0, 1 months.\nChallenge of up to 15 subjects in Group B.\nContingent upon short term efficacy, rechallenge of initially protected subjects 6 months (+/- 2 months) after second dose of vaccine.\nSelf-contained study.\nDuration of the study, per subject: approximately 15 months (screening, enrollment, vaccination, challenge and rechallenge).\nData collection will be by done at the site.']",[],[],[],[],"['Inclusion Criteria:\n\nA male or non-pregnant female 18 to 50 years of age (inclusive) at the time of screening.\nWritten informed consent obtained from the subject before screening procedures.\nFree of obvious health problems as established by medical history and clinical examination before entering into the study.*\nAvailable to participate for duration of study (approximately 15 months).\nIf the subject is female, she must be currently using birth control, must be surgically sterilized, or must be at least 1-year post menopausal.\nPass a comprehension assessment test.\n\nExclusion Criteria:\n\nPrior receipt of an investigational malaria vaccine.\nUse of any investigational or non-registered drug or vaccine other than the study vaccine(s) within 28 days preceding the first dose of study vaccine, or planned use during the study period.\nAdministration of chronic immunosuppressants or other immune modifying drugs within six months of vaccination.\nChronic use of antibiotics with anti-malarial effects.\nPlanned administration/ administration of a vaccine not foreseen by the study protocol within 30 days of the first dose of vaccine(s).\nHistory of use of anti-malarial medication within 60 days prior to vaccination.\nAny history of malaria.\nKnown exposure to malaria within the previous 12 months.\nPlanned travel to malarious areas during the study period.\nAny confirmed or suspected immunosuppressive or immunodeficient condition, including HIV infection.\nA family history of congenital or hereditary immunodeficiency.\nHistory of allergic disease or reactions likely to be exacerbated by any component of the vaccine.\nChronic or active neurologic disease including seizures, but not including a single febrile seizure as a child.\nHistory of splenectomy.\nAcute disease at the time of enrollment.\nAcute or chronic, clinically significant pulmonary, cardiovascular, hepatic or renal functional abnormality, as determined by physical examination or laboratory screening tests.\nPersonal history of autoimmune disease or subjects who describe a first-degree relative with clearly documented autoimmune disease.\nSeropositive for hepatitis B surface antigen.\nSeropositive for Hepatitis C virus (antibodies to HCV).\nAdministration of immunoglobulins and/or any blood products within the three months preceding the first dose of study vaccine or planned administration during the study period.\nPregnant or lactating female.\nSuspected or known current alcohol abuse as defined by the American Psychiatric Association in DSM IV.\nChronic or active intravenous drug use.\nHistory of severe reactions to mosquito bites as defined as anaphylaxis.\nFemale who intends to become pregnant during the study.\nAny history of anaphylaxis in reaction to vaccination.\nA clinical history of sickle cell disease or sickle cell trait.\nAny other significant finding that in the opinion of the investigator would increase the risk of having an adverse outcome from participating in this study.']",['18'],['Actual'],"['0', '0', '0']","['5', '13', '1']","['Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', 'Falciparum Malaria Protein 11 with AS02A adjuvant\n\nFalciparum Malaria Protein 11 with AS02A adjuvant: vaccine', ""12 Subjects from the high dose group and 1 non immunized subject enrolled prior to challenge to serve as IC's for malaria sporozoite challenge.\n\n1 infectivity control subject out of the 6 came from this phase 1 study, the other 5 came from the phase 2 study (WRAIR 1250, NCT00312663). Both studies were included in one final clinical study report.""]","['EG000', 'EG001', 'EG002']","['5', '13', '0']","['5', '13', '1']","['0', '0', '0']","['5', '13', '1']","['10µg Dose FMP011', '50µg Dose FMP011', 'Infecticvity Control (IC)']","[""Evaluate the safety by 1) the occurrence of solicited AEs over a 7 day follow-up period (day of immunization and 6 days post-immunization); 2) the occurrence of unsolicited AEs over a 30 day follow-up period (day of immunization and 29 day follow-up period\n\n); and 3) the occurrence of SAE's during the study period. Subjects in the Infectivity Control group were not included in this analysis and are not presented in the final clinical study report.""]",['0']
0,6,['NCT00312663'],"['Controlled challenge, Phase I/IIa WRAIR study.\nHealthy, malaria-naive adults aged 18 - 50 years.\n2 groups, 5 subjects in group A (10µg dose) and 13 subjects in group B(50µg dose).\nControl: none for immunization phase; infectivity controls for challenge and rechallenge phases. Six infectivity controls per day of challenge will be enrolled for the challenge phases, with 3 alternates available for challenge if needed.\nVaccination schedule of 0, 1 months.\nChallenge of up to 13 subjects in Group B.\nContingent upon short term efficacy, rechallenge of initially protected subjects 6 months (+/- 2 months) after second dose of vaccine.\nSelf-contained study.\nDuration of the study, per subject: approximately 15 months (screening, enrollment, vaccination, challenge and rechallenge).\nData collection will be by done onsite.']",[],[],[],[],"['Inclusion Criteria:\n\nA male or non-pregnant female 18 to 50 years of age (inclusive) at the time of screening.\nWritten informed consent obtained from the subject before screening procedures.\nFree of obvious health problems as established by medical history and clinical examination before entering into the study.*\nAvailable to participate for duration of study (approximately 15 months).\nIf the subject is female, she must be currently using birth control, must be surgically sterilized, or must be at least 1-year post menopausal.\nPass a comprehension assessment test.\n\nExclusion Criteria:\n\nPrior receipt of an investigational malaria vaccine.\nUse of any investigational or non-registered drug or vaccine other than the study vaccine(s) within 28 days preceding the first dose of study vaccine, or planned use during the study period.\nAdministration of chronic immunosuppressants or other immune modifying drugs within six months of vaccination.\nChronic use of antibiotics with anti-malarial effects.\nPlanned administration/ administration of a vaccine not foreseen by the study protocol within 30 days of the first dose of vaccine(s).\nHistory of use of anti-malarial medication within 60 days prior to vaccination.\nAny history of malaria.\nKnown exposure to malaria within the previous 12 months.\nPlanned travel to malarious areas during the study period.\nAny confirmed or suspected immunosuppressive or immunodeficient condition, including HIV infection.\nA family history of congenital or hereditary immunodeficiency.\nHistory of allergic disease or reactions likely to be exacerbated by any component of the vaccine.\nChronic or active neurologic disease including seizures, but not including a single febrile seizure as a child.\nHistory of splenectomy.\nAcute disease at the time of enrollment.\nAcute or chronic, clinically significant pulmonary, cardiovascular, hepatic or renal functional abnormality, as determined by physical examination or laboratory screening tests.\nPersonal history of autoimmune disease or subjects who describe a first-degree relative with clearly documented autoimmune disease.\nSeropositive for hepatitis B surface antigen.\nSeropositive for Hepatitis C virus (antibodies to HCV).\nAdministration of immunoglobulins and/or any blood products within the three months preceding the first dose of study vaccine or planned. administration during the study period\nPregnant or lactating female.\nSuspected or known current alcohol abuse as defined by the American Psychiatric Association in DSM IV.\nChronic or active intravenous drug use.\nHistory of severe reactions to mosquito bites as defined as anaphylaxis.\nFemale who intends to become pregnant during the study.\nAny history of anaphylaxis in reaction to vaccination.\nA clinical history of sickle cell disease or sickle cell trait.\nAny other significant finding that in the opinion of the investigator would increase the risk of having an adverse outcome from participating in this study.']",['24'],['Actual'],"['0', '0', '0']","['5', '13', '0']","['Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', 'Falciparum Malaria Protein 11 with AS01B adjuvant\n\nFalciparum Malaria Protein 11 with AS01B adjuvant.: malaria experimental vaccine', ""10 Subject from the high dose group and six non immunized subjects enrolled prior to challenge to serve as IC's for malaria sporozoite challenge""]","['EG000', 'EG001', 'EG002']","['5', '13', '0']","['5', '13', '0']","['0', '0', '0']","['5', '13', '0']","['10ug Dose FMP011', '50ug Dose FMP011', 'Infectivity Control (IC)']",['Evaluate the safety by 1) occurrence of solicited AEs over a 7 day follow-up period (day of immunization and 6 days post-immunization); 2) the occurrence of unsolicited AEs over a 30 day follow-up period (day of immunization and 29 day follow-up period); and 3) the occurrence of SAEs during the study period. IC group was not included in AE evaluations and there for not reported in the FCSR.'],['0']
0,7,['NCT01153880'],"['The IHCIS is Health Insurance Portability and Accountability Act (HIPAA) compliant with encrypted member and provider identifiers; date of birth is restricted to year of birth. Based on year of birth and the prescription sales claim date, age at the time of the prescription(s) will be categorized as less than 9 months (definitive) and less than 9 months (uncertain).']",[],[],[],[],"[""Inclusion Criteria:\n\nThe study population will consist of all 'eligible members' in the IHCIS database with a valid gender and age record who have at least 1 month enrolment and eligibility of pharmacy benefits.\n\nExclusion Criteria:\n\nMembership in IHCIS without a valid gender or age record, enrolment less than 1 month, or ineligibility for pharmacy benefits will be excluded.""]",['1'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
0,8,['NCT02019732'],"['This is a retrospective database study to quantify the burden of multiple mild pre-defined influenza-attributable outcomes of interest, which resulted in physician office visits for persons who were less than 65 years of age, in the United States in the relevant Marketscan Commercial database in the period from July 2000 through April 2009, and October 2010 to May 2011. The corresponding physician office visits for persons 65 years of age and older, with a mild influenza-attributable outcome of interest, in the United States that were recorded in the relevant MarketScan Medicare Supplemental database in the period from July 2006 through April 2009, and October 2010 to May 2011 were also investigated. The period from April 2009 through September 2010 is excluded to avoid the H1N1 pandemic wave.']",[],[],[],[],"['Inclusion Criteria:\n\n• Recorded in a Marketscan database with any of the specified diagnostic codes.\n\nExclusion Criteria:\n\n• Missing data in any of the following fields: age, diagnosis, region or visit date.']",['1'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],"['Medical menstrual regulation (MMR) entails the use of uterine evacuation medications by women with late menses without confirming pregnancy status. Provision of MMR in the United States could expand reproductive choice and service options for women. This study will collect data on the acceptability, efficacy, safety and feasibility of MMR among women with missed menses of 1-21 days']",[],[],[],[],"['Inclusion Criteria:\n\nAge 18-49 years\nGeneral good health\nDoes not want to be pregnant\nDoes not want to verify pregnancy status at the study site\nHistory of regular monthly menstrual cycles\nMissed menses of 1-21 days\nSexual activity in the past 2 months\nWilling and able to sign consent forms\nWilling to provide urine sample at enrollment\nWilling to return for a follow-up visit\n\nExclusion Criteria:\n\nKnown allergies or contraindications to mifepristone and/or misoprostol\nSymptoms of or risk factors for ectopic pregnancy\nCurrent use of an IUD, contraceptive implant or injectable']",['284'],['Anticipated'],[],[],[],[],[],[],[],[],[],[],[]
0,10,['NCT00948233'],"['Researchers in the M. D. Anderson Department of Behavioral Science are developing a new video game program for young U.S. Army service members. The game addresses stopping and preventing the use of cigarettes and smokeless tobacco. Soldiers (ages 18-35 years) stationed at Fort Hood, Texas, who are not scheduled to be mobilized for a 13-month period, will be invited to take part in the study.\n\nThe Study Groups:\n\nIf you choose to take part in this study, you will be assigned to a type of study intervention. The personnel companies on-base have been randomly assigned (as in the flip of a coin) to offer participating service members 1 of the following 2 programs: either the educational video game (called the ""intervention""), or pamphlets on stopping tobacco use (called ""standard care""). Each company will receive only 1 of the 2 programs, and all participating service members in the same company will receive the same program. Each company has an equal chance of being assigned to either program.\n\nIntervention:\n\nParticipants in the intervention group will have a month to use the educational anti-tobacco video game located in areas that will provide convenient access. The game will be made available using an arcade-type kiosk which houses the computer game. After playing the video game on the kiosk for three 30-minute sessions, you will then be given a CD-ROM disc of the game to use as needed. After finishing these three 30-minute computer sessions, you will also receive a series of printed materials that go along with the computer sessions.\n\nStandard Care:\n\nThe standard care participants will receive a self-help pamphlet about stopping and avoiding tobacco use, provided by the National Institutes of Health.\n\nBoth Intervention and Standard Care Groups:\n\nNo matter which group your company is assigned to, if you choose to take part, you will be asked to complete surveys by computer at 4 points throughout the study. The survey will include questions about tobacco use, such as how much tobacco you use, how many times you have tried to quit, how ready you are to quit, how dependent you are on nicotine, any withdrawal and breathing symptoms you experience, your level of alcohol use, and support from family and friends. Each survey should take about 30 minutes to complete.\n\nThe first surveys will take place at the start of study participation. The intervention group will complete the second survey right after finishing the program. The standard care group will complete this second survey at about the same time as the intervention group. Both groups will also complete the third and fourth surveys at 6- and 12-month follow-ups.\n\nYou will be asked to provide saliva samples at the 12-month follow-up visit. Researchers will use these saliva samples to measure the level of cotinine, a chemical in your saliva that is related to tobacco use. You will be asked to spit into a clean plastic container. A dipstick will be placed in the container for at least 30 minutes. After reading the dipstick and recording the result, the study staff will throw away the saliva sample right away.\n\nYou will also be told about the nicotine replacement therapy and other tobacco cessation services available at no cost through the Carl R. Darnall Army Medical Center (CRDAMC) Tobacco Cessation Program at Fort Hood. M. D. Anderson is collaborating with the CRDAMC Tobacco Cessation Program on this study.\n\nThis is an investigational study. Up to 2050 soldiers will be asked to take part in this study.']",[],[],[],[],"['Inclusion Criteria:\n\nActive duty service members, age 18 or above, who have entered the Army stationed at Joint Base San Antonio\nDoes not have to be a current smoker or user of alternative tobacco products\nMust provide contact information including: an address, telephone number, and an email address\nWilling to answer two questions regarding status of smoking and smokeless tobacco use on study survey\nHave access to the Internet\nSpeak, read and write in English at a sixth-grade literacy level\n\nExclusion Criteria:\n\nN/A']",['0'],['Actual'],[],[],[],[],[],[],[],[],[],[],[]
