,Rank,NCTId,FlowReasonComment,FlowReasonGroupId,FlowReasonNumSubjects,FlowReasonNumUnits,FlowRecruitmentDetails,FlowTypeUnitsAnalyzed,Gender,GenderBased,GenderDescription,HasExpandedAccess,HealthyVolunteers,IPDSharing,IPDSharingAccessCriteria,IPDSharingDescription,IPDSharingInfoType,IPDSharingTimeFrame,IPDSharingURL,InterventionAncestorId,InterventionAncestorTerm
0,1,['NCT04371159'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],['All'],[],[],['No'],[],[],[],[],[],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],[],[],[],[],"['D000012102', 'D000045505']","['Reproductive Control Agents', 'Physiological Effects of Drugs']"
0,4,['NCT01599390'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,5,['NCT00312702'],[],"['FG000', 'FG001', 'FG002']","['0', '1', '0']",[],"[""18 immunized, 12 IC's from high dose group and 6 control subject""]",[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,6,['NCT00312663'],[],"['FG000', 'FG001', 'FG002']","['0', '1', '0']",[],['18 immunized subjects'],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],['Yes'],[],"['GlaxoSmithKline, The PATH Malaria Vaccine Initiative (MVI), Walter Reed Army Institute of Research (WRAIR)']",[],[],[],[],[]
0,7,['NCT01153880'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],"['D000000900', 'D000000890', 'D000011500', 'D000004791', 'D000045504']","['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Protein Synthesis Inhibitors', 'Enzyme Inhibitors', 'Molecular Mechanisms of Pharmacological Action']"
0,8,['NCT02019732'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],['Female'],[],[],['No'],['Accepts Healthy Volunteers'],['No'],[],['Sharing de-identified data will be considered upon individual request.'],[],[],[],"['D000000020', 'D000000019', 'D000012102', 'D000045505', 'D000000897', 'D000005765', 'D000010120', 'D000000021', 'D000003280', 'D000003276', 'D000003271', 'D000003270', 'D000003283', 'D000003281', 'D000006727', 'D000006730', 'D000008186', 'D000008600']","['Abortifacient Agents, Nonsteroidal', 'Abortifacient Agents', 'Reproductive Control Agents', 'Physiological Effects of Drugs', 'Anti-Ulcer Agents', 'Gastrointestinal Agents', 'Oxytocics', 'Abortifacient Agents, Steroidal', 'Contraceptives, Oral, Synthetic', 'Contraceptives, Oral', 'Contraceptive Agents, Female', 'Contraceptive Agents', 'Contraceptives, Postcoital, Synthetic', 'Contraceptives, Postcoital', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, and Hormone Antagonists', 'Luteolytic Agents', 'Menstruation-Inducing Agents']"
0,10,['NCT00948233'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,11,['NCT00026728'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
0,12,['NCT01211990'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,13,['NCT02663219'],[],[],[],[],[],[],['Male'],[],[],['No'],['No'],['No'],[],[],[],[],[],[],[]
0,14,['NCT00121108'],[],[],[],[],[],[],['All'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,15,['NCT01861210'],[],[],[],[],[],[],['Male'],[],[],['No'],['Accepts Healthy Volunteers'],[],[],[],[],[],[],[],[]
0,16,['NCT02911155'],[],[],[],[],[],[],['All'],[],[],['No'],['No'],[],[],[],[],[],[],[],[]
