,Rank,NCTId,InterventionArmGroupLabel,InterventionBrowseBranchAbbrev,InterventionBrowseBranchName,InterventionBrowseLeafAsFound,InterventionBrowseLeafId,InterventionBrowseLeafName,InterventionBrowseLeafRelevance,InterventionDescription,InterventionMeshId,InterventionMeshTerm,InterventionName,InterventionOtherName,InterventionType,IsFDARegulatedDevice,IsFDARegulatedDrug,IsPPSD,IsUSExport,IsUnapprovedDevice,Keyword
0,1,['NCT04371159'],['Velieve U.S.'],[],[],[],[],[],[],"['The Velieve U.S. is a home use, in-vitro diagnostic (IVD) device. The device is used for the semi-quantitative detection of blood and leukocytes, and the qualitative detection of nitrites in urine.']",[],[],['Velieve U.S.'],[],['Device'],['Yes'],['No'],[],['No'],['Yes'],[]
0,2,['NCT04474496'],['Marshallese in the U.S.'],[],[],[],[],[],[],['Surveying Marshallese adults in the U.S. to determine impact of COVID19'],[],[],['Assessing impact of COVID19'],[],['Other'],['No'],['No'],[],[],[],"['Marshallese', 'Pacific Islanders', 'Type 2 Diabetes', 'COVID-19']"
0,3,['NCT02801266'],['Intervention'],"['Repr', 'All']","['Reproductive Control Agents', 'All Drugs and Chemicals']",['Sodium chloride'],['M5077'],['Contraceptive Agents'],['high'],['Counselors underwent training on the use of 10 best practices for contraceptive counseling.'],['D000003270'],['Contraceptive Agents'],['Evidence informed birth control counseling'],['Improving contraceptive counseling in the United States'],['Behavioral'],[],[],[],[],[],"['Contraception', 'Reproductive and Sexual Health', 'Counseling', 'Contraceptive Counseling']"
0,4,['NCT01599390'],['Influenza Group'],['All'],['All Drugs and Chemicals'],[],['M15943'],['Vaccines'],['low'],"['The study will use multiple primary data sources: the Nationwide Inpatient Sample (for hospitalisations) and the US National Vital Statistics System (for mortality), and weekly virology data from the Centers for Disease Control and Prevention (CDC) influenza surveillance program supplemented with literature data.\n\nWeekly time series of the rates of various severe influenza-related health outcomes will be constructed. Statistical models, guided by weekly numbers of cases of laboratory-confirmed influenza and respiratory syncytial virus (RSV) contained in the CDC virology data, will be constructed to estimate the portions of the various outcomes that can be attributed to influenza. Next, the seasonal impact of influenza by age, risk status, and influenza subtype will be assessed. Finally, the potential burden that a quadrivalent vaccine could have prevented over the 12 year study period will be predicted.']",[],[],['Data collection'],[],['Other'],[],[],[],[],[],"['United States', 'Burden of Disease', 'Influenza']"
0,5,['NCT00312702'],"['10µg dose FMP011', '50µg dose FMP011']","['All', 'Hemat']","['All Drugs and Chemicals', 'Hematinics']",[],"['M15943', 'M9693']","['Vaccines', 'Liver Extracts']","['low', 'low']",['vaccine'],[],[],['Falciparum Malaria Protein 11 with AS02A adjuvant'],[],['Biological'],[],[],[],[],[],"['Vaccine', 'Malaria', 'Liver Stage Antigen-1', 'Falciparum Malaria Protein-11', 'AS02A', 'adjuvant']"
0,6,['NCT00312663'],"['10ug dose FMP011', '50ug dose FMP011']","['All', 'Hemat']","['All Drugs and Chemicals', 'Hematinics']",[],"['M15943', 'M9693']","['Vaccines', 'Liver Extracts']","['low', 'low']",['malaria experimental vaccine'],[],[],['Falciparum Malaria Protein 11 with AS01B adjuvant.'],[],['Biological'],[],[],[],[],[],"['Vaccine', 'Phase I/II', 'Malaria', 'Liver Stage Antigen -1', 'Falciparum Malaria Protein -11', 'AS01B', 'adjuvant']"
0,7,['NCT01153880'],"['19 to 65 years', '66 years and older', '7 to 18 years', '9 months to 6 years', 'Age <9 months definitive', 'Age <9 months uncertain', '19 to 65 years', '66 years and older', '7 to 18 years', '9 months to 6 years', 'Age <9 months definitive', 'Age <9 months uncertain']","['Infe', 'All']","['Anti-Infective Agents', 'All Drugs and Chemicals']","['ECMO', 'SCH 900475']","['M17658', 'M268755', 'M2803', 'M2795']","['Mupirocin', 'Retapamulin', 'Anti-Bacterial Agents', 'Anti-Infective Agents']","['high', 'high', 'low', 'low']","['Prescription sales claim of retapamulin', 'Same day prescription sales claims for retapamulin and topical mupirocin']","['D000016712', 'C000508887']","['Mupirocin', 'Retapamulin']","['Retapamulin', 'Co-prescription of retapamulin and topical mupirocin']",[],"['Drug', 'Drug']",[],[],[],[],[],"['Altabax', 'United States', 'topical', 'Mupirocin', 'Retapamulin', 'Bactroban']"
0,8,['NCT02019732'],['Study Group'],[],[],[],[],[],[],"['Data collection from existing electronic healthcare databases (Marketscan Commercial database, MarketScan Medicare Supplemental database).']",[],[],['Data collection'],[],['Other'],[],[],[],[],[],"['Mild outcomes', 'Database', 'Influenza-attributable', 'Retrospective', 'Influenza', 'United States of America (USA)']"
0,9,['NCT03972358'],"['Medical menstrual regulation', 'Medical menstrual regulation']","['Gast', 'Repr', 'All']","['Gastrointestinal Agents', 'Reproductive Control Agents', 'All Drugs and Chemicals']","['Blood samples', 'IIIB']","['M17562', 'M16883', 'M2769', 'M2800', 'M7464', 'M5077', 'M5083', 'M5088', 'M8372', 'M8371']","['Misoprostol', 'Mifepristone', 'Antacids', 'Anti-Ulcer Agents', 'Gastrointestinal Agents', 'Contraceptive Agents', 'Contraceptives, Oral', 'Contraceptives, Postcoital', 'Hormones', 'Hormone Antagonists']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['All participants will receive 200 mg mifepristone, to be taken orally on day 1.', 'All participants will receive 800 mcg misoprostol, to be taken buccally 24 hours after mifepristone (day 2)']","['D000016595', 'D000015735']","['Misoprostol', 'Mifepristone']","['Mifepristone', 'Misoprostol']",[],"['Drug', 'Drug']",['No'],['Yes'],[],['No'],[],[]
0,10,['NCT00948233'],"['Intervention', 'Standard Care', 'Intervention', 'Standard Care']","['All', 'Resp']","['All Drugs and Chemicals', 'Respiratory System Agents']",[],"['M15342', 'M9703']","['Tin Fluorides', 'Lobeline']","['low', 'low']","['Educational anti-tobacco video game played on arcade-type kiosk for three 30-minute sessions, plus CD-ROM disc of game to use as needed, and series of illustrated materials to go along with computer sessions.', 'Self-help pamphlet about stopping and avoiding tobacco use, provided by the National Institutes of Health.', 'Computer surveys taken at 4 points throughout the study.']",[],[],"['Video Game', 'Pamphlet', 'Surveys']",['Questionnaire'],"['Behavioral', 'Behavioral', 'Behavioral']",[],[],[],[],[],"['Tobacco', 'Smoking Cessation', 'Prevention', 'Smokeless tobacco', 'Habit']"
0,11,['NCT00026728'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Human Herpesvirus B', 'NHANES', 'Epidemiology', 'Population-Based Study', ""Kaposi's Sarcoma Herpes Virus""]"
0,12,['NCT01211990'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Pediatric', 'Children', 'Cancer', 'Bone Marrow Transplant']"
0,13,['NCT02663219'],['Intervention'],"['Infe', 'All']","['Anti-Infective Agents', 'All Drugs and Chemicals']",[],['M24015'],['Anti-Retroviral Agents'],['low'],"['The intervention arm will provide a Case Manager (CM) intervention package designed to enhance linkage to care, antiretroviral treatment (ART) initiation, treatment adherence and retention in care.']",[],[],['Intervention'],['Case Management'],['Behavioral'],[],[],[],[],[],"['MSM', 'ART', 'CCM', 'DAIDS', 'HPTN', 'ACA', 'PAF', 'PEP', 'RDS']"
0,14,['NCT00121108'],"['1', '2']",[],[],[],[],[],[],"['15 mg/kg motavizumab administered intramuscularly every 30 days for a maximum of 5 injections during the RSV season', '15 mg/kg placebo administered intramuscularly every 30 days for a maximum of 5 injections during the RSV season.']",[],[],"['MEDI-524', 'Placebo']",[],"['Biological', 'Other']",[],[],[],[],[],[]
0,15,['NCT01861210'],"['Couples Counseling and Testing', 'Individudal Counseling and Testing']",[],[],[],[],[],[],[],[],[],"['Couples Voluntary HIV Counseling and Testing', 'Individual Counseling and Testing']",['Couples HIV Testing and Counseling'],"['Behavioral', 'Behavioral']",[],[],[],[],[],"['Homosexuality, Male']"
0,16,['NCT02911155'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Cohort Study', 'Radiation', 'Occupation']"
0,17,['NCT00724867'],"['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']",['All'],['All Drugs and Chemicals'],['Warming'],"['M8767', 'M2806', 'M230963', 'M8795', 'M8784']","['Immunoglobulins', 'Antibodies', 'Belimumab', 'Immunosuppressive Agents', 'Immunologic Factors']","['low', 'low', 'high', 'low', 'low']","['Belimumab 1 mg/kg IV over one hour every 28 days', 'Belimumab 10 mg/kg IV over one hour every 28 days']",['C000511911'],['Belimumab'],"['Belimumab 1 mg/kg', 'Belimumab 10 mg/kg']","['BENLYSTA', 'HGS1006', 'LymphoStat-B™', 'LymphoStat-B™', 'BENLYSTA', 'HGS1006']","['Biological', 'Biological']",[],[],[],[],[],"['Systemic Lupus Erythematosus', 'Belimumab', 'SLE', 'Antibodies', 'Lupus', 'Autoimmune Diseases']"
