,Rank,NCTId,LargeDocDate,LargeDocFilename,LargeDocHasICF,LargeDocHasProtocol,LargeDocHasSAP,LargeDocLabel,LargeDocTypeAbbrev,LargeDocUploadDate,LastKnownStatus,LastUpdatePostDate,LastUpdatePostDateType,LastUpdateSubmitDate,LeadSponsorClass,LeadSponsorName,LocationCity,LocationContactEMail,LocationContactName,LocationContactPhone,LocationContactPhoneExt
0,1,['NCT04371159'],[],[],[],[],[],[],[],[],[],"['June 23, 2020']",['Actual'],"['June 21, 2020']",['INDUSTRY'],['Healthy.io Ltd.'],['West Palm Beach'],[],[],[],[]
0,2,['NCT04474496'],[],[],[],[],[],[],[],[],[],"['September 3, 2020']",['Actual'],"['September 1, 2020']",['OTHER'],['University of Arkansas'],['Fayetteville'],[],[],[],[]
0,3,['NCT02801266'],[],[],[],[],[],[],[],[],[],"['June 15, 2016']",['Estimate'],"['June 11, 2016']",['OTHER'],['New York University'],['New York'],[],[],[],[]
0,4,['NCT01599390'],[],[],[],[],[],[],[],[],[],"['February 25, 2013']",['Estimate'],"['February 21, 2013']",['INDUSTRY'],['GlaxoSmithKline'],[],[],[],[],[]
0,5,['NCT00312702'],[],[],[],[],[],[],[],[],[],"['November 26, 2018']",['Actual'],"['May 15, 2018']",['FED'],['U.S. Army Medical Research and Development Command'],['Silver Spring'],[],[],[],[]
0,6,['NCT00312663'],[],[],[],[],[],[],[],[],[],"['November 26, 2018']",['Actual'],"['May 3, 2018']",['FED'],['U.S. Army Medical Research and Development Command'],['Silver Spring'],[],[],[],[]
0,7,['NCT01153880'],[],[],[],[],[],[],[],[],[],"['June 10, 2013']",['Estimate'],"['June 6, 2013']",['INDUSTRY'],['GlaxoSmithKline'],[],[],[],[],[]
0,8,['NCT02019732'],[],[],[],[],[],[],[],[],[],"['January 10, 2017']",['Estimate'],"['January 9, 2017']",['INDUSTRY'],['GlaxoSmithKline'],['Bethesda'],[],[],[],[]
0,9,['NCT03972358'],[],[],[],[],[],[],[],[],[],"['January 10, 2020']",['Actual'],"['January 7, 2020']",['OTHER'],['Gynuity Health Projects'],"['Skokie', 'Chevy Chase']",[],"['Melissa Grant', 'Melissa Grant', 'Melissa Grant', 'Melissa Grant']","['855-729-2272', '855-729-2272']",[]
0,10,['NCT00948233'],[],[],[],[],[],[],[],[],[],"['July 21, 2016']",['Estimate'],"['July 20, 2016']",['OTHER'],['M.D. Anderson Cancer Center'],[],[],[],[],[]
